00-00	OLMMOŠVUOIGATVUOĐAID OPPAMÁILMMÁLAS JULGAŠTUS
00-01	Danne go friddjavuođa, vanhurskkisvuođa ja ráfi vuođđu máilmmis lea buot olmmošgoddái gullevaččaid lunddolaš olmmošárvvu dovddiidus ja sin dássásaš ja massemeahttun vuoigatvuođaid dovddiidus,
00-02	danne go olgguštus olmmošvuoigatvuođain ja badjelgeahččanvuohta daid hárrái lea mielddisbuktán veahkájoaš daguid, mat leat suorggahan olmmošgotti oamedovddu, ja danne go álbmogiid alimus joksanmearrin lea dovddastuvvon dakkáraš máilmmi ovdašaddu, gos lea sárdnun- ja oskufriddjavuohta ja gos lea balus ja heađis friddjavuohta,
00-03	danne go lea vealtameahttun dárbbašlaš suodjalit olmmošvuoigatvuođaid lága bokte, amaset olbmot fertet manimuš heađisteaset stuimádaga noastit bággoválddi ja soardu vuostá,
00-04	danne go lea deaŧalaš ovddidit ustitlaš gaskavuođaid gárgedusa náššuvnnaid gaskkas,
00-05	danne go Ovttastuvvon Naššuvnnaid álbmogat lihtu bokte ođđasis duođaštit sin oskkuset olbmo vuođđovuoigatvuođaide, olmmošoktagasa árvui ja mávssolašvuhtii, olmmáiolbmo ja nissonolbmo dássásaš vuoigatvuođaide, ja leat soahpan ovddidit sosiálalaš ovdáneami ja buorránaddit eallineavttuid stuorit friddjavuođa siste,
00-06	danne go miellahttostádat leat geatnegahttán iežaset, Ovttastuvvon Náššuvnllaiguin ovttasbarggadettiin, váfistit olmmošvuoigatvuođaid oppalaš gudnejahttojumi ja doahttaleami,
00-07	danne go dáid vuoigatvuođaid ja friddjavuođaid oktasaš ipmárdusas lea stuorimus mávssolašvuohta dan fertemuša duohtandahkamis,
00-08	de danne
00-09	OAIVEČOAHKKIN
00-10	dákko bokte almmuha
00-11	dán olmmošvuoigatvuođaid oppamáilmmálaš julggaštusa oktasaš joksanmearrin buot álbmogiidda ja buot naššuvnnaide vai juohke olmmošoktagas ja juohke servodateisseváldi, álo muittus anedettiin dán julggaštusa, vikkašii oahpahusa ja bajásgeassima bokte ovddidit gudnejahttojumi dáid vuoigatvuođaid ja friddjavuođaid hárrái, ja naššuvnnalaš ja internaššuvnnalaš doaibmabijuid bokte váfistit ahte dat šaddet oppalaččat ja fámolaččat dovddastuvvot ja doahttaluvvot sihke miellahttostáhtaid iežas álbmoga siste ja daid lágaváldi vuolde orru rádjosiid álbmogiid siste.
01-00	Artihkkal 1.
01-01	Buot olbmot leat riegádan friddjan ja olmmošárvvu ja olmmošvuoigatvuođaid dáfus. Sii leat jierbmalaš olbmot geain lea oamedovdu ja sii gálggaše leat dego vieljačagat.
02-00	Artihkkal 2.
02-01	Juohkehaš lea vuoigaduvvon buot daid vuoigatvuođaide ja friddjavuođaide, mat dán julggaštusas leat namahuvvon, almmá mange vealahaga, náli, ivnni, sohkabeali, giela, oskku, politihkalaš dahje eará miellaguottu, naššuvnnalaš dahje sosiálalaš surggiideami, opmodaga, riegádeami dahje eará dilálašvuođa dáfus.
02-02	Orruneatnama dahje -guovllu politihkalaš, lágaválddálaš dahje internaššuvnnalaš dilli maiddá ii galgga váikkuhit vealahusa, lehkos dat eanan dahje guovlu iešstivrejeaddji dahje earáid geahču vuolde dahje muđui mange láhkái earáid hálddus stivrra dáfus.
03-00	Artihkkal 3.
03-01	Juohke olbmos lea vuoigatvuohta eallimii, friddjavuhtii ja persovnnalaš oadjebasvuhtii.
04-00	Artihkkal 4.
04-01	Ii oktage galgga dollojuvvot šlávvan dahje bággu bálvalusas. Šlávvavuohta ja šlávvagávppi joraheapmi, vaikko guđege vuogi mielde, galgá leat gildojuvvon.
05-00	Artihkkal 5.
05-01	Ii oktage galgga illastusa vuollái dagahuvvot dahje goaves, olmmošmeahttun dahje vuolideaddji gieđahallama dahje ráŋggáštusa vuollái.
06-00	Artihkkal 6.
06-01	Juohke olbmos lea juohke sajis vuoigatvuohta dasa, ahte son galgá dovddastuvvot olmmošoktagassan lága ovddas.
07-00	Artihkkal 7.
