00-00	Xifzef Rentchwent Xwenxyant
00-01	Centrenf gufyaol zunxyant ndams chuantlif pingtdengl ndams bufyit centywent yainr renr, xif zixcul xifzef zifyaot, ndams hetpingt,
00-02	Wutsif ndams wuxmief rentchwent xif wail baofsint yelmant, nait baofsint dianfwux wail lyangtsinx rent, tangr xifzef renr mev zifyaot yantlunf ndams sinfyangl kaml mev konglzif ndams kuiffat, xif yanfwangf zwaif vongr rentmint pultongx,
00-03	Rwent kaml pofbufdetyil tingletzaolxenl fanlpanf baofzengf ndams yaxpof, falzif mev bifyaof baolhuf rwentchwent,
00-04	Mev bifyaof cufzinf faxzanl gwenxsif daiiv kef kwotcas,
00-05	Yintmint kef kwotcas Lyanthet Kwot yaiul Xenfzangx Lyanthet Kwot congtsenx wail sinfnyanf zixbenl rwentchwent, rwentget zunxyant ndams cafzit ndams chwentlif pingtdengl aimrbanr lakfbiks, zetsinx cufcengt gailsanf sefhuif zinfbuf ndams sengxhwot yaiul suilpingt zifyaot lauf, Kef hweifyant kwot sifyanf wail ndams Lyanthet Kwot hetzwof cufzinf zunxzongf pulbyanf ndams zunxsint rwentchwent ndams zifyaot zixbenl,
00-06	Lyaolzel pulbyanf nait chwentlif ndams zifyaot sitxenf congxfenx nait sifyanf mev zongfyaofsingf lauf,
00-07	Potnait,
00-08	Dafhweif,
00-09	faxbuf nait Xifzef Rwentchwent Xwenxyant, zwofweit yintmint ndams kwotcas nullif sitxenf byaoxzunl gongftongt, nont rwent ndams zixgaof sefhweif zingtyonf nais nait xwenxyant, nullif tongxkwof zaofhuil ndams zaofyif cufzinf zunxzongf chwentlif ndams zifyaot, tongxkwof cwofsix zanfzinf kwotcas ndams kwotzif, nait chwentlif ndams zifyaot yaiul yintmint hweifyant kwot benlsenx ndams yaul yintmint tit daif centrenf ndams zunxsint pulbyanf ndams mev saofkwol.
01-00	Tit tov
01-01	Renr rangf lyeuf xif zifyaot, yur zunxyant ndams chwentlif xif pingtdengl. Ter mev lilsingf ndams lyangtsinx, zingxsent gwanxsif vaif nungf.
02-00	Tit yar
02-01	Renr mev zixget mev chwentlif ndams zifyaot yaul xwenxyant, kaml fenx zonglzut, fuxsef, singfbyet, was, zongxzaof, zenfzif wol cittax zanfzel, kwotzit wol sefhweif cuxsenx, caitcanl, rangf wol cittax senxfenf denl renfhet cixfenx.
02-02	Difweif zengfzif, singtzengf wol kwotzif kwotcas wol tit deuv air kaml tongt kaml mev cixbyet, kaml sail nait tit xif tit dutlif, tit twoxgwanl, tit kaml zifzif wol cittax cingtkwangf zulchwent mev xenfzif.
03-00	Tit samr
03-01	Renr mev chwent mev sengxminf, zifyaot ndams rwentsenx anxchwent.
04-00	Tit sis
04-01	Renfhet rwent kaml finr nutlif wol nutyif; zifduf nutlif ndams ndyail pyer nutlif, yunl zinfzil.
05-00	Tit ngof
05-01	Renfhet renr kaml daif singtkuf wol daifyif wol singtfat cantrenl, kaml renrdaof wol wulrulsingf.
06-00	Tit lyokw
06-01	Renr caur yunl mev chwentlif tingf centrenf rentget nal fallif.
07-00	Tit xitx
