00-00	DUNYA’’ MUMƐ MƆƆGƆƆYA’’ HAKƐYAW DANTIIGƐLIIKAN
00-01	K’à mìna à mà kó dúnya’ mànton’ bɛɛ ká kan ni bònya ye, àni kó bɛɛ ká kan sàriya’ la làkika’ la, kó ò le be bɛɛ ya hɔrɔnya’ sàbati, kà bɛɛ kánya ɲásuma’ dúnya’ sìgi’ la.
00-02	K’à mìna à mà kó mɔgɔya hákɛ lɔnbaliya’ ni à jàtebáliya’ nàna ni syáman ye dúnya kɔnɔ, minw kà hádamadenw dùsu’ kàsi, àni K’à mìna mà tèle kúra min bɔra, à fɔra kó kúma’ mín ká dí mín yé, ò bé ò fɔ, díina’ mín ká dí mín yé, ò bé ò kɛ, kó mɔgɔw kà síran ɲgɔn ɲá, ò bánna, kó fàgantánya júgu bánna, ò kùma’ kɛra bɛnkan ye min kɛra hamamadenw haminankoba ye,
00-03	K’à mìna à mà kó kà mɔgɔya’ hákɛ’ látanga ní sàriya’ sìgili’ yé sèn kán, yé wájibi yé wálasa mɔgɔw kàna wájibiya kà múruti bènkánni’ kánma, àni fàngajúgu’ kánma,
00-04	K’à mìna à mà à ká kán tériya’ yé kɛ jàmanaw ni ɲgɔn cɛ,
00-05	K’à mìna à mà dúnya’ mùmɛ sáratikan’ ná, Dúnya’ Jàmanaw yá tɔ màntonw bɛɛ kà à yìra kó ù lánin bɛ mɔgɔya’ hákɛyabaw’ la, ù lánin hádamadenya’ tá bònya’ ní à lànbe’ la, ù lánin bɛ cɛw ní mùsow kányaɲgɔnmaya’ lá hákɛ’ lá, ní ù kà ŋàniya’ sìri kà mɔgɔya’ yá ɲɛ sàbati, àni kà ɲánamaya’ kɛcogo ɲúman’ sìgi sèn kán hɔrɔnya’ bɛrɛbɛrɛ kɔnɔ,
00-06	K’à mìna à mà Dúnya’ jàmanaw kà à ŋàniya kó ù bé jɛn ní Tɔnba yé kà mɔgɔya’ hákɛyaw látànga à ɲá’ mà dúnya’ mùmɛ kɔnɔ,
00-07	K’à mìna à mà, ò ŋàniya ɲúman té sé kà síra’ sɔrɔ ní bɛnkélenma má kɛ mɔgɔya’ hákɛyako ní à hɔrɔnyako’ kán,
00-08	Dúnya’ tɔnba’ ya ɲgɔnlajɛrɛba’ kà í kán’ bìla kà dunya’ mumɛɛ mɔɔgɔɔ hakɛɛyaw dantigɛɛlikan gánsi kà à yìra ò ŋŋàniya ɲɲuman yé fɛɛn ye, mín ká kán kà kɛɛ mànton’ ni násɔɔn’ bɛɛɛɛ làɲɲíni ye, yálasa mɔɔgɔɔ kelen kelen bɛɛɛɛ, àni jɛɛkulu kelen kelen bɛɛɛɛ ye nin dàntigɛɛlikan’ nìn tó ù hákili’ lá, kà ù kàlan’ ní lámadamuni’ kɔɔnɔɔ, kà fɛɛrɛɛ kɛɛ dɔɔɔɔnin dɔɔɔɔnin ù ya húkumu’ kɔɔnɔɔ, wálima dúnya bɛɛɛɛ kɔɔnɔɔ, kà hákɛɛya nìnugu ní hɔɔrɔɔnya nìnnugu látàngali’ yíriwa, àni kà à kɛɛ bɛɛɛɛ ye sɔɔn ù mà ɲɲá mà, à kɛɛra ù ya jàmana kɔɔnɔɔna ye, wálima jàmana gbɛɛrɛɛ min bé ù ya màra’ kɔɔnɔɔ.
01-00	Baabu jɔnna
01-01	Wólo’ lá, hádamaden’ bɛɛ ye hɔrɔn ye, bɛɛ ká kán lànbe ní hákɛyaw Mɔgɔ bɛɛ ye hákilitigi ye, bɛɛ ye hákilima ye ; ò là, ù ká kán kà ɲgɔn mína ní bádenya ye.
02-00	Báabu 2 nan
02-01	Mɔgɔ’ bɛɛ dɔ bɛ kà à lɔn kó í ká kán ní mɔgɔya hákɛyaw ní à hɔrɔ kófɔnin’ bɛɛ ye nìn dàntigɛlikan’ nìn kɔnɔ, mɔgɔ má bɔ mɔgɔ kɛrɛnkɛrɛnninya lá, fàragbɛko ni fàrafinko te à la, síyawoloma te à cɛ ni múso má bɔ ɲgon ná, í be kán mín fɔ, ó té à la, díinako té à lá, hákilila ye mín yé pólitikiko’ lá, wálima hákilila gbɛrɛw, ó te à bɔyɔrɔko te à lá, n ye fàgantanden ye wálima n ye fàgamaden ye, ó à la, nàfolotígiya ni bólokolonya te à la, ɲàmakalako ni hɔrɔnyako te à la ; fɛn o fɛn be nà ní wólomali’ ye mɔgɔw ní ɲgɔn cɛ, ò sí te à lá.
02-02	O cógoya kélen mà, bɔyɔrɔ má bɔ bɔyɔrɔ la. I bɔyɔrɔ’ lànbe’ tɔw cɛ’ mà, í ya jàmana’ kɛra jàmana’ yɛrɛmahɔrɔnyanin ye, à kɛ jàmana ye mín be jàmana gbɛrɛ ya màra kɔnɔ, wálima à be à yɛrɛ bólo jàmana gbɛrɛ ya húkumu’ kɔnɔ, wólomali sí te kɛ kà lá ò kán.
03-00	Báabu 3 nan
03-01	Mɔgɔ’ kɛra cogo ó cogo, à ká kán ní ɲánamaya’ ye, à ká kán ní hɔrɔnya’ ye, à ká kán ní lákandali’ ye.
04-00	Báabu 4 nan
04-01	Mɔgɔ sí te sé kà mìna kà í kɛ jɔn ye wálima kà í kɛ bólokɔnɔmɔgɔ ye, jɔnya’ bánna, jɔnféere’ bánna sàriya’ la.
05-00	Báabu 5 nan
05-01	A mán kán mɔgɔ sí ye jàngáta, wálima kà làjába, wálima kà à ní tɔrɔ, níjuguya’ dànmátɛmɛ’ fɛ, fó kà à lèebu.
06-00	Báabu 6 nan
06-01	Bɛɛ ká kán ní lànbe’ ye sàriya’ lá, à kɛra yɔrɔ ó yɔrɔ ye.
07-00	Báabu 7 nan
