00-00	Dèhyarahyon univèrthèle di drê dè l’Omo
00-01	Konchidèrin ke la rèkonyechanthe dè la dinyitâ ke bayè drê a ti lè minbro dè la famiye umêna è dè ti lou drê parê è inkontèchtâbyo, l’è le fondèmin dè la libèrtâ, dè la djuchtiche è dè la pé din le mondo,
00-02	Konchidèrin ke la mèkonyechanthe è le mèpri di drê dè l’Omo l’an menâ a di j’akchyon pindâbyè dè barbari ke rèbrekon la konhyinthe dè l’umanitâ, è ke l’arouvâye d’on mondo yô lè dzin cheron libro dè dèvejâ è dè krêre, ètsapo dè la pouêre è dè la mijére, l’è j’ou proklamâ kemin le pye hôta èchpèranthe dè l’Omo,
00-03	Konchidèrin ke l’è fêrmo inportin ke lè drê dè l’Omo chêyan inparâ par on drê po ke l’omo chi pâ d’obedji par on dêri rèkoua dè chè rèbrekâ kontre la tirani è la choudzihyon
00-04	Konchidèrin ke fô chuto inkoradji la tsèvanthe di rapouâ d’amihyâ intrè nachyon.
00-05	Konchidèrin ke, din la « Charte » lè poupyo di Nachyon-j’Unyè l’an a rè proklamâ lou fê din lè drê dè fon dè l’omo, din la dinyitâ è la vayà dè la pèrchena umêna, din l’ègalitâ di drê di j’omo è di fèmalè, è ke ch’è chon promè dè ch’ ingadji a inkoradji le pourgrè por ti, è a inchtâlâ di mèyou kondihyon dè ya din la libèrtâ la pye granta,
00-06	Konchidèrin ke lè j’Ètha Minbro chè chon ingadji a achurâ, in boun’akouâ avui l’Organijachyon di Nachyon j’Unyè, le rèchpè univèrthèle è vertâbyo di drê dè l’Omo è di libèrtâ fondamintalè,
00-07	Konchidèrin k’on idé kemouna dè hou drê è libèrtâ l’è dè la pye hôta inporthinthe por inpyâ tot’a fé adrê chi l’ingadzèmin,
00-08	L’Achinbyâye gènèrale
00-09	Di bin fêrmo ke laDèhyarahyon univèrthèle di drê dè l’Omo l’è kemin la mèyou tsouja a avê pê ti lè poupyo è totè lè nachyon po ke totè lè dzin è ti lè minbro dè la chochyètâ ke l’an ha Dèhyarachyon a l’èchpri, l’ôchan a kà, pê l’inchènyèmin è l’èdukachyon, dè tsèvanhyi le rèchpè dè hou drê è libèrtâ, è d’in achurâ, pê di mèjerè dè tsèvanthe d’oâdre nachyonal è intèrnachyonal, la rèkonyechanthe è l’aplikachyon univèrthèle è vertâbya, atan parmi lè populachyon di j’Ètha Minbro lou-mimo tyè parmi hou di tèritéro in pyathe, a lou choudzihyon.
01-00	Artike yon (1)
01-01	Totè lè dzin vinyon ou mondo libro è parê in dinyitâ è in drê. Chon dotâ dè réjon è dè konhyinthe è dêvon chè konportâ lè j’on-lè j’ôtro din on èchpri dè fratèrnitâ.
02-00	Artikle dou (2)
02-01	Tsakon pou chè prèvayê dè ti lè drê è dè totè lè libèrtâ prohyamâ din la prèjinte Dèhyarahyon, chin rèjêrva, ke chêyè dè rache, omo ou fèmala, dè kolà, dè linvoua, dè rèlidzyon, d’idé politike è dè tot’ôtro j’idé, d’orijine nachyonale ou « sociale », dè fortena, dè vinyête ou mondo è dè to’t’ôtra chituachyon.
02-02	In dèpye, chè farè rin dè yite fondâye chu le chtatu politike, juridike ou bin intèrnachyonal dou payi ou bin dou tèritéro du yô la pèrchena i chô, ke chi payi ou chi tèritéro chi indèpindin, dèjo tutêla, pâ libro dè chè j’akchyon ou bin choudzè a kotyè j’inkupiyo a cha libra volontâ.
03-00	Artikle trè (3)
03-01	Tota dzin l’a drê a la ya, a la libèrtâ è a la churètâ dè cha pèrchena.
04-00	Artikle katro (4)
04-01	Nyon cherè tunyu in èhyavâdzo nè a choudzihyon, l’èhyavâdzo è l’ingadzèmin di j’èhyâvo chon intêrdi din totè lè fouârmè.
05-00	Artikle thin (5)
05-01	Nyon cherè betâ a la tortura, nè a di pênè ou di krouyo trêtèmin , pâ umin ou dègradin.
06-00	Artikle chê (6)
06-01	Tsakon l’a drê a la rèkonyechanthe din ti lè yu dè cha pèrchenalitâ juridike.
07-00	Artikle chate (7)
07-01	Ti chon parê dèvan la lê è l’an drê chin rèjêrva a tota la protèkchyon de la lê. Ti l’an drê a ithre inparâ kontre totè lè tsoujè ke tindron pâ dou konto dè ha Dèhyarahyon è kontre totè provokachyon.
08-00	Artikle vouète (8)
08-01	Tota dzin l’a drê a on rèkoua vayâbyo dèvan lè rèprèjintin di djuchtichè nachyonalè konpètintè kontre di j’akte rèchpèktin pâ lè drê dè fon ke l’i chon rèkonyu, pê la konchtituchyon ou bin pê la lê.
09-00	Artikle nà (9)
09-01	Nyon pou ithre arbitrérèrmin arèthâ, dètinyê nè bani.
10-00	Artikle dji (10)
10-01	Tota dzin l’a drê, in pyêna ègalitâ, ke cha kouja chi intindya in tota djuchtiche è in publike pê on tribunal indèpindin è neutre, ke dèchidèrè, ke chêyè dè chè drê è obligachyon, ke chêyè dè l’utilitâ dè tot’akujachyon in djuchtiche diridjia kontre li.
11-00	Artikle ondzè (11)
11-00	Tota dzin akujâye de n’akchyon kondanâbya l’è chupojâye inochinta tantyè ke cha kulpabilitâ chêyè aprovâye pê la lê din on prothè publike, yô totè lè garanti nèchechérè a cha dèfincha l’i cheron achurâyè.
11-01	Nyon cherè kondanâ po di j’akchyon ou bin di mankèmin adon ke chu le momin n’iran pâ on akte ke mertâvè na punihyon. Parê, nyon cherè punê fêrmo, tyè ou momin yô la krouy’akchyon irè j’ou fête.
12-00	Artikle dodzè (12)
12-01	Nyon porè ithre choudzè a di j’intrèfetsichè arbitrérè din cha ya poupra, intye-li, cha famiye, chon tinyèmin ou bin cha korèchpondanthe, nè a di j’atintè a che n’anà è a chon rènon. Tota dzin l’a le drê d’ithre inparâye pê la lê kontre hou j’intrèfetsichè è di j’afére dinche krouyè.
13-00	Artikle trèdzè (13)
13-00	Tota dzin l’a le drê d’alâ chéve è léva in tota libèrtâ è dè rèyi chon tinyèmin din on Ètha , n’inpouârtè le tyin.
13-01	Tota pèrchena l’a le drê dè tyithâ ti lè payi, mimamin le chyo, pu dè rèvinyi din chon payi.
14-00	Artikle katouârdzè (14)
14-00	Dèvan la pèrchèkuchyon, tota dzin l’a le drê dè tsêrtyi on a-chokrê in churètâ è dè ithre èbèrdji din di j’ôtro payi.
14-01	Chi drê pou pâ ithre vayâbyo kan i chon in pourchuitè, vertâbyamin fondâyè chu on krimo dè drê kemon, ou bin di manêrè kontrérè i rêyèmin di Nachyon j’Unyè.
15-00	Artikle tyindzè (15)
15-00	Tota dzin l’a drê a chon poupro payi.
15-01	Nyon pou ithre indjuchtamin dèporvi dè cha nachyonalitâ, nè dou drê dè tsandji dè nachyonalitâ.
16-00	Artikle chèdzè(16)
16-00	Achtou ke chon in âdzo è kopâbyo dè prokrèâ, l’omo è la fèmala, chin limita ke chêyè dè rache, dè nachyonalitâ ou bin dè rèlidzyon, l’an le drê dè lou maryâ è dè fondâ na famiye. L’an di drê parê din le maryâdzo, dou tin dou maryâdzo è achebin kan le maryâdzo l’è abouli.
16-01	Le maryâdzo pou ithre hyou rintyè avui le libro konchintèmin di j’èpà ke chon ingadji.
16-02	La famiye l’è le fondèmin naturèle è chêrtin de la chochyètâ, l’a drê a ithre inparâye pê la chochyètâ è l’ Ètha.
17-00	Artikle djij’è chate (17)
17-00	Tota dzin, atan cholèta tyè dè binda, l’a drê d’ithre propriètéro.
17-01	Nyon pou ithre indjuchtamin dèporvi dè cha propriètâ.
18-00	Artikle djij’è vouète (18)
18-01	Tota dzin l’a drê a moujâ kemin i và, in konhyinthe è in rèlidzyon; chi drê konpouârtè l’èpâhyo dè tsandji dè rèlidzyon ou bin dè fathon dè moujâ, l’a achebin la libèrtâ dè fére konyèthre chè j’idé in rèlidzyon ou bin achebin dre chin ke n’in moujè, li-mima ou avu di j’ôtro, atan in publiko tyè intrè-là, pê l’inchènyèmin, lè pratikè, le kulte è la fathon dè pratikâ.
19-00	Artikle djij’è nà (19)
19-01	Tota dzin l’a drê libramin dè moujâ è dè dre, chin l’i bayè le drê d’è pâ ithre inkupiyi a kouja dè chin ke moujè è le drê dè tsêrtchi, dè rèchuêdre è rèparti, chin konchidèrachyon dè frontêrè, lè novi è lè j’idé dè tyinta fathon è avu tyin moyin ke chêyè.
20-00	Artikle vin (20)
20-00	Tota dzin l’a drê a la libèrtâ d’achinbyâyè è dè chochyètâ ke volon travayi po la pé.
20-01	Nyon pou ithre d’obedji dè fére partya de n’achochyachyon.
21-00	Artikle vint’yon (21)
21-00	Tota dzin l’a drê a prindre pâ a la dirèkchyon di j’afére publikè dè chon payi, ke chêyè dirèktamin, ou bin in pachin pê di rèprèjintin ke l’a libramin rèyi.
21-01	Tota dzin l’a drê d’arouvâ, din di kondihyon d’égalitâ, y fonkchyon publikè dè chon payi.
21-02	La volontâ dou poupyo l’è le fondèmin dè l’otoritâ di povê publiko ; chta volontâ dê chè rèalijâ pê di j’èlèkchyon onithè ke dêvon avi yu din di tin prèyu, ou vôte chèkrè dè ti, ou bin d’apri na prothatâye a parêre, achurin la libèrtâ dou vôte.
22-00	Artikle vint’è dou (22)
22-01	Tota dzin, in tin ke minbro dè la chochyètâ, l’a drê a vivre trantyilo din la chochyètâ. L’è j’ou fondâye po chatifyâ lè drê èkonomike, kulturèle è nèchèchéro a cha dinyitâ è po fére a tsèvanhyi cha pèrchenalitâ, grâthe a l’èfouâ dou payi è a la boun’intinta intrè ti lè payi, in kontin l’organijachyon è chè moyin dè vivre.
23-00	Artikle vint’è trè (23)
23-00	Tota dzin l’a drê ou travô , libro a li dè rèyi le tâtso ke l’i konvin, a di rèjenâbyè è djuchtè kondihyon, a cha chatichfakchyon, l’a drê achebin a ithre inparâ kontre le tsômyâdzo.
23-01	Ti l’an drê, chin j’indjuchtiche, a on tô kovin por on tô travô.
23-02	Chi ke travayè l’a drê a on djuchto kovin, in tota djuchtiche è a che n’èchyin, por achurâ, achebin a cha famiye ouna ya din la dinyitâ umêna, è in dèpye, che fô, ti lè j’ôtro moyin dè protèkchyon.
23-03	Tota dzin l’a drê dè fondâ di chindika avu di j’ôtro, achebin dè ch’ingadji din di chindika po dèfindre chè j’intèrè.
24-00	Artikle vint’è katro (24)
24-01	Tota dzin l’a drê ou rèpou è i dichtrakchyon dè totè chouârtè, bin chur din on tin rèjenâbyo intrè lè tin dè travô è hou dè kondji payi, prèyu po chin.
25-00	Artikle vint’è thin (25)
25-00	Tota dzinl’a drê a on trin dè ya chufijin a cha ya, por achurâ cha chindâ, chon bin’ithre è chi dè cha famiye, notamin po le medji, lè vithirè, le tinyèmin, lè chouin dè mêdzo, achebin po lè chêrvucho ke dèmandè na famiye ke l’a drê a la chèkuritâ , kan l’i a dou tsômâdzo, la maladi, l’invaliditâ, le vèvâdzo, la viyèthe, din le ka dè pêrda dè chè moyin a kouja dè krouyè chyâyè ; fro dè cha volontâ.
25-01	La matèrnitâ è l’infanthe l’an drê a on’éde è oun’achichtanthe rèyiè. Ti lè j’infan, ke chêyan vinyê ou mondo din le maryâdzo ou bin in dèfro, l’an la dzoyechanthe dè la mima protèkchyon.
26-00	Artikle vint’è chê (26)
26-00	Tota dzin l’a drê a l’èdukachyon. L’èdukachyon dê ithre gratiche, ou mintè po l’inchènyèmin d’èmoda. Le premi l’inchènyèmin l’è obligatéro. L’inchènyèmin dè la tèknike, è l’aprintechâdzo d’on mihyi, dê ithre ouvê a ti ; l’intrâye i hôtè j’ètudè dê ithre achebin ouvêrta in pyên’ègalitâ a ti, d’apri lou merto.
26-01	L’èdukachyon dê vijâ a la pyêna ravuchête dè la pèrchenalitâ umêna è achebin ou rèinforhyèmin dou rèchpè di drê dè l’omo è di libèrtâ premirè. I dê favorijâ l’intindèmin, la tolèranthe è l’amihyâ intrè totè lè nachyon è totè lè chouârtè dè rachè ou dè rèlidziyon, achebin po chyêdre l’èvoluchyon di j’aktivitâ di Nachyon j’Unyè po le mantin de la pé.
26-02	Lè parin l’an, pê prioritâ, le drê dè rèyi la chouârta dè l’èdukachyon a bayi a lou j’infan.
27-00	Artikle vint’è chate (27)
27-00	Tota dzin l’a le drê dè prindre pâ libramin a la ya kulturèle dè la chochyètâ kemouna, dè prindre pyiéji di moudè è kothemè è dè partichipâ ou pourgrè de la hyinthe è a to le bin ke n’in rètirè.
27-01	Tsakon l’a drê a l’inparâye dè ti lè j’intêrè ke vinyon dè chin ke l’a pu kréâ, tan po fére tsèvanhyi la hyinthe ou chè dèmorâ.
28-00	Artikle vint’è vouète (28)
28-01	Tota dzin l’a drê, ke chê betâ in pyathe in piti è in grô, on ouâdre, po ke lè libèrtâ èkritè din ha Dèklarahyon, puéchan trovâ on èfè vayin.
29-00	Artikle vint’è nà (29)
29-00	L’individu l’a di dèvê a inpyâ po la chochyètâ kemouna yô i chè tin, ke cha pèrchenalitâ puéchè chè tsèvanhyi on pye pri dè chè và.
29-01	Kan i fâ a vayê chè drê è din la dzoyichanthe dè chè libèrtâ, tsakon l’è achtrin, ma tantyè i limitè kemandâyè pê la lê, rintyè por achurâ la rèkonyechanthe è le rèchpè di drê è libèrtâ di j’ôtro, pu achebin dè chatifyâ i djuchtè kondihyon dè la chejinthe, dè l’ouâdre publiko è dou bin’ithre dè ti, din na chochyètâ dèmokratike.
29-02	Chtou drê è libèrtâ ne poron djamé chè fére ou kontréro di prèkchripchyon di Nachyon j’Unyè.
30-00	Artikle trinta (30)
30-01	Pâ ouna cheule dichkpojichyon dè chta Dèhyarahyon porê ithre konprêcha è inpyèyia, por on Ètha, on groupèmin ou bin on individu, on drê ou on’ôtro, dè chè bayi a oun’aktivitâ ou bin dè fére ôtyè kontre l’avutrâye di drê è libèrtâ ke l’i chon inchkri.
