00-00	Decleranza universala dals drets da l'uman
00-01	Considerand cha l'arcugnuschentscha da la dignità immanenta in tuot ils members da la famiglia umana e da lur drets eguals ed inalienabels constituischa la fundamainta da la libertà, da la guistia e da la pasch in quist muond.
00-02	Considerand cha la mancanza da la cugnuschentscha e'l spredsch dals drets da l'uman han manà a fats da barbarissem chi offendan la conscienza da l'umanità e cha la fuormaziun d'ün muond, ingio cha'ls umans saran libers da discuorrer e da crajer, liberats da la temma e da la misiergia, es gnu proclamà sco la mera la plü ota da l'uman,
00-03	Considerand chi'd es important, cha'ls drets da l'uman vegnan protets d'ün regimaint da dret, per cha l'uman nu vegna sforzà sco ultim mez a la revolta cunter la tirannia e l'oppressiun,
00-04	Considerand chi'd es important da promouver il svilup da relaziuns amicalas tanter las naziuns,
00-05	Considerand cha'ls pövels da las Naziuns unidas han proclamà in lur Charta lur cretta i'ls drets fundamentals da l'uman, illa dignità e la valur da la persuna umana, illa egualità dals drets dad homens e da duonnas e ch'els han decis da promouver il progress social e megldras relaziuns da viver in libertà plu granda,
00-06	Considerand cha'ls stadis chi sun members s'han obliats dad asgürar, in cooperaziun cun l'Organisaziun da las Naziuns unidas, il respet universal ed effectiv dals drets da l'uman e da las libertats fundamentalas, Considerand ch'üna concepziun cumünaivla da quists drets e da quistas libertats es d'importanza maximala per accumplir plainamaing quist ingaschamaint,
00-07	proclama l'Assemblea Generala la preschainta Decleranza universala dals drets da l'uman
00-08	sco l'ideal cumünaivel dad obtgnair per tuot ils pövels e tuot las naziuns, per cha mincha singul e tuot ils organs da la vita publica hajan adüna adimmaint quista Decleranza ed as sfadajan da promouver il respet da quists drets e da quistas libertats tras l'instrucziun e l'educaziun e dad asgürar tras masüras progressivas i'l ram naziunal ed internaziunal lur arcugnuschentscha ed applicaziun effectiva ed universala, tant pro la populaziun da lur stadis sco eir pro quella da territoris chi suottastan a lur giurisdicziun.
01-00	Artichel ün. (1)
01-01	Tuots umans naschan libers ed eguals in dignità e drets. Els sun dotats cun intellet e conscienza e dessan agir tanter per in uin spiert da fraternità.
02-00	Artichel duos. (2)
