00-00	Чипа̄линне̄сал деклара̄сиjачи нари доролбони
00-01	Мөрөнӡи боддоумари нари нарре̄ эсини болӡитта̄ чипа̄линне̄салду нари нумидуни омоттоммо̄ эввури танандда̄ дорочи тари бūни гэву тэккэ̄ни, тэдэ тэккэ̄ни, эми ва̄лле̄ биввури тэккэ̄ни;
00-02	мөрөнӡи боддоумари тари нари дорро̄ни болӡиттаури балӡӯрини ва̄лихха̄ тари госсӯллини нари ирка̄ни, андупури тамаче̄ биввурре̄, хамаче̄ду гурусэл кэсэлу оличи, биличи эмэри ӈэ̄ллэ̄, эмэри сūнэӡӡе̄ чава долдаппула нари гугдама мөрөниӈэчи;
00-03	мөрөнӡи боддоумари нари дорро̄ни эттэуми товвури ге̄ кусуӡини каирамбуӡӡи, нари ӡобоми па̄улими эбуддо̄ни ва̄лимачче̄ болӡиӡе̄салтаи;
00-04	мөрөнӡи боддоумари тари бэлэчими оввури гурусал андаилӈачи бибуддо̄чи;
00-05	мөрөнӡи боддоумари тари Обедиԩо̄ннэjа На̄сиjа гурулни нурихачи Уста̄виду мэ̄нэ акта̄ривари нари да̄jи доромбони, нари маӈга̄ни са̄мари чоми тоичи бэлэчибуддо̄ри сосиа̄линэи прогре̄сситэи бикко̄чи улиӈгаулиӈга опо̄ми да̄jи гэвуӡи бимэри;
00-06	мөрөнӡи боддоумари тари гои бо̄сал чле̄нучи токтоумачихачи бэлэчибуддо̄ри Органиса̄сиjандо̄ Обедиԩо̄ннэи На̄сиjандо гэсэ уилэмэри нари дорро̄ни гэбубуддо̄ри, нари дорро̄ннū, нари да̄jима гэвво̄ннū итэчимэри орро̄;
00-07	мөрөнӡи боддоумари тари чипа̄линне̄сал са̄ривачи доро мөрөмбөннū, гэву мөрөмбөннū тари акта̄ввурре̄ ӡиӈ улиӈга хоӡидала̄ андуми.
00-08	Генера̄лина Ассамбле̄jа
00-09	долданӡини эсипчи Чипалинне̄сал Деклара̄сиjачи нари доролбони сада̄чаӈуӡӡи дапагаччи чава андуми муттэитэми чипалинне̄ гурусэл, бо̄сол чоми ге̄дадда̄ нари, ге̄дадда̄ хӯпа о̄ргануни гэгдэкэ актамари эсипчи Декларассиjjа̄, каксило̄л аллаупури да̄руни, таттуччури да̄руни тари доролб , тари гэвулбэ гэбубуддо̄чи бэлэччилол. Чопе̄ насионалинэjjū местународнэjjū прогрессивнэjjū мероприjатиjэл да̄ручи андуитами пэрге̄лол чипа̄линне̄па улиӈгаӡи са̄вво̄мбо̄нда, хоӡидала̄ андупо̄нда ча сада̄чалба бо̄ гуруни до̄дуннū, хӯпа членуни до̄дуннū, на̄ гуруни до̄дуннū хамаче̄ jурисдūксиjэду но̄ни бūни.
01-00	Статиjа 1
01-01	Чипа̄ли гурунне̄ балӡичи гэвумэ, омотто мэ̄нэ мөрөнӡи, мэ̄нэ доронӡи. Но̄чи идэлу, иркалу, мэ̄нэ мэ̄нӡи на̄дактаӈачи бūчи.
02-00	Статиjа 2
02-01	Хамаче̄дда̄ чипа̄ли нари на̄дассичи чипа̄ли доролбо, чипа̄ли гэвулбэ эсипчи деклара̄сиjаду долдаппулалба хаивадда̄ хо̄нидда̄ эпулэ кадачче̄: гои халадда̄ биӡини, хэрэктэни силланидда гои биӡини, хусэнне̄ддэ̄-эктэнне̄ддобиӡини, кэсэниддэ̄ гои биӡини, религиjанидда̄ гои биӡини, политическиддэ̄ гоиддэ тэдэни, гурумадда̄ сосиалинэиддэ̄ тэккэни биӡини, абдулусалдда̄, баjанӡисалдда̄ сūнэӡӡисэлддэ биӡини.
02-02	Тамаччу эввури то̄ хамаче̄дда̄ чипали кадакко̄ политическэиддэ̄ доромо̄моддо̄ гуру-гурумама тэккэлло̄ бо̄ статуссе̄ни, на̄ статуссе̄ни, хамаче̄ду нари бūни, биӡини тари на̄ сиса̄ бū, ӈуидэ̄ киханӡи бū, мэ̄нэ эси ӡаӈге̄рра̄ бū камаличипула суверинитетулуддэ бū.
03-00	Статиjа 3
03-01	Хамаче̄дда̄ чипа̄ли нари на̄дассичи чипа̄ли дорони бūни бивввуритэи, гэвутэи, мэнэ-мэнӡи сиса̄ биввуритэи.
04-00	Статиjа 4
04-01	Ӈуиддэ̄ элини бе̄ болӡитаду, болӡиттаури доронду; болӡитадда̄, болумба худасурре̄дда̄ хэрэссури хамаче̄дда̄ хо̄нидда биӡини.
05-00	Статиjа 5
05-01	Ӈуиддэ̄ ӈуивэддэ эӡили па̄чче̄, ӡиӈ катуӡи, нариӡи хаӈасаи эӡили булмэчче̄ но̄ни мөрөмбөни сэӈгэрэммū кэсулэммū.
06-00	Статиjа 6
06-01	Хамаче̄дда̄ чипа̄ли нари, хаидудда̄ бими дорони бūни но̄ни правосубекносе̄ни са̄буддо̄чи.
07-00	Статиjа 7
07-01	Чипа̄ли гурусал ге̄ду омотто доролчи бини ӈуиддэ̄ биӡини омотто ге̄ аксаччуритаини. Чипа̄ли гурусал дорочи бūни омотто аксаччуритаи хамаче̄дда чипа̄ли болӡитаду, болӡитта̄ имо̄ччуриду эсипчи деклара̄сиjjа̄ камаличчитаи.
08-00	Статиjа 8
08-01	Хамаче̄дда̄ чипа̄ли нари дорони бūни но̄ни да̄jи доролбони конститусиjjа̄. Ге̄ккэ бухэмбэни камаличихандучи компете̄нтнэи гурума судусэлбэ улиӈгамаӈуӡи андутто̄мбуми.
09-00	Статиjа 9
09-01	Ӈуивэддэ эӡилил баи аристоваира, эӡилил даппа̄, эӡилил хасаси.
10-00	Статиjа 10
10-01	Хамаче̄дда̄ чипа̄ли нари но̄ни дорро̄нни но̄ни уилэкко̄нни са̄буддо̄чи, но̄ни уголовнэи баитани тэддэ̄ни но̄ттоини уччимбэчи са̄буддо̄чи, дорони бūни омотто биввури тэккэндуни но̄ни баитта̄ни кэсэӡи е̄робуддо̄чи мэ̄нэ сиса̄ бū беспристраснэи сӯдуду нэ̄ ӡе̄рударра̄ тэддэ̄ гэлэми.
11-00	Статиjа 11
11-00	Хамаче̄дда̄ чипа̄ли нари, ӈуивэ баиталле̄чи, дорони бūни мэ̄пи баитала ана̄ опо̄ми суду баитта̄ни ба̄вво̄талла̄ни ге̄мӡӡи кэсэӡӡū баиттани е̄роми, тэ̄лиддэ но̄тоини буми хаивадда̄ чипали аксаччуриду.
11-01	Ӈуивэддэ эӡилил сӯӡūрэ тари баитта̄ ба̄рини эрунду тари баита гурума ге̄ддӯ гуру-гурума дороддӯ баиталлаури эччини бе̄. Худэулиӡи эввури кэсуллэ ча баита̄, хамаче̄мба бӯрилэхэчи ча эрунду, ха̄ли баита ба̄пула биччи.
12-00	Статиjа 12
12-01	Ӈуиддэ̄ эллини мэттэкки баи ūвво̄нда мэниӈӈū нумиббū бūккутэини, баи сулӯдами ūпэчими но̄ни дукутаиннū, кореспонуденсиjэни сипкутаинни, иркатаиннū, репутасиjатаинни. Ӈуиддэ̄ чипали дорони бūни ге̄ аксачиккутаини мэ̄ттэкки сулӯдамари ипэчче̄гичи.
13-00	Статиjа 13
13-00	Хамаче̄дда̄ чипа̄ли нари дорони бūни бо̄ва боки гипали пулими биккуӡӡи силмами.
13-01	Хамаче̄дда̄ чипа̄ли нари дорони бūни хамаче̄мбадда̄ мэ̄ниӈӈиддэ̄ бо̄во вэдэми ӈэнуми чо̄ччи гочи исумидда мэ̄нэ бо̄такки.
14-00	Статиjа 14
14-00	Хамаче̄дда̄ чипа̄ли нари дорони бūни но̄мбони хасасидучибūкко̄ гэлэбуӡӡи гои бо̄ду, чаду сиригаччи бими.
14-01	Тари доро хэчче̄ни политикама баитолло̄ хасасидучи, гои баитаду се̄лилддӯ принсипилду Организа̄сиjаӈи Обидиɲоннэи Насjаӈи мэккуссидуни эсини хэттэ̄.
15-00	Статиjа 15
15-00	Хамаче̄дда̄ чипа̄ли нари доро̄ни бūни грасидануства̄ дапами.
15-01	Ӈуивэддэ̄ баи эввури атто̄ грасидануство̄ни, ӈуиддэ̄ мэ̄нэддэ̄ эсини калла̄ грасиданустваби.
16-00	Статиjа 16
16-00	Хусэнне̄ эктэнне̄, хуруми хоӡихасал, дорочи бūни ра̄ссачи да̄ррунни, насионалинусичи да̄рунни, релūгиjачи дарунни эввуми кадачче̄ мūрэнӡидучи, нумиӡӡи андусидучи. Но̄чи омоттомо дорочи бūни мūрэнӡидучи, мūрэм бūдучи, мūрэнду пуjjедучи.
16-01	Дӯтӈосо гэсэ гэвумӡи токтоумачими хоӡӯтачче̄ мūронӡивэчи саклjучаиричи.
16-02	Нуми тари хупа да̄jини хупа чоми дорони бūни чоми хупаддӯ государствуддӯ аксачикк актами.
17-00	Статиjа 17
17-00	Хамаче̄дда̄ чипа̄ли нари дорони бūни умукэддэ̄ гоине̄салду гэсэддэ̄ абдуӡи таккурами.
17-01	Ӈуидуддэ абдумбани баи нуиддэ̄ эллини тананда.
18-00	Статиjа 18
18-01	Хамаче̄дда̄ чипа̄ли нари дорони бūни мөррө̄, ирккэ̄, религиjjэ̄ гэвво̄ни; тари доро дапучче̄ни релūгиjаббū долдаккуббū каллаурре̄, мэ̄нэ релūгиjабби, долдаккуббū умӯкэддэ̄ по̄нне̄салдуддэ̄ гэсэ долдамбуӡӡи нари до̄дуннū умӯкэддо тачими, эндурре̄ддэ̄ долӡими религиосинэjjū ритуалинэjjū обрjа̄ддо̄ни андуми.
19-00	Статиjа 19
19-01	Хамаче̄дда̄ чипа̄ли нари дорони бūни долдакку гэвво̄ни гэвумӡи чава долдамбуӡӡи; мэ̄нэ долдаккуби гэввоннū эми камаличче̄ дапутабуӡӡи, гэвво̄ гэлэктэмми, алдо̄ идеjjа̄ хо̄нидда томи государуственнаи гранисса эми киханда гаммū бӯчиммū – тари доро даппучче̄ни.
20-00	Статиjа 20
20-00	Хамаче̄дда̄ чипа̄ли нари дорони бūни бэрэми чауха гэвво̄ннū хӯпа гэвво̄ннū.
20-01	Ӈуивэддэ̄ нэ̄ эввури ūвво̄ндэ хамаче̄таидда хӯпатаи.
21-00	Статиjа 21
21-00	Хамаче̄дда̄ чипа̄ли нари дорони бūни мэ̄нэ бо̄ӈуӡӡи мэ̄нэддэ силмапула нарисалӡидда ӡаӈге̄рами.
21-01	Хамаче̄дда̄ чипа̄ли нари дорони бūни мэ̄нэ бо̄ӡӡи омотто ūввури дорони бо̄би уилэккутэини.
21-02	Гуру во̄лjани правителиство кусуни бūллини; тари во̄лjа мэ̄пи са̄вво̄ллини ӡиллэлул ана̄ силмал-силмалду, хамачесалба андуличи гэрэммэ̄ омоттоммо̄ силмаури дороду сипкучими силмамми гоилӡи омоттомол пормалӡи бэлэчимми силма гэвво̄ни андуми.
22-00	Статиjа 22
