00-00	PACHATIN LLAQTAKUNAPI RUNAQ ALLIN KANANPAQ JATUN KAMACHIKUY
00-01	Pachantin ayllu wawaq allin kausaypi kananta yuyaykuspan, kay kamachikuy paqarin. Runaq kausay qasi kusi kausaypi kananpaq, tukuy llakipi kaspapas "justicia" taripananpaq. Kikin runakayninta runa masinkunawan reqsichispa kausananpaq.
00-02	Runaq runa kayninta sarunchasqata rikuspan, wakin ima mil lay salqa runakunaq runa masinta ku'muchisqanta, waqachisqanta rikuspan, kay ancha sut'i kamachikuykuna rikhurin, ashwan allin, ashwan sumaq kausay runaq taripananpaq; mana imamanta manchakuspa, mana yarqayta muchuspa, sut'i simipi rimarispa qasi kausaypi kananpaq.
00-03	Runapaqpuni tukuy ima allinkunapas kamasqa karqan. Chay kamasqa kasqanta reqsispan; "derechon" kasqanta yachaspan kay simikuna kamakun qharipas warmipas kushkachasqalla kausanankupaq, sapa p'unchay ashwanta jananchakuspa. Kausanankupaq: paykuna ukhupipas, llapa ayllu runa uldiupipas, sapanka runataqmi tukuy llakimanta qespisqalla purikunan, llapa "mundo" pachantinman qasi kausay mast'arikunanpaq.
00-04	Teqse muyuntin "munduq" "estadonkuna" juñuykunakuspan, ancha allinta rimanakunku "Organización de las Naciones Unidas" sutita churaykukuspa. Jina sumaqta, allinta yuyayukuspataq, ruwaspataq, juq sonqolla kamachinakunku yanapanakunankupaq, runaq runakayninta, qespesqa kayninta, tukuy "derechunta" junt'achinankupaq.
00-05	Chay rimasqanku junt'akunanpaqtaqmi, jatun "Asamblea" nisqa, ancha sut'inta qowanchis kay "Declaración Universal de los Derechos Humanos" qelqapi, llapa llaqtakuna ch'ullallata yuyaykuspa runaq allinkayninta tajyachinanpaq, chay allin kamachikuy simikuna junt 'akunanpaq.
00-06	Kaqllataqmi reqsichina, yachachina qhipa wiñay runamanpas, waynakunamanpas ashwan allinta paykuna junt'achinanpaq ashwan allin yuyaytawanpas yapanankupaq, kikin "nacion-ninkupipas", pachantin nacionkunapipas.
00-07	JATUN RIMANAKUYPI CHANINCHASQA KAMACHIKUY
01-00	JUQ ÑIQEN (1)
01-01	Llapa runan kay pachapi paqarin qispisqa, "libre" flisqa, allin kausaypi, chaninchasqa kausaypi kananpaq, yuyayniyoq, yachayniyoq runa kasqanman jina. Llapa runamasinwantaqmi wauqentin jina munanakunan.
02-00	ISHKAY ÑIQEN (2)
02-01	Kay jatun kamachikuyqa llapa runapaqmi, qasilla qespisqalla purikunanpaq, pipas kachun, mistipas, runapas, yuraqpas yanapas; warmipas, qharipas. Taytachakuna mamachakunapi i-ñiqpas. Pacha Mama yupaychaqpas; imayna yuyaykuq runapas. May llaqtayoqpas; wajchapas, qhapaqpas.
03-00	KINSA ÑIQEN (3)
03-01	Llapan runan kausaypachapaq kamasqa, mana piqpa rimapayasqantaqmi purikunan kausanan p 'unchaykama.
04-00	TAWA ÑIQEN (4)
04-01	Manan pipas runaq chitasqan kamachipi puriyta atinchu. Runawan yanachikuyqa unayñan tukukapun, kay "Declaración de los Derechos Humanostaq" chaninchan chay tukukuyninta, wiñaypaq. Yanachikuyqa qonqaypachaman churasqan kapun.
05-00	PHISQA ÑIQEN (5)
05-01	Manan pipas, peqpapas, k'irisqan, muchuchisqan, k'umuchisqan kananchu.
06-00	SOQTA ÑIQEN (6)
06-01	Llapa runaq "derechunmi", maypipas runa jina "respetasqa" kananpaq.
07-00	QANCHIS ÑIQEN (7)
07-01	Leypaq-qa, jatun kamachikuypaq-qa llapa runapas kikillan, "igual-lían kanchis; mana pitapas ajílaspa, mana pitapas t'aqarparispa.
08-00	PUSAQ ÑIQEN (8)
08-01	Llapa runapaq churasqan sapanka "nacionpi", jatun llaqtapi "tribunalkuna", "leywan", "amparakunanpaq" piña mayña runakayninta sarunchayta munaqtinpas.
09-00	ISQON ÑIQEN (9)
09-01	Manan pipas yanqa qasinmantaqa muchuy wasipi wesq'asqapas, Ilaqtanmanta qarqosqapas kayta atinchu.
10-00	CHUNKA ÑIQEN (10)
10-01	Llapa runapas, imamantaña juchachasqa kaspapas, "tribunalpa" uyarisqanmi kanan; chayman jina juchayoq kasqanpas, mana juchayoq kasqanpaq yachakunanpaq.
11-00	CHUNKA JUQNIYOQ ÑIQEN (11)
11-00	Jayk'an juchachasqa runaq-qa, kanmi "derechon" manan juchayoqcho kani, ninanpaq "justicia" taripanankama.
11-01	Allin ch'uyaman "justicia" chayaspa, ima muchuymanpas churana, juchanman jina.
12-00	CHUNKA ISHKAYNIYOQ ÑIQEN (12)
12-01	Manan piqpa imayna kausakusqantapas tapupakuyta atinchischo. Manataqmi imaynatas warminwan, wawankunawan tiyan chaytapas yachayta munananchischu. Manan runaq allin kasqanta, "honranta", allin runa kasqanta panpachanachu; Chaykuna ruwasqamantaqa "leymi" muchuchinan. Chay tukuywanpis, manan pipas qelqa apachisqanchista, "carta" chaskinanchista pakallapi, mana yachasqanchis "liita" yachayta atinchu. Llapa runan chay mana chaninmanta "libre" l:anan, "leypa" "protejisqan
13-00	CHUNKA KINSAYOQ ÑIQEN (13)
13-00	Llapa runan may munasqantapas purikunan, tiyananpaqtaq may llaqtatapas, may cheqastapas aj llakunan.
13-01	"Nacion-ninmanta" lloqsispapas kaqmi kutiykampuyta atillantaq.
14-00	CHUNKA TAWAYOQ ÑIQEN (14)
14-00	Cheqnisqaña, qatiykachasqaña kaspapas, piqpa wasinpipas, maypipas pakuykukuyta atinmi, may "nacionpipas", may llaqtapipas, may cheqaspipas.
14-01	Manan "común" juchayuqman aypanchu kay "derecho".
15-00	CHUNKA PHISQAYOQ ÑIQEN (15)
15-00	Llapa runakunaq "derechunmí juj nacionalidadniyoq" kay. Llapataqmi mayqen naciontapas tiyananpaq ajllakuyta atin. Chaymantaqa manan pipas jark'akuyta atinchu.
15-01	Manataqmi pipas, maypas "nacionalidadninchista" qechuyta atinchu, nitaq juj "nacionalidad" aj llakunanchista tatichiyta atinchu.
16-00	CHUNKA SOQTAYOQ ÑIQEN (16)
16-00	Qharipas warmipas junt'asqa watanman chayaspaqa "casarakuyta" atin piwanpas maywanpas, mana piqpa jark'akusqan, yuraqwanña yanawanña, paykuna pura tinkuku, munanakunku chayqa.
16-01	Warmi qhari wawakunantin tiyaspataqmi allin rimanakuypi tiyananku, kikin "derechuyoq" juj sonqolla tiyaspapis, t'aqanakuspapis.
16-02	[Missing?]
17-00	CHUNKA QANCHISNIYOQ ÑIQEN (17)
17-00	Llapa runaqmi kanan jallp'apas, wasipas, tukuy ima kausaypas, pay sapanpa, llank'ananpaqpas, wakipi llank'ananpaqpas.
17-01	Manan piqpa kaqninpas qechuy atikunchu.
18-00	CHUNKA PUSAQNIYOQ ÑIQEN (18)
18-01	Llapa runan yuyaykukuyta, jamut'ayta atin yuyaychakusqanman jina. Manan pipas chaytaqa jark'ayta atinmanchu. Kaqtaqmi ima "religionpipas" kausayta atin tukuy runaq yachashasqan.
19-00	CHUNKA ISQONNIYOQ ÑIQEN (19)
19-01	Tukuy runapas umanpi yuyaykusqantan rimarinan manapitapas manchakuspa. Yuyaykusqantataqmi pachantin runaman, teqsi muyuntin, lluy "munduntin" runaman riqsichinan yachananpaq. Sut'in rimaqtan pacha kamaq taytachapas yanapan. Chay yuyaykukusqanmantaqa, ruwasqanmantaqa manan pipas cheqniytapas, juchachaytapas atinchu.
20-00	ISKAYCHUNKA ÑIQEN (20)
20-00	Pi runapas, may runapas juñunakuytaqa atinmi. Runa juñunakuyqa kananpunin; allin rimanakuypaq, sumaq rimanakuypaq-qa.
20-01	Ichaqa, manataqmi pipas tanqasqaqa, mat'isqaqa, ima juñunakuymanpas jaykunanchu.
21-00	ISKAYCHUNKA JUJNIYOQ ÑIQEN (21)
21-00	Llapa runapas atinmi llaqtanta "nacionninta" kamachiyta; chaypaq ajílasqa, chaypaq churasqa kaspaqa; pay kikinpas, mashki mink'anta churaspapas.
21-01	Kushkallan llapa runapas kanchis, llapataqmi kamachikuq kaytapas atinchi Llaqtaq munayninmi kamachikuqtaqa jurqon, llapa runamante jujta ajílaspa sumaq jatun rimanakuypi, "eleccionispí ajílaspa.
21-02	[Missing?]
22-00	ISHKAY CHUNKA ISHKAYNIYOQ ÑIQEN (22)
22-01	Llapa runan, imaynan kausasqanman jina llaqtanwan, "nacionninwan" qochikunan mikhuytapas, tukuy ima kausaytapas; yachaytawanpas, yachayninman yapananpaq, chaywantaq jananchasqa runa kananpaq.
23-00	ISHKAYCHUNKA KINSAYOQ ÑIQEN (23)
23-00	Llapa runapaq kamasqan llank'ayqa, sapanka runataqmi ajllakunan iman munasqan llank'ayta.
23-01	Tukuymi llank'ananpaq yanapasqa kanan. Yanqa, qasi kaytaqa mana runa atinchu. Runaqa chanintan, llank'asqanman jina chaskinan "salariontaqa".
23-02	Llapa runan chaskinan kallpanpa chanintaqa, paypa kausananpaq jina; warminpa, wawankunaq kausananpaq jina. Manachaytaqmi llaqta runa yanapanan.
23-03	Tukuy runan "sindicato" "organizayta" atin; jinallataq "sindicalizado" "derechun" "respetachinanpaq".
24-00	ISHKAYCHUNKA TAWAYOQ ÑIQEN (24)
24-01	Llapa llank'aq runapaqmi samana p'unchayqa churasqa. Kikillantaqmi, kaqllataqmi "vacaciones" ñisqa, sapa wata aslíapas juj killa samayniyoq kanan mana llankaspa "pagasqa".
25-00	ISHKAYCHUNKA PHISQAYOQ ÑIQEN (25)
