00-00	Edeklarasau ya molumwenku ya Edireito sa Mutthu
00-01	Okhala wira osaamiha n’edignidade ya kunla pinatamu n’editeito sawe soolikana ni sakhwawe eri variyari wa eliberdade, wa esaria ni murettele mulumwenkuni;
00-02	Okhala wira ohisuwela n’ohisamiha edireito sa mutthu sinniiriha itthu sonanara n’ekiiso ya olumwenku onkhala awe pinatamu moota ontthuna awe, ehihasiwaka ni mutthu mukhwawe walaa ni osikhini, pihimmwe okhala etthu yulupale enlompwawe mutthu;
00-03	Okhala wi itthu yulupale okhaviherya edireito sa mutthu variyari v’regime ya edireito, ohitthyawele ekhotto wi akhume opuro onihosiwawe;
00-04	Okhala wi v’alupale okhaviherya makhalelo amurettele ni ilapo sikina;
00-05	Okhala wi Mupapheloni Ipovo sa Nações Unidas Sihimmwe wiwelela edireito sa mutthu, edignidade ni evalor ya pinatamu. Epaphelo yela en’himya edireito sikhaleke soolikala alopwana n’athiyana ni alipiheraka okhavihera makhalelo oorera, variyari v’eliberdade s’elapo soothene;
00-06	Okhala wi ilapo soothene sikhanle membro sa Nações Unidas sohiwanana olalea, sikhaviheranaka ni Nações Unidas, ottitthimiha vinjene sa edireito ya mutthu n’eliberdade sawe;
00-07	Okhala wi moota onsuwelehu edireito n’eliberdade iya etthu yuplupale wira naakhule saana epaphelo yasinanrehu;
00-08	Assembleia Geral
00-09	Assembleia Geral enalalea ephaphelo ela sa edireto ya mutthu, wi t’etthu yorera ottharerela wakunla elapo, n’atthu othene akhalanne varohoni itthu ya sihiimwe mpapheloni mu, asomihe ni apheele winnuwiha mattitthimihelo sa edireito ni eliberdade iya, ni alalee okhuma mulaponiwaya, mpaka ilapo sokhopela, wi sisuweliye ni sittharereliye wakunla elapo.
01-00	ARTIKU 1
01-01	Atthu othene aniyaria oolikana ni owilamula moota ontthunaya okhala, variyari v’edignidade ni edireito. Akhalanne esaria ni otthokelela, ahaana akhalasaka othene saya vamurettele.
02-00	ARTIKU 2
02-01	Atthu othene poti othyawelela edireito n’eliberdade silempwe mupapheloni mu ahithanliaka yakhala wira atthu ooripa walaa oottela, nnakhala muthiyana walaa mulopwana, opuro onkhala’we, oninlompa’we muluku, epoliitika entthara’we, muthajiri walaa musikhini.
02-02	Nenna vaa, khavo onrowa othanliwa mwaha wa epoliitika entthara’we, elapo awe, walaa nttetthe oyariwa’we, okhalana ni wihikhalana elapo yupum’we omantariwa n’atthu ookhopela.
03-00	ARTIKU 3
03-01	Wakunla pinatamu ohaana edireito ya ekumi, eliberdade ni wakiha erutthu awe.
04-00	ARTIKU 4
04-01	Khavo onrowa okhalihiwa epottha, makhalelo ya epottha, ni moota owakaliha epottha atthu enakhottihiya.
05-00	ARTIKU 5
05-01	Khavo onrowa ohoosiwa, nnakhala okhalihiwa moota wonanara.
06-00	ARTIKU 6
06-01	Wakunla mutthu ohaana edireito yosaamihia makhalelo awe wakunla opuro onkhala’we.
07-00	ARTIKU 7
07-01	Atthu othene t’olikana variyari va elei, n’atthu othene attitthimihiweke n’elei. Atthu othene ahaana akhaviheriwaka, mwaha wale ahin’tthuna ottitthimiha edeklarasau ila.
08-00	ARTIKU 8
08-01	Wakunla mutthu ohaana edireito yotthyawelela elei ya elapo enkhalawe wi akihiwe yakhala wira edireito sawe silempwe mwa elei yelapo awe kisettin’he saana.
09-00	ARTIKU 9
09-01	Khavo onrowa otthukiwa ni womoliwa mulaponimwawe, yihiwen’he saana etthu etthenka’we.
10-00	ARTIKU 10
10-01	Wakunla mutthu ohaana edireito ntoko atthu akina, wi etthu etthenka’we enalamuliwa mwa otribunal, moota ansuwelaya atthu othene, van’himwaya edever ni edireito sawe, ni mulattu otthukeliwawe.
11-00	ARTIKU 11
11-00	Wakunla mutthu onihim’mwa wi oottheka, onkhalihiya wira khivo yin’ryawe mpaka anamulamula mulattu woneshesha etthu yin’ryawe, ehilialaka okarantiri eproseso ya edefesa sawe.
11-01	Khavo onrowa otthukeliwa etthu ehikhalale mulattu mwa elapo enkhala’we nnakhala ilapo sa okhopela. Nenna va, khavo onrowa winnuwiheriwa epena’we khuvikana ele yahimmwa okathi otthenk’awe.
12-00	ARTIKU 12
12-01	Khavo onrowa ovehiwa okomantheene owan’nhawe, n’amusi awe, otthukuliwa iwarakha sawe, nnakhala wihisamihiya moota onkhala’we. Elei yohaana omwakiha mutthu onrowa ovehiwa moota yola.
13-00	ARTIKU 13
13-00	Wakunla mutthu ohaana edireito yothanla opuro onphela’we okhala, n’hina mwa Estado eri awe.
13-01	Wakunla mutthu ohaana edireito yothama elapo eri awe, poti okhala elapo awe, ni edireito yotthikela mulaponi mwawe.
14-00	ARTIKU 14
14-00	Wakunla mutthu onoomoliwa n’autoridade ohaana edireito yoveka ni okhala ilapo sa okhopela.
14-01	Edireito ela kahi ya’tthu yinre etthu yonanara variyari v’elei yelapo enkhalaya, nnakhala mwamakhalelo a Nações Unidas.
15-00	ARTIKU 15
15-00	Wakunla mutthu ohaana edireito yokhalana enacionalidade.
15-01	Khavo mutthu onrowa okhottihiwa enacionalidade awe ehinre etthu yonanara, nnakhala oveka enacionalidade ekina.
16-00	ARTIKU 16
16-00	Mulopwana ni muthiyana yennuwakaru ahaana edireto yothelana, akhale ottela ni nooriipa, mutthu a mulaponi ni a elapo yokhopela, walaa akhalee s’egreja soovirikana. Okhuma okatthi onthelanaya, mpaka vammwalanaya, edireito saya ti soolikana.
16-01	Atthu anthelana, ooweeli ahaana atthunaka wi athelane.
16-02	Etthoko t’etthu yulupale mulaponi, nenna vaa, yohaana edireito y’eproteção ni okhaviheriwa n’Estado.
17-00	ARTIKU 17
17-00	Wakunla mutthu mekhawe, walaa n’akhwawe ohaana edireito yokhalana etthu awe.
17-01	Khavo onrowa okhottihiwa etthu yawawe.
18-00	ARTIKU 18
18-01	Wakunla mutthu ohaana edireito yotthokelela etthu entthuna awe, ya makhalelo ni moota oninlopawe muluku. Edireito ela en’himya wira mutthu ula poti ohiya egreja eri awe khukela entthuna awe, nnakhala moota ontthokekelawe, mekhawe walaa onari n’akhwawe, asomihaka walaa amulonpaka muluku.
19-00	ARTIKU 19
19-01	Wakunla mutthu ohaana edireito y’ohimya enimmwa m’muru mwawe, ehopipihiwaka ekiiso sa itthu sin’himyawe, ni opheela wakhela ni olalea nuulumo nawe, mulaponimwawe ni ilapo sokhopela.
20-00	ARTIKU 20
20-00	Wakunla mutthu ohaana edireito yothukumana vamurettele n’atthu akhwawe .
20-01	Khavo onkelihiya va muthukumano ehitthunale mwanene.
21-00	ARTIKU 21
21-00	Wakunla mutthu ohaana edireito yon’holela nakoso okhanle a publico yelapo awe, waala onthanla mutthu onrowa omuholela onpheela wi athanliwe.
21-01	Wakunla mutthu ohaana edireito, ni moota wolikana n’atthu akina, itthu siniria s’atthu othene a mulaponi mwawe.
21-02	Evontade ya epovo t’enilamula moota oniholela elapo atthu athanliwe. Yaala aniholela, athanliweke va mpantta wamuthanlo, onrowa atthu othene arina edireito yothanla, khiyathanla moota ontthunaya yihoniheraka mutthu oninthanlaya.
22-00	ARTIKU 22
22-01	Wakunla mutthu okhala wi membro a esociedade, ohaana edireito yokhaviheriwa n’estado, n’oveka edireito sawe silempwe muleini siniholela elapo awe ni elapo sokhopela, nenna va, itthu iya siveka awe sikhaleke simphwanhanea mulaponi mwawe.
23-00	ARTIKU 23
23-00	Wakunla mutthu ohaana edireito yophwanha muteko, n’othanla muteko ola moota wolikana n’akhwawe, ni okhaviheriwa ahikhalane muteko.
23-01	Atthu othene ahaana edireito yowakhela moota onakhela akhwaya anivarana aya muteko mmosa.
