00-00	UNIVERZALNA DEKLARACIJA O LJUDSKIM PRAVIMA
00-01	Pošto je priznavanje urođenog dostojanstva i jednakih i neotuđivih prava svih članova ljudske porodice temelj slobode, pravde i mira u svijetu;
00-02	Pošto je nepoštovanje i preziranje ljudskih prava vodilo varvarskim postupcima, koji su vrijeđali savjest čovječanstva, i pošto je stvaranje svijeta u kojem će ljudska bića uživati slobodu govora i uvjerenja i slobodu od straha i želje proglašeno kao najviša težnja;
00-03	Pošto je od krucijalne važnosti da ljudska prava budu zaštićena pravnim poretkom kako čovjek ne bi bio primoran da kao krajnjem izlazu pribjegne pobuni protiv tiranije i ugnjetavanja;
00-04	Pošto je bitno da se podstiče razvoj prijateljskih odnosa među nacijama;
00-05	Pošto su narodi Ujedinjenih nacija u Povelji ponovo proglasili svoju vjeru u osnovna ljudska prava, dostojanstvo i vrijednost čovjekove ličnosti i ravnopravnost muškaraca i žena i pošto su odlučili da podstiču društveni napredak i poboljšaju uslove života u većoj slobodi;
00-06	Pošto su se države članice obavezale da u saradnji s Ujedinjenim nacijama obezbijede opšte poštovanje i primjenu ljudskih prava i osnovnih sloboda;
00-07	Pošto je opšte razumijevanje ovih prava i sloboda od najveće važnosti za puno ostvarenje ove obaveze;
00-08	Generalna Skupština proglašava
00-09	Univerzalnu deklaraciju o ljudskim pravima kao zajednički standard koji treba da postignu svi narodi i sve nacije da bi svaki pojedinac i svaki organ društva, imajući ovu Deklaraciju stalno na umu, težio da učenjem i vaspitavanjem doprinese poštovanju ovih prava i sloboda i da progresivnim unutrašnjim i međunarodnim mjerama obezbijedi njihovo opšte i stvarno priznanje i poštovanje kako među narodima samih država članica, tako i među narodima onih teritorija koje su pod njihovom upravom.
01-00	Član 1.
01-01	Sva ljudska bića rađaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i savješću i jedni prema drugima treba da postupaju u duhu bratstva.
02-00	Član 2.
02-01	Svakom pripadaju sva prava i slobode proglašene u ovoj Deklaraciji bez ikakvih razlika u pogledu rase, boje, pola, jezika, vjeroispovijesti, političkog ili drugog mišljenja, nacionalnog ili društvenog porijekla, imovine, rođenja ili drugih okolnosti.
02-02	Dalje, neće se praviti nikakva razlika na osnovu političkog, pravnog ili međunarodnog statusa zemlje ili teritorije kojoj neko lice pripada, bilo da je ona nezavisna, pod starateljstvom, nesamoupravna, ili da joj je suverenost na ma koji drugi način ograničena.
03-00	Član 3.
03-01	Svako ima pravo na život, slobodu i bezbjednost ličnosti.
04-00	Član 4.
