00-00	ОПШТА ДЕКЛАРАЦИЈА О ПРАВИМА ЧОВЈЕКА
00-01	БУДУЂИ да су признавање урођеног достојанства и једнаких и неотуђивих права свих чланова људске обитељи темељ слободе, правде и мира у свијету,
00-02	БУДУЂИ да су непоштивање и презирање права човјека имали за посљедицу акте, који су грубо вријеђали савјест човјечанства, и будуђи да је стварање свијета у којем ђе људска биђа уживати слободу говора и вјеровања и слободу од страха и несташице било проглашено као највиша тежња обичних људи,
00-03	БУДУЂИ да је битно да права човјека буду заштиђена владавином права, да човјек не буде приморан да као посљедњем средству прибјегне побуни против тираније и угњетавања,
00-04	БУДУЂИ да је битно да се унапређује развој пријатељских односа између народа,
00-05	БУДУЂИ да су народи Уједињених нација поново потврдили у Повељи своју вјеру у основна права човјека, у достојанство и вриједност човјекове особе и у равноправност мушкараца и жена и пошто су одлучили да унапређују друштвени напредак и бољи животни стандард у широј слободи,
00-06	БУДУЂИ да су се Државе Чланице обавезале да, у сурадњи с Уједињеним нацијама, постигну унапређење општег поштивања човјекових права и основних слобода и њихово одржавање,
00-07	БУДУЂИ да је заједничко разумијевање тих права и слобода од највеђе важности за пуно остварење те обавезе,
00-08	ГЕНЕРАЛНА СКУПШТИНА ПРОГЛАШАВА
00-09	ОВУ ОПШТУ ДЕКЛАРАЦИЈУ О ПРАВИМА ЧОВЈЕКА као заједничко мјерило постизања за све народе и све државе ради тога да би сваки орган друштва, имајуђи Декларацију стално на уму, тежили да учењем и одгојем допринесу поштивању ових права и слобода и да би прогресивним националним и међународним мјерама осигурали њихово опше и дјелотворно признавање и одржавање, како међу народима самих Држава Чланица, тако и међу народима оних подручја која су под њиховом ингеренцијом.
01-00	Члан 1.
01-01	Сва људска биђа рађају се слободна и једнака у достојанству и правима. Она су обдарена разумом и свијешђу и треба да једно према другоме поступају у духу братства.
02-00	Члан 2.
02-01	Свакоме су доступна сва права и слободе наведене у овој Декларацији без разлике било које врсте, као што су раса, боја, спол, језик, вјера, политичко или друго мишљење, народоносно или друштвено поријекло, имовина, рођење или други правни положај.
