00-00	Deklarasion Universal de Derechos Umanos
00-01	Konsiderando ke la libertad, la djustisia i la paz en el mundo tienen por baza el rekonosimiento de la dinyidad propia esensial i de los derechos iguales i no violavles de todos los miembros de la famiya umana,
00-02	Konsiderando ke el deskonosimiento i el despresio de los derechos umanos tienen kavzado aktos de barbaridad ke solevantan la konsensia de la umanidad; i ke fue proklamado komo la aspirasion mas alta del ombre, la yegada de un mundo en el kual los umanos, liberados del espanto i de la mizeria, gozen de la libertad de la palavra i de la libertad de kreensias,
00-03	Konsiderando ke es esensial ke los derechos umanos sean protejados por un rejimen de derecho, para ke el ombre no se veyga ovligado, komo ultimo remedio, de revoltarse kontra la tirania i la opresion,
00-04	Konsiderando tambien ke es esensial de favorizar la formasion de relasiones de amistad entre las nasiones,
00-05	Konsiderando ke los puevlos de las Nasiones Unidas afirmaron de muevo en la Karta sus fey en los derechos fundamentales del ombre, en la dinyidad i la valor de la persona umana i en la igualdad de derechos de ombres i mujeres; i se deklararon dechididos a favorizar el progreso sosial i a elevar el nivel de vida kon un konsepto mas ancho de la libertad,
00-06	Konsiderando ke los Estados Miembros prometieron de asegurar, en kooperasion kon la Organizasion de las Nasiones Unidas, el respekto universal i efektivo a los derechos i libertades fundamentales del ombre, i
00-07	Konsiderando ke una konsepsion komun de estos derechos i libertades es de la mas grande importansia para kumplir kompletamente la dicha prometa,
00-08	La Asamblea Jeneral
00-09	Proklama la prezente Deklarasion Universal de Derechos Umanos komo ideal komun ke deven esforsarsen de alkansar todos los puevlos i todas las nasiones para ke kada persona i kada asosiasion, inspirandosen siempre de esta deklarasion, perkuren, kon la ensenyansa i la edukasion, a espandir el respekto a estos derechos i libertades, i aseguren, por mezuras progresivas nasionales i internasionales, su rekonosimiento i su aplikasion universal i efektiva, tanto entre los puevlos de los Estados Miembros komo entre los de los territorios ke estan debasho de sus juridiksion.
01-00	Artikolo 1
01-01	Todos los umanos nasen libres i iguales en dinyidad i derechos i, komo estan ekipados de razon i konsensia, deven komportarsen kon ermandad los unos kon los otros.
02-00	Artikolo 2
02-01	Kada persona tiene todos los derechos i libertades proklamados en esta Deklarasion sin dinguna diferensia de rasa, kolor, sekso, lingua, relijion, opinion politika, orijin nasional o sosial, situasion ekonomika, nasimiento o kualkiera otra kondision.
02-02	Indemas, no se azera dinguna diferensia bazada en la kondision politika, juridika o internasional del paiz o territorio al kual apartiene una persona, ke sea un paiz independente, o un territorio basho administrasion legal, no otonomo, o sometido a kualkiera otra limitasion de soverania.
03-00	Artikolo 3
03-01	Kada persona tiene derecho a la vida, a la libertad i a la seguridad de su persona.
04-00	Artikolo 4
04-01	Dinguno estara sometido a esklavaje ni a servidumbre; el esklavaje i el komersio de esklavos estan defendidos en todas sus formas.
05-00	Artikolo 5
05-01	Dinguno sera sometido a torturas ni a penas o tratamientos krueles, inumanos o degradantes.
06-00	Artikolo 6
06-01	Kada uno tiene derecho, en todas partes, al rekonosimiento de su personalidad frente a la ley.
07-00	Artikolo 7
07-01	Todos son iguales frente a la ley i tienen derecho a la proteksion igual de la ley. Todos tienen derecho a una proteksion igual kontra toda diskriminasion en violasion de esta Deklarasion i kontra toda provokasion a tala diskriminasion.
08-00	Artikolo 8
