00-00	AKÜJIA SÜKUA'IPA SÜCHIKI SÜJUTU WAYUU SA'U MMAKAT
00-01	JÜLÜJÜINJATÜ A'IN taashi, kasalajana, kamaneejirawaa, sa'u tüü mmakat kayuupalasü sünainje kajütüin atuma tüü akua'ipa wanawakat napüla napüshua naa wayuukanairua.
00-02	JÜLÜJÜINJATÜ A'IN aka meraajüin süma mojutüin atuma tüü pütchi aapüshika süpüla süjutu wayuu, watta saali tüü kasa mojüsü a'innaka sa'upüna na'in wayuu; aka shia'in e'itaanüin ma'aka tüü kasa müliakana ma'i e'iree naa wayuukana, süpüla nasawatüin wanee mma eere akatatnüin no'ulia tüü momoluu jeema mülia, eere taashi nakua'ipa süpüla yootoo jee müsüya süpüla anouja sünain kasa nano'ujekat anain;
00-03	JÜLÜJÜINJATÜ A'IN a'inmajünüinjatü ma'i palaajana süchikua sujutu wayuu, sülu'u wane sükua'ipa eere neimalüinjatüin na'in sülia ashüküjawaa sünain pasalawaa sa'u nakua'ipa;
00-04	JÜLÜJÜINJATÜ A'IN pa'inwaajiraa'injanain süchiirua aleewaa napüshüa naa sülaülayuukana alu'uwatawa sa'u tüü mmakat;
00-05	JÜLÜJÜINJATÜ A'IN naa kottiraakana sünain tüü Nasiones Uniiras münaka no'unirüin na'in süchirua tüü achiki süpülajatka sujutu wayuu sülu'u wanawain nakua'ipa jieyuu nama tooloyuu; suma nayataajirain shiire anaata sümüliala wayuu sülu'u tüü anakat akua'ipa sünain taashi;
00-06	JÜLÜJÜINJATÜ A'IN naa sülaulayuukana mma sunainkana tüüaapüshi nanüiki süpüla ayaataajirawa nama naa sülu'ukana tüü Orkaniisasion te las Nasiones Uniiras münaka, süpüla kajütüinjatüin atüma, tüü akua'ipa acheejanaka napuleerua naa wayuukanairua;
00-07	JÜLÜJÜINJATÜ A'IN aapanüinjatü akua'ipa wanawa nekiiru'umüin napüshua pütchika tüü süpüla anainjatüin saañajia napüla wayuu, süpüshua tüü pütchi alu'uwataanaka anain;
00-08	KOTTIRAWAA MÜLO'USÜKA
00-09	SÜKÜJA'IN
00-10	TÜÜWAALAI SÜCHIKIMAAJATÜKA SÜJUTU WAYUU SA'U TÜÜ MMAKAT, isakat anain wa'in acheküsü kapüla'in na'in naa sulaulayuuka mma otta müsüya natuma naa wayuukana jee tüü laulapiakat süpüla na'inrüin waneepia shia süma nashatüinjatüin sukua'ipa sünain e'ikaa süchirua kajutüinjatüin atuma süpüshua sülu'uwataka achiirua pütchikat tüü.
01-00	SHI'IPAJANA WANE (1)
