00-00	OJE KA K’ĘLA KƆDAH NƆCĘ LĘ AA
00-01	Higbęgͻ ma, oje ͻda ni w’ ͻkpͻci męml oj’ojinlę kͻdah nͻcę lę abͻ keinu lipu kipͻnu unu w’okwaję ko labͻ lei nu męml’ępͻ ͻkpakpa aa, tik ͻgbͻtu lipu kęcę nya duu ma, higbęgͻ ma, akwula n męml’ okpo dͻdah gͻcę iby’ͻda ni wei kunu n męmy’ olukpafyu ikpo waję, ęgę ni labͻ b’ocaięla jͻcę kipu k’ͻtu ͻcę baję. Ohigbacę ni la lęcę nya ki labahi kolabͻ lei wa ipu gͻkͻ okęla-uwa, męml’okpohilice męml’oђmataję hukpo oya ta ti k’oyͻda tei kabͻ nęw’acę idͻka ђwule, higb’ęgͻ ma ͻcęgba nęnęhi kokwͻcę baję męml’o yͻcę tͻha kͻma ko yͻ. Ɔ wei gunu kojęgͻbu koyͻ ip’ͻinę oya męml’ͻmpa kunu. hibi kͻha nę, United Nations lohili ni tu ohibi k’ͻgbͻtu ko yͻ lęi aję duu je taję fyę ikwęi ͻdah nͻcę lę aa, hibi ko jęgͻbu, męml’ojima tig oyei ͻlam k’ͻcę go yͻ ipu olabͻ lei nu. Igwu igwu kacę lęlęwa cę ko bͻha yukͻlͻ męml’United Nations ohigb ojęgͻbu kͻdah ab’ͻcę ti k’aђ leiђ ma kͻcę ni wͻda agbanjala.
00-02	Baba nya, higbęgͻ ma, igwu kacę lęb General Assembly, kͻdah ni kl’abͻ kͻcę nya kl’ęcę pee ohigb’ͻcę duu nę kͻ je ͻda ni wikwęi kͻdah ni yip’abͻ ͻcę duu ip’ęcę nya ma, ti gęgę ni jiko oby’ͻ yukͻlͻ lęi kaję ęikaję. Higbͻ ma ͻwuђkpę kͻcę duu lęi kaję duu gͻ bi by’ęla kͻdah kabͻ gͻcę nę ip’ͻtu gunu, ęla nya hͻi kͻ yei ip’ͻtu ͻcę dę nębͻ ki yͻ męml’ogbͻtu ip’ęcę nę ma.
01-00	OKA 1
01-01	Ęgę ni modudu acę kęcę nya bęcę ęhehi aa ,hibi ęgͻ ma acę duu jonjilę ipu kocęgba nͻcę cęgba męml’ojonjilę ipu ͻdah ni yabͻ ͻcę nya. Odudu acę kwu ђwule ml’ohili otu męml’ocai kęla jͻcę ͻha ni yipu ͻtu ͻcę aa, higbͻ ma ͻcę higbo yͻda męml’ ͻmpa gunu lę bͻinę nu ma.
02-00	OKA 2
02-01	Odudu acę ciko wei ko lͻdah k’abͻ ei wa męml’olabͻ lei wa ipu ko jęla gͻdah kͻcę aa kla klęcę, g’okͻ ęyęyi lę b’ędͻ gacę ma , ina gͻkp’iye kͻcę, ͻcęnya aman k’ͻcęnyilͻ, ichi ichi oka, ogb’Owoico ęgba aman utu utu kacę, ębę ni m’ͻcę ta kwęę ͻda ęgę nya duu nę kͻ ma ko yͻ.
02-02	ͻha kunu, okͻ ęyęyi duu kͻ yͻ ikwęi abͻ nikpei ͻcę wa kwęę olufyu męml’ ojęgͻbu kęi aję nͻcę ђma aa, gͻcokwu węi aję ni labͻ lei wa, ni kpͻtu ce wa, ęiaję ni labͻ lei wa n, kwęę ipu gͻda ęyęyi ęgę nya.
03-00	OKA 3
03-01	Ododu acę lͻdah ko yei ęgę duu, męml’oђmat’aję h’o bl’baję ta męml’ogbikwęi ͻcę dodu ęgę duu jojinlę.
04-00	OKA4
04-01	Ododu acę cika yipu ͻfyę oya n, aw’ͻfyę męml’ͻyi gͻfyę ota wei ko yͻ ip’acę kęcę nya n, ęgę duu nͻ cokwu lę.
05-00	OKA5
05-01	Ͻlᴐhi ki ml’ͻcę duu ta j’owe aman bḛ k’ogbobaję, aman bḛ k’alachi, aman bḛ k’ocai kęla lͻcę fy’ḛgḛ nęla ͻma lę n.
06-00	OKA6
06-01	Odudu acę wei ko jͻkwͻkwęi gḛlḛ nya kaini ęgę duu nͻcę yͻ, ͻyͻ ip’abͻ k’ͻdah ni yᴐ gbaję ęgę nͻ yͻ aa.
07-00	OKA7
07-01	Odudu acę j’onjilę ikpei k’ͻdah,ḛgᴐ ma nͻdah ciko gb’ikwęi ͻcę duu nę j ‘onjilę aa. Ɔdah ciko wikwęi ͻcę ohigb’ͻda nᴐcę ya ni wei kᴐda nͻdah ka n aman ko y’ͻda ni yᴐ bu tęla k’ͻdah, aman bḛ k’oyᴐda bei kͻdah ni yab’ͻcę nya .
08-00	OKA8
08-01	Ohigb’iko nͻcę duu ibḛi k’ͻdah ni yip’abͻ-nu nͻdah kęi ajḛ-nu je ta lᴐ aa , aw’okępͻ k’ͻdah cika cai kḛla jᴐcḛ ḛgᴐ ma.
09-00	OKA9
