00-00	DICHIARAZIOUN UNIVERSELA DI DIRET UMEN
00-01	Considerèd che u riconoscimènt dla dignità cla riguèrda tot i mémbri dla famèia umèna e di su dirét, cumpagn e irrinunciabli, e costitués e' fundamènt dla libertà, dla giustizia e dla pèsa te mand;
00-02	Considerèd che la negazioun e el disprèz di dirét umèn i à port ma gist d'inciviltà che i ufènd la cuscinza dl'umanità, e che la cunquésta d'un mand duvè che al persouni al goda dla libertà at parola e at credo (foida) e dla libertà da la paura e da e' bsagn, l'è stè proclamèd cumè la piò granda aspirazioun dl'om;
00-03	Considerèd che l'è indispensabli che i dirét umèn i sia difois da lègi, se u s vò evitè che l'om u sia custrèt a ricora, cumè utma pusibilità, m'la ribelioun countra la tirania e l'opresioun;
00-04	Considerèd che l'è nicisèrii lavurè prì u svilòp ad relazioun d'amicizia tra toti al Nazioun;
00-05	Considerèd che i popli dli Nazioun Unidi ià ribadì tu Statut la su foida ti dirét umèn fondamentil, tla dignità e te valour dla persouna umèna, tl'uguaglienza di dirét dl'om e dla dona, e i à decis da lavurè prì e' prugrès suciél e prì un migliour tenour ad vita t'na libertà piò granda;
00-06	Considerèd che i Stèd dli Nazioun Unidi i s'è impegné a lutè, sla colaborazioun dli Nazioun Unidi stèsi, prì u rispèt e l'oservènza universèla di dirét umèn e dli libertà fondamentèli;
00-07	Considerèd che una concezioun unitèria at stì dirét e at stà libertà la è fondamentèla prì la completa realizazioun at tot stì impégn;
00-08	L'ASEMBLEA GENERELA
00-09	la proclama
00-10	la presènta dichiarazioun universèla di dirét umèn cumè ideél comun da cunquistè da tot i popli e da tot al Nazioun,s'u scop che ogni individui e ogni urganismi dla società, tnénd sempra presènta stà Dichiarazioun, u s'impègna a lavurè, s'l'insegnamènt e s'l'educazioun, prì u rispèt at stì dirét e at stlì libertà e ad garantin, miténd in àt iniziativi sempri piò numerousi at caratri naziunèl e internaziunèl, l'universèl e concrét riconoscimènt e rispèt, tent tra i popli di stés Stèd mémbri, quant tra quéi di teritòri che i è sotopost mla su giurisdizioun.
01-00	ARTICOLO 1 (Artécli 1)
01-01	Tot j essèri umèn i nàs lébri e cumpagn in dignità e dirét. Lou i è dutid ad rasoun e ad cuscinza e i à da operè, ognun ti cunfrunt at ch'j ilt, sa sentimint ad fratelènza.
02-00	ARTICOLO 2
02-01	Ogni persouna la à da beneficié at tot i dirét e at toti al libertà proclamid tla presènta Dichiarazioun, sènza alcuna distinzioun prì rasoun ad raza, ad culour, ad sesso, ad lèngua, ad religioun, ad idea pulética e upinioun divèrsi, ad nazionalità o suciéla, ad richèza, ad nascita o ad qualsiasi élta cundizioun.
02-02	Nisuna distinzioun la sarà stabilida tnénd count du stèd pulétich, giurédich o internaziunèl de paiois o del teritorii me quale una persouna l'aapartèn, c'u sia quest indipendènt, o c'l'èpa una aministrazioun fiducèria, o c'un sia autonomo, o c'u sia sugét ma qualsiasi tip ad limitazioun ad sovranità.
03-00	ARTICOLO 3
03-01	Ogni individuo l'à dirét ma la vita, m'la libertà e m'la sicurèza dla propia persouna.
04-00	ARTICOLO 4
04-01	Nisuna persouna la putrà èsa tnuda in stèd ad schiavitò o ad servitò; la schiavitò e la trata di s-cév al sarà pruibidi sata qualsiasi fourma.
05-00	ARTICOLO 5
05-01	Nisuna persouna la putrà èsa sotoposta m'la tortura o ma un tratamènt o punizioun crudeli, disumèni o degradènti.
06-00	ARTICOLO 6
06-01	Ogni individuo l'à dirét, at tot e' mand, m'u riconoscimènt dla su personalità giurédica.
07-00	ARTICOLO 7
07-01	Tot i è cumpagn davènti m'la lègia e i à dirét, senza discriminazioun, ma una uguèla protezioun da pèrta dla lègia. Tot i à dirét ma una uguèla protezioun countra ogni discriminazioun c'l'à sia cuntrèria m'la presènta Dichiarazioun cumè countra ogni incitamènt m'la discriminazioun stèsa.
08-00	ARTICOLO 8
08-01	Ogni persouna la à dirét ma una concréta pusibilità da fè ricours ma tribunil competint countra àt che i neghés i dirét fondamentil riconosciud ma èsa stèsa dala costituzioun o da la lègia.
09-00	ARTICOLO 9
09-01	Nisuna persouna la putrà èsa arèstèda, tnuda in prisoun o esiliéda arbitrariamènt.
10-00	ARTICOLO 10
10-01	Ogni persouna la à dirét, in pusizioun ad tutèla uguagliénza, ma una giosta e poblica udienza davènti m'un tribunèl indipendènt e imparziél, s'u scop da determinè i su dirét e i su duvir, e in piò da determinè la fundatèza ad qualsiasi acusa penèla c'la j venga rivolta.
11-00	ARTICOLO 11
