00-00	AMANSAN MPAEMUKA A ƐFA ONIPA BIARA KYƐFA HO
00-01	Esiane sɛ nidi ne biakoyɛ ne hokwan a adesamma abusua no wɔ no ne ahofadi, atɛntrenee ne asomdwoe a ewɔ wiase no nhyɛase,
00-02	Esiane sɛ obu a wommu ne animtiaa a wɔde bu onipa biara Kyɛfa no akowie atirimɔdenne ahorow mu no apusuw wiase no ahonim, ne ɔhwɛ a yɛhwɛ kwan sɛ wiase bi reba a adesamma benya ahofadi wɔ ɔkasa ne gyidi ho, na wɔabɔ dawuru sɛ osuro ne ohia jo ahofadi ne ɔmanfo botae,
00-03	Esiane sɛ nea ɛbɛyɛ na ɔmanfo remfa atuatew kwan so sɛ nea etwa to de atu atirimɔden ne nhyɛso agu, nti, ɛsɛ sɛ yɛde mmara sodi bɔ onipa biara kyɛfa ho ban,
00-04	Esiane sɛ ɛho hia sɛ yɛbɛma ayɔnkofa abɛda aman horow ntam,
00-05	Esiane sɛ nnipa a wɔwɔ Amanaman Nkabom no Mmara no mu no agye sɛ wogye onipa biara kyɛfa tom, na wogye tom sɛ onipa desani biara nya ne kyɛfa, nidi ne ɔsom a wɔsom bo; afei wogye mmarima ne mmea Kyɛfa tom, na wɔbɔ mmɔden sɛ wɔbɛma ɔmanfo atu mpɔn wɔ asetena pa mu wɔ ahofadi bebree mu,
00-06	Esiane sɛ Kuw Mma ahyɛ bɔ sɛ wɔne Amanaman Nkabom mo bɛyɛ biako de ama aman nyinaa anya obu ama onipa biara kyɛfa ne ahofadi ahorow no
00-07	Esiane sɛ Kyɛfa ne ahofadi ahorow ho hia sen biara na ama bɔhyɛ yi aba mu koraa nti,
00-08	Ɛnde, Afei,
00-09	Kuw Kɛse No
00-10	Pae mu ka
00-11	Amansan Mpaemuka a ɛfa Onipa Biara Kyɛfa ho no
00-12	Sɛ mmɔdenbɔ gyinapɛn ma nkurɔfɔ ne aman nyinaa, a yɛn botae ne sɛ nnipa nkorɛnkorɛ ne aman nyinaa bɛkae saa Mpaemuka yi bere nyinaa, na wɔnam ɔkyerɛkyerɛ ne nhomasua so akyerɛ obu ama saa kyɛfa ne ahofadi ahorow yi, na wɔde nkakrankakra ama nnipa a wɔwɔ wɔn a wɔwɔ amannɔne ate ase, agye atom, adi so pɛpɛɛpɛ wɔ nnipa a wɔwɔ Kuw Mma no ankasa man mu, ne ɔmanfo a wɔtete wɔn nsasesin mu.
01-00	Ahyɛde 1
01-01	Wɔawo adesamma nyinaa sɛ nnipa a wɔwɔ ahofadi. Wɔn nyinaa wɔ nidi ne kyɛfa koro. Wɔwɔ adwene ne ahonim, na ɛsɛ sɛ wobu wɔn ho wɔn ho sɛ anuanom.
02-00	Ahyɛde 2
02-01	Ɛsɛ sɛ obiara nya kyɛfa ne ahofadi ahorow a wɔaka ho asɛm wɔ Mpaemuka yi mu no a nnipa animhwɛ anaa nyiyim nni mu, te sɛ ebia abusua a ofi mu, ahosu, sɛ ɔyɛ ɔbea anaa ɔbarima, sɛ ɔka kasa bi anaa ɔwɔ kuw bi mu, sɛ ɔwɔ ahode, sɛ wɔwoo no ɔkwan bi so no mfa ho koraa.
02-02	Bio, wɔrenyɛ nyiyim biara esiane obi amanyɔ anaa ɔman anaa asase a obi fi so no nti. Ɛmfa ho hwee sɛ ɔman no de ne ho anaasɛ ɛbata ɔman foforo bi ho, anaa nso enni n; ankasa ho so, anaasɛ Ɔman foforo bi na edi wɔn so.
03-00	Ahyɛde 3
03-01	Obiara wɔ nkwa, ahofadi ne ne nipaban ho ahobanbɔ.
04-00	Ahyɛde 4
04-01	Wɔremfa obiara nkɔ nkoasom anaa nkoayɛ mu. Wɔabara nkoasom ne nkoatɔ ne nea ɛtete saa nyinaa.
05-00	Ahyɛde 5
05-01	Ɛnsɛ sɛ wɔde aninyanne, atirimɔden, ne nea ɛmfata sɛ wɔde yɛ nnipa anaa ayayade biara twe obiara aso.
06-00	Ahyɛde 6
06-01	Mmara mu no, onipa biara wɔ ho kwan sɛ wogye no tom sɛ onipa.
07-00	Ahyɛde 7
07-01	Nnipa nyinaa yɛ pɛ wɔ mmara anim, na ɛsɛ sɛ wɔnam mmara so bɔ obiara ho ban a nyiyim biara nni mu. Obiara wɔ banbɔ koro no ara a esiw nyiyim a ɛsɛe Mpaemuka kwan no kyɛfa no bi.
08-00	Ahyɛde 8
08-01	Obiara wɔ nea ne man asɛnnii mmara ahyehyɛ ato hɔ a wɔyɛ de pata nea obi afom no no hokwan anaa kyɛfa.
09-00	Ahyɛde 9
09-01	Wɔrenkyere obi, mfa no nto afiase anaa wɔrempam no mfi ne man mu ɔkwa are kwa.
10-00	Ahyɛde 10
10-01	Obiara wɔ hokwan sɛ asɛnnifo a wonni obiara afa a wɔnyɛ nyiyim di n'asɛm wɔ peteem sɛnea wɔyɛ onipa biara, de kyerɛ ne kyɛfa ne n'asɛde ahorow wɔ mmarato bi a wɔde tia no ho.
11-00	Ahyɛde 11
11-00	Asɛm a obi di na odi mu fɔ ma wɔtwe n'aso no wɔremfa nto onipa biara so gye sɛ wɔnam mmara so adi onii no asɛm wɔ n'akyigyinafo anim abu no fɔ ansa.
11-01	Sɛ obi yɛ bɔne bi na akyiri yi wohu sɛ anka ɛsɛ sɛ wɔtwe n'aso, nanso bere a onii yo yɛɛ saa bɔne no, na ne man anaa ne man ne aman foforo bi mmɔɔ mu nyɛɛ mmara bi a etia bɔne no a, ɛnde ɛnsɛ sɛ wɔtwe ɔdebɔneyɛfo no aso. Saa ara nso na wɔreemfa asotwe a emu yɛ duru mma bɔne bi nsen nea ɛwɔ hɔ bere a wɔyɛɛ saa bɔne no.
12-00	Ahyɛde 12
12-01	Wɔremfa nea mmara nnim biara so nhiahia obiara ho wɔ ne kokoamsɛm, n'abusua, ne fi ne ne mfɛfo ntam asɛm bi ho. Saa ara na wɔrentiatia ne nidi ne n'anuonyam so. Obiara wɔ banbɔde yi kyɛfa a mmara taa akyi.
13-00	Ahyɛde 13
13-00	Obiara wɔ kyɛfa anaa hokwan sɛ okyinkyin anaa ɔtena baabiara wɔ nea ne man ahye ano kɔka.
13-01	Obiara wɔ ne kyɛfa anaa hokwan sɛ ofi ɔman biara mu, a n'ankasa de ka ho, na ɔsan kɔ ne man mu bio.
14-00	Ahyɛde 14
14-00	Obiara wɔ kyɛfa anaa hokwan sɛ esiane amanyɛsɛm ho ɔtaa bi nti ɔkɔ ɔman foforo bi mu kɔpɛ guankɔbea.
14-01	Saa Kyɛfa anaa hokwan yi yera bere a guankɔ no nnyina amanyɛsɛm mu amanenya anaa Amanaman Nkabom gyinae so.
15-00	Ahyɛde 15
15-00	Obiara wɔ kyɛfa anaa hokwan sɛ ɔyɛ ɔmanba wɔ baabiara.
15-01	Wɔremfa biribi a ɛnnam mmara so nsiw obiara manbayɛ ho kwan. Sɛ obi pɛ sɛ ɔsakra ne manbayɛ fi baabiara nso a, wɔrensiw no kwan.
16-00	Ahyɛde 16
16-00	Sɛ mmarima anaa mmea bi du wɔn mpanyin afe so, na wɔn abusua, wɔn man anaa wɔn asɔre mu nhyehyɛe nsiw wɔn mu ni kwan a, ɛnde wɔwɔ kyɛfa anaa hokwan sɛ wɔware kyekye abusua. Wɔn nyinaa wɔ aware mu kyɛfa pɛ wɔ wɔn aware ne wɔn awaregu berem.
16-01	Okunu ne ɔyere nko ara na ɛsɛ sɛ wɔpene so ka wɔn aware bom sɛ awarefo.
16-02	Okunu ne ɔyere ne mma abusuabɔ no ne kuwyɛ abɔse fekuw biara mu, ɛsɛ sɛ fekuw anaa ɔman no bɔ saa abusuakuw yi ho ban.
17-00	Ahyɛde 17
17-00	Obiara wɔ ho kwan sɛ ɔno nko ara pɛ ahonyade anaasɛ ɔne afoforò pɛ bi.
17-01	Wɔremfa nea eenyina mmara so nnye obi ahonyade mfi ne nsam.
18-00	Ahyɛde 18
18-01	Obiara wɔ adwenem nsusuwii, ahonim ne nyamesom biara a ɔpɛ ho kyɛfa anaa ɛho kwan. Saa kyɛfa anaa hokwan yi ma obi de ne ho sɛ ɔbɛsakra ne nyamesom anaa ne gyidi, ɛma obiara de ne ho sɛ ɔhwehwɛ ankorankoro anaa ɔdodow nyamesom, anaa ɔne afoforo bom som wɔ peteem anaa kokoam, nam so yi ne nyamesom anaa gyidi adi wɔ kyerɛkyɛrɛ, nneyɛe ne ɔsom mu.
19-00	Ahyɛde 19
19-01	Obiara wɔ ne kyɛfa anaa hokwan sɛ ɔka n'adwene ne nsusuwii. Saa kyɛfa yi ma obiara kura ne nsusuwii mu a obiara nnye no asabawmu. Ɔwɔ hokwan sɛ ɔhwehwɛ anaa otie adesuade ne nsusuwii biara, na ɔno nso nam ɔkwan biara so ma afoforo te a aman ahye nsiw eyi ho kwan.
20-00	Ahyɛde 20
20-00	Obiara wɔ hokwan sɛ ɔkɔ asomdwoe nhyiam ase anaa ɔdɔm fekuw biara.
20-01	Ɛnsɛ sɛ wɔhyɛ obiara sɛ ɔnkɔdɔm fekuw bi.
21-00	Ahyɛde 21
21-00	Obiara wɔ hokwan sɛ onya kyɛfa wɔ ne man mu Aban mu, sɛ ɛyɛ tee anaa ɛnam ananmusifo so.
21-01	Obiara wɔ kyɛfa koro wɔ ne man nu ɔsom adwuma ho.
21-02	Ɔmanfo no pɛ na ɛbɛyɛ Aban no nnyinaso. Wɔnam abatow a wɔnam so paw nnipa a ɛyɛ kokoam ɔdodow adeyɛ a wɔahyehyɛ ne bere ato hɔ so na ɛbɛda ɔpɛ yi adi.
22-00	Ahyɛde 22
