00-00	[missing]
00-01	[missing]
01-00	Эльилльэ истачийаа
01-01	Көдэҥ тэн - ньидитэ бандьэ параwааньэрэҥ тудэ чуҥдэн ньилдьилэк эннулҥинь-мэдьуолнуни. Көдэҥ энмун чундэ мэ льэй, таатльэр лукундьии ньинэмдьийилпэ дитэ эннуйуол-мораwньэҥи.
02-00	Көнмэгисчэ истачийаа
02-01	Көдэ йаwнар туҥ Декларацияҕа ньидэйуодьэ параwаапэлэк эннуйуол-мораwньэй. Таҥунҕанэ эл туҥиэт.
02-02	- тэт омо, аруу, ньаачэн сурэ, тадаатэ эрэльиигийэ хуодэдэ банулги, тэт кэйп уури паайп ҥолул;
02-03	- тэт социальнэй паруол (происхождение) тадаатэ политическэй чундэ хуодэдэ банулги, тэт идьирэ тэтчиэ уури элньэмэньиийэ ҥолул;
02-04	- тэт лэwэйнбурэбэ чамуолги уури йукуолги, мөрдьэньилги уури элмөрдьэньилги;
03-00	Йалмисчэ истачийаа
03-01	Көдэ йаwнар эwйэ тудэ кэдэл эдьилэк тадаатэ тудэ чуҥдэн ньилдьилэк эwрэрэҥ эннуйуол-мораwньэй. Эдьилдаҕа кинуол льэлк wэрwэлэк чалдьэлэ эл паруол-мораwньэ.
04-00	Йэлэклэсчэ истачийаа
04-01	Кинуолльэлк хамуль уури хамриил дитэ эл льэйуол-мораwньэ. Көдэлэ хамриил ҥориил тадаатэ поҕодэҕан ньиданнул анмолҕинь эwльэйуол-мораwньэй.
05-00	Имдалдьисчэ истачийаа
05-01	Кинуолльэлк эл льитэгуол-мораwньэ, кинуолльэлк кинҕатэн эл туриэйуол-мораwньэ.
06-00	Маалайлисчэ истачийаа
06-01	Көдэ йаwнар - эйк хадаанэҥ льиэнульэлк уури эннульэлк - мэр оҕониийуол-мораwньэй сокуонлэк.
07-00	Пускийисчэ истачийаа
07-01	Кѳдэ йаwнар сокуон киэйиэ ньидитэ банҥи тадаатэ дискриминацияҕат чоҥнулҕа ньидитэ бандьэ параwааньэҥи.
08-00	Маалайлэклэсчэ истачийаа
08-01	Конституциялэк уури сокуонлэк тадийуодьэ параwаапэдаҕанэ чаwнааҥудаҕа, қодэ йаwнар суут чамбалэк тудэ параwаапэҕанэ мэ чоҥнуйуол-мораwньэй.
09-00	Wальҕарумкуруосчэ истачийаа
09-01	Кинуолльэлк сукинь эл хаайиллайуол-мораwньэ, wэрwэлэк эл мооййуол уури тудэ лукулҕат эл маарчийуол-мораwньэ.
10-00	Кунильисчэ истачийаа
10-01	Кѳдэ йаwнар тудэҕанэ угулуоwунай анньэрилҕа сэwрэҥудаҕанэ, таҥунҕанэ независимэй суут амутнэҥ ичуонулдаҕа тадийуол-мораw параwааньэй.
11-00	Куниль маарха бурисчэ истачийаа
11-00	Сокуоннэй эwиэличэ суут тэт ньалльэ wиэйуолҕанэ эл оорэдаҕа гитньуо, тэт ньаллэндьэ кѳдэ дитэ эл ичуойуо-мораwньэйэк. Тадаатэ льиэ ньалльэ wиэльэлҕанэҥ тэтханэ чоҥнуйуол-мораw суут мэ льэй.
