00-00	ИНСАН ҲУҚЫҚЛАРЫ ДҮНЬЯ ЖҮЗЛИК ДЕКЛАРАЦИЯСЫ
00-01	Инсаният шаңарағының ҳәмме ағзаларына тән қәдир-қымбат ҳәм олардың тең, ажыралмас ҳуқықларын тән алыў еркинлик, әдалатлық ҳәм улыўма тынышлық тийкары екенлигин итибарға алып;
00-02	инсан ҳуқықларын менсинбеўшилик ҳәм оны аяқ асты етиў инсаният ҳүжданы қыйналатуғын жаўызлық ислер ислениўине алып келгенлигин, адамлар сөз еркинлиги ҳәм исеним еркинлигине ийе болатуғын ҳәм де қорқыў және мүтәжликтен аўлақ шараятта жасайтуғын дүньяны жаратыў инсанлардың жақсылыққа умтылыўы болып есапланады, - деп жәрияланғанлығын итибарға алып;
00-03	инсан ақырғы шара сыпатында зулымлық ҳәм қысымларға қарсы бас көтериўге мәжбүр болыўының алдын алыў мақсетинде инсан ҳукықлары нызам күши менен қорғалыўы зәрүр екенлигин итибарға алып;
00-04	халықлар ортасында дослық қатнасықларды раўажландырыўға көмеклесиў зәрүрлигин итибарға алып;
00-05	Бирлескен Миллетлер халықлары инсанның тийкарғы ҳуқықларына, шахстың қәдир-қымбатына, ер ҳәм ҳаялдың тең ҳуқықлылығына, өз исенимлерин Уставта тастыйықлағанлығы ҳәм еле де кеңирек еркинликте социаллық раўажланыў және турмыс шараятларын жақсылаўға көмеклесиўге шешим қабыл еткенлерин итибарға алып;
00-06	ағза болған мәмлекетлер Бирлескен Миллетлер Шөлкеми менен биргеликте инсан ҳуқықлары ҳәм тийкарғы еркинликлерин улыўма ҳүрмет етиў ҳәм оған әмел қылыўға көмеклесиў миннетин алғанлығын итибарға алып;
00-07	бул ҳуқықлар ҳәм еркинликлердиң характерин улыўма түсиниў, усы миннетлердиң толық орынланыўы ушын үлкен әҳмийетке ийе болыўын итибарға алып;
00-08	Бас Ассамблея
00-09	бул Инсан ҳуқықлары дүнья жүзлик декларациясы барлық халықлар ҳәм барлық мәмлекетлер орынлаўға умтылыўы тийис болған ўазыйпа сыпатында жәрияланар екен, ҳәр бир инсан ҳәм жәмийеттиң ҳәр бир шөлкеми бәрқулла усы Декларацияны нәзерде тутқан ҳалда ағартыўшылық және билимлендириў жолы менен бул ҳуқық ҳәм еркинликлердиң ҳүрмет етилиўине көмеклесиў, миллий ҳәм халықаралық раўажланыў иләжлары арқалы да оның орынланыўын тәмийинлеўге, Шөлкемге ағза болған мәмлекетлер халықлары ортасында ҳәм усы мәмлекетлердиң юрисдикциясындағы аймақларда жасап атырған халықлар ортасында улыўма ҳәм нәтийжели тән алыныўына умтылыўы зәрүр.
01-00	1-статья
01-01	Ҳәмме адамлар өз қәдир-қымбаты және ҳуқықларында еркин ҳәм тең болып туўылады. Оларға ақыл ҳәм ҳүждан берилген болып, бир-бирине туўысқанлық руўхындағы қатнаста болыўы тийис.
02-00	2-статья
