00-00	ИНСАН ҺҮГУГЛАРЫ ҺАГГЫНДА ҮМУМИ БӘЈАННАМӘ
00-01	Бәшәр аиләсинин бүтүн үзвләринә хас олан ләјагәт һиссинин вә онларын бәрабәр вә ајрылмаз һүгугларынын танынмасынын азадлыг, әдаләт вә үмуми сүлһүн әсасы олдуғуну нәзәрә алараг,
00-02	инсан һүгугларына етинасызлыг вә нифрәтин бәшәријјәти дәһшәтә ҝәтирән барбаризм һәрәкәтләринә сәбәб олдуғуну вә инсанларын сөз вә етигад азадлығына малик, горху вә еһтијаҹдан азад олдуглары дүнјанын јарадылмасынын бәшәријјәтин ән али истәји олдуғуну нәзәрә алараг,
00-03	инсанын сон васитә кими истибдад вә зүлмә гаршы гијама галхмаға мәҹбур олмамасыны тәмин етмәк үчүн инсан һүгугларынын ганунун һакимијјәти илә мүдафиә олунмасынын зәрурилијини нәзәрә алараг,
00-04	халглар арасында меһрибан мүнасибәтләрин инкишафыны дәстәкләмәјин ваҹиблијини нәзәрә алараг,
00-05	Бирләшмиш Милләтләрин халгларынын БМТ Низамнамәсиндә әсас инсан һүгугларына, инсан шәхсијјәтинин ләјагәт вә дәјәринә, киши вә гадынларын һүгуг бәрабәрлијинә инамларыны тәсдиг етдикләрини вә даһа ҝениш азадлыг шәраитиндә сосиал тәрәгги вә һәјат шәраитинин јахшылашдырылмасына јардым етмәји гәт етдикләрини нәзәрә алараг,
00-06	үзв дөвләтләрин БМТ илә әмәкдашлыг шәраитиндә инсан һүгугларына вә әсас азадлыглара үмуми һөрмәт вә онлара әмәл олунмасына јардым етмәји өһдәләринә ҝөтүрдүкләрини нәзәрә алараг,
00-07	бу һүгуг вә азадлыгларын характеринин там шәкилдә дәрк олунмасынын һәмин өһдәлијин һәртәрәфли јеринә јетирилмәси үчүн бөјүк әһәмијјәт кәсб етдијини нәзәрә алараг,
00-08	БМТ Баш Ассамблејасы
00-09	Инсан һүгуглары Һаггында Үмуми Бәјаннамәни, һәр бир кәсин вә ҹәмијјәтин һәр бир органынын бу Бәјаннамәни рәһбәр тутараг маарифчилик вә тәдрис јолу илә һәмин һүгуг вә азадлыглара һөрмәт олунмасына јардым етмәси вә милли вә бејнәлхалг сәвијјәдә тәрәггипәрвәр тәдбирләр јолу илә, һәм тәшкилатын үзвү олан халглары, һәм дә онларын јурисдиксијасы алтында олан әразиләрин халглары арасында үмумиликдә вә еффектив танынмасы вә һәјата кечирилмәсинә сәј ҝөстәрмәләри мәгсәдилә бүтүн халглар вә бүтүн дөвләтләрин јеринә јетирмәјә ҹан атмалы олдуглары вәзифә кими бәјан едир.
01-00	Маддә 1
01-01	Бүтүн инсанлар  ләјагәт вә һүгугларына ҝөрә азад вә бәрабәр доғулурлар. Онларын шүурлары вә виҹданлары вар вә бир-бирләринә мүнасибәтдә гардашлыг руһунда давранмалыдырлар.
02-00	Маддә 2
02-01	Һәр бир шәхс иргиндән, дәрисинин рәнҝиндән, ҹинсиндән, дилиндән, дининдән, сијаси вә диҝәр әгидәсиндән, милли вә ја сосиал мәншәјиндән, әмлак, сосиал мөвге вә диҝәр вәзијјәтиндән асылы олмајараг бу Бәјаннамәдә  елан олунмуш бүтүн һүгуг вә азадлыглара малик олмалыдыр.
02-02	Бундан әлавә, һәмин шәхсин мәнсуб олдуғу өлкәнин вә ја әразинин, һәмин әразинин мүстәгил, гәјјумлуг алтында олан, өзүидарәолунмајан вә ја суверенлији һәр һансы шәкилдә мәһдудлашмыш олмасындан асылы олмајараг, сијасы, һүгуги вә бејнәлхалг статусундан асылы олараг һеч бир ајры-сечкилик гојулмамалыдыр.
03-00	Маддә 3
