00-00	DEARBHÚ UILE-CHOITEANN CEARTA AN DUINE
00-01	De Bhrí gurb é aithint dínte dúchais agus chearta comhionanna do-shannta an uile dhuine den chine daonna is foras don tsaorise, don cheartas agus don tsíocháin sa domhan,
00-02	De Bhrí gur thionscain a neamhaird agus an mí-mheas ar chearta an duine gníomhartha barbartha a chuir uafás ar choinsias an chine daonna, agus go bhfuil forógartha gurb é meanmarc is uaisle ag an gcoitiantacht saol a thabhairt i réim a bhéarfas don duine saoirse chainte agus chreidimh agus saoirse ó eagla agus ó amhgar,
00-03	De Bhrí go ndearna pobail na Náisiúin Aontaithe sa Chairt dearbhú athuair ar a gcreideamh i gcearta bunúsacha an duine, i ndínit agus i bhfiúntas pearsan an duine agus i gcearta comhionanna fear agus bean, agus gur chinneadar tacú leis an ascnamh sóisalach agus réim maireachtana níos fearr a thabhairt i gcrích faoi shaoirse níos fairsinge,
00-04	De Bhrí gur ghabhadar na Stát-Chomhaltaí faoi chuing ghealltanais go ndéanfaid, i gcomhar leis na Náisiúin Aontaithe, urraim uile-choiteann éifeachtach d'áirithiú do chearta agus do shaoirsí bunúsacha an duine.
00-05	De Bhrí go bhfuil sé fíor-thábhachtach, chun an gealltanas sin a chomhalladh ina iomláine, go mbeifí ar aon-tuiscint maidir leis na cearta agus na saoirsí sin,
00-06	Anois ar an abhar sin forógrainn an Tionól Ginerálta an Dearbú Uile-choiteann seo ar Chearta an Duine mar chomhchaighdeán le tabhairt i réim ag gach pobal agus gach náisiún ionas go ndeánfaidh gach uile dhuine agus gach uile organ den chomhdhaonnacht, agus iad de shíor ag tabhairt an Dearbhuithe seo dá n'aire agus dá n-úidh, díchell, tríd an teagasc agus an t-oideachas, chun urraim do na cearta agus do no saoirsí sin a chothú agus chun a áirithiú tríd bearta ascnaimh, náisiúnta agus eadarnáisiúnta, go mbeidh aithint agus feidm éifeathtach uile-choiteann acu, ní hamháin i measc pobal na Stát-Chomhaltaí féin, ach fós i measc pobal na gcríocha atá faoina ndlínse sin.
01-00	Airteagal 1.
01-01	Saoláitear na daoine uile saor agus comhionann ina ndínit agus ina gcearta. Tá bauidh an réasúin agus an choinsiasa acu agus dlíd iad féin d'iompar de mheon bhrthreachais i leith a chéile.
02-00	Airteagal 2.
02-01	Tá teideal ag gach uile dhuine chun na gceart agus na saoirsí go léir atá leagtha amach sa Dearthú seo, gan idirdhealú dáon tsaghas, go háirithe maidir le cine, dath, gnéas, teanga, creideamh, tuairim pholitíochta nó tuarim eile, bunadh náisiúnta nó sóisilach, maoin, breith nó céimíocht eile,
02-02	Fairis sin, ní déanfar aon idirdhealú ar fhoras no céimíochta poiliticiúla, dlínsiúla nó eadarnáisiúnta atá ag an tír nó an chríoch len mbaineann duine, pé acu críoch neamhspleách, críoch iontaobhais, nó críoch gan rialtas dúchais í, nó críoch a bhfuil aon teoranta eile ar a ceannasacht.
03-00	Airteagal 3.
03-01	Tá ag gach uile dhuine, an ceart chun marthana, chun saoirse agus chun slándála a phearsan.
04-00	Airteagal 4.
04-01	Ní coimeádfar aon duine faoi mhoghsaine ná faoi dhaoirse; toirmeasctar gach gné den mhoghsaine agus de thrádáil na mogha.
05-00	Airteagal 5.
