00-00	Vleis ti Tauxtsenv Chix ti Chianrlif Shianxyanr
00-01	Yinsweir tueif qe chix ti tshenryanr nu nes ti tsunxyanr kufyou thungs chianrlif phinrten thungs puryir ti saix, tshus vleis ti tauxtsenv ti tsifyour, tsenfyif thungs horphinr ti qaf,
00-02	Yinsweir tueif chix ti chianrlif ti tsuf a tshenrweir key paufshinr yemanr, paufshinr nir tianfwux key chix ti leyx o. Chix nu nes tsifyour tsheis thungs tsenv, laus a qer a ti vleis ti tauxtsenv ti this, ngkair yur key tshus chix yirpanx ti yanfwangf tsueif vis,
00-03	Yinsweir zurko teyr chix tueif pauftszenf thungs yafpor ngkair pixpor panfnif a, chix ti chianrlif nes piryauf ngkair fartsif pauhuf,
00-04	Yinsweir nes piryauf tshurcinf kuercas ti kuanxshif peyrnter ti fartsan,
00-05	Yinsweir Kuer Lianrhor ti kuercas ti chix an luskleyx Kuer Lianrhor ti Shianftsangx tsaif yur key tsoxnur tueif chix ti chianrlif chixpen, chix ti tsunxyanr thungs qotaux qoyov ti chianrlif phinrten ti shinfnianf, teyr key tshufcinf tsifyour su ti luskleyx ti cinfpuf sefhueif thungs sueiphinr senxhor ti kaisanf,
00-06	Yinsweir kuer hueifyanr sifyanf key thungs Kuer Lianrhor hortsof tshufcinf tueif chix ti chianrlif thungs tsifyour cixpen ti tsunxtsungf thungs tsunxshinr phupianf,
00-07	Yinsweir tueif chianrlif thungs tsifyour nir ti sa phupianf tueif sifyanf nir ti sirshianf tshungxfenx nes tsungfyaufshinf lungv lungv,
00-08	Soyi sefnir,
00-09	Hueif Lungv,
00-10	Thus Vleis ti Tauxtsenv Chix ti Chianrlif Shianxyanr nir, thas chix soyou thungs kuercas soyou thus tshens sirshianf ti piauxtsun kungfthungs, teyr chix thungs chixkouf sefhueif tshangrsir cif shianxyanr nir, thus tshens laiv sey thungs caufyur tshufcinf tueif chianrlif thungs tsifyour ti tsunxtsungf, laiv kuercas ti thungs kuercif ti tshorsix cianfcinf, si chianrlif thungs tsifyour nir kuer hueifyanr tsifcas ti chix thungs ngkair tsoxnur kuanshar ti thox ti chix ti luskleyx pof saix thungs tsunxshinr phupianf thungs nes shauf.
01-00	Si
01-01	Chix zox key zifyour, an hu tsunxyanr thungs chianrlif nu phinrten. Tsoxnur nes lishinf thungs leyx o, laiv kuanxshif to tseyr ti cinxsenr shiangxtaif.
02-00	Su
02-01	Chix nu nes tsixker nes ngkair shianxyanr nir zas ti chianrlif thungs tisfyour, tsix saix tsungtsur, yanrser qov, shinfpier, tsheis, tsungxcauf, tsenftsif huertse pleis tsoxnur ti cianfkai, kuercir, tshursenx sefhueif, tshairtshan, tsox huertse pleis tsoxnur ti senxfenf ti chixpier a.
