00-00	Deklarasaun Mundu Nia Ba Direitus Ema Nia
00-01	Hanesan hatene tuir dignidade ho direitu ema hotu hanesan membru familia humanidade nia, ne'e hanesan hun ba liberdade, justisa ho damen iha mundu,
00-02	Hanesan la interese ho la fo laran ba diretus ema nia, sai hahaluk barbarikus mak halu umanidade nia konsiensia hirus. Tuir idh mundu ne be ema hotu sei laran ksolok ba liberdade koalia, fiar ho liberdade husi tauk ho hakarak, foti hanesan aspirasaun as liu ba ema hotu,
00-03	Hanesan ne'e importanti se ema la iha, ikus atu tuir sei hamrik hasoru ema at ho opresaun, katak direitus ema nia tenki satan, tuir lei,
00-04	Hanesan importante tebes atu promove desenvolvimentu relasoens belun diak ho rai hotu,
00-05	Hanesan ema hotu Nasoens Unidas iha nia Carta, fo laran ho sira nia fiar iha direitus fundamentais ema nia, iha dignidade ho ba ema nia an, direitus hanesan ba feto ho mane, haksoin atu halau progresu sosial, moris diak liu iha liberdade bot liu,
00-06	Hanesan Rai Estadu Hotu, sira hotu fo sira nia lia fuan atu hetan ho Nasoens Unidas, atu promove ho respeitu, hare, direitus ho liberdade bot liu,
00-07	Hanesan fiar ida deit ba direitus ho liberdade, buat bot liu atu hetan hanoin ida ne'e,
00-08	Nune'e duni,
00-09	Assembleia Geral,
00-10	Proclama Declarasaun Mundu Nia Ba Direitus Ema Nia, hanesan estandarte komun ba hotu atu hetan ba ema hoto no mos ba rai hotu hotu, ema mesak ka organizasaun iha sosiedade, rai Deklarasaun ida ne'e iha neon, sei buras ba hanorin, ba educasaun, atu promove respeitu ba direitus ho liberdades, husi dalan progresiva, nasional ho internasional, atu kaer metin, tuir ho fiar, ho ema membrus Rai Estadu hotu, nos mos ema sira hela iha rai nebe sira ukun,
01-00	Artigu 1
01-01	Ema hotu hotu moris hanesan ho dignidade ho direitu. Sira hotu iha hanoin, konsiensia n'e duni tenki hare malu hanesan espiritu maun-alin.
02-00	Artigu 2
02-01	Ema hotu iha direitus ho liberdades tau iha Deklarasaun ida ne'e, la tuir ho fihir, hare ba rasa, kor kulit, seksu, lia, relijaun hanoin ho politika oin seluk, nasional ka mai husi ema riku ka kiak, tuir moris liurai ka atan.
02-02	Tuir tan, labele halu, fihir no hare tanba ba situasaun politica, jurisdisaun, no tanba estatutu rai nebe nia moris, se rai ne'e ukun rasik an, ema seluk mak kaer, rai la os ukun rasik an, ka limitasaun iha ukun rasik an.
03-00	Artigu 3
03-01	Ema hotu hotu iha direitu atu moris, liberdade ho seguransa ba ema nia an.
04-00	Artigu 4
04-01	Ema ida labele hatan ka serbi ema, atan ho halu atan tenki bandu tomak.
05-00	Artigu 5
05-01	Ema ida labele hetan tortura ka krueldade, halu hat liu ka kastigu.
06-00	Artigu 6
06-01	Ema hotu maski, nia iha fatin naran ida, iha direitu tuir lei hanesan ema ida.
07-00	Artigu 7
07-01	Tuir lei ema hotu hanesan, iha direitu atu la hetan diskriminasaun, no mos lei hatu satan nia. Hotu hotu iha direitu hanesan hasoru diskriminasaun, la tuir Deklarasaun ida ne'e no mos hasoru, hasa'e lian soran diskriminasaun ida ne'e.
08-00	Artigu 8
08-01	Ema hotu iha direitu atu simu husin tribunal nasaun nia ha haluk nebe halu at nia direitus, tuir lei ka konstituisaun.
09-00	Artigu 9
09-01	Labele kaer ema ida naran deit, kadeia ka ezilio.
10-00	Artigu 10
10-01	Ema hotu iha direitu hanesan ba tuir julgamentu iha tribunal atu rona ka tesi lian, tribunal tenki independente no mos imparsial, hare nia direitu ho obrigasoens, sala nebe hasoru nia.
11-00	Artigu 11
11-01	Ema nebe lei hatene halu sala ka halu krime, iha direitu hatete la sala, bainhira tuir iha tribunal publiku hatete nia sala, mai be nia tenki iha direitu ho garantias ba nia defensa.
11-02	Labele hatete ema ida sala tuir lei kriminal, tanba lia ka buat sasan nia halu nebe la tuir lei, la sala tuir lei nasional ka internasional, bainhira halu sala ne'e. Nunee mos la bele for sentensa todan liu, tuir ida nebe fo bainhira sala halu.
12-00	Artigu 12
12-01	Ema ida labele iha interferensia arbitraria ho nia privasidade, familia, uma, corespondensia, ka hatete at ninia onra ho reputasaun. Ema hotu iha direitu atu hetan satan husin lei hasoru iha interferensia ka halu at.
13-00	Artigu 13
13-01	Ema hotu iha direitu ba atu la'u livre ho hela iha Estadu nia laran.
13-02	Ema hotu iha direitu atu husik rai naran ida, ho mos ninian, no mos fila ba nia rai rasik.
14-00	Artigu 14
14-01	Ema hotu iha direitu buka azilu politiku, no mos laran ksolok iha rai seluk husi halu at.
14-02	Direitu ida ne'e keta la hasa'e se cazu iha persekusaun husi hahaluk la os krime politiku, ka hahaluk hasoru prinsipios Nasoens Unidas nia.
15-00	Artigu 15
15-01	Ema hotu iha direitu ba nasionalidade.
15-02	Ema ida la bele arbitrariu bandu nia nasionalidade, ka bandu atu muda nia nasionalidade.
16-00	Artigu 16
16-01	Mane ho feto tinan bot, la iha limitasaun tanba rasa, nasionalidade ka relijaun, iha direitu atu kaben no mos hahu familia. Sira iha direitu hanesan iha kaben, bainhira kaben, ka husik malu.
16-02	Kaben tenki tuir hanoin ho hakarak tomak ema nebe atu kaben.
16-03	Familia ne'e maka unidade natural iha sosiedade, ida direitu atu hetan protesaun husi soseidade ka estadu.
17-00	Artigu 17
17-01	Ema hotu iha direitu atu rai nia sasan mesak no mos hamutuk ho ema seluk.
17-02	Ema ida labele arbitrariu ba nia sasan.
18-00	Artigu 18
