00-00	ÃDUNIYA KULU BƆRƆ DAAMA BEIYANIYOM
00-01	Ka simma nna buricinitɛrɛ ka n bɔrɔ ŋwɛnɛ iyaali bei nna daama duuri ka bɔrɔ fɔ su hini ka hoŋu n sɛ ya bara bɔŋɔ duuri nna laakari kaniyom ãduniya kuna,
00-02	Ka simma nna ka bɔrɔ daama duuri bara hɛi fɔ ka sariya hima a ma cɛruma ka bɔrɔ mɔrani nna tilaasi guruje nna mɛiyom bɛrɛkɛtɛ nna kwɛnɛ bɔrɔ futu,
00-03	Ka simma nna naanɛ ka ãduniya zamaa sariya nyâ dam daama duuri ga buricinitɛrɛ nna bɔrɔ jirima bɔŋɔ nna kwɛnɛ daama ka a gono weibɔrɔ nna harubɔrɔ ciyom afɔ gonouom kuna,
00-04	Ka simma nna ka binɛ a hima gɔ rɔkasinɛ hɛnnɔ ma gono ganna nna ganna ŋmaaniyo binni n hãnu kulu mɔɔjinɛ kweiyom dirɔu ga,
00-05	Ka simma nna ka ãduniya zamaa diya mariga beeri, tabataniyom mɛɛfo ceejiyom ka n baa ãduniya ganna zamaa kulu ma tɔ daama duuri hini ga nna a zaamani safu ŋwaani ŋwaani ka n damyom nna daama duuri ko ga a jirimani ko beiyom tɔntɔni ceeji a bɔŋɔ,
00-06	Ka simma nna ka ãduniya zamaa marga beeri tutu ka nŋayo ba mɛɛ cinɛyo kulu cii kawa bɔrɔ ŋwɛnɛ ãduniya daama duuri hini ga,
00-07	Ka simma nna ka mɛɛcinɛyo cimaniyo ya ba nam daama duuri gweiyo ma dira dei-dei,
00-08	ãduniya zamaa marigã beiyani bɔrɔ ŋwɛnɛ daama duuri ãdininya kuna gwei cirici ka a hima zaamani an kokari kǎ ci tɛɛntɛ n ŋmaarɛ ba mani za couyom hini kuna beiyom ceejiyom, ga, bɔrɔ kulu ma mɛɛ cinɛ di ci a ŋwɛnɛ ganna zamaayom kulu mɔ ma duwa ka geeri tila cirici wɔ ga. Za ganna ŋmaani ŋmaaniyom kuna hali an to ãduniya zama kulu.
01-00	ASARIYA SINTE (1)
01-01	Aduniya kuna n gu ibuna damayo hɛi nɔ dei-dei nn daama nna n burucinitɛrɛ fɔ, n lasabu nna laakari ya nam nn mɔ huro cɛrɛ kuna nyanze tɛrɛ bɔŋɔɔ.
02-00	ASARIYA HINKANTƐ (2)
02-01	Baa mɛi hima a ma gonna daama nna bɔŋɔɔ mɛiyom zaŋa ka daama bei beiyaniyom mɛɛ cinɛ na a siriyani dimi fisɔu yo ma sii. A sii nna n ma ci wɔ nɔ gaa kwaarɛ wɔ nɔ gaa bii wɔ nɔ weibɔrɔ wɔ nɔ harubɔrɔ.
02-02	A sii nna cinɛ fisɔuyom; a sii nna adiini fisɔuyom a binɛ sii nna siyasa fisɔuyom.
03-00	ASARIYA HINZANTƐ (3)
03-01	Bɔrɔ kulu gonna hunayom nna bɔŋɔɔ mɛiyom nna bɔŋɔɔ naanɛyom daama.
04-00	ASARIYA TAACINTƐ (4)
04-01	Bɔrɔ fɔ na hima an ci bɔrɔ fɔ sɛ tam dee binɛ n ma mɔɔriya bɛrɛkɛtɛ. A ganna nɔ n hoŋu tamtɛrɛ nna mɔɔriyayom bɛrɛkɛtɛ ba hini fɔ ga.
05-00	ASARIYA GUNTƐ (5)
05-01	N su bɔrɔ fɔ wahalani, n su ga cɛɛnani n binɛ su ga kamani.
06-00	ASARIYA IDDUNTƐ (6)
06-01	Sariya ganna baa mani bɔrɔ gono a hima an saria ganna.
07-00	ASARIYA IYENTƐ (7)
07-01	Iri kulu afɔ sariya mɔjinɛ ya nɔ binɛ sariya di gu iri kulu cɛruma.
08-00	ASARIYA AIYAAKUNTƐ (8)
08-01	Batumɛ gono bamɛi sɛ ɖɛɛ bɔrɔ na sariya daali n ma cɛɛ goosi sariyayo di mɔjinɛ ka yii ko beiyom.
09-00	ASARIYA ƐGANTƐ (9)
09-01	Hini sii bɔrɔ fɔ sɛ a ma hacinɛ dii ka daabu ɔu a ma gɛi, dee binɛ a ma kaa kwaara ka na cii taalifɔ bɔŋɔ.
10-00	ASARIYA WEINTƐ (10)
10-01	Hini gono bamɛi sɛ an goosi cɛ; goosi ka a ba hini ka a nɔ cimi ɔu a ma tãgarani a daama nna a tilasi bɔ̃ŋɔ.
11-00	ASARIYA WEICINIFƆNTƐ (11)
11-00	Ba n taali damyom nga se goosi ma a ciba n faaba kwɛ yo mɔjinɛ n ma du ka n ci taali kwɛ.
11-01	A sii na n ma bɔrɔ nɔ taali daa fɔ bɔŋɔ ka sariya dom na a jisi. Ya nɔ binɛ hãŋa gunguyom ka a bisa sasariya sii. Sariya zaka ya hima hãŋa gunguyom.
12-00	ASARIYA WEICINI HINKANTƐ (12)
12-01	Bɔrɔ fɔ su mɛɛ dam bɔrɔ fuu senni kuna bɛrɛkɛtɛ. Ya nɔ binɛ bɔrɔ fɔ sii nna a ma haŋasinɛ jirima zobu. Sariya bamɛi cɛruma nna alaamari zaŋa yayo.
13-00	ASARIYA WEICINI HINZANTƐ (13)
13-00	Daama gono bamɛi sɛ a ma kwei nuŋu ka a baa kulu.
13-01	A ma gɔrɔ kwaara ka a sawayom a sɛ a ma tunu saa ka a binɛ baa.
14-00	ASARIYA WEICINI TAACINTƐ (14)
14-00	Bamɛi ka sanani na n gaari n kwaara kuna daama gono n sɛ n ma gana kwaara ŋwaani ka hini ceeji n ma n ta yoo.
