00-00	Insan Hakların Cümlä Deklaratiyası
00-01	ESABA ALARAK, ani insan aylesi azaların kişilik saygılıı, onnarın birtakım hem ayırılmaz hakların tannıması serbestliin, dooruluun hem ömür-dünnää usluluun temelidir; hem
00-02	ESABA ALARAK, ani insan haklarına gösterilän saygısızlıktan hem aşaalıktan kaynaklanan yabannık darıldêêr insannıın üzünü, hem ani ölä bir dünnää kurulması, nerdä insannarda olacek söz hem düşünmak serbestlii hem olmayacek korku hem sıkıntı, insannarın bir üüsek isteyişi gibi bildirildi; hem
00-03	ESABA ALARAK, ani insan hakları lääzım korunsun kanon kuvedinnän, ani olmasın ölä, açan insan, bitki çözüm gibi, zorbalaa hem baskıya karşı istar-istemäz kalêr yapsın kalkıntı; hem
00-04	ESABA ALARAK, ani lääzım halklar arasında dostluk baalantıların ilerlemesinä yardımcı olmaa; hem
00-05	ESABA ALARAK, ani Birleşmiş Milletlär halkları kendi Ustavında tekrarladılar inandıklannı insannarın temel haklarına, insan kişiliin onuruna hem kıymetinähem da adamnarlan karıların bırtakım haklarına hem karar aldılar sotial ilerlemesina yardımcı olmaa hem taa bol serbestliktäyaşamak koşullannı iileştirmää; hem
00-06	ESABA ALARAK, ani aza devletlär söz verdilär, Birleşmiş Milletlär Kurulunnan birliktä, cümlä insan hakların hem temel serbestliklerin saygılanmasına yardımcı olmaa;
00-07	hem
00-08	ESABA ALARAK, ani bu haklar hem serbestliklär tabeetin universal annaşılması bu baalantıyı bütünnä tamannamak içik pek maanalıdır,
00-09	GENEL ASAMBLEYA
00-10	bildirer bu Insan Hakların Cümlä Deklaraţlyasını ölä bir problema gibi, angısını lääzım özensinnär çözmää hepsi halklar hem devletlär, aniki herbir insan hem cümlenin herbir organı, dayma göz altında tutarak bu Deklaraţiyayı savaşsınnar aydınnatmaklan hem üüretmäklän yardım etmaä bu hakların hem serbestliklerin saygılanmasına naţional hem halklararası progresiv işlärlän onnarın tanıttırılmasına hem tamannanmasına nicä Kurula girän devletlerin halkları arasında, ölä da o halklar arasında, angıları bulunrlar o devletlerin kanonnarı altında olan topraklarda.
01-00	Yazı 1
01-01	Insannar hepsi duuêrlar serbest hem birtakım kendi kıymetindä hem haklarında. Onnara verilmiş akıl hem üz da läazım biri-birinä davransınnar kardaşlık ruhuna uygun.
02-00	Yazı 2
02-01	Herbir insanda lääzım olsun hepsi bu Deklaraţiyada bildirilän haklar hem serbestliklär, hiçbir ayırıntısız soy, deri rengi, adam hem karı, dil, din, politika yada başka inandıkları, mülk, insan boyu eki başka durum bakımından.
02-02	Bundan başka diil lääzım yapılsın hiçbir ayırıntı devletin ya insanın yaşadıı topraan politika statusuna görä, bakmayarak o toprak serbest mi, bakımnı mı, kendibaşına kullanmayan mı osa suverenıtetindä başka türlü sınırlamalı mı.
03-00	Yazı 3
03-01	Herbir insanın yaşamak, serbestlik hem kışiliinä dokunmamak hakı var.
04-00	Yazı 4
