00-00	ᓯᓚᕐᔪᐊᕐᒥᐅᑦ ᓇᓗᓇᐃᖅᓯᐅᑎᖓ ᑭᓇᒃᑯᑐᐃᓐᓇᐃᑦ ᐱᔪᓐᓇᐅᑎᖏᑦ
00-01	ᐃᒪᐃᒻᒪᑦ ᐃᓕᑕᖅᓯᒪᐅᑎᖃᑦᒪᑦ ᓯᕗᓕᕐᓂᓴᑐᖃᕐᓂᒃ ᓂᕐᓱᐃᓂᑦᒥᒃ ᐊᒻᒪᓗ ᐊᔾᔨᒌᒃᑎᑦᑎᓂᕐᒥᒃ ᐊᒻᒪᓗ ᐊᔪᙱᔾᔪᑕᐅᔪᓐᓇᖅᑐᓄᑦ ᐱᔪᓐᓇᐅᑎᓂᒃ ᑕᒪᐃᓐᓄᓕᒫᑦᑎᐊᖅ ᐃᓚᒋᔭᐅᔪᓄᑦ ᑕᒪᒃᑯᐊ ᐃᓈᔪᑦ ᐃᓚᒌᒍᓯᖕᒋᑎᒍᑦ ᑐᙵᕕᐅᓪᓚᕆᖕᒪᑦ ᐃᓱᒪᖅᓱᕐᓂᖅ, ᖃᓄᖕᒐᓴᖅᑕᐅᖕᒋᓐᓂᖅ ᐊᒻᒪᓗ ᓴᐃᓕᒪᓂᖃᕐᓂᖅ ᓯᓚᕐᔪᐊᕐᒥ,
00-02	ᐃᒪᐃᒻᒪᑦ ᓱᖁᑎᒋᓇᒍ ᐊᒻᒪᓗ ᓈᓚᖕᓂᕐᓗᖕᓂᖅ ᐃᓅᔪᒧᑦ ᐃᔪᓐᓇᐅᑎᓄᑦ ᖃᐅᔨᓇᖅᓯᐅᑎᓯᒪᔪᖅ ᓇᕐᕈᓇᕐᓂᕐᐹᑎᑐᑦ ᐊᐅᓪᓚᓯᖃᑦᓂᖕᒋᑦ ᓂᙵᒃᓵᕆᔾᔪᑎᖃᕐᐸᒃᑐᑦ ᐃᓄᓪᓚᕆᐅᔫᒐᓗᐊᓂᒃ, ᐊᒻᒪᓗ ᓯᕗᓕᐅᕆᓪᓚᑎᒃ ᓯᓚᕐᔪᐊᕐᒥᒃ ᑕᒪᒃᑯᐊ ᐊᓂᖅᑎᕆᔪᑦ ᐃᓅᔪᑦ ᖁᕕᐊᓲᑎᖃᕐᓯᒪᑎᓪᓗᒋᑦ ᐃᓱᒪᖅᓱᕐᖢᑎᒃ ᐅᖃᐅᓯᕐᒥᒃᑎᒍᑦ ᐊᒻᒪᓗ ᐅᖃᐅᓯᕐᒥᒃᑎᒍᑦ ᐊᒻᒪᓗ ᐃᓱᒪᖅᓱᕈᓐᓇᕐᓂᒃᑯᑦ ᑲᑦᐱᐊᓱᐊᓂᕐᒧᑦ ᐊᒻᒪᓗ ᓇᒧᑐᐃᓐᓇᖅ ᑐᓴᖅᑎᑦᑎᐅᑎᒋᓪᓗᒍ ᐱᔪᒪᓯᒪᖕᒪᑕ ᓲᕐᓗᓕ ᖁᑦᑎᖕᓂᖅᐸᐅᓪᓗᑎᒃ ᐊᔾᔪᒥᒋᔭᒥᒃᑎᒍᑦ ᐃᓄᑐᐃᓐᓇᐅᒐᓗᐊᕆᓪᓗᑎᒃ ᑭᓇᒃᑯᑐᐃᓐᓇᕐᑎᑐᑦ,
00-03	ᐃᒪᐃᒻᒪᑦ ᓲᖃᐃᒻᒪ, ᑭᓇᒃᑯᑐᐃᓐᓇᓕᒫᑦ ᐃᒃᓯᓐᓇᑯᑕᖃᖅᓯᒪᒃᐸᑦ ᐃᑲᔪᖅᑐᐃᐱᖃᖅᑎᑕᐅᓇᓂ, ᐱᕕᑐᐊᑦᑎᐊᕆᓕᕐᓗᒍ, ᐊᑭᒪᓇᓱᐊᕐᓗᓂ ᐊᑭᕋᕐᑐᕐᓂᕐᒥᒍᑦ ᐊᒻᒪᓗ ᐅᖁᒪᐃᓪᓕᐅᖅᓂᖁᑦ, ᑕᒪᓐᓇ ᐃᓅᔪᓄᑦ ᐱᔪᓐᓇᐅᖅᑎᖕᒋᑦ ᓴᐳᒻᒥᔭᒃᑕᐅᔪᒃᓴᐅᕗᑦ ᒪᓕᒐᖕᒐᒍᑦ ᐱᖁᔭᓕᐊᖕᒍᓯᒪᔪᖁᑦ,
00-04	ᐃᒪᐃᒻᒪᑦ ᐱᕕᒃᓴᐅᕗᖅ ᐃᑲᔪᖅᑐᐃᔪᓐᓇᕐᓂᒃᑯᑦ ᐃᓅᖃᑎᖃᑦᑎᐊᕈᓐᓇᕐᓯᓴᕐᓂᒃᑯᑦ ᓯᓚᕐᔪᐊᕐᓂᐅᑦ ᐃᓄᖕᒋᓐᓄᑦ,
00-05	ᐃᒪᐃᒻᒪᑦ ᑭᓇᒃᑯᑐᐃᓐᓇᐃᑦ ᓯᓚᕐᔪᐊᕐᒥᐅᓂᒃ ᓴᐳᔾᔨᔨᑦ ᔫᓇᐃᑕᓐ ᓇᐃᓴᖕᒍᓂᕋᕐᑕᐅᔪᑦ ᐱᖁᔭᓕᐅᕐᓯᒪᕗᑦ ᓇᓗᓇᐃᖅᓯᓯᒪᑦᑎᐊᕐᖢᑎᒃ ᐅᒃᐱᕐᓂᖃᕐᓂᕐᒥᒃ ᐃᓖᔭᕐᓱᐊᖃᕆᐊᖃᖕᒋᓐᓂᖅ ᐃᓅᖃᑎᒋᔭᓄᑦ ᐱᔪᓐᓇᐅᑎᖕᒋᑎᒍᑦ ᐊᑐᕐᓗᑎᒃ, ᐅᐱᒍᓱᖕᓂᖃᕐᓗᑎᒃ ᐊᒻᒪᓗ ᐊᑐᕈᓱᑦᑎᐊᕐᓗᑎᒃ ᐃᓐᓄᓂᖕᒐᓂᒃ ᐊᒻᒪᓗ ᐊᔾᔨᐅᑎᓪᓗᒋᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᓂᒃᑯᑦ ᐊᖕᒍᑎᑦ ᐊᒻᒪᓗ ᐊᕐᓇᐃᑦ ᐊᒻᒪᓗ ᐃᓱᒪᒋᑦᑎᐊᕐᓗᒋᑦ ᓂᕐᓱᐊᕆᓗᒋᑦ ᐃᓅᓯᖕᒋᑦ ᐱᐅᓯᕙᒻᓕᐊᓂᖕᒋᓐᓄᑦ ᐊᒻᒪᓗ ᐱᐅᓯᕙᒻᓕᐊᓂᕐᒧᑦ ᖃᓄᐃᑦᑐᑐᐃᓐᓇᒃᑯᑦ ᐃᓅᓯᕐᒥ ᐊᖕᒋᓂᖅᐸᐅᔪᒥᒃ ᐃᓱᒪᖅᓱᕐᕕᖃᕈᓐᓇᕐᓂᖅᑯᑦ,
00-06	ᐃᒪᐃᒻᒪᑦ ᐃᓚᒋᔭᐅᔪᑦ ᐊᑐᒐᕆᕙᒃᑕᖕᒋᑦ ᑕᑯᖅᑯᑎᕙᒃᐳᑦ ᓇᖕᒥᓂᖅ ᐊᓂᒍᐃᓯᒪᓂᕐᒥᕐᓂᒃ, ᑲᔪᓯᒪᑎᑦᑎᖃᑎᒌᖕᓂᖁᑦ ᓯᓚᕐᔪᐊᕐᒥᐅᓄᑦ ᐊᑕᐅᓯᐅᖃᑎᒌᒃᑎᑦᑎᓇᓱᐊᖅᑎᑦᑎᔨᑦ ᔫᓇᐃᑕᓐ ᓇᐃᓴᓐᓯᖕᒍᓂᕋᕐᑕᐅᔪᑦ, ᐃᑲᔪᖅᑐᐃᕗᑦ ᓯᓚᕐᔪᐊᕐᒥᐅᓂᒃ ᐊᓐᓂᕈᓱᓚᐅᒥᖂᓪᓗᒋᑦ ᐊᒻᒪᓗ ᓇᐅᑦᑎᕐᓱᐊᕆᓗᒋᑦ ᑕᒪᒃᑯᐊ ᑭᓇᒃᑯᑐᐃᓐᓇᕐᓄᑦ ᐊᔾᔨᐅᔪᒥᒃ ᐱᔪᓐᓇᖅᑎᑕᐅᑦᑎᐊᖁᓪᓗᒋᑦ ᐊᒻᒻᓗ ᑐᙵᕕᖃᑦᑎᐊᖁᓪᓗᒋᑦ ᐃᓱᒪᖅᓱᕈᓐᓇᕐᓂᕐᒥᒃ,
00-07	ᐃᒪᐃᒻᒪᑦ ᑐᑭᓯᒪᓇᕋᔪᖕᒪᑦ ᑕᒪᒃᑯᐊ ᐱᔪᓐᓇᐅᑎᐅᔪᑦ ᐃᓱᒪᖅᓯᕈᓐᓇᐅᑎᐅᔪᓪᓗ ᐊᖕᒋᓂᕐᐸᐅᔪᒥᒃ ᐃᖅᑲᓇᖅᓂᕐᐸᐅᕗᑦ ᐅᔾᔨᕆᔭᐅᑦᑎᐊᓕᕐᓗᑎᒃ ᓇᖕᒥᓂᕆᔭᒥᖕᓂᒃ ᐊᑦᑕᕐᓇᔾᔭᐃᒃᑯᑎᖃᓕᖁᓪᓗᒋᑦ, ᒫᓇᒃᑯᑦ, ᐃᒪᐃᓕᖁᔨᓕᖅᐳᒍᑦ ᑲᑎᒪᕐᔪᐊᕐᓂᒥ ᐊᑐᕆᔭᐅᓕᖁᓪᓗᒋᑦ ᑕᒪᓐᓇ ᓯᓚᕐᔪᐊᕐᒥᐅᑦ ᓇᓗᓇᐃᖅᓯᐅᑎᖕᒐ ᑭᓇᒃᑯᑐᐃᓐᓇᐃᑦ ᐱᔪᓐᓇᐅᑎᖕᒋᓐᓄᑦ ᖃᓄᐃᑦᑐᑐᐃᓐᓇᒃᑯᑦ ᐊᓂᒍᐃᔭᐅᒐᔪᖕᒪᑦ ᑭᓇᒃᑯᑐᐃᓐᓇᓕᒫᑦᓯᐊᓄᑦ ᐊᒻᒪᓗ ᑕᒪᐃᓐᓄᓕᒫᑦᑎᐊᖅ ᓯᓚᕐᔪᐊᕐᒥᐅᑦ ᐃᓄᖕᒋᓐᓄᑦ, ᐃᓱᓕᓐᓂᐊᓄᑦ ᑕᒪᕐᒥᓕᒫᑦᑎᐊᖅ ᐃᓄᑑᓈᖅᑎᕐᑐᑦ ᐊᒻᒪᓗ ᑕᒪᕐᒥᓕᒫᖅ ᐃᓅᓯᓕᓕᒫᑦ, ᑕᒪᓐᓇ ᐸᐸᑐᐊᖕᒍᖁᓪᓗᒍ ᐃᓱᒪᒋᔭᐅᖕᒋᓐᓇᑦᑎᐊᕐᓗᓂ, ᖃᑭᒪᓇᓱᐊᖅᓂᖃᕐᓗᓂ ᐃᓕᓐᓂᐊᖅᑎᑦᑎᓂᒃᑯᑦ ᐃᓕᓐᓂᐊᕈᑎᓕᐅᖅᓂᒃᑯᑦ ᓂᕐᓱᐊᕆᓗᒍ ᓈᓚᒐᖃᑦᑎᐊᕐᓂᖅ ᑕᒪᒃᑯᓄᖕᒐ ᐱᔪᓐᓇᐅᑎᐅᔪᓄᑦ ᐊᒻᒪᓗ ᐃᓱᑦᓱᕈᓐᓇᕈᑎᐅᔪᓄᑦ ᐊᒻᒪᓗ ᐱᐅᓯᑎᕙᑦᓕᐊᓇᓱᐊᕐᓂᖕᒐ ᐆᒃᑐᕋᕐᓯᒪᑦᑎᐊᕐᓗᒋᑦ, ᑲᓇᑕᓕᒫᒥᐊᒻᒪᓗ ᓯᓚᕐᔪᐊᕐᒥᐅᓂ, ᐊᑦᑕᕐᓇᐃᕐᓯᒪᖃᓪᓗᒋᑦ ᓯᓚᕐᔪᐊᕐᒥᐅᖕᒍᖃᑎᒋᔭᑎᒃ ᐊᒻᒪᓗ ᐊᑐᕐᓂᖃᑦᑎᐊᕐᓗᓂ ᐃᓕᑕᕆᒪᓕᖁᓪᓗᒍ ᐊᒻᒪᓗ ᓇᐅᑦᕐᓱᐊᕆᓗᒍ, ᑕᒪᑎᒍᑦ ᐃᓄᖕᒋᑎᒍᑦ ᐃᓚᒋᔭᐅᔪᕗᑦ ᐅᖃᕐᓯᒪᔪᑦ ᓇᖕᒥᓂᕐᒥᒍᑦ ᐊᒻᒪᓗ ᐃᓅᖃᑎᒥᒃᑎᒍᑦ ᓄᓇᑦᑎᐊᕐᒥ ᑕᒪᒃᑯᐊ ᐊᑐᕐᓗᒋᑦ  ᒪᓕᒍᑎᒍᑦ ᑲᒪᕕᒋᔪᓐᓇᖅᑕᒥᒃᑎᒍᑦ.
01-00	ᐃᓚᖓ 1.
01-01	ᐃᓅᔪᓕᒫᑦ ᐊᓂᖅᑎᕆᔪᓕᒫᑦ ᐃᓅᓚᐅᕐᒪᑕ ᐃᓱᒪᕐᓱᕐᖢᑎᒃ ᐊᒻᒪᓗ ᐊᔾᔨᐅᖃᑎᒌᒃᖢᑎᒃ ᓂᕐᓱᐊᖑᓂᒃᑯᑦ ᐊᒻᒪᓗ ᐱᔪᓐᓇᐃᑎᑎᒍᑦ. ᐃᓱᖃᖅᑐᖁᑎᖃᕐᑎᑕᐅᕙᓕᕐᐳᑦ ᐱᔾᔪᑎᖃᕐᓂᒃᑯᑦ ᖃᑕᙳᑎᒌᑦᑎᐊᕆᐊᖃᕐᓂᒃᑯᓪᓗ.
02-00	ᐃᓚᖕᒐ 2.
