00-00	DURNYAŊ KIKƐ BE KEYILI KPRA TA LAŊƐ DIMEDI KIKƐ BE KUMU SO BE ASHYEŊ NƐ MOBE KASHINTEŊ AKPA
00-01	Kepin nɛ kemaŋkura, dimedi be eyilikpa nɛ mobe kumu so be asheŋ e la mobe kashinteŋ nɛ eyur-wushi be egbel-tulwase.
00-02	Kedɔ nɛ kekplaŋ dimedi be kashinteŋ ere so e naa bra barkɔnɛ, a duu mfɛra lubi dimedi be kumu to, n naŋ shi nɛ durnyaŋ to dimedi bu kebaa malga yɛlyɛla, ebɔrɛshuŋ, kayeŋi-yeŋi nɛ kanyɛ kii asheŋ kpakpa so bebolpo kutɔ.
00-03	Ku daga fanɛ awura-sheŋ be mbra ka bee kuŋ dimedi be kashinteŋ n sa maa shi nɛ eko maa kini mo barkasa nko a nyaŋ mo.
00-04	A daga keteŋi efuli-ana be kakurwe kelepo so.
00-05	Yunatɛd Neshin be baasa sa yɛrda kawol to ta a laŋɛ baasa be kashinteŋ-kpra nɛ bumode eyilikpa nɛ bu tiŋ teŋi bumobe kachena nɛ kebawɔtɔ lɛla be akpa so.
00-06	Efuli-ana nɛ a wɔ kɔnɔkoŋwole ere to bɔ ntaŋ fanɛ baŋ pɛ abar be nsher to n nya bunyaŋ nɛ kemaŋkur kashinteŋ ere to.
00-07	Ekama be kepin kashinteŋ nɛ kumu so be asheŋ ere e la demu kpra nɛ ku beeŋ chɛ to n teŋi ntaŋ ere so. Naniere, kumo so.
00-08	Durnyaŋ kikɛ be nshɛr gboŋ nna yili dimedi kikɛ be kumu so be asheŋ nɛ kashinteŋ ere.
00-09	Amuso, Kamalga ere to
00-10	BEE ŊINI FANƐ "GENERAL ASSEMBLY" BEE
00-11	Kaŋɛ ekama fanɛ kayili nɛ kuwɔ kawol ere to la amo nɛ a beeŋ wɔrɔ anfaani nsa ekama mo ne ewɔ efuli nna so. Ekama nta n-ya mata durinya kikɛ be mmalga yiliso so. Adaga efuli kikɛ eshuli n sa kamalga mo nɛ kuwɔ kawal ere to nta kumo nki kapatɛ nsa anye. Nsa nɛ kamalga ere eluri efuli kikɛ nɛnɛ: epeŋi petɛkpa, epeŋi-tɔrkpa, banaso, jisaso kusɔ nɛ adaga anye kikɛ ewurɔ nna ela.
01-00	Demu 1
01-01	Bu kurwe dimedi kikɛ mobe kumu so, nɛ mobe, eyilikpa, kesheŋ nɛ kashinteŋ maŋ kɔr eko peyɛ to. Nyinpela sa dimedi kikɛ lakal nɛ mfɛra fanɛ bu chena abarso kelepo so.
02-00	Demu 2
02-01	Ekama kɔ ekpa ta a laŋɛ kashinteŋ ere kikɛ nɛ kumu so be asheŋ nɛ a wɔ keyili kpra ere to nɛ nkpiɛto kikɛ maŋ wɔtɔ ashi yiri, kawol be ndu li, kenyɛn/keche, ngbar, ebɔrɛ shuŋ, kumu be kekeni nko lakal ko, efuli so nko kebawɔtɔ be ekpa so, kapitɛ, kakurwe nko eyililkpa ko be kabaso.
02-02	N naŋ tii so, nkpiɛto kikɛ e sa maŋ wɔtɔ ta a yɔ kumu be kekeni to, demu-ji to, nko efuli nɛ fo shi be eyilikpa durnyaŋ to nɛ loŋ be efuli nna suwe kumo kumu a keni kumo kumu so, nko efuli ko e naa keni kumu so ekpa ko so.
03-00	Demu 3
03-01	Ekama kɔ kashenteeŋ nɛ mobe efute nɛ mobe kumu be kekuŋ.
04-00	Demu 4
