00-00	LILOVE LYA VILAMBO LYA WASA WA VAN
00-01	Lisiku lya 10 Disemba 1948, Lukumbi Lukulu lwa Umoja wa Vilambo lunihaula na kuhumya lilove lya vilambo lya wasa wa vanu. Lilove alino lihumile baada ya chilambo chohechohe kupanyana ding’ondo ding’ulu dimbili. Lukumbi anelwo lulembedile kila chilambo chihumye lilove alino livahwikile vanu vake kwa kulangudya, kusomesa, kusomela, kuhaula n’disule na n’disehemu dinji kuvele na ilimu.
00-02	Ili kuhinikiha kuchidono wasa wa vanu unawuniwa, na Tansania inaunila wasa anewo, lilove alino lihumile M’chimakonde ili valembela usoma vavike wasa wene mun’tima mwavo vene na vanu vanji. Koka chive chihinde cha kukonyelela kuwuniwa kwa wasa wene m’manu na lyene lipanda.
00-03	Vanu vohevohe vavelekwa valendene na wasa wavo unalandana. Umoja wa Vilambo uhumije lilove alino m’malove lapeyapeya na lakakamadidye ili kila munu amale wasa wake. Wasa unang’owo wako. Uumale wasa wako, yangata uvahaulila vanji vanu na uwunile wasa wene muchi wako na wa vanji vanu.
01-00	LAHU YA 1
01-01	Vanu vohevohe vaidile n’chilambo valendene. Vanijaliwa ulimala vene. Pavele vanu pave na ulongo.
02-00	LAHU YA 2
02-01	Kila munu ilembelewa ave na wasa uhaulidiwije n’nilove alino bila uvalangila asili, langi, chivelekwa, litawa au chinu chinji chohechohe. Panave na kutondolanya vanu ing’anya ya siasa, ding’umbi dya shelia, vilambo vivaholoka, bila uvalangila kama vilambo anevyo vinatawaliwa au nanga.
03-00	LAHU YA 3
03-01	Kila munu alembelewa kwikala pachilambo alitukutwile na wunu wake.
04-00	LAHU YA 4
04-01	Munu akava n’twana, wala vakan’sumisa, na lilove alino linalimbidya usumisana vanu.
05-00	LAHU YA 5
05-01	Munu analage, anapate mateso, ukatili, au ubanika.
06-00	LAHU YA 6
06-01	Wunuwake munu uvele m’munu na umaikane pashelia.
07-00	LAHU YA 7
