00-00	TIṢERRIḤT TAGRAGHLANT IZERFAN N WEMDAN
00-01	Imi asmussen n lḥwerma i ttalasen akkw yâggalen n twachult talsawt d yizerfan n sen yemsawan, d nitni i d llsas n tlelli, taghdemt akkw d- tifrat deg wmadal (di ddunit).
00-02	Imi kra n widn nesmussun ara izerfan n wemdan d widn iḥeqqren s lkhwedm n lewḥuch yesserfayen tamsakwit n talsa akkw d- tlilin umadal and'ara hedren u and'ara yamnen yemdanen s tlelli idg ur yelli la aseṛheb la lmizirya, d nettat i d asirem âlayan n wemdan.
00-03	Imi tebbwi - dd nnig kra yellan ad ttuḥudden izerfan n wemdan s nnidam azerfan i wakkn ur yettuḥerrs ara wemdan di taggara alamma yughal d amnafeg ḍadd temḥeqranit akkw d unaghur.
00-04	Imi yessefk ad tennerni tegmi d wassaghen n tmidwa d lemḥibba gar yeghlanen.
00-05	Imi di lqanun izerfan n wemdan imudan n ledjnas yedduklen berrḥen i tikkelt tajḍidt laman n sen deg zerfan ilsasiyen n wemdan di ccherf akkw d wazal n bnadem di tugdut izerfan n tulawin d yergazen u berrḥen belli qeṣden ad snernin aqeddem amgarwan u ad sbed'den tigwnatin timenyafin n tudert di tlelli yettimghuren.
00-06	Imi, timura yetteskin di ledjnas yedduklen lezment iman n sent ad myallent (ad mmâwanent) i wakken ad demnent nitenti d-tuddsa n ledjnas yedduklen, di mkull timura leqder aheqqani izerfan n wemdan akkw tlella tilsasiyin.
00-07	Imi afham amechruk n tlella d yizerfan agi degs lqima tameqwrant i wakken ad uqment leqder tmura leqder i lâhd n sent.
00-08	Tajmâit tamatawt
00-09	Tberreḥ belli tiṣerriḥt agi tagraghlant izerfan n wemdan d anawad amechruk igher ssaramen imudan d yeghlanen akken ma llan i wakken akkw yemdanen d yâggaln n temgarwa i glan (i ges an) dima tiṣerriḥt agi di lbal n sen, ad skhedmen akkw lmedjhud n sen, s leqraya d ttṛebga i wakkn ad senernin aqader n tlella d yizerfan agi u ad demnen s ttawilat idd iteddun s lâqel, (wa deffir wa) deg wennar aghelnaw d ugraghlan asmussen d usnefḍes igraghlanen iḥeqqaniyen gar imezdaghen n ddulat tâggalin s timmad n sent nagh gar yimezdaghen n tmizar i gellan ddaw lhwekm n sent aghedman.
01-00	Tamadda 1:
01-01	Imdanen, akken ma llan ttlalen d ilelliyen msawan di lḥweṛma d yizerfan- ghur sen tamsakwit d lâquel u yessefk ad-tili tegmatt gar asen.
02-00	Tamadda 2:
02-01	Kull yiwen ghur-s lḥeqq ad ighellat tilella d yizerfan idd yeddan di tṣerriḥt agi bla tarayit idd yettasen si cchetla, d llun, d ldjens d tutlait, d ddin d ṛṛay asiyasi nagh ṛṛay iḍen i gerzan lasl aghelnaw, tamgarwa, aila talalit nagh liḥala n iḍen yehwa yas d argaz nagh d-tameṭṭut.
02-02	Rnu gher-s, ur ilaq ara ad-tili trayit yebnan ghef liḥala tasiyasit, taghedmawt nagh tagraghlant n tmurt nagh n temnadt ideg yezdegh wemdan yehwa yas tella tmurt agi nagh temnadt agi d- talellit nagh ddaw lewkala, nagh ur tehkim ara deg yiman is nagh ur tekmil ara tlelli ines.
03-00	Tamadda 3:
03-01	Kull amdan ghur es lḥeqq n tudert, tilelli d laman ghef timmad is.
04-00	Tamadda 4:
04-01	Ur ilaqar a ad yughal wemdan d akli nagh d aqeddach n wemdan iden. Tasakla d uzenzi n waklan ttuḥeṛṛmen maḍi.
05-00	Tamadda 5:
05-01	Ur ilaqara ad yettuselleṭ ghef umdan uâqeb nagh ssikis d- teghriwin yesnughbuyen, itekksen fell as sser.
06-00	Tamadda 6:
