00-00	Allgemeen Verklaren vun de Minschenrechten
00-01	Vunwegen wat dat Anerkennen vun de Wüürd, mit de all Minschen baren sünd, un de Rechten, de all Maten vun de Gemeenschupp vun de Minschen hebbt un de gliek un nich to verköpen sünd, de Grundlaag vun Frieheit un Freden in de Welt is, un wat dat recht und billig togeiht,
00-02	vunwegen wat dat Verkennen un Minnachten vun de Minschen rechten to unminschlich Doon föhrt hett, un dat Geweten vun de Minschen daarvun vull is vun Schann, is dat vör nehmste Wark vun de Minschen dat Buen vun een Welt, wo elk un een seggen un gloven dröff, wat he will un he frie is vun Bang sien un Noot,
00-03	vunwegen wat dat nödig is, de Minschenrechten dörch dat Regeern vun’t Recht Schuul  geven, dat de Minsch nich dwungen  as lest Middel Wedderpart to hollen Tyrannei un Ünnerdrücken,
00-04	vunwegen wat dat nödig is, dat mang de Natschonen föddert ward, wat se fründlich mit eenanner ümgaht,
00-05	vunwegen wat de Völker vun de Vereenten Natschonen mit düsse Charta noch mehr daar up ruut wüllt un dat so besloten hebbt: dat se fastholen an de Minschenrechten vun elk un een, fastholen an de Wüürd un den Weert vun elk un een, un wat Mannslüüd un Fruunslüüd de sülvigen Rechten hebben schüllt, un wat dat Wiederkamen vun de Gemeenschupp un een beter Leven in mehr aFrieheit föddert warrn schall,
00-06	vunwegen wat de Matenlänner toplicht hebbt, tosamen mit de Vereenten Natschonen allns daarför to doon, dat de Minschenrechten  de Frieheit vun elk un een samt un sünners acht un estimeert ward,
00-07	vunwegen wat dat mit düsse Verplichten wat ward, is dat vun gröttste Bedüden, wat  sülvige meent ward, wat düsse Rechten un Frieheiten angeiht,
00-08	un so gifft de Generalversammeln Bott: Düsse Allgemeen Verklaren vun de Minschenrechten is dat, wat för all de Völker  Natschonen as Wiespahl gellen schall. Elk un een un all Inrichten vun de Sellschupp schüllt düsse Verklaren jümmers praat hebben un daarför wat doon. Dörch Ünnerrichten un Uptrecken schall dat Estimeern vun düsse Rechten un Frieheiten föddert warrn. Dörch natschonaal un internatschonaal Doon schall dat mehr warrn mit dat allgemeen un rejell Annerkennen un Ümsetten vun düsse Verklaren bi all de Lüüd in de Matenstaaten, över de düsse Gewalt hebbt.
01-00	Artikel 1
01-01	All de Minschen sünd frie un gliek an Wüürd un Rechten baren. Se hebbt Vernunft un een Geweten un se schüllt sik Bröder sien.
02-00	Artikel 2
02-01	Dat, wat in düsse Verklaren över de Rechten un Frieheiten steiht, gellt för elk un een. Daar gifft dat keen Ünnerscheed vunwegen de Raas, de Farv vun de Huut, dat Geslecht, de Spraak, den Gloven, de Menen vunwegen de Politik orrer annereen Övertügen, dat natschonaal orrer soziaal Herkamen, den Riek doom, Geburt orrer sünst een Stand.
02-02	Ok dröff daar keen Ünnerscheed maakt warrn vun wegen de politsch, rechtlich orrer inter natschonaal Stand vun dat Land orrer Flach, wo een Minsch tohören deit. Dat dröff keen Ünner scheed geven, wat dit Land orrer dat Flach ünner Vullmacht steiht, keen Sülfstregeern hett orrer anners in sien Egenrecht inschränkt is.
03-00	Artikel 3
03-01	Elk un een hett dat Recht up Leven, Frieheit un Sekerheit vun de Persoon.
04-00	Artikel 4
04-01	Keeneen dröff Slaveree lieden orrer to dat Goot vun anner Minschen  jeedeen Aart un Wies vun Slaveree un Slavenhannel sünd verbaden.
05-00	Artikel 5
05-01	Keeneen dröff ünner de Folter. Ok  keeneen grusig, unminschlich  orrer Straaf lieden orrer dörch so een Doon duuk nackt warrn.
06-00	Artikel 6
06-01	Elk un een hett dat Recht, överall as een Rechtspersoon to gellen.
07-00	Artikel 7
07-01	All Minschen sünd gliek vör dat Gesett. Ahn een Ünnerscheed hebbt se dat  up glieke Schuul dörch dat Gesett. All  se Anrecht up sülvig Schuul tegen jeedeen Minnachten, de tegen düsse Verklaren geiht. Dat gellt ok för dat Uphissen för so  Minnachten.
08-00	Artikel 8
08-01	Elk un een hett dat Anrecht up rejell Help bi de Gerichten binnen den Staat, de dat anlangt, wenn sien Grundrechten, de he na de Verfaten orrer na dat Gesett hett, dörch jichtenseen Doon inschränkt warrn schüllt.
09-00	Artikel 9
09-01	Keeneen dröff ahn Grund  fastsett orrer ut dat Land wiest warrn.
10-00	Artikel 10
10-01	Elk un een hett bi’t Faststellen vun sien Rechten un Plichten dat glieke Anrecht up een Verfahren, dat gerecht un apen is, un up een Gericht, dat keen na den Willen is un frie is in’t Entscheden. Datsülvige gellt för een Beschulligen na dat Straafrecht.
11-00	Artikel 11
