00-00	UMBHALO OGCWELE WOGUNYAZO LWAMALUNGELO OLUNTU JIKELELE
00-01	Ngokunjalo ukwamukelwa ngokuzuzwa kwesithunzi samalungelo alinganayo najwayelekile awowonke amalunga omndeni wesintu kuyisisekelo senkululeko, sobulungiswa noxolo emhlabeni,
00-02	Ngokunjalo ukunganakwa nokwedelelwa kwamalungelo esintu kube nomphumela wezenzo zobuqaba eseziqede unembeza kubantu, kanye nomhlaba obhekwe isintu ukuba senamele inkululeko yokukhuluma nokukholwa, inkululeko yokungesabi futhi nokufuna kugunyazwe ugqozi kubobonke abantu,
00-03	Ngokunjalo kudingekile, uma umuntu engenakuphoqwa ukulandela umgudu othize, njengendlela yokugcina, avukele ababusi nabacindezeli, ukuze amalungelo esintu avikelwe ngokubusa ngomthetho,
00-04	Ngokunjalo kudingekile ukuba kwenyuswe ukuthuthukiswa kobungane nobudlelwane phakathi kwezizwe,
00-05	Ngokunjalo abantu beNhlangano yeZizwe bayinqinisile inkolo yabo yengqalasizinda yamalungelo oluntu kuCharter, esithunzini nobuntu emalungelweni alinganayo abesilisa nabesifazane futhi bazimisele ukuqhubela phambili inqubekelaphambili yomphakathi namazinga angcono empilo enkululekweni ethe xaxa,
00-06	Ngokunjalo aMalunga eMibuso azibophezele mathupha ukuthuthukisa, ngokubambisana neNhlangano yeZizwe, ukuthuthukiswa kwenhlonipho emhlabeni wonke nokuqashelwa kwamalungelo oluntu nengqalasizinda yenkululeko,
00-07	Ngokunjalo ukuqondwa kahle ngokufanayo kwalamalungelo nenkululeko kubaluleke kakhulu ukuze lokhu kuzibophezela kuqashelwe,
00-08	MANJE, NGAKHOKE
00-09	UMGWAMANDA
00-10	UNQUMA uGunyazo lwaMalungelo oLuntu Jikelele njengezinga elifanayo lokuthuthukiswa kwabantu nezizwe zonke, ekugcineni okuzokwenza ukuthi umuntu ngamunye kunoma isiphi isigaba somphakathi ngokugcina lolawulo emqondweni baphokophelele ngokufundisa nangemfundo ukuphakamisa inhlonipho yalamalungelo nenkululeko futhi nangenqubekelaphambili, ezweni noma emhlabeni jikelele, baqinisekise ukwamukelwa okuvumelekile nokuqashelwa jikelele ndawozombili phakathi kwabantu baMalunga eMibuso qobo lwabo kanye nabantu abangaphansi kwemibuso yabo.
01-00	Isigaba 1
01-01	Bonke abantu bazalwa bekhululekile belingana ngesithunzi nangamalungelo. Bahlanganiswe wumcabango nangunembeza futhi kufanele baphathane ngomoya wobunye.
02-00	Isigaba 2
02-01	Wonke umuntu kumele awathole wonke lamalungelo nenkululeko ebhalwe kuloluGunyazo, ngale kokwehlukaniswa, ngokobuhlanga, ngokwebala, ngokobulili, ngokolimi, ngokwenkolo, ezombangazwe noma umbono, ubuzwe noma imvelaphi, umhlaba, ukuzalwa noma isiphi‐ke nje esinye isimo.
02-02	Ngaphezu kwaloko, akukho kuhlukaniswa okuyokwenziwa ngenxa yezombangazwe, isimo sokwenganyelwa kwezwe noma imingcele yezwe umuntu ahlala kulo, noma ngabe uzimelegeqe, ubanjelwe, ozibuse noma uphansi kolawulo olunqunyelwe.
03-00	Isigaba 3
03-01	Wonke umuntu unelungelo lempilo, lenkululeko nelokuphepha.
04-00	Isigaba 4
04-01	Akekho oyoba isigqila noma agqilazwe, ukuhweba ngezigqila kuyovinjwa ngezindlela zonke.
05-00	Isigaba 5
05-01	Akekho oyohlukunyezwa noma aphathwe ngobulwane ajeziswe ngokwehliswa isithunzi.
06-00	Isigaba 6
06-01	Wonke umuntu unelungelo lokwemukelwa nomaphi njengomuntu phambi komthetho.
07-00	Isigaba 7
