00-00	DECLARAÇON UNIVERSAL DI DIRITU DI OMIS
00-01	Suma qui qui ricunhicidu dignidadi di tudu membru di familias I se diritus djusta na tudu sintidu, I ca pudi passadu pa utru djintis, I ta fassi liberdadi fundamental di djustiça cu paz na mundu intidu.
00-02	Suma falta di cunsi, cu disprezu di diritu di omis I ta leba malbadessa na manera di pensa di pecaduris suma mundu qui na bin bin, nundê qui tudu pecaduris díbidi papia livri, di fia, di ca tene medu di nada, nim di coitadessa, I papia ê declaraçon suma cussa má garandi qui omi sunha.
00-03	Omi padidu pa viki, pa quila I dibidi tadjadu di tudu manera pa ca nada di mal utchal, pa quila I criadu manga di diritus pa pudi difindil.
00-04	Suma na mundu tudu djintis díbidi mama, I purcis pa I dadu coragem pa ê mama ba ta quirci cada dia.
00-05	Suma qui carta qui Naçon Unida scribi pa si povu, I cuirta risso si fiança na diritu di omi qui tudu qui I sedu suma pecadur qui djusta qui virus na mundu I qui misti djuda pa tudu omis cu mindjeri mama I pa I ten mindjor condiçon di bida na metadi di tudu ermon.
00-06	Suma stadus qui pui na son djurmenti pui mon pa firmanta I pa djuda naçon unida leba ê barbade pa tudu ladu I pa pul cu tudu si força pa I rispitadu qui liberdadi qui mistidu.
00-07	Só ora qui tudu djintis intindi diritu ê barbadi, pa tudu por I ianda pa dianti pudi sênu
00-08	ASSEMBLEIA GERAL
00-09	Danu ê DECLARAÇON UNIVERSAL DI DIRITU DI OMI suma cussa qui tudu djintis misti pa I tchiga pa tudu povu intidu qui sta na mundu, pa tudu djintis qui sta na mundu ó quilis qui pudu pa djuda povu, pa ê tene sempri na corçon I pa ê fassi força pa sina tudu djintis ó dá considju pa cada quin sibi rispita liberdadi di si companher, I pa el própi sê quil qui na leba qui barbadi pa tudu ladu disna di si terra, tê na terra di utrus djintis pa tudu pudi cunsi ê DECLARAÇON. Povu cu stadu qui pui na un son I díbidi fassi djintis vivi ê Declaraçon I pa ê mamal na ladu qui cada quin sinta bas di si stadu.
01-00	ARTIGO 1º.
01-01	Tudu pecadur padidu livre, ninguin ca más ninguin, tudu djusta, tudu tem mesmu diritu. Tudu quin qui padidu, tem si roçon, cu si manera di pensa. Na metadi di utrus I díbidi fassi cussas cu ermondadi.
02-00	ARTIGO 2º.
02-01	Tudu pecadur díbidi gurta risso diritus cu liberdadi qui faladu na ê Declaraçon, sin scudju, di rassa, di côr, di matchu ó fémia, di língua, di religion, di politica, ó utrus, suma cussas qui bin di tchon ó di djintis, ó pabia I pissadu, ó pabia I fidju di régulu ó aladje, ó pabia di utrus cussas parcidus.
02-02	Nin qui quila, I ca na fassi nin un scudju na statutu políticu ó di tribunal, ó di tudu terra , ó di terra qui bu bicu interradu n’el, nin qui terra ta manda na si cabeça, ó utrus ta manda n’el.
03-00	ARTIGO 3º.
03-01	Tudu pacadur tem diritu di vivi, di sedu livre I di djubudu, pa ca nada otchal di mal.
04-00	ARTIGO 4º.
