00-00	اعلامیه جهانی حقوق بشر
00-01	از آنجا که شناسائی حیثیت ذاتی کلیهٔ اعضای خانواده بشری و حقوق یکسان و انتقال ناپذیر آنان اساس آزادی و عدالت و صلح را در جهان تشکیل میدهد،
00-02	از آنجا که عدم شناسائی و تحقیر حقوق بشر منجر به اعمال وحشیانه‌یی گردیده است که روح بشریت را به عصیان واداشته و ظهور دنیایی که در آن افراد بشر در بیان و عقیده آزاد و از ترس و فقر فارغ باشند بعنوان بالاترین آمال بشر اعلام شده است،
00-03	از آنجا که اساساً حقوق انسانی را باید با اجرای قانون حمایت کرد تا بشر به عنوان آخرین علاج به قیام بر ضد ظلم و فشار مجبور نگردد،
00-04	از آنجا که اساساً لازم است توسعه روابط دوستانه بین ملل را مورد تشویق قرار داد،
00-05	از آنجا که مردم ملل متحد باور خود را بحقوق اساسی بشر و مقام و ارزش فرد انسانی و تساوی حقوق مرد و زن مجدداً در منشور اعلام کرده‌اند و تصمیم راسخ گرفته‌اند که به پیشرفت اجتماعی کمک کنند و در محیط آزاد وضع زندگی بهتری بوجود آورند،
00-06	از آنجا که دول عضو متعهد شده‌اند که احترام جهانی و رعایت واقعی حقوق بشر و آزادیهای اساسی را با همکاری سازمان ملل متحد تأمین کنند،
00-07	از آنجا که حسن تفاهم مشترک نسبت به این حقوق و آزادیها برای اجرای کامل این تعهد کمال اهمیت را دارد،
00-08	مجمع عمومی، این اعلامیه جهانی حقوق بشر را آرمان مشترکی برای تمام مردم و کلیه ملل اعلام میکند تا جمیع افراد و همه ارکان اجتماع این اعلامیه را پیوسته مد نظر داشته باشند و تلاش کنند که بوسیلهٔ تعلیم و تربیت احترام این حقوق و آزادیها گسترش یابد و با تدابیر تدریجی ملی و بین‌المللی، شناسایی و اجرای واقعی و حیاتی آنها چه در میان خود ملل عضو و چه در بین مردم کشورهائی که در قلمرو آنها میباشند، تأمین گردد.
01-00	ماده اول:
01-01	تمام افراد بشر آزاد به دنیا می‌آیند و از لحاظ حیثیت و حقوق با هم برابرند. همه دارای عقل و وجدان هستند و باید نسبت به یکدیگر با روح برادری رفتار کنند.
02-00	ماده دوم:
02-01	۱ ‐ هر کس میتواند بدون هیچگونه تمایز مخصوصاً از حیث نژاد، رنگ، جنس، زبان، مذهب، عقیده سیاسی یا هر عقیدهٔ دیگر و همچنین ملیت، وضع اجتماعی، ثروت، ولادت یا هر موقعیت دیگر، از تمام حقوق و کلیهٔ آزادیهایی که در اعلامیه حاضر ذکر شده است، بهره‌مند گردد.
02-02	۲ ‐ بعلاوه هیچ تبعیضی بعمل نخواهد آمد که مبتنی بر وضع سیاسی، اداری و قضائی یا بین‌المللی کشور یا سرزمینی باشد که شخص به آن تعلق دارد، خواه این کشور مستقل، تحت قیومیت یا غیر خودمختار بوده یا حاکمیت آن به شکلی محدود شده باشد.
03-00	ماده سوم:
03-01	هر کس حق زندگی، آزادی و امنیت شخصی دارد.
04-00	ماده چهارم:
04-01	هیچکسی را نمیتوان در بردگی نگه داشت و دادوستد بردگان به هر شکلی که باشد، ممنوع است.
05-00	ماده پنجم:
05-01	هیچکسی را نمیتوان زیر شکنجه، مجازات یا رفتاری قرار داد که ظالمانه، بر خلاف انسانیت و شئون بشری یا اهانت‌آمیز باشد.
06-00	ماده ششم:
06-01	هر کس حق دارد که شخصیت حقوقی او در همه‌جا بعنوان یک انسان در مقابل قانون شناخته شود.
07-00	ماده هفتم:
07-01	همه در برابر قانون مساوی استند و حق دارند بدون تبعیض و مساویانه از حمایت قانون برخوردار شوند. همه حق دارند در مقابل هر تبعیضی که ناقض اعلامیه حاضر باشد و در برابر هر تحریکی که برای چنین تبعیضی به عمل آید، به گونه مساوی از حمایت قانون بهره‌مند شوند.
08-00	ماده هشتم:
08-01	در برابر اعمالی که حقوق اساسی هر فرد را مورد تجاوز قرار دهد و آن حقوق به وسیله قانون اساسی یا قانون دیگری برای او شناخته شده باشد، هر کس حق رجوع موثر به محاکم ملی صالحه دارد.
09-00	ماده نهم:
09-01	هیچکسی نباید خودسرانه توقیف، حبس یا تبعید بشود.
10-00	ماده دهم:
10-01	هر کس با مساوات کامل حق دارد که دعوایش به وسیله دادگاه مستقل و بیطرف، منصفانه و علناً رسیدگی شود و چنین دادگاهی درباره حقوق و الزامات او یا هر اتهام جزایی که به او توجه پیدا کرده باشد، تصمیم بگیرد.
11-00	ماده یازدهم:
11-01	هر کس که به جرمی متهم شده باشد، بی‌گناه شمرده خواهد شد، تا وقتیکه در جریان یک دعوای عمومی که در آن کلیه تضمین‌های لازم برای دفاع او تأمین شده باشد، تقصیر او قانوناً محرز گردد.
11-02	هیچکس برای انجام یا عدم انجام عملی که در موقع ارتکاب آن عمل به موجب حقوق ملی یا بین‌المللی جرم شناخته نشود، محکوم نخواهد شد. به همین طریق هیچ مجازاتی شدیدتر از آنچه که در موقع ارتکاب جرم به آن تعلق میگرفت درباره کسی اعمال نخواهد شد.
12-00	ماده دوازدهم:
12-01	هیچکسی در زندگی خصوصی، امور خانوادگی، اقامتگاه و یا مکاتبات خود نباید مورد مداخله‌های خودسرانه واقع شود و شرافت و اسم و رسمش نباید مورد حمله قرار گیرد. هر کس حق دارد که در برابر اینگونه مداخلات و حملات مورد حمایت قانون قرار گیرد.
13-00	ماده سیزدهم:
13-01	هر کس حق دارد که در داخل هر کشوری آزادانه عبور و مرور کند و محل اقامت خود را انتخاب نماید.
13-02	هر کس حق دارد هر کشوری و از جمله کشور خود را ترک کند و یا به کشور خود باز گردد.
14-00	ماده چهاردهم:
14-01	هر کس حق دارد در برابر تعقیب، شکنجه و آزار پناهگاهی جستجو کند و در کشورهای دیگر پناه اختیار نماید.
14-02	در موردی که تعقیب واقعاً مبتنی بر جرم عمومی و غیرسیاسی یا رفتارهائی مخالف با اصول و مقاصد ملل متحد باشد، نمیتوان از این حق استفاده نمود.
15-00	ماده پانزدهم:
15-01	هر کس حق دارد که دارای تابعیت باشد.
15-02	هیچکسی را نمی‌توان خودسرانه از تابعیت خود یا از حق تغییر تابعیت محروم کرد.
16-00	ماده شانزدهم:
16-01	هر زن و مرد بالغی حق دارند بدون هیچگونه محدودیت از نظر نژاد، ملیت، تابعیت یا مذهب با همدیگر ازدواج کنند و تشکیل خانواده دهند. در تمام مدت زناشویی و هنگام انحلال آن، زن و شوهر در کلیه امور مربوط به ازدواج، دارای حقوق مساوی استند.
16-02	ازدواج باید با رضایت کامل و آزادانهٔ زن و مرد واقع شود.
16-03	خانواده رکن طبیعی و اساسی اجتماعی است و حق دارد از حمایت جامعه و دولت بهره‌مند شود.
17-00	ماده هفدهم:
17-01	هر شخص منفرداً یا بطور اجتماعی حق مالکیت دارد.
17-02	هیچکس را نمیتوان از حق مالکیت محدود نمود.
18-00	ماده هژدهم:
18-01	هر کس حق دارد که از آزادی فکر، وجدان و مذهب بهره‌مند شود. این حق متضمن آزادی تغییر مذهب یا عقیده و همچنین متضمن آزادی اظهار عقیده و ایمان است و نیز شامل تعلیمات مذهبی و اجرای مراسم دینی میباشد. هر کس میتواند از این حقوق تنها یا همگانی با دیگران، به طور خصوصی یا بطور عمومی برخوردار باشد.
19-00	ماده نوزدهم:
19-01	هر کس حق آزادی عقیده و بیان دارد و حق مزبور شامل آنست که از داشتن عقاید خود بیم و اضطرابی نداشته باشد و در کسب اطلاعات و افکار و در اخذ و انتشار آن به تمام وسایل ممکن و بدون ملاحظات مرزی آزاد باشد.
20-00	ماده بیستم:
20-01	هر کس حق دارد آزادانه مجامع و جمعیت‌های مسالمت‌آمیز تشکیل دهد.
20-02	هیچکس را نمیتوان مجبور به شرکت در اجتماع کرد.
21-00	ماده بیست و یکم:
21-01	هر کس حق دارد در ادارهٔ امور عمومی کشور خود، خواه مستقیماً و یا خواه به وساطت نماینده‌گانی که آزادانه انتخاب شده باشند شرکت جوید.
21-02	هر کس حق دارد با تساوی شرایط، به مشاغل عمومی کشور خود نایل آید.
21-03	اساس و منشأ قدرت حکومت، ارادهٔ مردم است، این اراده باید بوسیله انتخاباتی ابراز گردد که از روی صداقت و بطور ادواری صورت پذیرد. انتخابات باید عمومی و با رعایت مساوات باشد و با رأی پنهانی یا طریقه همانند آن انجام گیرد که آزادی رأی را تأمین نماید.
22-00	ماده بیست و دوم:
22-01	هر کس به عنوان عضو اجتماع حق امنیت اجتماعی دارد و مجاز است به وسیله مساعی ملی و همکاری بین‌المللی حقوق اقتصادی، اجتماعی و فرهنگی را که لازمهٔ مقام و نمود آزادانه شخصیت او است با رعایت تشکیلات و منابع هر کشور به دست آورد.
23-00	ماده بیست و سوم:
23-01	هر کس حق دارد کار کند، کار خود را آزادانه انتخاب نماید، شرایط منصفانه و رضایت بخشی برای کار خواستار باشد و در برابر بیکاری مورد حمایت قرار گیرد.
23-02	همه حق دارند که بدون هیچ تبعیضی در مقابل کار مساوی، اجرت مساوی دریافت دارند.
