00-00	LATA' TU KAMININI LAKCHIXKUWIN XLITILANKA KAKILHTAMAKU TUKU XWANA
00-01	K'atsikan xlakata latapulikan ka'unin, ni kgatayakan ti tlakatnan cha tlan latamakan nak k'alihtamaku tamaklakask'ini nak ixlatamatkan lakch'ixkawin na chuna tu kaminini wakg ti tawilana nak akgxtakga chu xatalakgapasni.
00-02	K'atsikan xlakata ni wakg lakgapaskan chu matlanikan lata' tu kaminini lakchi'ixkuwin, wa ama' kalilak tayamikanit ixtalatamatkan lakch'ixkuwin; ama talakapastakni nema matlani ixlatamat lakch'ixkuwin, wa ama tokgokg'emaka xlakata tlan nalatamakan nak k'akilhtamaku chu lakgmakgankan tu nitlan la tajikuati, ta'akgxtakgajnat, nema makgalipuwanankan chu tlan nalakanajlinikan, nachuna tlan nalakgach'ixkunikan tu ch'atum ch'atum makanajli.
00-03	K'atsikan xlakata snun makuan ama' tukaminini lakch'ixkuwin wa chi tlan limakgchiwinankan xlakata tlan namakgantuxtikan, chu ch'ali t'uxama ni nalalakatak'ikan nema ta'akgch'a panankgomona chu talaktayaminamana.
00-04	K'atsikan xlakata ntlan putsakan katalapaxk'ilh pulataman.
00-05	K'atsikan xlakata pulataman nema tapakgtanumana nak Naciones Unidas tamast'anit ixtachiwinkan, xlakata tamatl'iwekglha talakask'init nema kaminini lakch'ixkuwin xlakata tlan natalatama chu ch'ixku nakatlawakan nachunalitum akxtum ixlitl'iwekgekan ch'atum ch'ixku, la ch'atum puskat xlakata tlan natalatama, ni natatakglhuwi chu lipaxau nalatawilakan niti la'akgch'apawali.
00-06	K'atsikan xlakata pulataman nema natamakgk'atsi, talitayanit xlakata nata'amana tamakgtayanan akxni natamakaskuja xamakgapitsi nema tatap'akgsi nak Naciones Unidas, xlakata ch'ixku nakatlawakan wakg titalamana nak k'akilhtamaku chu tu kaminini lakch'ixkuwin; chu.
00-07	K'atsikan xlakata pala wakg lakgapaskan tu kaminini lakchixkuwin xlakata tlan natalatama nachuna xlakata tlan ka'unin talatapuli, tlan namakgantuxtikan tak'atsin nema lichiwinamaka;
00-08	PUTUM TAMAKXTUMIKAN LITAYAKAN LATA' TU KAMININI LAKCH'IXKUWIN XLITILANKA KAKILHTAMAKU
00-09	Lipokgtum tapuwan nema takg'alhi lakalhuwa pulataman limatliwekglhat xlakata ch'atunu ch'atunu lakch'ixtuwin nachuna pumap'akgsin katamakgp'untumilh nak pukgaltawakga chu nak akgxtakga kakamatlanica ama tu kaminini lakch'ixkuwin nachuna kamakatsininanka nak lakatunu pulataman chu nak k'akilhtamaku ama tlan tapuwan chu kamaklakask'inka nak ixlitilanka k'akilhtamaku, xlakata wakg pulataman nema tatamakxtuminit nak Naciones Unidas nachuna xamakgapitsin nema na'ana takilhwak'ana natamaklakask'in ama tapuwan nema kaminini lakch'ixkuwin xlakata tlan natalatama.
01-00	Limap'akgsit 1
01-01	Wakg lakch'ixkuwin talakgawan nak ka'unin niti ka'akgch'apawalinit nachuna wakg takg'alhi ixtamaxanatkan chu tu kaminini, je'e wanp'utun xlakata wakg talakpuwanan, talalakgk'atsan liwakg, talakask'ini xlakata wakg natalamakgtaya.
02-00	Limap'akgsit 2
02-01	Wankg lakch'ixkuwin ixkalilakgchat tu kaminini chu ixlatamatk'an xalak ka'unin nema talhkalh akxni putum tamakxtumika nila lakats'alakan akxtum kalakgchan lakch'ixkuwin, nila ta'aninikan la tata'si pala lakgsmumokgo, laksmalala, nachuna pala tsumat chu kg'awasa, ixtalakapastakni, nachuna pala tlan wi, ni tlan wi, pala kg'alhi tumin, wakg kaminini lakch'ixkuwin kakalakgch'alh tu xlakatatkan xlakata tlan natalatama.
02-02	Nachunalitum nila ka'akgts'akswakan lakch'ixkuwin nema talamana alakatunu pulataman nema ni ixakstu tap'akgsi, chu nikg'alhi ixlamp'akgsit, wakg lakch'ixkuwin nakalakgchan tu kaminini, nila ta'aninikan pala ixpulataman tatapawatawalinit alakatunu nachuna pala tunu pula taman nema likilhwaka'.
03-00	Limap'akgsit 3
03-01	Wakg lakch'ixkuwin minini nalatama, nalatapuli nak ka'unin nachuna namakgtakg'alhkan ixlatamat.
04-00	Limap'akgsit 4
04-01	Nila ti akgch'apawalikan ni pala chuta' maskujukan; nak k'akilhtamaku lakgkuanit limap'akgsit nema ixli'akgch'apawalinankan nachuna nema chuta' ixlimaskujunankan maski xakalalawa.
05-00	Limap'akgsit 5
05-01	Nila ti makgxtakgakgnikan, la chi ka'akgkg'aximika chu katamaknuka nak pulach'in, katlawaka la kitistanka, la ni kakg'alhilh ixlistakni.
06-00	Limap'akgsit 6
06-01	Wakg lakch'ixkuwin kaminini kakach'ixkutla waka nak ixlatamat, kani kalatamalh.
07-00	Limap'akgsit 7
07-01	Wakg lakch'ixkuwin kaminini kakamakgtakgalhka, kakalikuentaja limap'akgsin nema walikanit, nachuna nila maklakask'inkan limap'akgsin wata' ti kalaksakkanit. Wakg lakch'ixkuwin kaminini kakakxilhkata xlakata ni nakamamaxanikan chu nakalakgmakgankan la wan je'e talakapastani lata' tu kaminini lakch'ixkuwin.
08-00	Limap'akgsin 8
08-01	Wakg lakch'ixkuwin kaminini tawali xatachokgot limap'akgsit akxni kalaktayaminaka tu xla lakgcha, la wan limap'akgsin lakatunu pulataman.
09-00	Limap'akgsin 9
09-01	Nila ti machokgokan nak tijya, tamaknukan nak pulach'in, chu tantlakgaxtukan nak ixpulataman.
10-00	Limap'akgsit 10
10-01	Akxni kamalakapukanit lakchi'ixkuwin kaminini kakakgaxmatka k'akapulhuwa, nala xamakgapitsi, xlakata tlan natawan tu xlakan kalilh kuyuyawamaka pala kana, ni kana, chu ama map'akgsinanin niti ta'amana tatataya, xlak'an t'anks ta'amana tamap'akgsinan chu natawan tiku tlawanit ixtalakgalhin pala minini kalikgatayaka chu pala minini kakaxtlawalh ixtalakgalhin.
11-00	Limap'akgsin 11
11-01	Lata' ti liyawakanit talakgalhin tlan wankan xlakata xlaka nitu tlawan, pala ni makgalulokgkanit tu lilhkuyuyawamaka, la wan limap'akgsin nachuna kakapulhuwa nakgaxmatkan xlakala ti malakgsi kanit tlan nawan tu xla k'atsi.
