00-00	IHANO LYA MAHANGA LYA HAKI YA BANHU
00-01	NGUNO Ubumanicha kubi banhu bose balin’ikujo na haki ja bulinganile hu chandyo cha kwiyagalula, kwenha haki na lubango,
00-02	NGUNO ukwihugija na kuleka kulondalonga haki ja banhu huko kwenheleja mashito magakanazu ga kudacha na kumala masala banhu kukoba welelo i ya banhu bose balabi na buyegi wa kwiyagalula, kuyomba, kwinja boba na kupandika shose isho bushikobaga,
00-03	NGUNO giki ulu abanhu bakasaziwagwa kuhaya basole mashilanga kuzitula bushimba, kulema kwibonelwa na bahanya ba nsi Ilagilo lya Nsi lilabade haki jabo,
00-04	NGUNO kinhu kihannya hu kubejja na kukuja bunwani na nsi zingi,
00-05	NGUNO u ng’w’Ilagilo banhu ba mahanga bizunilija giki i haki ja banhu n’ikujo lyabo, haki ja bulinganile la bakima na bagosha hu kuzenga na kukuja kilendele na kwiyagalula,
00-06	NGUNO ndi banachana hakimo na Mahanga balagana kwenha ikujo mu welelo na kwenha haki na wiyagaluzi,
00-07	NGUNO banhu bose kumanicha wiyagalule na haki jinijo hu kinhu cha kwendya umu kuzimanicha kisoga na malagilo genayo.
00-08	Whisho lulu,
00-09	Ibanza la Mahanga lilitangaja
00-10	Ihano lya Welelo Yose
00-11	Lya haki ja Banhu
00-12	Kubi nzila ya banhu na nsi jose mpaga ng’wene na kila kinhu buli lushiku wihande kulisoma ku nguno ya kweneja ikujo, haki na wiyagalule ng’wihanga na mu welelo mpaga bana welelo balizunye kulilonda na nsi banachama bali mgati najo bose balimane.
01-00	IGELE LYA 1
01-01	Banhu bose bubyalagwa biyagalulile, n’ikujo haki zilenganelile.
02-00	Banhu bose bina masala na wiganiki, hu kuyomba ihayilwe bitogwe giti bana ba mbyazi bumo.
02-01	IGELE LYA 2
02-02	Kila munhu, bila kukomanyiwa luganda, ikoba, bubyalwa, lulimi lwakwe, dini, kitemele cha nsi yakwe nulu kiganikile kingi sh’ihanga uko afumile, wabyalilwe, busabi nulu umo ali, wina wiyagalule na haki jose ijo jandikwa u ng’w’Ihano linilo.
03-00	Hangi giki, kukize kubi busolaniwa ku nzila ja butemi wa nsi yi bi yitabalile ninga yitabalilwe.
03-01	IGELE LYA 3
04-00	Kila munhu wina haki ya bupanga na wa wiyagalule wa kwikala na lubango.
04-01	IGELE LYA 4
05-00	Nduhu munhu kusesekwa nulu kuding’wa busese ku nguno kuguja basese nulu kuseseka kulemejiwe.
05-01	IGELE LYA 5
06-00	Imelejiwe munhu kuduchiwa nulu kwingiziw’ ikujo.
06-01	IGELE LYA 6
07-00	Kila munhu ng’w’Ihano lya Nsi wina haki ya kupiw’ikujo
07-01	IGELE LYA 7
08-00	Banhu bose ng’w’Ihano lya Nsi bina haki ja kulabandwa bila kubagulwa. Bose bila haki ya kulabadwa, bakalumiziwe ku nguno ya kubagulwa na na kukil’Ihano nulu kusolanyiwa ulu balibagulwa.
08-01	IGELE LYA 8
09-00	Kila munhu ali na haki ya kulipwa n’ibanza la nsi yakwe ulu witilwa mashito ga kung’wigij’ ikujo na haki ijo jandikwa na Ihano lya Nsi yakwe.
09-01	IGELE LYA 9
10-00	Nduhu munu alenheleziwe kutungwa, kutulwa mu lganda nulu kupeziwa mu nsi yakwe.
10-01	IGELE LYA 10
11-00	Kila munhu wina haki ya kudegelekwa na kuyangulwa n’Ibanza ku shito isho wanshidakilwa.
11-01	IGELE LYA 11
11-02	Kila munhu uyo washidakwa adegelekwe. Ibanza hilo lyuhaya wahuba nulu akahubile.
12-00	2. Nduhu munhu ubaziwagwa wahuba kufuma nisho washidakilwa nulu kwita mashito ayo gakahayilwe kubi buhubi u mu luganda lwa nsi nulu mahanga aho alihubila nulu kukenagula.
12-01	IGELE LYA 12
13-00	Nduhu munhu uyo akibolile kwingililwa sagala mu wi bisilo, bugudu, kaya yakwe, abo uyombaga nabo, nulu kung’wingij’ikujo. Kila munhu wina haki ya kulabandwa na Ilagilo lya Nsi.
13-01	IGELE LYA 13
13-02	Munhu wina haki ya kuja uko alihaya mu nsi yakwe na kuzenga haho habi mu nsi yakwe
14-00	2. Muunhu wina haki ya kwinga mu nsi yoseyose ninga yakwe na kushoka mo hangi
14-01	IGELE LYA 14
14-02	Kila munhu wina haki ya kupelela nsi yingi ulu watulagwa akabulagwe.
15-00	IGELE LYA 15
15-01	Kila munhu wina haki ya kubi na nsi.
15-02	Kudihu munhu, ku nzila ya kwibonelwa, alapenziwe mu nsi yakwe nulu alemeziwe kukaba nsi.
16-00	IGELE LYA 16
