00-00	Морт правоэзлӧн быдӧс мирись ӧтласа декларация
00-01	Медбы тӧдны, что морт семьяись быд членлӧн эм аслас достоинство, а сылӧн ӧткодь да мырддьытӧм правоэз лоӧ воля, справедливость да лӧнь олан понда основаӧн;  медбы тӧдны, что морт правоэз нем туйӧ пуктӧм вайӧтіс  ни умӧль, кӧда морт увтырлӧ оз сет овны совесть сьӧрті, и что сэтшӧм мирыс, кытӧн отирыс пондас авйыны да сернитны повтӧг, а овны нуждатӧг, лоас сьӧлӧмсянь керӧм быдӧнныс понда; и
00-02	медбы тӧдны, что колӧ керны быдӧс, медбы мортлӧн пра- воэз дозирайтсисӧ законӧн и эз адззисьӧ моггез мортыслӧ лэбтісьны паныт умӧля видзӧмлӧ да дзескӧтӧмлӧ; и
00-03	медбы тӧдны, что пыр колӧ отсавны отиррезлӧ ёртасьӧмын; и
00-04	медбы тӧдны, что Йитӧм Нацияэзлӧн народдэз гижисӧ  вын мортлісь медыджыт правоэз, вылына лэбтісӧ личностьлі дон, мужиккезлісь да инькаэзлісь ӧтыжда правоэз и кутчисисӧ эшӧ ёнжыка отсавны социальнӧй прогресс да вольнӧй олан бурсьӧтӧмын; и
00-05	медбы тӧдны, что членнэз-государствоэз кӧсйисисӧ отсавны Нацияэзлӧн Йитӧм Чукӧрлӧ ӧтласа уджын, ӧтамӧд коласын морт правоэз сьӧрті бытшӧма да вольнӧя олӧмын; и
00-06	медбы тӧдны, что энӧ правоэсӧ да свободаэсӧ позьӧ тырмӧ пыртны оланас дзир сэк, кӧр быдӧнныс вежӧртӧны нылісь ыджыт донсӧ,
00-07	ГЕНЕРАЛЬНӦЙ АССАМБЛЕЯ паськыта юӧртӧ этӧ морт правоэзлісь быдӧс мирись ӧтласа декларациясӧ кыдз задача, кодӧ керны колӧ вынтӧтчыны быд отирлӧ и государстволӧ сійӧн, медбы быд мортыс и быд общественнӧй  этӧ Декларациясӧ юрын орӧттӧг видзтӧн, просвещеннё да велӧтчӧм увья вынтӧтчисӧ керны быдӧс, медбы донтны энӧ правоэсӧ да свободаэсӧ, пыртны нійӧ оланӧ национальнӧ да отиррезлӧн ӧтласа прогрессивнӧй праздниккезӧ Чукӧрись членнэз-государствоэзлӧн быд отиррезӧн бытшӧма примитӧмӧн.
01-00	1 гижӧт
01-01	Быдӧс отирыс чужӧны вольнӧйезӧн да ӧткоддезӧн  достоинствоын да правоэзын. Нылӧ сетӧм мывкыд да совесть овны ӧтамӧдныскӧт кыдз воннэзлӧ.
02-00	2 гижӧт
02-01	Быд мортлӧ бӧрйисьтӧг сетсьӧны быдӧс правоэз да  эз, кӧдна висьталӧмӧсь эта Декларацияын, кытшӧм бы эз вӧв раса, кучиклӧн рӧм, пол, кыв, енӧ веритӧм, политическӧй да модік вежӧр, национальнӧй нето социальнӧй петӧм, имущество да сословие.
02-02	Сідз жӧ оз позь торйӧтлыны политическӧй, правовӧй нето страналӧн международнӧй статус увья, нето  сьӧрті, кытӧн олӧ мортыс, ась эта территорияыс вольнӧ кинкӧ увтын, аснас оз веськӧтлы нето кыдз-нибудь мӧднёж зэлӧтӧм суверенитетын.
03-00	3 гижӧт
03-01	Быд мортлӧн эм право овны дзескӧттӧг да вӧрзьӧттӧг.
04-00	4 гижӧт
04-01	Некинӧс оз позь видзны рабствоын нето пӧдан сайын; раб видзӧм да раббезӧн вузасьӧм оз вермӧ вӧвны миян оланын.
05-00	5 гижӧт
05-01	Некинӧс оз вермӧ пытайтны, уськӧтны мортыслісь достоинство умӧль мог нето наказаннё пыр.
06-00	6 гижӧт
06-01	Быд мортлӧн, кытӧн бы сія эз вӧв, эм право лыддьыны асьсӧ праволӧн субъектӧн.
07-00	7 гижӧт
07-01	Мийӧ быдӧнным законыс одзын ӧткодьӧсь и ӧтмоза  дорйӧмӧсь. Миян быдӧннымлӧн эта Декларация сьӧрті  право дорйыны асьнымӧс быдӧс умӧльсянь, кинсянь бы сія эз лок.
08-00	8 гижӧт
08-01	Быд мортлӧн эм право бертны аслыс ӧштӧм правоэз, кӧдна сетӧмӧсь сылӧ конституцияӧн нето законӧн, тӧдчана национальнӧй суддэзын.
09-00	9 гижӧт
09-01	Некинӧс оз позь законтӧг арестуйтны, кутны нето вӧтлыны.
10-00	10 гижӧт
10-01	Быд мортлӧн, кӧр сійӧ винитӧны уголовнӧй статья сьӧрті,  право тӧдны справедливӧй независимӧй судын ассис правоэз да обязанносттез и эм я мыйкӧ сэтшӧмыс, мед сійӧ винитны.
11-00	11 гижӧт
11-00	Быд морт, кӧр сійӧ винитӧны умӧльын, вермӧ лыддисьны правӧн сэтчӧдз, кытчӧдз сылісь умӧль керӧмсӧ законнӧ оз мыччав осьта суд, кытӧн мортыслӧ сетсьӧ быдӧс дорйӧт понда.
11-01	Некинӧс оз позь судитны мый понда бы эз вӧв, ежели эта коста керӧмась нацональнӧй закон нето быдӧс отиррезлӧн право сьӧрті нем умӧльыс эз вӧв. Оз вермы сідз жӧ  мыжйӧмыс сьӧкытжыкӧн сысся, кӧда вермис лоны сетӧм умӧль керӧмыс коста.
12-00	12 гижӧт
12-01	Некин оз вермы дзугны мортлісь ассис да семейнӧй вӧрзьӧтны сылісь оланін, честь да бур ним. Быдыслӧн эм право сайӧвтны асьсӧ вӧрзьӧтлӧммезсянь законӧн.
13-00	13 гижӧт
13-00	Быд мортлӧн эм право вольнӧя ветлӧтны и бӧрйыны аслыс горт кӧть кытшӧм государствоын.
13-01	Быд морт вермӧ мунны йӧз и аслас странаись и бертны аслас странаӧ бӧр.
14-00	14 гижӧт
14-00	Быд мортлӧн эм право дзебсисьны вӧтлӧмсянь мӧдік странаэзын и овны сэтчин.
14-01	Эта правоыс ӧшӧ сэк, кӧр мортсӧ кошшӧны не политическӧй преступленнё понда, а мӧдік умӧлись, мыйыс мунӧ паныт Нацияэзлӧн Йитӧм Чукӧрлӧн принциппезлӧ да моггезлӧ.
15-00	15 гижӧт
15-00	Быд мортлӧн эм право гражданство вылӧ.
15-01	Некинлісь оз вермӧ весись мырддьыны гражданство нето правосӧ вежны сійӧ.
16-00	16 гижӧт
16-00	Мужиккез да инькаэз, кӧдна лыддисьӧны нолетньӧйезӧн, вермӧны гӧтрасьны, керны семья, кытшӧ бы нылӧн раса, национальность нето религия эз вӧ Нылӧн эмӧсь ӧткодь правоэз гӧтрасьны, ӧтлаын овны и торйӧтчыны.
16-01	Гӧтрасьны позьӧ дзир сэк, кӧр кыкнан мортыс олӧны бы ӧтлаын.
16-02	Семья – этӧ учӧтик, но дона колана торок отирыслӧн, и отирыслӧ да государствоыслӧ колӧ дорйыны сійӧ.
17-00	17 гижӧт
17-00	Быд мортлӧн вермас лоны имущество кыдз аслас, сідз и ӧтласа.
17-01	Некинлісь оз позь мырддьыны имуществосӧ астӧгьяс.
18-00	18 гижӧт
18-01	Быд мортыс вермӧ асмознас авйыны, совеститчыны да  ны енлӧ; эта правоыс сетӧ вежны ассит ен, мӧднеж вежӧртны олан, ӧтнатлӧ и ӧтлаын мӧдіккезкӧт донтны кӧть кытшӧм енӧс да ассиныт арт, велӧтчыны, юрбитны да чулӧтны религиознӧй да ритуальнӧй обряддэз йӧз дырни нето дзир аскӧттят.
19-00	19 гижӧт
19-01	Быдыс вермӧ артавны асмознас и кӧть кытӧн баитны эта йылісь йӧзлӧ; эта правоыс сетӧ мортыслӧ воля овны аслас юрӧн, повтӧг кошшыны, адззыны да новйӧтны омӧн юӧ да ассис арттэз кыдз сія только кужӧ и кытшӧм бы границаэз сайын эз вӧв.
20-00	20 гижӧт
20-00	Быд мортлӧн эм право ӧксьыны ӧтлаӧ да бытшӧма сёрнитны, а сідзжӧ йитсьыны чукӧррезӧ.
20-01	Некинӧс оз позь вынӧн пыртны кытшӧм-либо чукӧрӧ.
21-00	21 гижӧт
21-00	Быд мортыслӧн эм право веськӧтлыны аслас странаӧн веськыта нето вольнӧя бӧрйӧм йӧз пырйӧт.
21-01	Быд мортыс вермӧ ӧтмоза керны аслас странаын государственнӧй
21-02	Отирлӧн воляыс, тшӧктӧмыс – эм юраліссез властьлӧ основа; эта воляыс мыччассьӧ выборрезын, кӧ чулӧтсьӧны быдӧс отирӧн и ӧткодя бӧрьян право сьӧрті гусьӧна голосуйтӧмӧн нето мӧднёж, но тожӧ свободнӧя голосуйтӧмӧн.
22-00	22 гижӧт
22-01	Быд мортлӧн, кыдз обществолӧн членлӧн, эм право социальнӧй отсӧт вылӧ, вылына видзны ассис достоинство, свободнӧя зорӧтны личность экономическӧй, социальнӧй да культурӧй сфераэзын национальнӧй уджӧн, отиррез коласын ёртасьӧмӧн да быд государстволӧн структура да вермӧм сьӧрті.
23-00	23 гижӧт
23-00	Быд мортлӧн эм право уджавны, свободнӧя бӧрйыны удж, корны уджын бытшӧм да справедливӧй условиеэз, дорйисьны, медбы уджсис эз чапкӧ.
23-01	Быд мортлӧн эм право ӧткодь удж понда ӧткодь вештӧм вылӧ, кытшӧм-либо дискриминациятӧг.
23-02	Быд уджалісь мортлӧн эм право бытшӧм да справедливӧй вештӧм вылӧ, медбы сія ачыс и сылӧн гортіссес вермисӧ овны достойнӧя, а кӧр ковсяс, адззисӧ мӧдік социальнӧй отсӧт.
23-03	Быд морт вермӧ аркмӧтны профессиональнӧй чукӧ да пырны эна профессиональнӧй чукӧррезӧ асьсӧ дорйӧм понда.
24-00	24 гижӧт
24-01	Быд мортлӧн эм право шоччисьны, корны, медбы уджыс дырӧв эз кыссьы и кадісь кадӧ вӧлі сетӧм вештана отпуск.
25-00	25 гижӧт
