00-00	A ÑUCAMA SINANXUN CA AXA ANU TIMËCË UNICAMAN ËSAQUIN CAXA:
00-01	CAMAXUNBI CA 'UNANIA: Camabi uni ca bëtsibë sënën 'icë quixun camaxunbi 'unancë 'aish ca camabi uni, uni itsin racueocema 'janan cëmei ami mananquin 'atimocëna 'aish chúamarua bucuti 'icën.
00-02	CAMAXUNBI CA 'UNANIA: Camabi uni ca bëtsibë sënën 'icë quixun sinanti 'ainbi ca an usaquin sinancëma unicaman an sinancëx a meu 'icë uni 'aisamaira tëmëramianan paë tanmiquin 'atimoia, uni raíri usoquin uni 'ati ca 'aisama 'icë quicëbëtanbi. Usaquin bëtsi uní 'ati cuëënima ca camabi uni ësai iti 'icën: añu ñu ñui cara banaia a cupí ubíocëma ití, 'ianan añu ñu cara sinania a cupí ubíocëma 'iti, 'ianan añu cara pisa tania pianan ain cuëëncë ñu bianan uinu cara 'isa tania anu 'iabi ca bëtsi uní unin racuëotima icën.
00-03	CAMAXUNBI CA 'UNANIA: Gobiernocaman uni upitax bucunun quixun bana mëniocëma 'ain tëmëraquin ca unicaman masá nuituquin ain 'apumibí nishi 'acananti sinanti 'icën.
00-04	CAMAXUNBI CA 'UNANIA: Camabi netenu 'icë unicama ubíocëma 'aish chúamarua 'inun ca camabi nëtënu 'icë gobiernobë ain unicamaribi bëtsi gobierno 'imainun ain unicamabë nishananima upí iti 'icën.
00-05	CAMAXUNBI CA 'UNANIA: Gobiernocaman xucëx timëcë unicaman ca upíma ñu 'acëma 'aish ca camabi uni bëtsibë sënën 'aish ubionancëma upiti ití icë quixun sinanquin camabi uni usai 'inun 'aquinú camaxbi 'iásamaira oi upiti bucunun.
00-06	CAMAXUNBI CA 'UNANIA: Gobiernocamanribi ca caxa, camabi 'apun anëcë unicaman sinancësaribi oquin cananuna nunribi sinanin. Usaxun cananuna atubëtan atún sinancësabi oi nun nëtënu 'icë unicama 'atima ñu 'acëma 'aish upiti bucunun 'aquinti 'ain.
00-07	CAMAXUNBI CA 'UNANIA: Camabi unicama ubíocëma upiti bucunun ca camaxunbi pain ënë banacama unanquin sinanti 'icën.
00-08	Gobiernocaman xucëx timëcë unicaman ca ësaquin caxa:
00-09	A ÑUCAMA SINANXUN CA AXA ANU TIMËCË UNICAMAN ËSAQUIN CAXA:
00-10	Camabi nëtënu 'icë unicaman: ësai 'iti 'aish ca camabi uni upiti bucutí ice quixun sinanquin ca ënë quiricanua ñuicë banacama manutimoquin sinánan an ënë bana 'unancëma unicamanribi upí oquin 'unánun 'unanmití 'icën. Camabi gobiernonën ca ain nëtënu icë unicaman ënë banacama upí oquin 'unánun 'aquinti 'icën. Camabi nëtënu 'icë unicaman ënë banacama upí oquin 'unánun ca gobiernocama bëtsi gobiernobë 'aquiananti 'icën.
01-00	1.
01-01	Ui uni cara 'iti icë axbi ca bëtsi unibë gobiernonën iscëx sënën ití icën. Ui cara ain tita ain papa 'iaxa quixun sinanquinma ca gobiernonën sinancëx ax bëtsibë sënën 'icën. Camaxunbi ca sinanti 'unanin. Camaxunbi ca añu ñu ati cara asábi 'icën, añu ñu 'ati cara 'aisama 'icë quixun 'unanti 'icën. Usa 'ain ca camaxbi ain xucënbë 'icësaribiti nuiananti 'icën.
02-00	2.
02-01	Uinu 'icë ëmanu 'icë uni cara ax 'icë, ui unin aintsi cara ax 'icë, ax cara xanu 'icë, ax cara nucë bënë 'icë, uisa banan cara banaia. Nucën Papa Diosmi cara sinania, ami sinanima añu ñubi rabi cara sinania, ui unicamax cara 'apu 'iti ice quixun sinania, añu ñu cara sinania, uisai cara ain papa ain tita 'ia, ñuñu cara ax 'icë, ñuñuma cara, usa ñucama sinanquinma ca gobiernonën camabi uni ñu 'atima 'acëma 'aish ca bëtsi unibë sënën icë quixun sinanti 'icën.
02-02	Uisa cara ain nete icë, a nëtë cupí ca uni 'atimocë 'itima 'icën.
03-00	3.
03-01	Ui unibi ca bëtsi unin bamamiti sinantima 'icën. Ca chiquítimoi sipuacë 'itima 'icën. Ca 'atimocë 'itima 'icën.
04-00	4.
04-01	Uinu 'icë unixbi ca chiquitimoquin marucë 'itima 'icën. Uni chiquitimoquin maruxun 'ibuati 'aíma ití 'icën.
05-00	5.
05-01	Uinu ice unibi ca 'aisamaira oquin uni itsin paë tanmitima 'icën. Bëtsi uni ami nishquin paë tanmiquin 'atimocë a ca 'itima 'icën. Ñuina 'acësa oquin 'atimocë ca uni 'itima 'icën.
06-00	6.
06-01	Uinu 'icë uníxa uinu cara 'ia a ca anu 'icë gobiernonën uni itsi 'acësaribi oquin sinanti 'icën, ax bëtsi unisaribi 'icë cupí.
07-00	7.
07-01	Uinu ice unibi, ami uni itsin upima sinanquin paránan 'atimonunma ca gobiernonën 'aquintí 'icën. Enë banacama sinanquinma ain cuëëncës a oquin unin uní itsi atimoi ami 'ësënanunma ca gobiernonën bërúati 'icën.
08-00	8.
08-01	Uni ñu 'atima 'acëma 'icëbi uni itsin 'atimocë 'ixun ca a unin an uni bana mënioxuncë 'apu cati 'icën. Cacëxun ca mëniotí 'icën, gobiernonën cacësabi oquin.
09-00	9.
09-01	Uinu 'icë unixbi ca añubi 'uchacëma 'icëbi bëtsi uni ain cuëëncësa oquin sipuacë 'itima 'icën. Sipunu 'icë ca anubi 'inun ëntima 'icën. Ain menua ca bëtsi menu cuantanun xutima 'icën.
10-00	10.
