00-00	ADAM HUKUKLARYNYŇ ÄHLUMUMY JARNAMASY
00-01	Adamzat kowmunyň agzalaryna deň derejede degişli mertebäniň we olaryň deň we aýrylmaz hukuklarynyň ykrar edilmeginiň azatlygyň, adalatyň hem‐de ählumumy dynçlygyň esasy bolup durýandygyny göz öňünde tutup; we
00-02	Adam hukuklarynyň äsgerilmezliginiň we ýigrenilmeginiň adamzat ynsabyny haýykdyrýan wagşyçylyk aktlaryna getirendigini hem‐de adamlaryň söz we wyždan azatlygyna ýe we gorkudyr mätäçlikden azat boljak dünýäsiniň döredilmeginiň adamlaryň belent ymtylyşy diýlip yglan edilendigini göz öňünde tutup; we
00-03	Zulmuň we sütemiň garşysyna iň soňky serişde hökmünde adamynyň gozgalaňa baş götermek zerurlygyny aradan aýyrmak maksady bilen adam hukuklarynyň kanunyň häkimligi tarapyndan goralmagyny göz öňünde tutup; we
00-04	Halklaryň arasyndaky dostlukly gatnaşyklaryň ösmegine ýardam etmek zerurlygyny göz öňünde tutup; we
00-05	Birleşen Milletleriň halklarynyň esasy adam hukuklaryna, adam şahsyýetiniň mertebesine we gymmatyna, erkegiňdir aýalyň deňhukuklylygyna öz ynamlaryny Düzgünnamada tassyklandyklaryny we sosial ösüşedir ýaşaýyş şertleriniň gowulanmagyna has erkinlikde ýardam etmegi ýüreklerine düwendiklerini göz öňünde tutup; we
00-06	Agza‐döwletleriň Birleşen Milletler Guramasy bilen hyzmatdaşlykda adam hukuklaryna we esasy azatlyklaryna hemmeleriň sarpa goýmagyny we berjaý etmegini goldamaga borçlanandyklaryny göz öňünde tutup; we
00-07	Bu hukuklaryň we azatlyklaryň häsiýetine hemmeleriň düşünmeginiň olaryň doly ýerine ýetirilmegi üçin ägirt uly ähmiýetiniň bardygyny göz öňünde tutup;
00-08	BAŞ ASSAMBLEÝA
00-09	ADAM HUKUKLARYNYŇ BU ÄHLUMUMY DEKLARASIÝASYNY ähli halklaryň we döwletleriň ýerine ýetirmäge çalyşmaly wezipesi hökmünde jar edýär
00-10	Her bir adam, jemgyýetiň her bir guramasy bu Deklarasiýany gündelik göz öňünde tutup, aň‐düşünje ýaýratmak we ylym‐bilim bermek arkaly bu hukuklara we azatlyklara sarpa goýulmagyna ýardam etmäge milli we halkara  progressiw çäreler arkaly, olaryň ählumumy we degerli ykrar edilmegini hem‐de olaryň agza‐döwletler tarapyndan we şonuň ýaly‐da öz garamagyndaky halklaryň we territoriýalaryň içinde ykrar edilmegini gazanmaga jan etmelidirler.
01-00	1‐nji madda:
01-01	Adamlaryň hemmesi azat dogulýarlar we öz mertebesi hem‐de hukuklary boýunça ilkibaşdan deňdirler. Olara ozal‐başdan aň, ynsap berlendir we biri‐birine özara doganlyk ruhunda çemeleşmek olaryň ýaraşygydyr.
02-00	2‐nji madda:
02-01	Her bir adam jynsyna, derisiniň reňkine, aýal‐ erkekligine, diline, dinine, syýasy ýa‐da beýleki ynamlaryna, milli we sosial gelip çykyşyna, emläk ýagdaýyna, haýsy gatlakdandygyna ýa‐da gaýry tapawutlaryna garamazdan, bu Deklarasiýada jar edilen ähli hukuklara we ähli azatlyklara ýedir.
02-02	Mundan başga‐da, adamynyň ýerliginiň, ýurdunyň ýa‐da gelip çykan territoriýasynyň syýasy, hukuk ýa‐da halkara durumy esasynda, ol territoriýanyň bakna ýa bakna däldigine, garaşsyzlygyna ýa‐da haýsydyr bir görnüşde özbaşdaklygynyň çäklendirilendigine esaslanan hiç bir tapawutlandyrma bolmaly däldir.
03-00	3‐nji madda:
03-01	Her bir adam ýaşaýyşa, azatlyga we şahsy eldegrilmezlige haklydyr.
04-00	4‐nji madda:
04-01	Hiç kim gulçulykda ýa‐da baknalykda saklanyp bilinmez; gulçulygyň we gul söwdasynyň ähli görnüşleri gadagan edilýär.
05-00	5‐nji madda:
05-01	Hiç kim öz adamçylyk mertebesini depeleýän, kemsidiji gatnaşyga we rehimsiz jeza çäresine duçar edilmeli däldir.
06-00	6‐njy madda:
06-01	Her bir adam, nirededigine garamazdan, özüniň hukuk subýekti hökmünde ykrar edilmegine haklydyr.
07-00	7‐nji madda:
07-01	Adamlaryň hemmesi kanunyň öňünde deňdirler we kanunyň goragyndan peýdalanmaga deň derejede haklydyrlar. Adamlaryň hemmesi bu Deklarasiýany bozýan her bir diskriminasiýadan we şeýle diskriminasiýa öjükdirmeden goralmaga deň derejede haklydyr.
08-00	8‐nji madda:
08-01	Her bir adam konstitusiýanyň ýa‐da kanunyň özüne beren esasy hukuklary bozulan ýagdaýynda öz hukuklaryny başarnykly milli sudlar arkaly netijeli dikeltmäge haklydyr.
09-00	9‐njy madda:
09-01	Hiç kim eden‐ýtdilikli tussag edilmäge, saklanylmaga ýa‐da ýurdundan kowulmaga duçar edilip bilinmez.
10-00	10‐njy madda:
10-01	Her bir adam öz hukuklarynyň we borçlarynyň kesgitlenmegi we özüne bildirilen jenaýat aýyplamasynyň esaslydygyny anyklamak üçin doly deňhukuklylyk esasynda öz işiniň açyk we adalatyň ähli talaplaryna laýyklykda garaşsyz we bitarap sudda seredilmegine haklydyr.
11-00	11‐nji madda:
