00-00	U DZAʼABAL KʼAJÓOLTBIL U NOJ AʼALMAJ TʼAANIL U NAJMAL WÍINIKOʼOB
00-01	Tumeen u kuxtal wíinik x‐maʼa palitzilil, u chíimpoltaʼal yetel u chaʼabal u kuxtal yóokʼol kaab ich jedz óolal, tiʼ ku taal tu chíimpoltaʼal u noʼojaʼanil kuxtal sijnal yetel wíinik bey jeʼex xan sijnal u najmalmajil keet kuxtal, mixmáak unaj u luʼsik tiʼ tuláakal u wíinikil yóokʼol kaabeʼ,
00-02	Tumeen yóoʼlal maʼ ojeltaʼan ku beetik u mixbaʼalkuunsaʼal u najmalil u kuxtal wíinik, dzoʼok u beetik u yúuchul seen kʼaakʼas baʼaloʼob tu táan u noʼajaʼanil u tuukul wíinik; yetel tumeen dzoʼok u yaʼalaʼal u jach nojochil baʼax ku dzíiboltik wíinikeʼ, u kajtal yóokʼol kaab tuʼux kaʼa kuxlak lukʼaʼan u sajakil yetel x‐maʼa óotzilil, kaʼa béeyak u yaʼalik baʼax ku tukultik yetel u kiliʼichkuunsik jeʼe máakalmáak Yumtzilil u kʼáateʼ,
00-03	Tumeen tun le najmal sijnal yetel wíinik jach kʼaʼabet u boʼoybesaʼal tu yáanal jumpʼéel Noj Aʼalmaj Tʼaan, u tiʼal maʼ u beetaʼal u líikʼil wíinik baʼateʼel tumeen u talamil kuxtal yetel u nuunsaʼal,
00-04	Tumeen ku tukultaʼal xan jach kʼaʼabet u kaxantaʼal bix uchak u bisikuba maʼalob tuláakal u kaajiloʼob yóokʼol kaab,
00-05	Tumeen k‐kʼaʼajsik tuláakal u kaajiloʼob Naciones Unidas, dzoʼok u dzíibtikoʼob u moktʼaanil u chíimpoltikoʼob le Najmal sijnal yetel wíinik, ichil u noʼojaʼanil yetel u beelal bey wíinikeʼ, beytun wa koʼolel wa xiib; yetel tumeen dzoʼok yaʼalikoʼob yaan u chúukpajal yóoloʼob u kaxantoʼob u maʼalobtal u kuxtal wíinik yetel u jóokʼsoʼob ichil óotzilil kaʼalikil u chíimpoltikoʼob u kuxtal,
00-06	Tumeen le kaajoʼob táakaʼan dzoʼok u beetikoʼon u Mok Tʼaanil yetel Organización tiʼ Naciones Unidas, tiʼal u cíimpolaʼal bey jeʼe unaj tuláakal yóokʼol kaab le Najmal Sijnal yetel wíinikoʼ, bey jeʼex u kuxtal x‐maʼa palitzilil, yetel
00-07	Tumeen u kʼajóoltaʼal le Najmal Sijnal yetel wíinik yetel bix uchak u kuxtal x‐maʼa palitzilil jach táanil yaan tiʼal kaʼa béeyak u dzoʼokbesaʼal le Mok Tʼaanaʼ,
00-08	Le NOJ MOLAʼAYAʼ ku yaʼalik
00-09	LE U NOJ AʼALMAJ TʼAANIL le Najmal Sijnal yetel wíinikaʼ, jumpʼéel baʼal jach kʼaʼabet u yilaʼal u dzoʼokbesaʼal tumeen tuláakal u kaajiloʼob yóokʼol kaab, tuʼux kaʼa táaakpajak wíinik yetle u molaʼayiloʼob, tiʼal u chʼaʼak tiʼ letiʼ u noj tuukulil yetel u kaʼansikoʼob u chíimpoltaʼal u kuxtal wíinik x‐maʼa palitzilil yetel xan u beetikoʼob tuláakal baʼax kaʼabéet tu kaajaloʼob yetel tuláakal yóokʼol kaab tuʼux kaʼa ilaʼak u chíimpoltaʼal yetel u dzoʼokbesaʼal ichil le kaajoʼob beetmajil u Moktʼaaniloʼ yetel xan ichil u méekʼtan kaajiloʼob.
01-00	Artículo 1
