00-00	Цӏыху Хуэфащэхэм Теухуа Дунейпсо Джэпсалъэ
00-01	Дунейпсо Къэрал Зэгухьэныгъэм (ДКъЗ) и Зэхуэсым егъэӏур;
00-02	Дунейпсо цӏыхугъэм къыхиубыдэ дэтхэнэ зы цӏыхури зэгухьэныгъэри;
00-03	мы джэпсалъэр сытым щыгъуи я нэгум щӏагъэтурэ мыбы къыщыхэщ цӏыху хуэфащэхэмрэ хуитыныгъэхэмрэ я нэӏэ зэрытрагъэтым, хуащӏ лъытэныгъэм егъэджэныгъэ-гъэсэныгъэ гъуэгукӏэ зрагъэужьыну;
00-04	хэгъэгу кӏуэцӏхэми дунейпсоми кӏуэхукӏэ нэхъри зыщызужь амалхэр зыхуагъэщхьэпэурэ мы зэгухьэныгъэшхуэм хэт къэралхэм езым я лъэпкъхэри, я унафэм щӏагъэт нэгъуэщӏ къэралхэм я лъэпкъхэри къызэщӏиубыдэу, дунейпсом и дэнэ щӏыпӏи мы цӏыху хуэфащэхэмрэ хуитыныгъэхэмрэ лъэщу щызрагъэкӏуэным, къыщащтэным, щагъэзэщӏэным хущӏэкъунхэу,
00-05	цӏыху хуэфащэхэм теухуауэ жылагъуэхэми лъэпкъхэми я зэхуэдэ идеал щапхъэхэр къэзыгъэув мы дунейпсо джэпсалъэр.
01-00	1-нэ пычыгъуэ
01-01	Цӏыху псори щхьэхуиту, я щӏыхьымрэ я хуэфащэхэмрэкӏэ зэхуэдэу къалъхур. Акъылрэ зэхэщӏыкӏ гъуазэрэ яӏэщи, зыр зым зэкъуэш зэхащІэ яку дэлъу зэхущытын хуейхэщ.
02-00	2-нэ пычыгъуэ
02-01	Дэтхэнэ зы цӏыхури зэхуэдэу хуитщ мы джэпсалъэм хэт цІыху хуэфащэхэмрэ хуитыныгъэхэмрэ зыхуигъэщхьэпэну, зыщыщ расэм, и фэм, цӏыхубз-цӏыхухъуу зэрыщытым, и бзэм, иӏыгъ диным, политичнэ е нэгъуэщӏ еплъыкӏэу иӏэм, лъэпкъыу е цӏыху гупу къызыхэкӏам, мылъкуу иӏэм, къыщалъхуа-къыздалъхуам емылъытауэ зэхэгъэжыншэу, хуэгъэкӏуэтэныгъэншэу.
02-02	Къинэмыщӏауэ, къэрал щхьэхуити, нэгъуэщӏым и унафэ щӏэти, щхьэхуитыжныгъэ (автономие) зимыӏи, нэгъуэщӏу зы щхьэхуитыныгъэ лъахъэ зытелъи, сыт хуэдэрей къэралым и цӏыхуу щытми дэтхэнэ зы цӏыхум зэхэгъэжныгъэ хуащӏ хъунукъым зыщыщ къэралым и политичнэ е юридическэ системэ е дунейпсо къэралхэм я зэхуакум щиӏэ статусым къыхэкӏыу.
03-00	3-нэ пычыгъуэ
03-01	Псэуныр, щхьэхуитыныр, шынагъуэншагъэр хэти и хуэфащэщ.
04-00	4-нэ пычыгъуэ
04-01	Хэти пщылӏыу плъытэ е пщӏылӏыпӏэ ибгъэт хъунукъым, сыт хуэдэ щӏыкӏэуи пщылӏыгъэр, пщылӏ щэн-къэщэхуныр зыми хуэбдэ мыхъуну къуэдыщ.
05-00	5-нэ пычыгъуэ
05-01	Хэти лъэщыгъэ епхьэлӏэ хъунукъым, залымыгъэкӏэ, цӏыхугъэм къемызэгъу е и напэр зыгъэулъиин хуэдэкӏэ удэзекӏуэ, апхуэдэ тезыр теплъхьэ хъунукъым.
06-00	6-нэ пычыгъуэ
06-01	Хэти хуэфащэщ дэнэ щӏыпӏи цӏыхуу, юридическэ лицоуэ къыщалъытэну.
07-00	7-нэ пычыгъуэ
07-01	Дэтхэнэ зы цӏыхури къэрал хабзэм и пащхьэ щызэхуэдэщ икӏи къэрал хабзэм  къэхъумэныгъэхэр зэхэгъэжыншэу, я зэхуэдэу зыхуагъэщхьэпэну хуитщ.  зэхэгъэжыншэу, зэхуэдэу хуэфащэщ мы джэпсалъэм къемызэгъ, зэхэгъэж зыхэлъ ІуэхущІафэхэми, апхуэдэ ІуэхущІафэм сыт хуэдэуи тегъэгушхуэнми къыщахъумэну.
08-00	8-нэ пычыгъуэ
08-01	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ хабзэ нэхъыщхьэм е къэрал хабзэм къырипэс цІыху хуэфащэхэр зыкъутэ ІуэхущІафэ къыщыхъукІэ хуитыныгъэ зиІэ хеящІэхэм зыхуигъэзэну, зыкъригъэхъумэну.
09-00	9-нэ пычыгъуэ
09-01	Дэтхэнэ зы цӏыхури лажьэ имыІэу яубыд, ягъэтІыс е егъэзыгъэкІэ нэгъуэщІ щІыпІэ яху хъунукъым.
10-00	10-нэ пычыгъуэ
10-01	Дэтхэнэ зы цӏыхуми хуитыныгъэ иІэщ и хуэфащэхэр, и хуитыныгъэхэр щаубзыхукІэ икІи езым зы лажьэ къыщытралъхьэкІэ зыми фІэмылІыкІ, зыми и унафэм щІэмыт,  имытелъхьэ хеящІэ щхьэхуит псэхуитыр захуагъэкІэ икІи нахуэуэ и Іуэхум иригъэплъыну хуеину.
11-00	11-нэ пычыгъуэ
11-00	Зы лажьэ/щІапхъэджагъэ зытралъхьэ дэтхэнэ зы цІыхури зиухиижын  зыхуэныкъуэну шынагъуэншагъэхэр зыщигъуэтыну хеищІэгъу нахуэм и кІэухыу, къэрал хабзэм тету ягъэкъуаншэхункІэ хейуэ къалъытэр, мыхеифэ къраплъыркъым.
11-01	Хэти ягъэкъуаншэ хъунукъым, щищІэм щыгъуэ къэрал хабзэкІэ е Дунейпсо хабзэкІэ щІэпхъэджагъэу ямыбжа зы Іуэху зэрищІам е ищІапхъэу къащыхъу  зэримыщІам щхьэкІэ. Хэти щІапхъэджагъэ щищІам щыгъуэ хуэгъэувау щыта тезырым нэхъыбэ тралъхьэ хъунукъым.
12-00	12-нэ пычыгъуэ
12-01	Дэтхэнэ зы цӏыхум и гъащІэ унейм, и унагъуэм, и унэм е зэрызэрыщІэ щІыкІэхэм щхьэусыгъуэншэу зыри къыхэзэрыхь хъунукъым, и напэм, и цІэм къеІусэ  Хэти хуитыныгъэ иІэщ мыпхуэдэ къыхэзэрыхьныгъэхэм къэрал хабзэкІэ зыкъщыригъэхъумэну.
13-00	13-нэ пычыгъуэ
13-00	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ дэтхэнэ зы къэрали и щІыналъэм щхьэхуиту щызекІуэну, щыпсэуну.
13-01	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ езы и къэралри хэту дэтхэнэ зы къэралым иІэпхъукІыну икІи щІэрыщІэу нигъэзэжыну.
14-00	14-нэ пычыгъуэ
14-00	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ залымыгъэ/лей къыщрахым и щхьэр нэгъуэщІ къэрал иригъэзыну, щхьэегъэзныгъэ амалхэр зыхуигъэщхьэпэну.
14-01	Ауэ пэжыпэу политичнэу щымыт щІэпхъэджагъэхэм е Дунейпсо къэрал зэгухьам и мурад, и бзыпхъэ къемызэгъ ІуэхущІафэхэм къыхэкІ дауэдапщэхэм щыгъуэ мы хуитыныгъэр зыхуэбгъэщхьэпэ хъунукъым.
15-00	15-нэ пычыгъуэ
15-00	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ зы къэралым и цІыхуу щытыну.
15-01	Дэтхэнэ зы цӏыхур зицІыхуу щыт къэралым щхьэусыгъуэншэу хэбгъэкІ е нэгъуэщІ къэралым и цІыху хъуну иІэ хуитыныгъэм хэбгъэн хъунукъым.
16-00	16-нэ пычыгъуэ
16-00	Зи ныбжь ирикъуа дэтхэнэ зы цӏыхухъуми цІыхубзми хуитыныгъэ иІэщ къызыхэкІа лъэпкъым, зи цІыхуу щыт къэралым е дину иІыгъым къыхэкІ пэрыуэгъу къыхуэмыуву, хуиту къишэну, дэкІуэну, унагъуэ иухуэну.
16-01	Зэрышэн-зэдэкІуэным теухуа зэзэгъныгъэр (нэчыхьыр), зэрышэну-зэдэкІуэнухэм езым я щхьэхуитыныгъэ пэжрэ я фІэфІныгъэ икъурэкІэ яухуэр.
16-02	Унагъуэр, жылагъуэ-лъэпкъ псэукІэм и лъабжьэ нэхъыщхьэщи, жылэми къэралми къехъумэр.
17-00	17-нэ пычыгъуэ
17-00	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ езым и унейуэ е нэгъуэщІхэр иІэхьэгъууэ мылъку зригъэІэну.
17-01	Дэтхэнэ зы цІыхур щхьэусыгъуэншэу и мылъку пэІэщІэ е лъымыІэсыф пщІы хъунукъым.
18-00	18-нэ пычыгъуэ
18-01	Дэтхэнэ зы цӏыхум гупсысэ, зэхащІэ икІи дин хуитыныгъэ иІэщ. Мы хуитыныгъэм къызэщІеубыдэр и закъуэу е гупу, нахуэу е унейуэ (щэхуу) и тхьэхуэІуэрыщІэнхэр, и динкІэ щІапхъэхэр нэрылъагъуу яригъэщІэн, игъэзэщІэн хуитыныгъэри.
19-00	19-нэ пычыгъуэ
19-01	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ зэрыхуейуэ гупсысэну, и гупсысэхэр къиІуэтэну. Мы хуитыныгъэм хэтщ цІыхур и гупсысэхэм къыхэкІкІэ зыми къимыгъэгумэщІыну, къэралыгъуэ гъунапкъэхэм емылъытауэ щІэныгъэхэр, гупсысэхэр сыт хуэдэрей гъуэгукІи къэхутэн-къэпщытэн, зыІэрыгъэхьэн хуитыныгъэри.
20-00	20-нэ пычыгъуэ
20-00	Хэти хуитыныгъэ иІэщ Іэщэншэу, зауэ-банэншэу зэхуэсыну, хасэ иухуэну, ухуа хасэм хыхьэну.
20-01	Хэти зы хасэ хыхьэну ебгъэз хъунукъым.
21-00	21-нэ пычыгъуэ
21-00	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ занщІэу езым е хуиту къыхиха и лІыкІуэхэм я ІэкІэ къэралым и зегъэкІуэн Іуэхухэм хыхьэну, хэІэбэну.
21-01	Дэтхэнэ зы цӏыхум хуитыныгъэ иӏэщ и къэралым цӏыхубэм къыхузэригъэпэщ амалхэр зэхэгъэжыншэу, псом хуэдэу зыхуигъэщхьэпэну.
21-02	Хьыкумэт ӏэщхьэтетныгъэм и лъабжьэр къэралым и цӏыхубэм и фІэигъуэныгъэрщ. А фӏэигъуэныгъэр утыку къохьэр щэху щӏыкӏэм тет хэхыныгъэ хуит захуэхэу е цӏыхухэм я фӏэигъуэныгъэхэр щхьэхуит-псэхуиту къызэрагъэлъэгъуэфыну гъэпса нэгъуэщӏ щӏыкӏэхэу, зи ныбжь ирикъуа цӏыху псоми яхузэӏухауэ, я ӏэӏэтхэми зэхуэдэ гуащӏэ яӏэуэ, пӏалъэ гъэнэхуакӏэ къытрагъэзэжхэмкӏэ.
22-00	22-нэ пычыгъуэ
22-01	Цӏыхубэ жылагъуэм зэрыщыщым елъытауэ дэтхэнэ зы цӏыхум хуэфащэщ социалнэ къэхъумэныгъэ. Къэрал гуащӏэкӏэ е къэралыгъуэхэм я зэдэӏэпыкъуныгъэкӏэ икӏи дэтхэнэ зы къэралым езым и гъэпсыкӏэмрэ и амалхэмрэ елъытауэ дэтхэнэ зы цӏыхум хуитыныгъэ иӏэщ и напэрэ и цӏыхугъэрэкӏэ тыншу зэрызиужьыну экономикэ, социалнэ икӏи щӏэнхабзэ ӏуэхукӏэ зыхуэныкъуэну амалхэр ирагъэгъуэтыну.
23-00	23-нэ пычыгъуэ
23-00	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ лэжьэну, и ӏуэхур хуиту къыхихыну, захуагъэкӏэ икӏи хуэфӏ амалхэмкӏэ лэжьэну икӏи ӏуэхуншагъэм къыщахъумэну.
23-01	Дэтхэнэ зы цӏыхум хуитыныгъэ иӏэщ зэхэгъэжыншэу зэхуэдэ ӏуэху папщӏэ зэхуэдэ лэжьапщӏэ къратыну.
23-02	Дэтхэнэ зы цӏыхум хуитыныгъэ иӏэщ езыри и унагъуэри цӏыхум хуэфэщэн псэукӏэ иӏэу зыгъэпсэун, щыхуейм деж зылъыӏэсыфыну социалнэ хъумэныгъэхэмкӏэ щӏэгъэбыдауэ зы псэукӏэ амал къезытын зы лэжьапщӏэ хуэфӏ къыӏэрыхьэну.
23-03	Дэтхэнэ зы цӏыхум хуитыныгъэ иӏэщ езым и фӏагъэ папщӏэ хасэ (профсоюз, сендикэ) зэхишэну, апхуэдэ зэхэшам хыхьэну, хэтыну.
24-00	24-нэ пычыгъуэ
24-01	Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ зигъэпэсэхуну, и нэгу зригъэужьыну, псом хуэмыдэу и лъэжьэгъуэ пӏалъэр цӏыху хуэфащэ щапхъэм иту къыхуагъэпсыну, пӏалъэ гъэнэхуакӏэ и лъэжьапщӏэри къратурэ гъэпсэхуакӏуэ дэкӏыну.
25-00	25-нэ пычыгъуэ
