00-00	Muhdú pámeere páné iiñújɨri ijcyáné mɨ́amúnaa meíjcyáiyóne
00-01	Ɨ́hyaamtɨ́ pañétú caatúváné páné iñújɨ́Ȉ́ne múnáadítyúu tsaate tsatsíhvú idyóbéévéne muhdú mɨ́amúnaa meijcyáiyóné pityácójcatsíñe.
00-02	Ditsiééberédípye 10-ri 1948 íjcyáné pijcyábari tsaate páné iñújɨ́Ȉ́né túkevéjtsojtédítyú píhcyaavé ipítyácójcatsí muhdú mɨ́amúnaa meíjcyáiyóne. Á;áné dobéévé "Naciones Unidas" néémeé. Aaméhjáa téijyu caatúnú 30-neva mɨ́amúnaa maávyejúúlléíyonéhjɨ. Aanéhjáa imí ɨɨ́jtsúcunúnéllii nééme ténehjɨ páné iñújɨ́Ȉ́ne múnáake iúúbállémeíki. Téhduréhjáa nééme ténehjɨ cáátúnúmeíháámɨ́ pahúllevávú pámehdívúré itsújááve téhaamɨ ditye patsɨ́hjɨvávúré iééveki.
00-03	Á;áné boonétúhjáa iñe méiiñújɨ́ túkevéjtsojte téhdure ipíhcyáávéne néé páneere 30-neváa cáátúnúmeíñé muhdú néhdu meíjcyáiyóné méiiñújɨ́ri.
00-04	Aane ténehjɨ méwáábyuta ijcyáhi. Á;nehjɨ múu ímíñeúvú iwáájácúne tehdu ijcyáhi. Aane tsá múu íhdyivúré pícyootúne. Múu íñahbémudívú pajtyétsó ténehjɨ ditye iwáájácúne tehdu iíjcyaki.
00-05	Pityájcoju ɨ́hdénúmeíñe
00-06	Muurá pámeere tsáápiitsa méboohówama meíjcyane mewáájácúmeícyá botsíi máájɨ́yúinɨ́ɨyá muhdú imí meíjcyáiyóne. Á;ánéllii tsá tsaate tsíjtyé hójtsɨ́ pañe meɨ́cyáítyuró ɨ́cubáhrádu. Tsá tsaate tsíjtyedi meɨ́cúbáhráítyuróne. Ɨ́llure mépɨ́áábójcatsíiyá pámeemáyé imí meíjcya tútávátsójcatsítyúme.
00-07	Á;rone teene méboohówá íjcyaróné mewáájácútúné nɨ́jcaúvú muurá tsaate muhdú imí meíjcyáiyódú íjcyatúmé illure tsaatédí ɨcúbáhrahíjcyáhi. Aane ehdu ditye méénune pámeere mɨ́amúnáadivuro ímityúne. Muurá pámeere ííñujɨri íjcyáné mɨ́amúnaa méijyácunúrá tsaímíyé meíjcyáíyóneri. Tsá múha méhdivu túútaválléítyuró meíhjyuvánee, ɨɨná mecáhcujtsónee, íjcyane. Aame tsá ɨ́Ȉ́neri meíllityéítyuróne. Tsá pɨhtójú pañe meíjcyáityuróne. Ehdu meíjcyane pámeere mɨ́amúnaa imí méɨjtsúcunúhi.
00-08	Ehdu ímityúné medárɨ́Ȉ́véjcatsííyóné ɨhdétú íjcyáiyóné mééma túkevéjtsojúúne. Muurá tsaate ímityúné meke méénúhajchíí téénej tééveri tsaímíyé méímíbáchójcatsíhi. Muurá tene ijcyátuca tsáijyu máavyéjujte íjcyárómema mémúnáátsójcatsíiyáhi.
00-09	Aane mewáájácucáró téénej tééveri pahúllevá iñújɨ́Ȉ́ne múnáama imí meíjcyáiyáhi. Tsá tsaatéké menéhnílléítyuróne. Muurá pámeere mɨ́amúnaa ííñújɨri meíjcyame méimíllé tsahdúré imí meíjcyáiyóne.
00-10	Muuráhjáa 'Páné Iñújɨ́Ȉ́ne Múnáá Pihcyááve' némeiñé pañe tsúúca ɨ́tsaavémé muhdú pámeere mɨ́amúnaa wajpíimumáyé walléémú meíjcyame tsahdúré maávyejúúlléjcatsíiyóne. Aame mépɨ́áábójcatsíiyá panéjcuvávú tsahdúré pámeere imí meíjcyaki. Á;áné pityájcoju iñe muhdú mɨ́amúnáake mepɨ́áábóíyóné tsúúca mééma íjcyáneri méwaajácutsó páhduube cómíñe múnáajpi méboohówama meíjcyane ditye iávyejúúlléne icyáhcújtso imí iíjcyaki.
00-11	Muuráhjáa 'Páné Iñújɨ́Ȉ́ne Múnáá Pihcyááve' némeiñé pañe íjcyame néé páhduube cómíñe múnáajpi méboohówama, méɨjtsútuma, meíjcyame maávyejúúlléjcatsímyé múhójtsɨ́ pañé meíjcyátuki. Aamée pítyácójcatsí muhdú mɨ́amúnáake ɨpɨ́ááboíñé imí ditye iíjcyaki.
00-12	Aane ɨ́mɨááné tehdújuco pámeere wáájácúiyóné muhdú túkevéjtsoju néhdu meíjcyame maávyejúúlléjcatsíiyóne.
00-13	Ahdícyane 'Páné Iñújɨ́Ȉ́ne Múnáá Pihcyááve' némeiñé pañe íjcyame néé ténehjɨ néhdu páhduube ííñújɨri íjcyáné mɨ́amúnáajpi méíjcyáiyóné méwáábyuta tene íjcyánélliíhye. Á;áneri meljyacunúiyá muhdú tene néhdu meíjcyáíyóneri. Á;hdure tsíjtyeke méúwáábóiyá méiiñújɨ múnaa íjcyátúróméhjɨmájuco ditye tehdu iíjcyaki. Ehdu imí méíjcyáiyá tsúúca teene mewáájacúmé teenéi wáájácutúmé pamévamáye.
00-14	Á;áné túkevéjtsojúúné íllu nééhií:
01-00	1. Túkevéjtsoju
01-01	Pámeere ííñújɨri meíjcyame tsá múhójɨ́sɨ́ pañé ɨ́cubáhrádú meíjcyáítyuróne. Pámeere tsahdúré imí meíjcyame mewájyújcatsíñe mépɨ́áábójcatsíiyá tsaatéké éhdɨ́Ȉ́válletúmé éhne múu mépañétúéné nahbémuma meíjcyadu.
02-00	2. Túkevéjtsoju
02-01	Ɨ́ñe íhyaamɨ́tú muhdú tene cáátuvádú méíjcyáiyá pamévamáyé memúnaa íjcyátúrómema. Tsahdúré meɨjtsúcunúiyá pamévakéré wajpíímuke, walléémuke, pahdúváré méjpííhañe menéérómeke, pahdúváré meíhjyúvárómeke, muhdú Píívyéébeke cáhcújtsórómeke, tsáijyu múúne tsaate múhdurá túkevéjtsojtédítyú ɨ́jtsámeíyómeke, tsííñé iiñújɨ múnaa íjcyárómeke, ɨ́htsútúmeke, ɨ́dáátsórómeke, muhdɨ́ɨ́vátsihjɨ́vú tsɨ́ɨ́mávámeíyómeke; pámeekéré tsahdúré méɨjtsúcunúiyá tsaatéké éhdɨɨválletúme.
02-02	Téhdure tsá múhdurá meɨjtsúcunúítyuró tsáijyu múúne tsaate túkevéjtsojte múhdurá íiiñújɨ múnáake túkévéjtsórómeke. Tsá ditye ítyaúhbajúúné múhdurá méénúróné pañe íjcyámeke meéhdɨɨválléítyuróne. Tsáné iiñújɨ múnaa tsaaté hójtsɨ́ pañe múhdurá íjcyárómeke tsá meéhdɨɨválléítyuróne. Tsahdúré méɨjtsúcunúiyá iiye túkévéjtsómeíyómema diityéke.
03-00	3. Túkevéjtsoju
03-01	Páhduube imí méíjcyáiyáhi. Á;ámeke tsá múha ɨ́ɨ́nerí meke ipátsáríjcyómeke tútávájtsóítyuróne.
04-00	4. Túkevéjtsoju
04-01	Tsá tsaate meke íhyójtsɨ́ pañévú pícyoome ɨ́cubáhrádú meíjcyame diityé ɨɨcúve múnaa meíjcyáítyuróne. Tsá muucá mɨ́amúnáadívú menáhjɨ́hénúítyuróne. Eene tsáma ávyeta tsá ímíllémeítyúne.
05-00	5. Túkevéjtsoju
05-01	Tsá tsaatédí meɨ́cúbáhráítyuróne. Tsaatéké meúwáábócooca chooco méúwáábóiyáhi. Tsá meméénúítyuró iyáábeke múu méénudu.
06-00	6. Túkevéjtsoju
06-01	Páhduube mɨ́amúnáajpi iñe méiiñújɨri ihdyícyátsii meíjcyarómé téhdure méijcyá teene túkevéjtsojúúné pañe. Aame mépiivyété tsaatéké menééne méwáábyuta pámé wáábyutáré tene íjcyane meke ɨpɨ́ááboki.
07-00	7. Túkevéjtsoju
07-01	Tsáné ímibájchoju tsaatémá meméénúcooca tsá tsaatékéré mepɨ́áábóítyuróne. Pámeemáyé tsahdúré ímibájchoju méénúmeíiyá muhdú ímichi teene taúhbaju néjɨjtóri.
08-00	8. Túkevéjtsoju
08-01	Pámeere mɨ́amúnáama ímítyúnéhjɨ́ ímibájchoobe ímíbájchóiyá tehdɨ́ɨ́vane diityémá pájtyécooca muhdú taúhbaju néhdu tsaatéké éhdɨɨvállétuubére.
09-00	9. Túkevéjtsoju
09-01	Tsá tsaatéké peecútéré meékéévéne mecúvejáánúítyuróne. Téhdure tsá peecútéré tsaatéké méiiñújɨtu meíjchívyétsóítyuróne.
10-00	10. Túkevéjtsoju
10-01	Tsaate tsíjtyé hallúvú ímítyúnéhjɨ́ ímibájchóóbeke úúbálléijvu dííbye éllevu péémema ímíñeúvúré ímíbájchóíyoobe muucá éhdɨɨvállétuubére. Á;rónáa ihdyu tsá dibye tsaatékéré pɨ́áábóítyuróne. Méénúíyoobe muhdú teene taúhbaju néhdu tsahdúré pámeemáye.
