00-00	Timatsi Cameetsatatsiri Acoajeitaqueri: Te Oncameetsateji Intsaneemparo.
00-01	Tempa amoncaratavacaajeita maaroni. Timatsi acoajeitaqueri, te oncameetsatej i intsaneemparo. Acoajeitaque antimajeite cameetsa. Te oncameetsateji imperanajeitee itsipapee, te oncameetsateji iramatavijeitee, te oncameetsateji irishintsinajeitee, te oncameetsateji irimanajeitee.
00-02	Tempa ocameetsati aneacameetsateri itsipapee atin, ancavintsaajeiteri. 1ro cantaincha timatsi oashinoncaajeitiriri itsipapee. Te oncameetsateji. Te aneacameetsateroj i yantajeitiri iriori. Te ancoyej quishimenteeroneri paitapeerica acantajeitiri. Aisati ariorica acoaque anquemisanteri Tasorentsi, te oncameetsatej i inquishimenteero. Te oncameetsatej irininajeitee. Ocameetsati anquemisantero paitapeerica acoajeitiri. Te ancoyeji intime quisheene; irointi acoaque antime cameetsa, aisati eiro otimitsi coiteimoteene. Tempa queario.
00-03	Tempa aisati ocameetsati irijocacoventajeitee yora pincatsaripee aisati covariria, maaroni. Te oncameetsateji inquisashijeitee. Aisati ariorica iroashinoncaajeitee itsipapee, ocameetsati irijocacoventajeitee avincatsarite: eiro ishinetiritsi oashinonqueenemeri. Tempa ocameetsati iraacameetsatavacaajeitea maaroni atiripee.
00-04	Tempa amoncaratavacaajeitaca: timatsi cameetsayetatsiri acoajeitiri. Irootaque apatojeitantacari aca, aponeayetaca maaroni nampitsipeequi. Icameetsajeitaque maaroni atiri: te oncameetsateji antseenqueri, te oncameetsateji ashirontimenteari. Timatsi ametapinijeitán aisati acoajeitiri, maaroni: shirampari, tsinane, maaroni. Acoajeitaque antimajeite cameetsa aisati eiro otimitsi coiteimoteene.
00-05	Tempa arojeitaque itiancanepee ashanincapeeni anta aipatsitequi. Apocapiniti aca avametavacaapinijeita. Acarajeitiri Naciones Unidas, maaroni: acoajeitaque ashinejeiteri maaroni atiripee coiteimojeitiriri aisati ashinejeiteri cameetsayetatsiri yamejeitari. Te oncameetsateji amperanajeiteari.
00-06	Tempa ocameetsataque asanquenateneri maaroni atiripee oca aneacameetsajeitiri. Ocameetsati irimajeitero maaroni atiri: te oncameetsateji intime tsaneemparineri.
00-07	Irootaque isanquenajeitantarori yora
00-08	ASAMBLEA GENERAL
00-09	oca:
00-10	Timatsi noncamantajeiteri maaroni atiripee; jaocaricapee isavicaj ej tiri aisati j aocarica ocantayetari irineanepee iriori. Timatsi cameetsayetatsiri acoajeitiri maaroni. Te oncameetsateji intsaneapitsajeiteero itsipapee. Ocameetsati inquenqueshiretapinijeitero maaroni atiri oca nosanquenatiri, incavintsanteariri itsipapee. Aisati ocameetsati avamejeiteri maaroni atiripee, jaocarica isavicajeitiri.
01-00	Ayojeitaqueri, 1.
01-01	Aquempetavacaajeita maaroni atiri. Timatsi aquenqueshirejeitantari maaroni, timatsi amejeitari, ayojeiti paitarica ocameetsati antajeitiri: te oncameetsateji intsaneapitsajeiteero itsipapee. Te oncameetsateji imperanajeitee, te oncameetsateji iroashinoncaajeitee, irointi ocameetsati aacameetsatavacaajeitea.
02-00	Ayojeitaqueri, 2.
