00-00	DECLARACION UNIVERSALA DELS DRETS HUMANS
00-01	Considerant que de reconéisser la dignitat inerenta a totes los membres de la familha umana e lors dreches egals e inalienables constituís lo fondament de la libertat, de la justícia e de la patz dins lo mond,
00-02	Considerant que de desconéisser e mespresar los dreches de l'òme a menat a de barbaritats otrajantas per la consciéncia de l'umanitat e que l'aveniment d'un mond ont los èssers umans seràn liures de parlar e de creire, deliurats de la terror e de la misèria, es estat proclamat coma l'aspiracion mai nauta de l'òme,
00-03	Considerant qu'es essencial que los dreches de l'òme siàn aparats per un regime de drech per tal que l'òme siá pas obligat al suprème recors de se revoltar contra la tirania e l'opression,
00-04	Considerant qu'es essencial d'encoratjar lo desvolopament de relacions amicalas entre las nacions,
00-05	Considerant que, dins la Carta, los pòbles de las Nacions Unidas an tornat proclamar lor fe dins los dreches fondamentals de l'òme, dins la dignitat e la valor de la persona umana, dins l'egalitat dels dreches dels òmes e de las femnas, e que se son declarats resolguts a favorir lo progrès social e a instaurar de melhoras condicions de vida dins una libertat mai bèla,
00-06	Considerant que los Estats Membres se son engatjats a assegurar, en cooperacion amb l'Organisacion de las Nacions Unidas, lo respecte universal e efectiu dels dreches de l'òme e de las libertats fondamentalas,
00-07	Considerant qu'una concepcion comuna d'aqueles dreches e libertats es de la màger importància per que se realise plenament aquel engatjament,
00-08	l'Assemblada Generala proclama
00-09	la presenta Declaracion Universala dels Dreches de l'òme
00-10	coma l'ideal comun que totes los pòbles e las Nacions devon cercar a aténher, per tal que totes los individús e totas las institucions, en gardant de contunh aicesta Declaracion presenta a l'esperit s'efòrcen, per l'ensenhament e l'educacion, de desvolopar lo respècte d'aqueles dreches e libertats e d'assegurar, per de mesuras progressivas d'òrdre nacional e internacional, la reconeissença e l'aplicacion universalas e efectivas, tant demest los pòbles dels Estats Membres coma demest los dels territòris plaçats jos lor jurisdiccion.
01-00	Article 1
01-01	Totes los èssers umans naisson liures e egals en dignitat e en dreches. Son dotats de rason e de consciéncia e se devon comportar los unes amb los autres dins un esperit de fraternitat.
02-00	Article 2
02-01	Tota persona se pòt prevaler de totes los dreches e de totas las libertats proclamada dins la presenta Declaracion, sense cap de distincion de raça, de color, de sèxe, de lenga, de religion, d'opinion politica o d'autra mena, d'origina nacionala o sociala, de fortuna, de naissença o de quina autra situacion que siá.
02-02	Se farà pas tanpauc cap de distincion fondada sus l'estatut politic, administratiu e internacional de país o territòri que la persona ne depend juridicament, qu'aquel país o territòri siá independent, jos tutèla, non-autonòme o somés a quina limitacion de sobeiranetat que siá.
03-00	Article 3
03-01	Tot individu a drech a la vida, a la libertat e a la seguretat de sa persona.
04-00	Article 4
04-01	Degun serà pas tengut en esclavatge ni en servitud; l'esclavatge e lo trafic d'esclaus son proïbits dins totas lors formas.
05-00	Article 5
05-01	Degun serà pas somés a la tortura, ni a de penas o tractaments crudèls, inumans o degradants.
06-00	Article 6
06-01	Tota persona, a quin endrech que siá, a drech a la reconeissença de sa personnalitat juridica.
07-00	Article 7
07-01	Totes son egals davant la lei e an lo drech de n'obténer la meteissa proteccion, sense distincions. Totes an lo drech a una meteissa proteccion contra quina discriminacion que siá que viòle la presenta Declaracion e contra tota provocacion a una tala discriminacion.
08-00	Article 8
08-01	Tota persona a drech a un recors efectiu al prèp de las jurisdiccions nacionalas competentas contra los actes que viòlen los dreches fondamentals que li son reconeguts per la constitucion o la lei.
09-00	Article 9
09-01	Degun pòt pas èsser arrestat, embarrat o exiliat arbitràriament.
10-00	Article 10
10-01	Tota persona a lo drech, en plena egalitat, que sa causa siá recebuda ambe equitat e publicament per un tribunal independent e imparcial, que decidirà, siá de sos dreches e obligacions, siá de la legitimat de tota acusacion portada contra ela en matèria penala.
11-00	Article 11
11-01	Se presumís qu'es innocenta tota persona acusada d'un acte delictuós, tant que sa culpablitat es pas estada establida legalament al cors d'un procès public ont totas las garentias necessàrias per la siá defensa li seràn estadas asseguradas.
11-02	Degun serà pas condemnat per d'accions o d'omissions que, quand foguèron comesas, constituïssián pas un acte delictuós segon lo drech nacional o internacional. S'impausarà pas tanpauc cap de pena mai fòrta que la qu'èra aplicabla al moment que se cometèt l'acte delictuós.
12-00	Article 12
12-01	Degun serà pas l' objècte d'intrusions arbitràrias dins sa vida privada, sa familha, son domicili o sa correspondéncia, ni d'atacs contra son onor e sa reputacion. Tota persona a drech a la proteccion de la lei contra d'intrusions e d'atacs d'aquela mena.
13-00	Article 13
13-01	Tota persona a lo drech de circular liurament e de causir sa residéncia a l'interior d'un Estat.
13-02	Tota persona a lo drech d'abandonar tot país, quitament lo sieu, e de tornar dins son país.
14-00	Article 14
