00-00	Declaracion Universal nin mga derechos humanos
00-01	Huli ta an pagkamidbid kan dignidad intrinseca asin an parantay asin inalienableng mga derechos kan gabos na miembros kan familia humana iyo an fundacion nin katalinkasan , justicia asin katoninongan sa bilog na kinaban,
00-02	Huli ta an ginikanan nin mga makangirongirhat na mga gawe laban sa conciencia nin katawohan iyo an pagbalga asin pagmenos kan derechos humanos, asin ta sa pagpahayag na an pinakahalangkaw na kamawotan nin katawohan iyo an magkaigwa nin sarong kinaban na kun saen an gabos na tawo mayo nin pagkatakot asin miseria, asin igwang katalinkasan sa pagtaram asin man katalinkasan nin pagtubod,
00-03	Huli ta mahalaga na mabantayan an derechos humanos sa irarom nin sistemang may pagkuyog sa ley, tanganing an tawo dai mapiritan na magrebelde, bilang ultimong paagi, laban sa tirania asin opresion,
00-04	Huli ta mahalagang pakusogon an kaboronyogan nin mga naciones,
00-05	Huli ta sa Carta, an mga banwaan kan Naciones Unidas nagpahayag liwat kan saindang pagtubod sa mga fundamental na derechos humanos, sa dignidad asin halaga kan pagkatawo asin sa parantay na derechos nin mga lalaki asin babae, asin man ta nagkasararo na ikapadagos an pagtalubo nin banwaan asin an mas marahay na kabuhayan na igwang orog na katalinkasan,
00-06	Huli ta an mga Estados Miembros, nangako na maghingoa na makamtan, sa pakipagtabangan kan Naciones Unidas, an pagbalangibog nin pangabos na pagrespeto asin pagsunod kan derechos humanos asin mga fundamental na katalinkasan,
00-07	Huli ta kinakaipuhan nanggad an sarong pagkasabot kaining mga derechos asin mga katalinkasan tanganing mautob ining pangako,
00-08	Kaya, ngonian,
00-09	an Asamblea General minapahayag
00-10	Kaining Declaracion Universal nin mga Derechos Humanos bilang sarong kamawotan na dapat makamtan kan gabos na banwaan asin naciones, tanganing an lambang saro asin lambang institucion nin banwaan, sa danay na pagromdom kaining Declaracion, maghingoa sa paagi nin pagtukdo asin educacion, na ikabalangibog an pagrespeto kaining mga derechos asin mga katalinkasan, asin sa paagi nin medios na progresivo, nacional asin internacional, makamtan an saindang pangabos asin efectivong pagmidbid asin pagsunod, sa mga banwaan man sana kan mga Estados Miembros asin man sa mga banwaan kan mga territorios na yaon sa saindang kapangyarihan.
01-00	Articulo 1
01-01	An gabos na tawo ipinangaking may katalinkasan asin parantay sa dignidad asin derechos. Sinda gabos tinawan nin pag-isip asin conciencia kaya dapat na makipag-iriba sa lambang saro bilang mga magturugang.
02-00	Articulo 2
02-01	An lambang saro igwa nin gabos na mga derechos asin mga katalinkasan na ipinahayag sa Declaracion na ini, na mayo nin ano man na palaen arog kan raza, color, sexo, linguage, religion, opinion politica o nagkaiba pa, nacional o social na pinaghalean, pagsadiri, pagkamundag o iba pang condicion.
02-02	Siring man, mayo nin ano man na palaen an itotogot na ikabase sa condicion politica, juridica o internacional, kan nacion o territorio na kinabibilangan nin sarong tawo, independiente man o sarong pagkatiwala, o mayong autonomia o nasa irarom nin ano pa man na limitacion nin soberania.
03-00	Articulo 3
03-01	An lambang saro igwa nin derecho nin buhay, katalinkasan, asin seguridad nin pagkatawo.
04-00	Articulo 4
04-01	Mayo nin siisay man an ipapasairarom sa kaoripnan o sa servidumbre; an pag-oripon asin an pagpabakal nin mga oripon, sa ano man na forma, dai nanggad pagtotogotan.
05-00	Articulo 5
05-01	Mayo nin siisay man an ipapasairarom sa labi-labing pagkulog o sa brutal o bako sa tawong kastigo o pagmaltrato.
06-00	Articulo 6
06-01	An lambang saro igwa nin derecho nin pagkamidbid bilang sarong persona sa atubang nin ley.
07-00	Articulo 7
07-01	An gabos parantay sa atubang kan ley asin igwa nin derecho, na mayo nin ano man na discriminacion, sa pantay-pantay na proteccion nin ley. Gabos igwa nin derecho sa nagkaparehong proteccion laban sa ano man na discriminacion na minabalga kaining Declaracion asin contra sa ano man na pag-olog-olog para sa nasabing discriminacion.
08-00	Articulo 8
08-01	An lambang saro igwa nin derecho sa efectivong paagi na dapat ikatao kan mga competenteng tribunales kan nacion contra sa mga gawe na minabalga kan mga fundamental na derechos na ginagarantia kan constitucion o kan ley para sa saiya.
09-00	Articulo 9
09-01	Mayo nin siisay man an ipapasairarom sa basta-bastang pagdakop, pagkulong o pagsobol.
10-00	Articulo 10
10-01	An lambang saro igwa nin derecho, na may pagkapantay-pantay, sa vistang may justicia asin sa publico, kan sarong tribunal na independiente asin imparcial, sa pagdeterminar kan saiyang mga derechos asin mga katungdan asin nin ano man na acusacion criminal laban saiya.
11-00	Articulo 11
