00-00	Di Stetmɛnt Bɔt Di Rayt Dɛn We ɔlman na Di Wɔl Fɔ Gɛt
00-01	Soso we if wi sabi ɛn gri se if ɔlman gɛt insɛf yon rɛspɛkt, i ikwal ɛn gɛt di sem rayt lɛk ɛni ɔda pɔsin ɔloba di wɔl, dɛn di wanol wɔ1 sɛf go gɛt fridɔm, jɔstis ɛn pis; as tiŋ dɛn we wikɛd pasmak dɔn apin bikɔs pipul dɛm nɔ wan fɔ gri se ɔlman ikwal.
00-02	Di tiŋ we di kɔmɔn man want pas ɔltin na di wɔl tide na fɔ mek ɛvribɔdi ebul fɔ se wetin i fil, ɔ tink bay aw tiŋ de bi, fɔ biliv wetin i want fɔ biliv ɛn gɛt bɛnifit frɔm ɔl wetin i nid, wit kolat.
00-03	If man fɔ liv wit kolat ɛn nɔ gɛt fɔ de fɛt fɔ in yon yon rayt, dɛn i impɔtant fɔ mek di lɔ protɛkt da rayt de;
00-04	Na semweso i gud fɔ lɛ kolat ɛn frɛnship de bitwin neshɔn ɛn neshɔn dɛn.
00-05	We di Yunaytɛd Neshɔn dɛn sɛf si dis nain mek dɛn put am tranga wan na dɛn chata se ɔl mɔtalman ɔlsay na di wɔl ikwal, dɛn gɛt dɛnsɛf sɛf yon rɛspɛkt we nɔbɔdi nɔ fɔ fɔmful wit.
00-06	Wɛda dɛn na man ɔ uman, diffrɛns nɔ fɔ de, ɛn di Yunaytɛd Neshɔn dɔ mekop dɛn maynd fɔ mek ɔlman liv with kolat ɛn rɛspɛkt usay i de ɛn gɛt itwal chans fɔ du wetin dɛn sabi fɔ du.
00-07	Na semweso di mɛmba kɔntri dɛn na di Yunaytɛd Neshɔn dɔn gri fɔ jɔynan ɛn mek shɔ se dɛn go gɛt fridɔm, jɔstis ɛn pis sote go.
00-08	Fɔ mek dis wanwɔd ol wata ɔloba di wɔl, ɛvribɔdi fɔɔndastand wetin dɛn rayt ɛn dɛn fridɔm, jɔstis ɛn pis yaso min.
00-09	so, lɛ wi si,
00-10	Di Jɛnɛral Asɛmbli
00-11	dɔn tɔk naw se,
00-12	Dis stetmɛnt bɔt di rayt we ɔlman ɔlsay na di wɔl fɔ gɛt, fɔ bi sem fɔɔl kanaba pipul dɛn na ɔl di kɔntri dɛn ɛn dat ɛvribɔdi ɛn patikla di wan dɛn we gɛt pawa, fɔ mek shɔ se dnsɛf ɛn dɛn dɛnlan am, dɛn sabi am ɛn de fala wetin i se so dat ɔLoba di wɔl pipul dɛn go gɛt fridɔm, jɔstis ɛn pis.
01-00	Atikul Wan
01-01	ɛvribɔdi bɔn fri ɛn gɛt in yon rayt, nɔn wan nɔ pas in kɔmpin. Wi ɔl ebul fɔ tink ɛn fɛnɔt wetin rayt ɛn rɔŋ pantap dat wi fɔ sabi aw fɔ liv lɛk wan big famili.
02-00	Atikul Tu
02-01	ɛvribɔdi fɔ gɛt di sem rayt ɛn fridom we dis stetmɛnt tɔk bɔt, nɔ mata wɛda in na wetman ɔ blakman, man ɔ uman, bukman ɔ yu nɔ sabi rid ɛn rayt, poman ɔ mɔniman, kristiɛn ɔ muslim.
02-02	Pantap dat, di kɔntri we di pɔsin bɔn sɛf nɔ fɔ bi baria na in we. I fɔ gɛt ikwal rayt lɛk ɛni ɔda pɔsin na di bɛst divɛlop kɔntri na di wɔl.
03-00	Atikul Tri
03-01	Evribɔdi fɔ ebul fɔ liv in layf, fɔ fil fri ɛn fɔ fil sɛf se nɔbɔdi ɔ natin nɔ go denja in layf.
04-00	Atikul Fo
04-01	Nɔbɔdi nɔ fɔ mek in kɔmpin in slev – dis, ɔɛnitiŋ sɛf we fiba am fɔ tap.
05-00	Atikul Fayv
05-01	Nɔbɔdi nɔ fɔ mek in kɔmpin sɔfa bita wikɛd pen na bɔdi ɔ shem sote i lɔs da in yon yon rɛspɛkt.
06-00	Atikul Siks
06-01	ɛvribɔdi gɛt rayt fɔ mek pipul dɛn rɛspɛkt am as mɔtalman ɛnisay na di wɔl ɛn, sɛf, fɔ mek di lɔɛp am gɛt dis rɛspɛkt.
07-00	Atikul Sɛvin
07-01	ɛvribɔdi ikwal ɛn di lɔ fɔ ebul protɛkt ɛniwan wantɛm we ɔda pipul dɛn na trit wan du am wetin in mɔtalman rayt nɔ gri fɔɔ if bad pipul se ɔda wan agens am.
08-00	Atikul Et
08-01	ɛvribɔdi we tink se dɛn dɔn go agens in rayt we dis stetmɛnt tɔk bɔt, fɔ ebul gɛt ɔl di ɛp we i nid frɔm ɛni kotos we gɛt pawa na in kɔntri.
09-00	Atikul Nayn
09-01	Nɔbɔdi nɔ fɔ arɛst, jel ɔ drɛb ɛni pɔsin kɔmɔt na in yon kɔntri jɛs bikɛs i fil fɔ du so.
10-00	Atikul Tɛn
