00-00	Declaraçon di mundo intêro di Dréto di tudo homi co tudo mudjer
00-01	Nu ta considrâ qui, riconhecimento di dignidadi qui ta fazê parti di tudo membro di família humano e di sês drêto qui ê igual e qui nu ca podê squecê, nem ficâ separado di el, ê fundamento di liberdadi, di justiça e di paz di riba di ês mundo;
00-02	Nu ta considrâ qui, disconhecimento e disprezo di drêto di tudo homi e di tudo mudjer lêbanu pa fazê cusas di rundade qui bem raboltâ concença di tudo Humanidadi. Nu sa ta spèrâ pa tchigâ um mundo undi tudo ser humano ta bem podê ser libri di podê papiâ e di crêditâ, liberto di terror e sim medo di pássâ fomi e di miséria. Tudo ês cusa bem ta ser porclamado cuma um inspiraçon muto importanti pâ nôs tudo: pâ homi e pâ mudjer.
00-03	Nu ta considrâ qui ê essencial quel porteçon di drêto di homi e di mudjer dento di um rigimi di drêto, pamodi ês ca bem ta ser impurrado, num ricurso supremo, pâ bai pa ribolta contra tirania e opresson.
00-04	Nu ta considrâ quiê essencial si nu bem incorája quel disenvolvimemto di relaçon di amizadi di naçon co naçon.
00-05	Nu ta considrâ qui, naquel Carta, tudo pôbo di "Naçon Unido" ta porclama, ôto bez, qui eres tem fé na drêto fundamental di homi e di mudjer, na dignidadi e na valor de tudo péssoa humano, na igualdadi di drêto di homi e di mudjer, e ês diclara cuma ês sta resolvido pa bai favorecê purgresso social e eres sa ta bai ránjâ midjor condiçon di bida di pa dénto di muto más liberdadi.
00-06	Nu ta considrâ qui tudo Estado membro dês grupo ta compromête pa pormovê na cooperaçon co Organizaçon di Naçon Unido, quel ruspêto universal e efectivo di drêto e di liberdadi fundamental.
00-07	Nu ta considrâ qui um concepçon comum di êssi drêto e liberdadi ê di muto más importança pa podê dâ completo satisfaçon pa essi compromisso.
00-08	Assembleia Geral Nês Assembleia eres ta porclama qui, quel Declaraçon Universal di Dreto di Homi (homi ô mudjer) cuma um ideal comun pa tchiga na tudo pobo e na tudo naçon, pamódi qui, tudo individu e tudo orgão di sociedadi, si ês tenê el constantimenti na sprito, ês debê sforçâ pa, na ensino e na educaçon, ês podi bem disenvolvê ruspêto dês drêto e liberdadi e eres, podi pormovê, co midida porgressive di ordi nacional e internacional, sê reconhecimento e sê aplicaçon universal e efective, tanto na meio di populaçon di própi estado membro cuma naquêl di tudo territóri colocado debaixo di sês jurisdiçon.
01-00	Artigo 1º
01-01	Tudo ser humano na ês mundo nacê libri e igual na sê dignidade e na sês drêto. Na sês razon e na sês concénça, tudo arguem debê porcêdê pa co tudo guenti na sprito di fraternidadi.
02-00	Artigo 2º
02-01	Tudo ser humano na ês mundo podi invocâ di drêto e di liberdadi qui sa ta ser porclamado nês Declaraçon li, sem distinçon algum di ôto, nomeadamenti, di raça, di cor, si el ê homi ô mudjer, si el tem ôto lingua, di religion ô di ôto crença, di opinion política, ô ôto li, di orija nacional ô social, di fortuna, di undi ê nacê ô di calquer ôto situaçon.
02-02	Dispôs disso tudo, ninguêm ca podê bem fazê ningum distinçon fundamentado na statuto político, na cusas di tribunal qui ta tchomádo "jurídico", ô internacional, di país ô di naçon undi bu nacê, nim qui esse naçon ô território di naturalidade dess péssoa mésmo qui essi país stâ indipendenti, ô stâ dibaxo di ordi di ôto, ô si el stâ libre ô dibaxo di algum limitaçõn di aôtoridadi, qui nu podê tchomal "di soberania".
03-00	Artigo 3º
03-01	Tudo arguém tem drêto di sê bida, di tem liberdadi e, tem di tem sigurança di el própri.
04-00	Artigo 4º
04-01	Ninguêm al podê ficâ scrabo ô na catibêro; ficâ scrabo ô tráto di scrabo ê ca pirmitido, di calquer manêra qui bem ta ser.
05-00	Artigo 5º
05-01	Ninguêm ca podê bem ser torturado nin podê tem castigo, ô bem tem tratamento di brutalidadi, tratamento horrive ou di disonra.
06-00	Artigo 6º
06-01	Tudo homi di Deus tem drêto di ser conchido na tudo lugar di sê própri péssoa djusto tambê na cusas di tribunal.
07-00	Artigo 7º
