00-00	ULUMBUNWISO WAKUTELA WA MUTHU MWESWE
00-01	Ha kulemesa uningikiso wa yeswe ize inatela hali mbunga yeswe ya cisemuka nyi ize inatela eswe cimwikha nyi kusa ize inatela ha kutama, ya kusamba nyi kutama kanawa mu cifuci.
00-02	Kweca kulemesa uningikiso nyi kweca ize inatela hali muthu ya kuneha muvundo mba mbunge mujivunduka; hi kuhanjyeka ceswaco anazange, kupulwila ihungumwona nyi halamba, ce anakasa nyi ulemu wa manyonga ja muthu.
00-03	Ha kulemesa citanga ca ulemu ca kwaha utunu wa kukolesa ulikate hakaci kaisamba.
00-04	Kulemesa mukanda wa mbunga ya akwa Nacoes Unidas, kasa ceka nawa ufulyelo wa hakusa ulitele ulemu wa muthu, ulitele umuwikha haly malunga nyi mapwo, nyi ahanjikile nyi kulisela ku kolesa kwokesa ulikate nyi kusa itanga yakutwama mwono upema mu usokoka unene.
00-05	Ha kulemesa makulwana ce Nguvulu kalisela ku kukolesa kupwa cimwikha nyi akwa kululika ifuci ya inunga, kuvumbika mbunga yeswe nyi ene akwa ulitele wa muthu nyi kusokoka ca ulemu.
00-06	Ha kulemesa hawano manyonga a mbunga akutala hakutela nyi kusokoka ce cilemu kuhi ana hanga cipwe kulinga nyi kutela nyi ceseko.
00-07	Cikungulwila ca mbunga kasa ulumbunwiso uno kulita mbunga yeswe mu cifuci nyi kulita eswe atakane nyi isamba ndo kuli mweswawo nyi kwikungulwila ya eswe, wapwa nyi uno ulumbunwiso ku mucima we, jikizenu, hanga cipwe kulongesa, hanga cyelume nyi kulita nyi utumino wa cifuci nyi ifuci ya haze, uningiko nyi kusa cifuci ceswe nyi akwamembo kuli akwakutumina nyi ku mbango jeswe kuze kuli kwakusonekesa nyi itanga yaulilelo waco :
01-00	LIJI LITANGU
01-01	Mwese yoze masemuka katela ukulungunga ulengunga ulemu nyi vumbi eswe ci mwikha. Eswe kalingile kupwa nyi usambe nyi mangana nyi kuhasa kulimika nyumwe nyi mukwo nyi kulita nyi mbunge ya ulemu wa utu.
02-00	LIJI LYA MUHALI
