00-00	Sigai Renquan Xuanyan
00-01	Yinwei dui renlui soyou cenyuan li guyou zunlian jie qi pinden li ho bwyi li quanli li cenren, laisi sigai ziyou, zenli yu hopin li jicu,
00-02	Yinwei dui renquan li vusi ho vumie yi fazan wei yiman baoxin, zixi baoxin dianvu la renlui li liangxin, er yego renren xiangyou yanlun ho xinyang ziyou bin mianyu kongju ho kuifa li sigai li lailin, yi bei xuanbu wei putong renmin li zuigao yuanwang,
00-03	Yinwei wei si renlui bwzi pae bw dae yi tin er zou xian dui baozen ho yapae jinxin fanpan, you bieyao si renquan sou fazi li baofu,
00-04	Yinwei you bieyao cwjin go guae jian youhao guanxi li fazan,
00-05	Yinwei go Lianho Guae guaejia li renmin yi zai Lianho Guae Xianzang zong congsen tamen dui jiben renquan, rengae zunlian ho jiaze yijie lanlü pinden quanli li xinlian, bin juexin cwcen jiaoda ziyou zong li sehui jinbu ho senho suipin li gaisan,
00-06	Yinwei go cenyuan guae yeyi siyuan tong Lianho Guae hozo yi cwjin dui renquan ho jiben ziyou li pubian zunzong ho zunxin,
00-07	Yinwei dui zixi quanli ho ziyou li pubian liaogai zuiyu zigo siyuan li congfen sexian juyou henda li zongyao xin,
00-08	Soyi ziha,
00-09	Dahui,
00-10	Fabu zi ye Sigai Renquan Xuanyan, zowei soyou renmin ho soyou guaejia nulie sexian li gongtong biaozun, yi qi mei ye go ren ho sehui jigou jincang minlian ben xuanyan, nulie tonggo jiaohui ho jiaoyue cwjin dui quanli ho ziyou li zunzong, bin tonggo guaejia li ho guaeji li jianjin cosi, si zixi quanli ho ziyou zai go huiyuan guae bensen renmin jie zai qi guanxia xia lintu li renmin zong daedao pubian ho youxiao li cenren ho zunxin;
01-00	Di ye tiao
01-01	Renren sen xialai de si ziyou li, zai zunlian ho quanli sang yelue pinden. Tamen fuyou lixin ho liangxin, hai yingai na xiongdi guanxi li jinsen fuxiang duidai.
02-00	Di er tiao
02-01	Renren you zigae xiangyou zi go xuanyan xi de yitou li quanbu quanli ho ziyou, bwfen zongzw, fusae, xinbie, yuyan, zongjiao, zenzi huae qita jiangai, guaejie huae sehui cwsen, caican, cwsen huae qita senfen den renho qubie.
02-02	Binqi bwdae yi ye ren so sw li guaejia huae lintu li zenzi li, xinzen li huaezai guaeji li diwei zi bwtong er you so qubie, vulun gai lintu si dwlie lintu, toguan lintu, fei zizi lintu huaezai cuyu qita renho zuquan sou xianzi li qinkuang zixia.
03-00	Di san tiao
03-01	Renren de you quan xiangyou senmin, ziyou haiyou rensen nganquan.
04-00	Di si tiao
04-01	Renho ren bw koyi bipae dang ludi huaezai luyi; yeqie xinsi li ludi zidu ho ludi maimai, jun yin yuyi jinzi.
05-00	Di vu tiao
05-01	Renho ren bw koyi ngai kuxin, huaezai soudai canren li, bw rendao li huae vuruxin li daiyu huae xinfa.
06-00	Di lw tiao
06-01	Renren de renho difang de youquan bei cenren zai falue qian li rengae.
07-00	Di qie tiao
07-01	De falue qiantou renren de si pinden li, bin youquan xiangsou falue li pinden baofu, bw sou renho qisi. Renren you quan xiangsou pinden baofu, yi mian sou weifan ben xuanyan li renho qisi xinwei yijie sandong zizong qisi li renho xinwei li weihai.
08-00	Di ba tiao
08-01	Renho ren de xianfa huae falue so ge ta li jiben quanli zaodao qinhai li sihou, youquan you hogae li guaejia fatin dui zizong qinhai xinwei zo youxiao li bujiu.
09-00	Di jiu tiao
