00-00	АДАМ ҚҰҚЫҚТАРЫНЫҢ ЖАЛПЫҒА БІРДЕЙ ДЕКЛАРАЦИЯСЫ
00-01	Адам баласы үйелменінің барлық мүшелеріне тән қадір‐қасиетін, құқықтарының теңдігі мен тартып алынбайтындығын тану, бостандық пен әділдіктің және жалпыға бірдей бейбітшіліктің негізі болып табылатынына назар аудара отырып,
00-02	адам құқықтарына деген елемеушілік, менсінбеушілік адам баласы арының зығырданын қайнататын тағылық жағдайға әкеліп соғатынына және дүние жүзі адамдары сөз бен наным‐сенім бостандықтарына ие болып, үрей мен мұқтаждықтан ада бола алатын ортаны құру – адам баласының жоғары мәртебелі ұмтылысы деп жарияланғанына назар аудара отырып,
00-03	адам баласы зорлық‐зомбылық пен қанауға қарсы көтеріліске мәжбүр болатын жағдайды тудырмау үшін, адам құқықтары заң билігімен қорғалуы керек екеніне назар аудара отырып,
00-04	халықтар арасында достық қарым‐қатынастың дамуына жәрдемдесу керек екеніне назар аудара отырып,
00-05	БіріккенҰлттар елдері өз Жарғысында негізгі адам құқықтарына, жеке адам басының қадір‐қасиеті мен құндылығына және ерлер мен әйелдердің теңдігіне сенімдерін растап, әлеуметтік прогресс пен адамға ылайық өмір сүру деңгейін, нақтыланған бостандықтардан тыс, кең ауқымды бостандықтарды арттыруға жәрдемдесу керек деген шешімге келгендеріне назар аудара отырып,
00-06	мүше‐мемлекеттер Біріккен Ұлттар Ұйымымен ынтықтамаса отырып, адам құқықтары мен негізгі бостандықтары жалпыға бірдей құрметтеліп сақталуына ықпал жасауға міндеттенгендеріне назар аудара отырып,
00-07	осы міндеттемелерді толыққанды жүзеге асыру жолында осы құқықтар мен бостандықтардың мән‐мағынасы мен ерекшелітктерін ұғынып түсінудің маңызы зор екендігіне назар аудара отырып,
00-08	БАС АССАМБЛЕЯ,
00-09	Адам құқықтарының жалпыға бірдей Декларациясын бүкіл халықтар мен мемлекеттердің ұмтылыстары арқылы әр адаммен қатар, қоғамның әр органы осы декларацияны үнемі жадында тұтып, білім беру және ағарту жұмыстары арқылы осы құқықтар мен бостандықтарды қадір тұтуға ықпал жасап, үлттық халықаралық шаралар арқылы Ұйымның мүше‐мемлекеттерінің халықтарымен қоса, олардың юрисдикциясына қарасты территорялардың халықтары арасында да, жалпыға бірдей тиімді түрде танылып, жүзеге асырылуы үшін алға қойылған мақсат ретінде жария етіп отыр.
01-00	1 бап
01-01	Барлық адамдар тумысынан азат және қадір‐қасиеті мен кұқықтары тең болып дүниеге келеді. Адамдарға ақыл‐парасат, ар‐ождан берілген, сондықтан олар бір‐бірімен туыстық, бауырмалдық қарым‐қатынас жасаулары тиіс.
02-00	2 бап
02-01	Әр адам, нәсіліне, түр‐түсіне, жынысына. тіліне, дініне, саяси немесе басқа да наным‐сенімдеріне, ұлттық, немесе әлеуметтік тегіне, мүліктік. тектік‐топтық, немесе басқа да жағдаяттарға қарамастан осы Декларацияда жарияланған барлық құқықтар мен бостандықтарға алаланбай, бірдей тең ие болуы тиіс.
02-02	Сонымен қатар, ешкім де өзі тұратын елінің, не болмаса территорияның саяси, құқықтық, немесе халықаралық мәртебесінің негізі бойынша, және де ол территория тәуелсіз, әлде біреудің қарамағында, әлде өзін‐өзі басқарушы емес, немесе оның егемендігі әртүрлі нысанда шектеулі болған күннің өзінде де, алаланбауы тиіс.
03-00	3 бап
03-01	Әр адам өмір сүруге, бостандықта болуға және оның жеке басына қол сұғылмауына құқылы.
04-00	4 бап
04-01	Ешкім де құлдықта немесе кіріптарлықта ұсталуы тиіс емес. Құлдық пен құл саудасына, қандай түрде болса да, тыйым салынады.
05-00	5 бап
05-01	Ешкім де азапталуға немесе қадір‐қасиетін қорлайтындай адамшылыққа жатпайтын қатыгездік жолмен жәбірленуге, немесе жазалануға тиіс емес.
06-00	6 бап
06-01	Әр адам қай жерде жүрсе де, құқықтық субъектісі ретінде танылуына құқылы.
07-00	7 бап
07-01	Заң алдында жұрттың бәрі тең және де заң арқылы алаланбай, бірдей тең қорғалуға құқылы. Барлық адам осы Декларацияның ережелерін бұзатын кемсітуден және кемсітуге арандатушылықтың барлық түрінен тең қорғалуға құқылы.
08-00	8 бап
08-01	Әр адам, конституциямен, немесе заңмен берілген негізгі құқықтары бұзылған жағдайда, құқығын құзыретті ұлттық сот арқылы тиімді түрде қалпына келтіруге құқылы.
09-00	9 бап
09-01	Ешкім де негізсіз тұтқындалуға, қамауда ұсталуға немесе қуғынға ұшыратылуға тиіс емес.
10-00	10 бап
10-01	Әр адам, өзінің құқықтары мен міндеттерін анықтап, өзіне тағылған қылмыстық айыптаудың негізділігін белгілеу үшін, ісі толық теңдік негізінде, әділеттік талаптарға сай, тәуелсіз және әділ сот арқылы ашық қаралуына құқығы бар.
11-00	11 бап
11-01	Қылмыс жасады деп айыпталған әр адам, қорғану құқығы қамтамасыздандырылып, заңды және ашық сот талқылауы оның кінәсін толық анықтағанға дейін, кінәсіз деп есептелуге құқығы бар.
11-02	Ешкім де жасаған әрекеті немесе әрекетсіздігі негізінде, егер ол әрекеті ұлттық заңдар мен халықаралық құкық бойынша қылмыс болып саналмаса, жауапқа тартылмайды. Сонымен қатар қылмыс үшін берілген жаза, қылмыс жасалған кезде заңмен көзделген жазадан ауыр болмауға тиіс.
12-00	12 бап
12-01	Әр адам жеке және отбасылық өміріне өзгелердің өз бетінше араласуынан, озбырлық жасап баспанасына, хат жазысып‐алысу құпиясына қол сұғуынан, ар‐намысы мен абырой беделіне нұқсан келтіруінен қорғалуға құқығы бар.
13-00	13 бап
13-01	Әр адамның әр мемлекеттің ішінде жүріп‐тұруына және өз қалауынша тұратын мекен‐жайды таңдауына құқығы бар.
13-02	Әр адам кез‐келген елден, соның ішінде өзінің туған елінен, басқа елге қоныс аударуға және өз еліне қайтып оралуға құқылы.
14-00	14 бап
14-01	Әр адамның қуғынға ұшыраған жағдайда, басқа елдерден баспана іздеп және сол баспананы пайдалануға кұқығы бар.
14-02	Бұл құқық шынтуатында саяси емес қылмыстың негізінде, немесе Біріккен Ұлттар Ұйымының мақсаттары мен қағидаларына қайшы келетін әрекеттері үшін қуғындалғандарға жүрмейді.
15-00	15 бап
15-01	Әр адамның азаматтыққа құқығы бар.
15-02	Ешкімді де азаматтығынан немесе азаматтығын өзгерту құқығынан еріксіз айыруға болмайды.
16-00	16 бап
16-01	Кәмелеттік жасқа толған ерлер мен әйелдер өздерінің нәсіліне, ұлтына, дініне қарамастан некеге тұрып, отбасын құруға құқылы. Олар некеге тұрған, некеде болған және ажырасқан кезде бірдей кұқықтарды пайдаланады.
16-02	Неке, тек екі жақтың өзара еркін және толық келісімі бойынша ғана қиылады.
16-03	Отабасы қоғамның табиғи және негізгі ұясы болып табылады, және қоғам мен мемлекет тарапынан қорғалуға кұқылы.
17-00	17 бап.
17-01	Әр адамның дүние мүлікті жеке өзі, немесе басқалармен бірлесіп иемденуге құқығы бар.
17-02	Ешкім де өз мүлкінен еріксіз айрылмауға тиіс.
18-00	18 бап
18-01	Әр адам ой‐пікір, ар‐ождан және дін бостандығына құқығы бар; бұл құқық өз дінін немесе наным‐сенімін өзгерту еркіндігін, өз дінін, наным‐сенімін жеке өзі, немесе басқа адамдармен бірігіп тұтып, жария түрде, немесе жеке жолмен уағыздау, құдайға құлшылық ету, діни салт‐жораларын орындау бостандығын да қамтыйды.
19-00	19 бап
