00-00	DATGANIAD CYFFREDINOL O HAWLIAU DYNOL
00-01	Gan mai cydnabod urddas cynhenid a hawliau cydradd a phriod holl aelodau’r teulu dynol yw sylfaen rhyddid, cyfiawnder a heddwch yn y byd,
00-02	Gan i anwybyddu a dirmygu hawliau dynol arwain at weithredoedd barbaraidd a dreisiodd gydwybod dynolryw, a bod dyfodiad byd lle y gall pob unigolyn fwynhau rhyddid i siarad a chredu a rhyddid rhag ofn ac angau wedi ei gyhoeddi yn ddyhead uchaf y bobl gyffredin,
00-03	Gan fod yn rhaid amddiffyn hawliau dynol a rheolaeth cyfraith, os nad yw pob unigolyn dan orfod yn y pendraw i wrthryfela yn erbyn gormes a thrais,
00-04	Gan fod yn rhaid hyrwyddo cysylltiadau cyfeillgar rhwng Cenhedloedd,
00-05	Gan fod pobloedd y Cenhedloedd Unedig yn y Siarter wedi ail ddatgan ffydd mewn hawliau sylfaenol yr unigolyn, mewn urddas a gwerth y person dynol ac mewn hawliau cydradd
00-06	gwr a gwragedd, ac wedi penderfynu hyrwyddo cynnydd cymdeithasol a safonau byw gwell mewn rhyddid helaethach,
00-07	Gan fod y Gwladwriaethau sy’n Aelodau wedi ymrwymo, mewn cydweithrediad â’r Cenhedloedd Unedig, i sicrhau hyrwyddo parch cyffredinol i hawliau dynol a’r rhyddfreintiau sylfaenol, a’u cadw,
00-08	Gan fod deall yr hawliau a’r rhyddfreintiau hyn gan bawb o’r pwys mwyaf i lwyr sylweddoli’r ymrwymiad hwn,
00-09	Felly, y mae’r
00-10	Cynulliad Cyffredinol
00-11	yn awr yn cyhoeddi’r
00-12	Datganiad Cyffredinol hwn o Hawliau Dynol
00-13	yn ddelfryd cyffredin i’r holl bobloedd a’r holl genhedloedd ymgyrraedd ato, fel y bo i bob person ac i bob offeryn cymdeithasol, gan ddal y Datganiad hwn mewn cof yn wastad, ymdrechu trwy ddysgu a hyfforddi i sicrhau parch i’r hawliau a’r rhyddfreintiau hyn, a thrwy ffyrdd blaengar, cenedlaethol a chydgenedlaethol, i sicrhau eu cydnabod a’u cadw yn gyffredinol ac yn effeithiol, ymysg pobloedd y Gwladwriaethau sy’n Aelodau eu hunain yn ogystal ag ymysg pobloedd y tiriogaethau sydd dan eu rheolaeth.
01-00	Erthygl 1
01-01	Genir pawb yn rhydd ac yn gydradd â’i gilydd mewn urddas a hawliau. Fe’u cynysgaeddir â rheswm a chydwybod, a dylai pawb ymddwyn y naill at y llall mewn ysbryd cymodlon.
02-00	Erthygl 2
02-01	Y mae gan bawb hawl i’r holl hawliau a’r rhyddfreintiau a nodir yn y Datganiad hwn, heb unrhyw wahaniaeth o gwbl, yn arbennig unrhyw wahaniaeth hil, lliw, rhyw, iaith, crefydd, barn boliticaidd neu unrhyw farn arall, tarddiad cenedlaethol neu gymdeithasol, eiddo, geni neu safle arall.
02-02	Ymhellach, ni ddylid gwahaniaethu ar sail safle politicaidd, gyfreithiol na chydwladol unrhyw wlad neu diriogaeth y mae pawb yn perthyn iddi, p’un ai yw honno’n annibynnol, dan nawdd, heb hunanlywodraeth, neu dan unrhyw gyfyngiad arall ar ei sofraniaeth.
03-00	Erthygl 3
03-01	Y mae gan bawb hawl i fywyd, rhyddid a diogelwch.
04-00	Erthygl 4
04-01	Ni ddylid dal neb yn gaethwas nac mewn caethiwed; dylid gwahardd caethwasiaeth a’r fasnach gaethweision ym mhob un o’u hagweddau.
05-00	Erthygl 5
05-01	Ni ddylid poenydio neb, na thrin na chosbi neb yn greulon, annynol na’n ddiraddiol.
06-00	Erthygl 6
06-01	Y mae gan bawb hawl i gael cydnabyddiaeth ym mhobman fel person yng ngydd y gyfraith.
07-00	Erthygl 7
07-01	Y mae pawb yn gydradd yng ngolwg y gyfraith gyda’r hawl yn ddiwahân i’r un amddiffyniad gan y gyfraith. Y mae gan bawb hawl i’r un amddiffyniad yn erbyn unrhyw wahaniaethu sy’n groes i’r datganiad hwn neu unrhyw anogaeth i wahaniaethu.
08-00	Erthygl 8
08-01	Y mae gan bawb hawl i ymwared effeithiol gan y llysoedd cenedlaethol cymwys rhag gweithredoedd sy’n troseddu’r hawliau sylfaenol a roddwyd iddynt gan y cyfansoddiad neu gan y gyfraith.
09-00	Erthygl 9
09-01	Ni ddylai neb gael eu dwyn i ddalfa, na’u caethiwo na’u halltudio yn fympwyol.
10-00	Erthygl 10
10-01	Y mae gan bawb hawl, mewn cydraddoldeb llawn, i gael gwrandawiad teg a chyhoeddus gan lys annibynnol a diduedd, wrth benderfynu eu hawliau a’u rhwymedigaethau ac unrhyw gyhuddiad troseddol yn eu herbyn.
11-00	Erthygl 11
11-01	Y mae gan bawb a gyhuddir o drosedd gosbadwy hawl i gael eu hystyried yn ddieuog tan y profir hwynt yn euog yn ôl y gyfraith mewn prawf cyhoeddus lle y byddant wedi cael pob gwarant angenrheidiol at eu hamddiffyniad.
11-02	Ni ddylid dyfarnu neb yn euog o drosedd gosbadwy oherwydd unrhyw weithred neu wall nad oedd yn drosedd, yn ôl cyfraith genedlaethol neu ryngwladol, pan gyflawnwyd hi. Ni ddylid ychwaith osod cosb drymach na’r un a oedd yn gymwys ar yr adeg y cyflawnwyd y drosedd gosbadwy.
12-00	Erthygl 12
12-01	Ni ddylid ymyrryd yn fympwyol â bywyd preifat neb, na’u teulu, na’u cartref, na’u gohebiaeth, nac ymosod ar eu hanrhydedd na’u henw da. Y mae gan bawb hawl i amddiffyniad gan y gyfraith rhag y fath ymyrraeth ac ymosod.
13-00	Erthygl 13
13-01	Y mae gan bawb hawl i symud fel y mynnant ac i breswylio lle y mynnant o fewn terfynau’r Wladwriaeth.
13-02	Y mae gan bawb hawl i adael unrhyw wlad, gan gynnwys eu gwlad eu hunain, a hawl i ddychwelyd iddi.
14-00	Erthygl 14
14-01	Y mae gan bawb hawl i geisio ac i gael mewn gwledydd eraill noddfa rhag erledigaeth.
14-02	Ni ellir hawlio hyn mewn achosion o erledigaeth sy’n gwir ddilyn troseddau anwleidyddol neu weithredoedd croes i amcanion ac egwyddorion y Cenhedloedd Unedig.
15-00	Erthygl 15
15-01	Y mae gan bawb hawl i genedligrwydd.
15-02	Ni ddylid amddifadu neb yn fympwyol o’u cenedligrwydd na gwrthod iddynt yr hawl i newid eu cenedligrwydd.
16-00	Erthygl 16
16-01	Y mae gan bawb mewn oed, yn wryw a benyw, heb unrhyw gyfyngiadau o ran hil, cenedligrwydd na chrefydd, hawl i briodi a sefydlu teulu. Y mae ganddynt hefyd hawliau cyfartal yngln â phriodas, yn ystod priodas ac wrth ei diddymu.
16-02	Ni ddylid priodi ond o lwyr fodd y ddau sy’n golygu gwneud hynny.
16-03	Y teulu yw uned naturiol a sylfaenol cymdeithas a chanddo’r hawl i amddiffyniad gan gymdeithas a’r Wladwriaeth.
17-00	Erthygl 17
17-01	Y mae gan bawb hawl i feddu eiddo unigol yn ogystal â chydag eraill.
17-02	Ni ddylid amddifadu neb o’u heiddo yn fympwyol.
18-00	Erthygl 18
18-01	Y mae gan bawb hawl i ryddid meddwl, cydwybod a chrefydd; fe gynnwys hyn ryddid iddynt newid eu crefydd neu eu cred, a rhyddid hefyd, naill ai ar eu pen eu hunain neu gydag eraill, yn gyhoeddus neu’n breifat, i amlygu eu crefydd neu ei gred trwy addysgu, arddel, addoli a chadw defodau.
19-00	Erthygl 19
19-01	Y mae gan bawb ryddid barn a mynegiant; fe gynnwys hyn yr hawl i ryddid barn, heb ymyrraeth gan neb, a rhyddid i geisio, derbyn a chyfrannu gwybodaeth a syniadau trwy unrhyw gyfryngau, heb ystyried ffiniau gwlad.
20-00	Erthygl 20
20-01	Y mae gan bawb hawl i ryddid ymgynnull a chymdeithasu heddychlon.
20-02	Ni ellir gorfodi neb i berthyn i unrhyw gymdeithas.
21-00	Erthygl 21
21-01	Y mae gan bawb hawl i gymryd rhan yn llywodraeth eu gwlad, yn uniongyrchol neu drwy gynrychiolwyr wedi eu dewis yn agored.
21-02	Y mae gan bawb hawl gyfartal i wasanaeth cyhoeddus yn eu gwlad.
21-03	Ewyllys y bobl fydd sail awdurdod llywodraeth; mynegir yr ewyllys hon drwy etholiadau dilys o bryd i’w gilydd, drwy bleidleisio cyffredinol a chyfartal, a thrwy bleidlais ddirgel neu ddull pleidleisio rhydd tebyg.
22-00	Erthygl 22
