00-00	ᐯᒪᑎᓯᑦ ᑌᐸᑫᑕᑯᓯᐎᓇᓐ ᒥᓯᐌᑲᒥᒃ ᐎᓐᑕᒪᑫᐎᓐ
00-01	ᒥᐅᐌ ᐃᑕᔥ ᒣᑾ ᑲᐃᔑᑭᑫᒋᑲᑌᒃ ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᑲᑕᓶᐗᓇᑭᓯᓇᓂᐗᒃ ᑲᔦ ᑕᐱᑕ ᐃᔑᑲᓇᐗᐸᑎᐎᓐ ᒥᑕᔥ ᐅᒪ ᑲᐅᒋᑕᒪᑲᒃ ᑎᐯᓂᒥᑎᓱᐎᓐ, ᑾᔭᑾᑎᓯᐎᓐ ᒥᓇ ᐱᓴᓂᓯᐎᓐ ᐅᒪ ᐊᑭᒃ.
00-02	ᒥᐅᐌ ᐃᑕᔥ ᒣᑾ ᑲᐅᒋ ᐃᔑᐌᐸᒃ ᑲᐸᐸᐱᓯᔅᑫᒋᑲᑌᓯᓄᒃ ᒥᓇ ᑕᐸᓭᓂᒥᐌᐎᓂᒃ ᐅᒋᒪᑲᓐ ᒥᑲᓱᐃᔑᒋᑫᐎᓇᓐ ᑲᐅᒋ ᓂᔥᑫᑕᑾᒃ ᐱᒪᑎᓯᐎᓂᒃ ᒥᓇ ᐅᐅᒪ ᐃᑕᔥᐎᓐ ᐊᑭᒃ ᒪᐗᒃ ᑲᑭᒋᐃᓀᑕᑾᒃ ᒋᐃᔑᐱᒋᑲᑌᑭᓐ ᐯᒪᑎᓯᐗᐨ ᒋᒥᓉᑕᒧᐗᐨ ᑎᐯᓂᒥᑎᓯᐎᓐ ᑲᑭᑭᑐᐎᓂᒃ, ᑌᐺᔦᑕᒧᐎᓐ ᒥᓇ ᐊᓐᑕᐌᑕᒧᐎᓐ ᑲᔦ ᑯᑕᒋᐎᓐ ᑭᐊᔭᓯᒃ.
00-03	ᒥᐅᐌ ᐃᑕᔥ ᒣᑾ ᒪᐗᐨ ᑲᑭᒋᐃᓀᑡᑲᒃ, ᑭᔥᐱᓐ ᐃᔑᓇᑾᓯᓄᒃ ᐃᓂᓂ ᑫᐅᒋᐊᐸᐃᐌᐸᓐ ᐃᔥᑾᒃ ᑲᐃᔑ ᐌᑾᒋᓭᑦ ᒋᑭ ᐅᒋ ᓇᑲᔥᑲᑭᐸᓐ ᑎᐱᓇᐌ ᑎᐸᑯᓂᑯᐎᓐ ᒥᓇ ᑲᐃᔑᒪᑯᔥᑲᑫᒪᑲᒃ ᐱᒪᑎᓯᐎᓂᒃ ᐊᓂᔥ ᐅᒋᑕ ᐱᑯ ᒋᑭᐅᒋᑭᐸᓐ ᐯᒪᑎᓯᑦ ᑌᐸᑫᑕᓪᑉᓱᐎᓐ ᒋᐊᔭᑾᒥᓂᑲᑌᒃ ᐃᒪ ᐃᓇᑯᓂᑫᐎᓂᒃ.
00-04	ᒥᐅᐌ ᐃᑕᔥ ᒣᑾ ᒪᐗᐨ ᑲᑭᒋᐃᓀᑕᑾᒃ ᒋᑐᒋᑲᑌᒃ ᑲᐃᔑ ᒥᓄ ᐎᒋᐎᑎᓇᓂᐗᒃ ᒥᓯᐌ ᑲᑕᓶᐗᓇᑭᓯᓇᓂᐗᒃ.
00-05	ᒥᐅᐌ ᐃᑕᔥ ᒣᑾ ᐅᐱᒪᑎᓴᒃ ᒥᓯᐌᑲᒥᒃ ᒋᑭᐌ ᐊᔭᐗᒃ ᑌᐼᔦᑕᒧᐎᓐ ᐃᒪ ᑌᐸᑫᑕᑯᓯᐎᓂᒃ ᑲᐃᔑ ᑭᑌᓂ ᑕᑾᒃ ᒥᓇ ᑲᐃᔑ ᑌᐸᑫᑕᑾᒃ ᑲᑕᔑᐗᑦ ᐊᐎᔭᒃ ᒥᓇᐗ ᐃᐃᒪ ᐃᓂᓂᐗᒃ ᑲᔦ ᐃᑴᐗᒃ ᑕᐱᑕ ᐃᓀᑕᑯᓯᐎ ᓂᒃ ᒥᓇ ᒋᑲᑴ ᐃᔑᒋ ᑲᓂᐗᒃ ᐊᐗᔑᒣ ᑫᐅᒋ ᐱᒋᓂᔥᑲᒃ ᑫᑯᓇᓐ ᓇᐗᐨ ᒋᐊᓂᒥᓄᓭᓇᓂᐗᑭᐸᓐ ᐱᒪᑎᓯᐌ ᓂᒃ.
00-06	ᒥᐅᐌ ᐃᑕᔥ ᒣᑾ ᑲᐊᐃᔑᑎᐯᑕᑯᓯᐗᐨ ᑲᓂᑲᓂᑕᒪᑫᐗᐨ ᑭᐃᔑ ᐸᑭᑎᓂᑎᓱᐗᒃ ᐊᐸᓯᓇᐃᑫᐎᓂᒃ ᒋᑲᑴ ᐃᔑᒋᑲᓂᐗᒃ ᒥᓯᐌ ᑲᒪᒪᐎᓄᐗᑦ ᐊᓂᔑᓂᓂᐎᓐ ᒋᑭᑌᓐᒋᑲᑌᑭᓐ ᒥᓇ ᒋᑲᓇᐗᐸᒋᑲᑌᑭᓐ ᐯᒪᑎᓯᑦ ᐅᑌᐸᑫᑕᑯᓯᐎᓐ ᑲᔦ ᑎᐯᓂᒥᑎᓱᐎᓇᓐ.
00-07	ᒥᐅᐌ ᐃᑕᔥ ᒣᑾ ᒋᑭᐃᔑ ᓂᓯᑐᒋᑲᑌᑭᓐ ᐅᓄᐌᓂᐗᓐ ᑌᐸᑫᑕᑫᓯᐎᓇᓐ ᒥᓇ ᑎᐯᓂᒥᑎᓯᐎᓇᓐ ᒪᐗᒃ ᑭᒋᐃᓀ ᑕᑾᓄᓐ ᑲᑭᓇ ᐱᑯ ᒋᐃᔑ ᑭᑫᑕᑾᑭᓐ ᐅᐌ ᐊᐸᓯᓇᐃᑫᐎᓂᒃ. ᐊᒥᑕᔥ ᐌᒋ ᑎᐸᒋᒧᐗᑦ ᐅᑯ ᒪᒪᐤ ᐅᑾᐱᐃᑎᐎᓂᒃ ᐅᐌᓂ ᐅᒋ ᒥᓯᐌᑲᒥᒃ ᐯᒪᑎᓯᑦ ᑌᐸᑫᑕᑯᓯᐎᓇᓐ ᑎᐸᒋᒧᐎᓐ ᒋᐃᔑᑭᑫᑕᑾᒃ ᑲᑭᓇ ᐊᐎᔭᒃ ᒥᓇ ᒥᓯᐌᑲᓂᒃ ᑲᑕᓱ ᐸᐯᔑᑯᐗᐨ ᑲᔦ ᑲᑕᓯᑭᓐ ᑲᑕᔑᐊᔭᓂᐗᒃ ᒋᑲᓇᐌᑕᒧᐗᑦ ᐅᐌᓂ ᐃᓇᑯᓂᑫᐎᓐ ᑲᔦ ᒧᔕᒃ ᒋᒪᒋᒣᒋᑲᑌᒃ ᒥᓇᐗ ᑲᑭᑭᓄᐊᒪᑫᐗᑦ ᒋᐃᔑ ᑭᑫᑕᑯᑐᐗᒃ ᐊᐗᔑᒣ ᒋᑭᑌᓂᑕᑾᒃ ᐅᓄᐎᓂᐗᓐ ᑌᐸᑫᑕᑯᓯᐎᓇᓐ ᒥᓇ ᑎᐯᓂᒥᑎᓱᐎᓇᓐ ᑲᑭᓇ ᑲᐃᔑᓇᑾᓂᓂᒃ ᒋᐃᔑ ᑲᔥᑭᑐᐗᒃ ᒋᑭᑐᑕᒧᐗᐸᓐ ᑫᐎᓇᐗ ᐃᑭᐌᓂᐗᒃ ᑭᑲᓇ ᑲᐅᑭᒪᐌᑕᑯᓯᐗᑦ ᒥᓇ ᑫᐎᓇᐗ ᐊᐎᔭᒃ ᑲᐊᑯ ᑎᐯᓇᑾᓂᓂᒃ ᑲᐃᔑᑎᐯᑕᒧᐗᑦ ᐊᑭᓂ ᒋᐊᔭᑾᒥᓂᑲᑌᒃ ᒥᓯᐌ ᐃᒪ ᒥᓇ ᒥᓯᐌᑲᒥᒃ.
01-00	ᐅᔑᐱᐃᑲᓐ ᐯᔑᒃ.
01-01	ᑭᑲᓇᐌᓀᓐ ᑲᐱᒪᑎᓯᐗᑦ ᓂᑕᐎᑭᐗᒃ ᑎᐯᓂᒥᑎᓱᐎᓂᒃ ᒥᓇ ᑕᐱᑕ ᑭᒋᐃᓀᑕᑯᓯᐎᓐ ᑲᔦ ᑌᐸᑫᑕᑯᓯᐎᓐ. ᐅᑕᔦᓇᐗ ᒥᑲᐎᐎᓐ ᑲᔦ ᓂᑄᑲᐎᓐ ᒥᓇᐗ ᑕᔥ ᒋᐃᔑᑲᓇᐗᐸᑎᐗᐸᓐ ᐊᒐᑯ ᒥᓄᐎᒋᐎᑎᐎᓂᒃ.
02-00	ᐅᔑᐱᐃᑲᓐ ᓂᔑᓐ.
