00-00	Kom Mapu Fijke Az Tañi Az Mogeleam
00-01	("Preámbulo" pi ta wigka)
00-02	Kimnieel fij mapu mew tañi kimgen kvme felen kisugvnew felen xvr kvme mvlen. Tvfaci zugu ñi mvleken mvleyem yamvwvn ka xvr kvme nor felen kom pu reñmawke ce mew.
00-03	Gewenonmu yamuwvn, zuamgewenonmu kvme felen, goymagenmu nor felen mvley re jazkvnkawvn: Fey mew mvley xvrvmzugu kom pu ce tañi kvme mogeleam kisuke ñi feyentun mew, kisu ñi rakizuam mew ka ñi wimtun mew ñi mvleal egvn.
00-04	Tañi mvlenoam kaiñetuwvn zugu, awkan zugu tvfeyci wezake vbmen egvn mvley tañi xvrvmuwael tvfeyci wvnenkvleci pu ce zugu mew tañi yamgeam xvr kvme nor felen.
00-05	Ka kimnieel ñi rvf kvme zugugen, wenvykawvn kom pu Xokiñke Ce egvn, nuwkvlelu Kiñe Mapu mew ("Naciones Unidas" pi ta wigka): Tvfa egvn xawvlelu "Naciones Unidas" mew nuwtuaygvn tvfaci "Fvxa Cijka" mew kvme xvr norkvletuam ñi mogen kom pu wenxu ka pu zomo mvlelu ixofij mapu mew feyci, kom xawvci pu ce tañi werkvel ci Pu Xokinke Ce ("Estados Miembros" pi ta wigka) mvlelu fij mapu kom pvle kejuwayiñ taiñ yamfalafiel xvr kvme felen ka nor felen piwigvn.
00-06	Femueci mvlcy ñi kimniegeael kom mapu mew nor kvme felen ka kisugvnew mvlen tvfaci rakizuam kvzaw mew.
00-07	Fey mew Fvxa Xawvn mew ("Asamblea General" pi ta wigka)
00-08	Wixañpvramgey tvfaci Fvxa Cijka Kom Mapu Fijke Az Ce Tañi Az Mogeleam pigelu.
00-09	Rvf kvme zugugelu am fey mew ta mvley tañi kvzawael kom pu ce fij mapu mew, pu fvxake vbmen, kom pu ce wvnenkvlelu cem zugu mew rume, pu wenxu ka pu zomo mvley tañi newenmayafiel ka wenuñpvramafiel tvfaci zugu az mogeleam kom pu mogen ce, fey mew ta yamgeay xvr felen ka nor felen tvfaci mogen mew.
01-00	Kiñe Xoy (1)
01-01	Kom pu mogence kisuzuam mvlekey, kom cegeygvn, logkogeygvn ka piwkegeygvn, nieygvn kimvn fey mew mvley tañi yamniewael ka epuñpvle kejuwael egvn.
02-00	Epu Xoy (2)
02-01	KIÑE. Kom xipace, fijke mojfvñ ce wixapvraley ñi kvme felen, nor felen tvfaci Fvxa Cijka mew, cumgeay rume ñi zugun, ñi wimtun, cem azgeay rume, cem kimvn rume nieay.
02-02	EPU. Kom pu xokiñ ce, cem az mogengeayrume mvlelu fij mapu, ka femueci xvr nvwkvley tvfaci Fvxa Cijka mew.
03-00	Kvla Xoy (3)
03-01	Kom ce mvley ñi mogeleael, kisugvnew feleael ka yamniegeael.
04-00	Meli Xoy (4)
04-01	Iney rume gelay ñi xafkiñtuceael. Gewelayay xafkiñtucen ran mew kuyfi reke.
05-00	Kecu Xoy (5)
05-01	Cem ce rume wezakamekegelayay, kupafkamekegelayay.
06-00	Kayu Xoy (6)
06-01	Kom ce fij mapu mew mvley ñi kimgeael, wirintukulelu am ñi vy wigka zugu mew ("Personalidad Jurídica" pi ta wigka).
07-00	Reqle Xoy (7)
07-01	Kom femgey ce wigka ñi wirikon zugu mew ("Ley" pi ta wigka) fey mew kom pu ce pepi nvway tvfaci zugu mew. Yamgerumenole cuci sugu rume wirintukulelu tvfaci "Fvxa Cijka" mew.
08-00	Pura Xoy (8)
08-01	Pu wigka mew mvley kiñe ruka cew ñi norvmgekemum ixofij wezake zugu; fey mew pepi nvway kom pu ce tañi igkañmageam, yamvñmagenole tvfeyci nor zugu wirintukulelu fvta cijka mew "Constitución" pigelu, nielu kom pu xokiñke ce fij mapu.
09-00	Ayja Xoy (9)
09-01	Gelay iney rume ñi koraltukugeael ka wemvnentugeael ka wemvnentugeael tañi mapu mew wezakamekenole.
10-00	Mari Xoy (10)
10-01	Tvfeyci wigka norvmzuguwe ruka mew, kom pu ce mvley ajkvtuñmageael ñi zugu, tañi kimgeam ñi weza femvn kam femnon ka tañi kimgeam cumueci ñi feletuael ragi kakelu pu ce.
11-00	Mari Kiñe Xoy (11)
11-00	KIÑE. Cem ce rume kimvñmagenole ñi weza femvn gelay cumuelu tañi zajuñmageael ka mvley ñi eluñmageael tañi igkawam.
11-01	EPU. Kuyfi iney rume weza femfule, feyci mew zajufalnofule tvfeyci zugu gelay cumuelu ñi zajuñmageael fewla. Ka gelay cumuelu ñi zoy fvxa zajuñmageael feypilenole fewla tvfeyci nor zugu mew wirintukulelu Fvxa Cijka mew.
12-00	Mari Epu Xoy (12)
12-01	Wigka ñi wirikon zugu mew ("Ley" pi ta wigka) nvwkvley kom pu ce ka fey mew mvley ñi igkañmageael egvn kake ce zugukonle ñi mogen mew, kam ka ce pekanka lef konle ñi ruka mew, kom tañi felen mew ka wezaka zuguyekañmagele.
13-00	Mari Kvla Xoy (13)
13-00	KIÑE. Kom pu ce mvley ñi kisugvnew miyawael xokiñke ce ("Estados" pi ta wigka) ñi mapu mew.
13-01	EPU. Kom pu ce pepi xipayay cem xokiñke ce ("Estado" pi ta wigka) mew rume ka kisu ñi mvlemum, welu ka pepi wiñotuay.
14-00	Mari Meli Xoy (14)
14-00	KIÑE. Cem zugu mew rume inayawgele cem ce rume, tvfa mvley ñi gvnaytuniegeael ("asilar" pi ta wigka) cem xokiñ ce mew rume.
14-01	EPU. Welu tvfeyci gvnaytucen kvmelayay, rvf weza femle tvfaci ce, inayawlel (lagvmle, weñele) ka yamnofile tvfaci "Naciones Unidas" ñi wixañpvramnieel ci zugu.
15-00	Mari Kecu Xoy (15)
15-00	KIÑE. Kom pu ce pepi nvwkvleay cem az mogen ("nacionalidad" pi ta wigka) mew rume.
15-01	EPU. Iney rume mvntuñmagelayay ñi az mogen ("nacionalidad") ka pepi nvway ka konaygvn kake az mogen mew kvpa femle egvn.
16-00	Mari Kayu Xoy (16)
16-00	KIÑE. Kom pu zomo ka pu wenxu pepi kureyeway kvpa kvreyewle cem xipacegeaygu rume, kekewme az mogen nieaygu rume. Kvpa niele kisu ñi pu fvren egu femaygu mvten. Ka femueci kvme feleaygu: iney rume cumekelayaygu egu kurewenkvlen kam wvzatule egu rume.
16-01	EPU. Tvfaci epu ce re kisuzuam pile egu mvten fey wvla pepi kureyewaygu.
16-02	KVLA. Kom pu fijke ce reñmawengenofule gelayafuy ce kom mapu, fey mew ta pu xokiñ ce ("Estado" pi ta wigka) ka kom pu ce mvley tañi gvnaytunieael fijke fvrenwen ka reñmawen.
17-00	Mari Reqle Xoy (17)
17-00	KIÑE. Kom pu ce mvley kisu ñi gengeael, ka xokiñke ce ñi gengeael cemu rume.
17-01	EPU. Iney rume pekanka mvntuñmagelayay ñi nieel (cemgeay rume).
18-00	Mari Pura Xoy (18)
18-01	Cem rakizuam rume cem feyentun rume nieay fij pu ce gelayay cumuelu ñi mvntuñmageael ka takuñmageael. Kisuzuam kvpa konle kake feyentun mew femay mvten, kvpa kimelle ñi rakizuam ka feyentun ka pepi kimelafi.
19-00	Mari Ayja Xoy (19)
19-01	Kom pu ce pepi entuay ñi rakizuam ka zugu, ka pepi kimellafi kompvle cumueci rume (radiomu, telemu, wirinmu) ka pepi kintuay, ramtuay ka joway zugu tañi kvzawkvlenmu. Ka femueci tvfaci zugu pepi kimellafi cew rume.
20-00	Epu Mari Xoy (20)
20-00	KIÑE. Kom pu ce kisu ñi gvnewmu pepi xawvay cem piei xokiñ ce egvn rume.
20-01	EPU. Welu cem ce rume pinole ñi konaeal cem xokiñ ce ñi kvzaw mew rume, gelay cumuelu ñi gagegeael.
21-00	Epu Mari Kiñe Xoy (21)
