00-00	Адӕймаджы Барты Ӕхсӕнад: Адӕймаджы Барты Ӕппӕтиумӕйаг Деклараци.
00-01	Нӕй рохуаты уадзӕн ӕппӕт дзыллӕджын бинонты уӕнгтӕн сӕ намысӕн аргъ скӕнын, стӕй се 'мхуызон ӕмӕ ӕнӕхицӕнгӕнгӕ бартӕ, кӕй сты сӕрибардзинад, рӕстдзинад ӕмӕ ӕппӕтиумӕйаг сабырдзинады бындур; ӕмӕ нӕй рохуаты уадзӕн, ӕнӕрвӕссондзинад ӕмӕ ницӕмӕдард кӕй ӕркодтой варварон акттӕм, кӕцытӕ хъыгдарынц адӕймаджы намыс, ӕмӕ ахӕм дунейы арӕзт, кӕцыйы адӕмӕн уыдзӕн дзырды бар ӕмӕ уыдзысты хицӕн тас ӕмӕ мӕгуырдзинадӕй, хъуыстгонд у куыд адӕмы стыр тырнынад; ӕмӕ нӕй рохуаты уадзӕн, ӕнӕмӕнг хъӕуы, цммӕй адӕймаджы бартӕ хъахъӕд цӕуой закъоны тыхӕй, цӕмӕй адӕймаг йӕхӕдӕг ма 'рхауа ахӕм уавӕрмӕ ӕмӕ ма сыста ӕфхӕрды ныхмӕ, ӕмӕ нӕй рохуаты уадзӕн, хъуамӕ ӕххуысгонд цӕуа адӕмты 'хсӕн хӕлардзинад рӕзынӕн; ӕмӕ хъусдардмӕ исгӕйӕ, Иугонд Нациты адӕмтӕ кӕй бафидар кодтой Уставы сӕ уырнынад адӕймаджы бындурон бартӕм, адӕймаджы намысы аргъадмӕ, сылгоймаг ӕмӕ нӕлгоймаджы ӕмбарадмӕ, ӕмӕ бауынаффӕ кодтой социалон прогресс ӕмӕ царды хуыздӕр кӕнынӕн сӕрибар уӕвгӕйӕ ӕххуыс кӕнын; ӕмӕ нӕй рохуаты уадзӕн, паддзахӕдтӕ‐уӕнгтӕ, кӕй бавӕрдтой ныфс ахъаз кӕнын, Иугонд Нациты Организациимӕ кусгӕйӕ, ӕппӕтиумӕйаг аргъгӕнынад ӕмӕ адӕймаджы бындурон бартӕ фидар кӕнынӕн ӕххуыс кӕнын. Нӕй рохуаты уадзӕн, ацы бартӕн кӕй ис стыр нысаниуӕг ацы хӕс сӕххӕст кӕнынӕн. Генералон Асамблей расидтис ацы деклараци куыд хӕслӕвӕрд, кӕцы хъуамӕ ӕххӕст кӕной ӕппӕт адӕмтӕ ӕмӕ паддзахӕдтӕ, цӕмӕй алы адӕймаг ӕмӕ ӕхсӕнады уӕнг дӕр ӕппындзух рухсад ӕмӕ ахуырадмӕ тырнгӕйӕ, ӕххуыс кӕной ацы бартӕ хъахъӕнынӕн, ӕмӕ сӕ парахат кӕной куыд Организацийы паддзӕхӕдты ӕмӕ адӕмты 'хсӕн, афтӕ уыцы териториты адӕмы 'хсӕн, кӕцытӕ сты сӕ юрисдикцийы.
01-00	УАЦ 1.
01-01	Адӕймӕгтӕ се 'ппӕт дӕр райгуырынц сӕрибарӕй ӕмӕ ӕмхуызонӕй сӕ барты. Уыдон ӕххӕст сты зонд ӕмӕ намысӕй, ӕмӕ кӕрӕдзийӕн хъуамӕ уой ӕфсымӕрты хуызӕн.
02-00	УАЦ 2
02-01	Алы адӕймагӕн дӕр хъуамӕ уой ӕппӕт бартӕ ӕмӕ сӕрибарадтӕ, ацы Декларацимӕ гӕсгӕ, ӕнӕ исты хицӕндзинӕдтӕй, ома, адӕмыхаттмӕ зондахастытӕ, националон кӕнӕ социалон равзӕрд, мулкон мыггагон кӕнӕ ӕндӕр уавӕры.
02-02	Уымӕй уӕлдай, нӕй хицӕн кӕнӕн политикон, барадон кӕнӕ ӕхсӕнадӕмон бындурыл уыцы паддзахад, кӕцымӕ хауы адӕймаг, цавӕрфӕнды паддзахад дӕр уӕд.
03-00	УАЦ 3
03-01	Алы адӕймагӕн дӕр ис бар цӕрынӕн, сӕрибар ӕмӕ хи ӕдасдзинадӕн.
04-00	УАЦ 4.
04-01	Хъуамӕ мачи уа цагъар ӕмӕ уацары; цагъар ӕмӕ цагъайрӕгты уӕйгӕнынадӕн бар нӕй сӕ алы хуызты дӕр.
05-00	УАЦ 5.
05-01	Хъуамӕ тухӕнӕй макӕй марой, макӕй намыс хъуамӕ уа ӕфхӕрд ӕмӕ хъыгдард.
06-00	УАЦ 6.
06-01	Алы адӕймагӕн дӕр, кӕм фӕнды уӕд, ис барадон хъахъӕнынад.
07-00	УАЦ 7.
07-01	Адӕм се `ппӕтдӕр закъоны раз сты ӕмхуызон ӕмӕ сын ис бар, цӕмӕй сӕ закъон хъахъӕна ӕмхуызондӕй. Се `ппӕтӕн ис бар, закъонмӕ гӕсгӕ сӕхи дискриминацийӕ бахъахъӕнынӕн, кӕцы халы ацы Декларацийы ӕгъдӕуттӕ.
08-00	УАЦ 8.
08-01	Алы адӕймагӕн дӕр ис бар ӕнтысджытӕй йӕ бартӕ бахъахъӕнын тӕрхондоны, уыцы бартӕ йын лӕвӕрд сты закъон ӕмӕ конституцийӕ.
09-00	УАЦ 9.
09-01	Хъуамӕ мачи уа ӕвӕндонӕй ахст кӕнӕ тард.
10-00	УАЦ 10.
10-01	Алы адӕймагӕн дӕр йӕ бартӕ ӕмӕ йӕ хӕстӕ, стӕй йӕ аххоссаджы растдзинад сбӕрӕг кӕнынӕн ис бартӕ ӕппӕт ӕмхуызонады бындурыл, цӕмӕй йӕ хъуыддагмӕ каст цӕуа хъуыстгондӕй ӕмӕ ӕппӕт рӕстдзинады домӕнтимӕ ӕнӕдӕлбар ӕмӕ рӕстдзӕвин тӕрхондоны.
11-00	УАЦ 11.
11-01	Алы адӕймаг дӕр, исты фыдракӕнды аххосджын, йӕ бартӕм гӕсгӕ гӕу аххосджын, цалынмӕ йӕ аххос закъонмӕ гӕсгӕ тӕрхондоны рабӕрӕг уа, уӕдмӕ; уым дӕр ын лӕвӕрд цӕуы хъахъхъӕнынад.
