00-00	Киһи быраабын уопсай Декларацията
00-01	Киһи аймах бэйэ суолтатын өйдөбулэ, тэҥ уонна быстыспат бырааба аан дойдуга көҥүл уонна кырдьык биир төрүтэ буоларын болҕомтоҕо ылан туран,
00-02	киһи быраабын ахсарбат буолуу уонна сэнээһин түмүгэр дьон аймах суобаһын абардар варвардыы  быһыылар  тахсыбаттарынан,  тыл  уонна  санаа  көҥүлүгэр,  кыһалҕата,  куттала суох олоххо дьон дьулуһарын болҕомтоҕо ылан туран,
00-03	киһи бырааба сокуон былааһынан харыстаныахтааҕын, киһи батталлаах былааһы утары өрө турууну бүтэһик ньыма курдук туһамматын туһугар,
00-04	норуоттар икки ардыларыгар доҕордоһууну күүһүрдэр туһугар,
00-05	Холбоһуктаах Нациялар норуоттара Устааптарыгар киһи сүрүн быраабыгар, киһи личность быһыытынан бэйэ суолтатыгар, эр киһи уонна дьахтар тэҥ буолууларыгар итэҕэйэллэрин бигэргэппитэрин, ол кэннэ социальнай прогресс өссө көҥүл олох усулуобуйалара тупсарын туһугар улэлэһэргэ быһаарыммыттарын болҕомтоҕо ылан туран, чилиэн быһыытанан киирбит судаарыстыбалар Холбоуктаах нациялар организацияларын кытары киһи быраабын уонна көҥүлүн тутуһуу туһугар ыкса улэлэһиэх буолан бигэ тыл биэрбиттэрин болҕомтоҕо ылан туран,
00-06	ыйыллыбыт быраап уонна көҥүл диэн эйдэбуллэри дириҥник өйдөөһүн бу бэриллибит бигэ тыллары олоххо киллэриигэ улахан суолталааҕын болҕомтоҕо ылан туран.  Генеральнай Ассамблея,
00-07	Киһи быраабын уопсай Декларациятын аан дойду норуоттара уонна судаарыстыбалара толоруох тустаах сыалларынан-соруктарынан биллэрэр, хас биирдии киһи уонна общество хас биирдии органа бу Декларацияны сырдатыы үөрэтии көмөтүнэн быраабы уонна көҥүлү убаастыылларын ситиһиэхтээх, национальнай уонна норуоттар икки ардыларынааҕы тэрээһиннэр көмөлөрүнэн Холбоһук иһигэр киирбит судаарыстыбалар истэригэр, маны таһынан, судаарыстыба сууттуур бырааптарын тарҕанар уобаластарыгар (юрисдикция) олорор норуоттарга киэҥник уонна көдьүүстээхтик тарҕанарын.
01-00	1 ыстатыйа
01-01	Дьон барыта бэйэ суолтатыгар уонна быраабыгар тэҥ буолан төрүүллэр. Кинилэр бары өркөн өйдөөх, суобастаах буолан төрүүллэр, уонна бэйэ бэйэлэригэр тылга кииринигэс быһыылара доҕордоһуу тыыннаах буолуохтаах.
02-00	2 ыстатыйа
02-01	Хас биирдии киһи, расатыттан, тириитин өҥуттэн, эр  киһититтэн-дьахтарыттан, саҥарар тылыттан, омугуттан, религиятыттан, политическай да ханнык да санаатыттан, национальнай эбэтэр социальнай төрүтүттэн, баайыттан- дьадаҥытыттан тутулуга суох бу Декларация биллэрэрин курдук бырааптаах уонна көҥүллээх.
02-02	Маны таһынан дьону ханнык да дойдуга, ханнык да политическай, правовой эбэтэр норуоттар икки ардыларынааҕы статуһуттан сиэттэрэн араарыллыы суох буолуохтаах, бу дойду территорията төһө да тутулуга суох, эппиэккэ сылдьааччы, бэйэтэ саламмат биитэр суверенитет өттунэн хааччахтаах буолбутун да иһин.
03-00	3 ыстатыйа
