00-00	ⴰⵍⵖⵓ ⴰⵎⴰⴹⵍⴰⵏ ⵏ ⵉⵣⵔⴼⴰⵏ ⵏ ⵓⴼⴳⴰⵏ
00-01	ⵍⵍⵉⵖ ⵜⴳⴰ ⵜⵓⴽⵣⴰ ⵏ ⵓⵍⵍⴰⵍⵓ ⵏ ⴽⴰⵢⴳⴰⵜ ⵢⴰⵏ ⵖ ⵜⴰⵡⵊⴰ ⵜⴰⵏⴰⴼⴳⴰⵏⵜ ⴷ ⵓⵎⴳⵉⴷⴷⵉ ⵏ ⵉⵣⵔⴼⴰⵏ ⵏⵏⵙⵏ ⵜⵉⵔⵙⴰⵍ ⵏ ⵜⴷⵔⴼⵉⵜ ⴷ ⵜⵣⵔⴼⵜ ⴷ ⵓⴼⵔⴰ ⵖ ⵓⵎⴰⴹⴰⵍ.
00-02	ⵜⴳ ⵜⴰⵎⵜⵜⴰⵡⵜ ⵏ ⵉⵣⵔⴼⴰⵏ ⵏ ⵓⴼⴳⴰⵏ ⴰⴷ ⵉⵜⵜⴰⵡⵉⵏ ⵜⵓⴳⵜⵜ ⵏ ⵎⴰⴷ ⵉⵀⵔⵛⵏ ⴰⵔ ⵉⵙⴼⴰⴼⴰ ⴰⴼⵔⴰⴽ ⵏ ⵓⴼⴳⴰⵏ, ⴰⴼⴰⴷ ⴰⴷ ⵢⵉⵍⵉ ⵢⴰⵏ ⵓⵎⴰⴹⴰⵍ ⵏⵏⴰ ⵖ ⵜⵜⵉⵍⵉ ⴷⴰⵔ ⵓⴼⴳⴰⵏ ⵜⴰⴷⵔⴼⵉⵜ ⵏ ⵡⴰⵡⴰⵍ ⴷ ⵓⵙⴳⴷ, ⵢⴰⵏⴼ ⵉ ⴰⵙⴷⵉⴷⵉ ⴷ ⵜⴰⵎⵎⴰⵔⴰ.
00-03	ⴷ ⵍⵍⵉⵖ ⵉⴳⴰ ⵓⴼⵔⴰⴳ ⵏ ⵉⵣⵔⴼⴰⵏⵏ ⵏ ⵓⵎⴷⴰⵏ ⵢⴰⵏ ⵓⴼⴳⴳⴰⴳ ⵏ ⵢⴰⵏ ⵓⵏⴳⵔⴰⵡ ⵏ ⵉⵣⵔⴼⴰⵏⵏ ⴰⴼⴰⴷ ⴰⴼⴳⴰⵏ ⴰⴷ ⵓⵔ ⵉⵙⵜⵉ, ⴳ ⵜⵢⵉⵔⴰ, ⴰⵖⵡⵡⵖ ⵎⴳⴰⵍ ⵏ ⵜⴷⵏⴽⴰ ⴷ ⵓⵥⵍⴰⴳ; ⴷ ⵍⵍⵉⵖ ⵉⵇⵇⴰⵏ ⴰⴷ ⵜⴷⵓⵙ ⵜⵎⵔⵏⵉⵡⵜ ⵏ ⵜⵓⵇⵇⵏⵉⵡⵉⵏ ⵏ ⵜⵉⴷⴷⵓⴽⵍⴰ ⵏⴳⵔ ⵏ ⵜⵎⵜⵜⴰ,
00-04	ⴷ ⵍⵍⵉⵖ ⵉⵍⵍⴰ ⴳ ⵜⵏⵜⵜⴰⵎⵜ ⵉⴷ ⵉⴳⴷⵓⴷⵏ ⵏ ⵜⵎⵜⵜⴰ ⵉⵎⵓⵏⵏ ⵏⵏⴰⵏ ⴷⵉⵖ ⵜⴰⴼⵍⵙⵜ ⵏⵏⵙⵏ ⴳ ⵉⵣⵔⴼⴰⵏⵏ ⵉⴼⴳⴳⴰⴳⵏ ⵏ ⵓⴼⴳⴰⵏ, ⴷ ⵜⵉⵣⵉ ⴷ ⵡⴰⵜⵉⴳ ⵏ ⵡⵓⴷⵎ ⴰⵏⴼⴳⴰⵏ, ⴷ ⵓⵎⴳⵉⴷⴷⵉ ⵏ ⵉⵣⵔⴼⴰⵏⵏ ⵏ ⵉⵔⴳⴰⵣⵏ ⴷ ⵜⵡⵜⵎⵉⵏ, ⵔⵏⵓⵏ ⵏⵏⴰⵏ ⵉⵙ ⵔⴰⵏ ⴰⴷ ⵙⵎⵖⵓⵔⵏ ⴰⵍⴰⵢ ⴰⵏⴰⵎⵓⵏ ⴷ ⵜⴼⴰⴷⵉⵡⵉⵏ ⵉⵖⵓⴷⴰⵏ ⵏ ⵜⵓⴷⵔⵜ ⴳ ⵜⵍⵍⴰ ⵜⴷⵔⴼⵉⵜ ⵉⵎⵇⵇⵓⵔⵏ,
00-05	ⴷ ⵍⵍⵉⵖ ⵎⵙⵓⵛⴽⴰⵏ ⵉⵡⴰⵏⴽⵏ ⵉⴳⵎⴰⵎⵏ, ⵙ ⵜⵡⵙⵉⵏ ⵏ ⵜⵎⴰⴷⴷⴰⵙⵜ ⵏ ⵜⵎⵜⵜⴰ ⵉⵎⵓⵏⵏ, ⴰⴼⴰⴷ ⴰⴷ ⵢⵉⵍⵉ ⵡⵣⵔⴰⴽ ⴰⵎⴰⴹⵍⴰⵏ ⴰⵎⵙⴽⴰⵔ ⵏ ⵜⴷⵔⴼⵉⵢⵉⵏ ⴷ ⵉⵣⵔⴼⴰⵏ ⵉⴼⴳⴳⴰⴳⵏ ⵏ ⵓⴼⴳⴰⵏ,
00-06	ⴷ ⵍⵍⵉⵖ ⵉⴳⴰ ⵓⴼⵔⴰⴽ ⵙ ⵉⵣⵔⴼⴰⵏ ⴷ ⵜⴷⵔⴼⵉⵜ ⴰⵙⴽⴽⵉⵏ ⴰⴽⵙⵡⴰⵜ ⴼⴰⴷⴷ ⴰⴷ ⵉⵜⵜⵓⴳ ⵓⵙⵓⵖⵏ ⴰⴷ,
00-07	ⵉⵙⵙⴰⴼⵖ ⴷ ⵓⴳⵔⴰⵡ ⴰⵎⴰⵜⴰⵢ ⴰⵍⵖⵓ ⴰⵎⴰⴹⵍⴰⵏ ⵏ ⵉⵣⵔⴼⴰⵏ ⵏ ⵓⴼⴳⴰⵏ ⴰⴷ, ⴼⴰⴷ ⴰⵢⴳ ⵢⴰⵏ ⵓⵙⵡⵉⵔ ⵏⵏⴰ ⵙ ⵉⵍⴰⵇ ⴰⴷ ⵏⵏ ⴰⵡⴹⵏ ⴰⴽⵯ ⵉⴳⴷⵓⴷⵏ ⴷ ⵜⵎⵜⵜⴰ ⴼⴰⴷⴷ ⴰⴽⵯ ⵎⵉⴷⴷⵏ ⴷ ⵉⴼⵔⴷⵉⵙⵏ ⵏ ⵡⴰⵎⵓⵏ, ⵉⴽⵜⵜⵉⵏ
00-08	ⴰⵍⵖⵓ ⴰⴷ, ⴰⴷ ⴷⵓⵙⵏ, ⵙ ⵓⵙⵙⵍⵎⴷ ⴷ ⵓⵙⴳⵎⵉ, ⵙⴱⵓⵖⵍⵓⵏ ⴷ ⵓⵣⵔⴰⴽ ⵏ ⵉⵣⵔⴼⴰⵏⵏ ⴷ ⵜⴷⵔⴼⵉⵢⵉⵏ, ⴰⴼⴰⴷ, ⵙ ⵜⵖⵜⴰⵙⵉⵏ ⵉⵣⴷⵉⵏ ⵜⵉⵏⴰⵎⵓⵔⵉⵏ ⴷ ⵜⵉⵎⴰⴹⵍⴰⵏⵉⵏ, ⴰⴷ ⵜⵜⵢⴰⴽⵯⵣⵏ ⴳⵉⵏ ⵉⵎⵙⴽⴰⵔⵏ ⵉⵎⴰⴹⵍⴰⵏⵏ, ⵏⴳⵔ ⵏ ⵉⵎⵣⴷⴰⵖ ⵏ ⵉⵡⴰⵏⴽⵏ ⵉⴳⵎⴰⵎⵏ ⵏⵖ ⵏⴳⵔ ⵉⴽⴰⵍⵍⵏ ⵏⵏⴰ ⵉⵍⵍⴰⵏ ⴷⴷⴰⵡ ⵏ ⵜⵏⴰⴹⵜ ⵏⵏⵙⵏ.
01-00	ⴰⵎⴰⴳⵔⴰⴷ 1
01-01	ⴰⵔ ⴷ ⵜⵜⵍⴰⵍⴰⵏ ⵎⵉⴷⴷⵏ ⴳⴰⵏ ⵉⵍⴻⵍⵍⵉⵜⵏ ⵎⴳⴰⴷⴷⴰⵏ ⵖ ⵡⴰⴷⴷⵓⵔ ⴷ ⵉⵣⵔⴼⴰⵏ, ⵢⵉⵍⵉ ⴰⴽⵯ ⴷⴰⵔⵙⵏ ⵓⵏⵍⵍⵉ ⴷ ⵓⴼⵔⴰⴽ, ⵉⵍⵍⴰ ⴼⵍⵍⴰ ⵙⵏ ⴰⴷ ⵜⵜⵎⵢⴰⵡⴰⵙⵏ ⵏⴳⵔⴰⵜⵙⵏ ⵙ ⵜⴰⴳⵎⴰⵜ.
