00-00	Nidaid Abitedinoësh Cho-choquidon Bëdamboec Tabadte Chiaid
00-01	Adashic: - Bëdamboec tabadnuna, quesho: Ai, mimbi chiac padec tabadnuna, matses abitedimbo chuinanubi:
00-02	Mibi bëdamboec tabashobi cueschitono, quequid nibedtsiash. Cuesnanenquio matses ictsiash. Icsauanquid chushcatsiash. Bëdambocquid bëdamboen ispatsiash - quequin chuipanedash nidaid abitedinoësh cho-choquidon.
00-03	Adashic: - Enden: Bëdamboec tabadnu, quesho: Padi. Cueschitono, quequin icsamenëdaidi nëbi utsi uanuna. Naden chuinanuna. Mimbi tantiaidi chuita. Utsibon chuisho tantiate bonquin tantiata. Dacuëdenquiocquin nata. Mibi cuestiapimbo iquebi - quequin chuinanuna. Adec matses utsi-utsiquetsëcquiec nuquibi bëdamboec tabadtsiashe - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
00-04	Adashic: - Bëdamboec tabadnuna, quequin neid chiaid isun chuiquid dapan: Ai, bëdamboen chiacpadec tabadnuna, aton matses chiac bëdambo ictsiash. Aid chuiquid dapa caic: Icsambo iqueque. Cuesunechitono, utsibon cac icsambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
00-05	Adashic: - Nuquibi bëdambo iquec, cananuna - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
00-06	Adashic: - Bëdamboec tabadnuna, quequin chiac bëdambo ictsiash. Matses abitedimbo bëdambo iquec. Dada bëdambo iquec. Chido bëdambo iquec. Bacuëbo bëdambo iquec, quequin chiac bëdambo ictsiash. Padi.
00-07	Mimbi chiac padomboen bëdamboen nainda. Cueschitono quequid chieshëmënquid icsambo ictsiash. Adquid nibëdnubi matses abitedi dada uaquin mëquiacac bëdambo ictsiash. Adembidi dauë menebanac bëdambo ictsiash. Adecbidi piasenquio yec bëdamboec tabadac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
00-08	Adashic: - Nëmbo cho-choquidotedi aton nidaidën nishun aton matses nuqui chiondaid chuituidac: Ai, mimbi chiacpadec bëdamboec tabadnuna, quequin chiac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
00-09	Adashic: - Nuqui chuiboed matses abitedimbo tantiamiac bëdambo ictsiash - quepanëdash. Aidtedba chuipanëdash.
00-10	Nuqui Chuiboed Bëdambo Iquec, Quiash
00-11	Nidaid abitedinoësh cho-choquido: - Nuqui chuiboed matses abitedimbo tantiamenuna. Tantiamiac chuiquid dapabon: Ai, adec bëdamboec tabadcuenuna, cac bëdambo ictsiash. Bëdamboec tabadcuenuna, cacpadec matses abitedi bëdamboec tabadac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
01-00	Chiaid 1
01-01	Chidon tishaido yec matses abitedimbo bëdamboec isnanac bëdambo ictsiash. Chieshnanac icsambo ictsiash. Abitedimbo bëdamboec tabadac bëdambo ictsiash. Shubu abentsëcquidën tabadac birnboec abitedi tabadac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
02-00	Chiaid 2.
02-01	Nëid dada uaid isash abitedi bëdamboec isnanac bëdambo ictsiash. Ëbi padquid con matsesuidtsëqui bëdambo iquec. Matses utsibo icsarnbo iquec, quenquio yec: Con matses bëdambo icnuc utsibotsen bëdambo iquec, cac bëdambo ictsiash. Adernbidi: Embentsëqui bëdamboen tantiembi. Utsibo abitedishun icsamboen tantiec, quenquioëquin:
02-02	Chieshëenquiocquin ma ambi tantiaidi napanu cac bëdambo ictsiash. Chidobi bëdamboen istiapimbo iquebi, quenquiocquin chidotsen bëdamboen isac bëdambo ictsiash. Chuiquid dapambi nëid chiaid niacbidanquin aton matses chieshënac icsambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
03-00	Chiaid 3.
03-01	Matses utsibo yuainquio yec, cuesnanenquio yec quec bëdamboec tabadnuna, cac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
04-00	Chiaid 4.
04-01	Matses utsibo min matsesbëta yuainquiocquid. Yuac icsambo ictsiash. Adembidi matses utsibo min matsesbëta beshun yuamequin menenquiocquid. Yuamenun meniac icsambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
05-00	Chiaid 5.
05-01	Matsespenquio yacbimboecnuc aton matses bëta matses utsibo icsauainquiocquid. Icsauac icsambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
06-00	Chiaid 6.
06-01	Atoda nidaidën nidacsho anocquidon: Con matses chuiquid dapan chiaid ley caid nata. Niacbidansho juez caidën ëbi yac padomboembidi cuidtsiash, cac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
07-00	Chiaid 7.
07-01	??Mitsicquid nidaidën tabadquid nec? Aton nidaidën tabadquido chuiquid dapan chiaid ley caid abitedishun nac bëdambo ictsiash. Aidën chiaid niacbidansho juez caidën cuidac bëdambo ictsiash. Nëid chiaid niacbidanquin matses utsi caic: Matsespenquio mibi nec. Mibi bëdamboen istiapimbo iquebique. Mëyanu, quequin ambembi nac icsambo ictsiash. Cuidte chuiquid juez caidën matses abitedimbo: Mibi matses nec. Con matses nacpadomboembidi mibi naimbi, cac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
08-00	Chiaid 8.
08-01	??Midacquid matses nepec? Aton nidaidën tabadquido chuiquid dapabon chiaid nac bëdambo ictsiash. Aid chiaid niacbidanquin utsibo icsauasho isun juez caidën bemeshun cuidac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
09-00	Chiaid 9.
09-01	Nëid chiaid niacbidanquin ambembi matses quëne uac icsambo ictsiash. Adembidi ambembi chieshënquin matses aton nidaidënshun cuemiac icsambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
10-00	Chiaid 10.
10-01	Chuiquid dapabon chiaid ley caid niacbidanosh. Icsaosh, caid beshun juez caid yacno buanquin. Anoshombi matses daëdpenshun isnuc juez caidën chieshënenquiocquin chuimequin. ??Atotsi nao? quequin chuimequin. Ashumbi aid isquidtsen chuimequin. Adoshombic: Abimbo caosh. Icsaosh, queshun cuidquin. Icsabicshobi: Icsabi iqueque. Cuidtiapimbo iquebi. Ma nidnu, cac bëdambo ictsiash. Cuidte chuiquid juez caidën chieshënenquiocquin abimbo cac bëdambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
11-00	Chiaid 11.
11-00	Chuiquid dapabon chiaid ley caid niacbidanosh. Icsaosh, caid beshun cuidte chuiquid juez caidën uesquin chuimiabi badedi: Mibi icsaque. Mibi cuidnu, cac icsambo ictsiash. Chata. Utsibon tantianubi chuimiabi icquin: Icsambo iquec, catiapimbo iquebi. Chuimebono, juezën cac bëdambo ictsiash.
11-01	Chuiquid dapabon chiaid ley caid niacbidanacsho juez caidën chuimeshun cuidac bëdambo ictsiash. Chuiquid dapabon: Aden naic icsambo ictsiash. Adoquid naden cuidquid, quequin chiacmaid nacsho: Icsambo iqueque. Cuidnu, cac icsambo ictsiash. Aidon chiaid niacabicsho cuidac icsambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
12-00	Chiaid 12.
12-01	Nidaid utsin-utsinquetsëcquiecquidën chuiquid dapabon: Nadquid icsambo iqueque. Cuidnu cac bëdambo ictsiash. Nëidic: Mimbi tantiaidi nainda. Embi chiac padomboenuidtsëqui nata, quec chieshëmënquid. Nëidic: Min nabobëdi bëdamboec tabadenda, quec chieshanquiecquid. Nëidic: Ambi tantiaidën iste dada uaid isnushe. Beshun secanuna, quequin dada uaido beshumënquid. Aidted icsambo iquec, quequin chuiquid dapabon chiac bëdambo ictsiash - quequin chuipanëdashe nidaid abitedinoësh cho-choquidon.
13-00	Chiaid 13.
13-00	Nidaid utsin-utsinquetsëcquiecquidën chuiquid dapabon nadoac bëdambo ictsiash. Nëid nidaidën tabadquid: Capucuenenu, quesho tantiashun: Ai, capucueneta, cac bëdambo ictsiash. Adembidi: Shubu utsin manëdnu, quesho: Ai manëdta, cac bëdambo ictsiash, quequin chiac bëdambo ictsiash.
13-01	Nadembidi chiac bëdambo ictsiash. Nëid nidaidënoësh nidendabi, quesho, Ai, nidta, cac bëdambo ictsiash. Nidenda. Cueschitono, shëpi, cac icsambo ictsiash. Padnuen: Nëid nidaidën choaindabi, quesho, Ai, chota, cac bëdambo ictsiash. Padnuen: Choenda. Cueschitono, cac icsambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
14-00	Chiaid 14.
14-00	Nidaid utsino cuenash: Con nidaidën tabadquidën ambembi chiesënac cuenobique. Min nidaidën tabadnu, quesho: Ai, nëmbobi quenenta, cac bëdambo ictsiash.
14-01	Padnuen aton matses chuiquid dapabon ley chiaid niacbidanec: Cuidnushe, quianec nidaid utsin cuensho: Ai, nëmbo quenenta, cac icsambo ictsiash. Adembidi ëmbi chuiboed niacbidanec: Cuidnushe, quianec nidaid utsin cuensho: Ai, nëmbo quenenta, cac icsambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
15-00	Chiaid 15.
15-00	Acte amë ëquë cuëma utsiuc tabadquid: Peruano nebi, quesho Peru yacnocquid ëhuiquid dapan: Ai, Peruano mibi nec, cac bëdambo ictsiash. Padnuen acte amë oquë cuëma utsiucquid: Brasilero nebi, quesho Brasil yacnocquid chuiquid dapan: Ai, Brasilero mibi nec, cac bëdambo ictsiash. Padnuen nidaid utsin tabadquid: Nëid nidaidën icquidquio nebi, quesho: Ai, adquid mibi nec, cac bëdambo ictsiash.
15-01	Aton nidaidën tabadquid: Nëid nidaidën icquid mibi catiapimbo iquebi. Con matses mibi cainqujo iquembi, ambembi cac icsambo ictsiash. Padnuen aton nidaidën tabadquid: Nëid nidaidën icquid icboedi nëbi nidaid utsin manëdash aid nidaidën icquid yanebi, quesho ambembi chieshënquin: Padi. Aid nidaidën icquid mibi catiapimbo iquebi, cac icsambo ictsiash - quequin chuipanëdash nidaid abitedinoësh cho-choquidon.
16-00	Chiaid 16.
