00-00	ᐁᐢᐱᑕᐢᑲᒥᑲᐠ ᐊᐢᑭᐠ ᑭᒋ ᐃᑗᐎᐣ ᐃᓂᓂᐎ ᒥᓂᑯᐎᓯᐎᓇ ᐅᒋ
00-01	ᐃᑕ ᐁ ᐃᔑ ᓂᓯᑕᐎᓂᒋᑲᑌᐠ ᒥᓯᐌ ᑲ ᑕᔑᐟ ᐎᒋᔕᓂᑐᐎᓂᐠ ᑭᐡᑌᓂᑕᑯᓯᐎᓂᐠ ᐁᑭ ᐃᔑ ᓂᑕᐎᑭᐟ ᓀᐢᑕ ᐊᓂᐃ ᒥᓂᑯᐎᓯᐎᓇ ᐯᔭᑾᓄᐠ ᐁ ᐃᔑ ᒥᓂᑯᐎᓯᐟ ᓀᐢᑕ ᐁᑲ ᒋᑭ ᐊᓂᐢᑫᐸᓂᓂᐠ ᐎᓇ ᐱᑯ ᑲ ᑭ ᐃᔑ ᒥᓂᑯᐎᓯᐟ ᐁᑯᑕ ᐌᒋ ᓂᐸᐎᒪᑲᐠ ᑎᐯᓂᒥᑎᓱᐎᐣ ᓀᐢᑕ ᑾᔭᐢᑭᑕᑎᓯᐎᐣ ᓀᐢᑕ ᑲᔭᒣᓂᑕᒧᐎᐣ ᐅᑕ ᐊᐢᑭᐠ᙮
00-02	ᐁᑯ ᒪᑲ ᐁᑲ ᐁ ᐱᓯᐢᑫᓂᒋᑲᑌᐠ ᓀᐢᑕ ᐁ ᐱᑯᓂᑲᑌᑭ ᐃᓂᓂᐎ ᒥᓂᑯᐎᓯᐎᓇ ᐁ ᑲᑾᑕᑭᐃᒋᐠ ᐃᓂᓂᐗᐠ ᐁ ᑭᔑᐗᐃᑯᓇᓂᐗᐠ ᓀᐢᑕ ᐁ ᐊᑎ ᓄᑾᐠ ᐊᐢᑭᐠ ᐃᓂᓂᐤ ᐁ ᐸᑭᑎᓇᒪᑯᐎᓯᐟ ᑭᒋ ᒥᓉᓂᑕᐠ ᐗᐃᑗᐟ ᐱᑯ ᑫᑾᓂᐤ ᑭᒋ ᐃᑗᐟ ᓀᐢᑕ ᐅᑕᐺᔦᓂᑕᒧᐎᐣ ᓀᐢᑕ ᐅᑎᐯᓂᒥᑎᓱᐎᐣ ᐁᑲ ᑭᒋ ᓇᓂᒋᐟ ᓀᐢᑕ ᐱᑯ ᑭᒋ ᓄᑌᐸᓂᐟ ᐁ ᑭᒋ ᐃᑡᓂᐗᐠ ᐅᑕ ᐁ ᐅᑯᒪ ᒪᐗᐨ ᑲ ᐃᔑ ᒧᐡᑌᔦᓂᑕᐠ ᐃᓂᓂᐤ᙮
00-03	ᐁ ᑭᐢᑌᓂᑕᑾᐠ ᒪᑲ ᐃᓂᓂᐎ ᒥᓂᑯᐎᓯᐎᐣ ᑭᒋ ᑲᓇᐌᓂᒋᑲᑌᐠ ᐱᒋ ᐅᓇᔓᐌᐎᓂᐠ ᒪᑲ ᑭᔕᐢᐱᐣ ᐃᓂᓂᐤ ᐁᑲ ᑲ ᐸᑭᑎᓂᐟ ᑭᒋ ᐊᔭᐢᐸᐣ ᐱᑐᐡ ᑫᑾᓂᐤ ᑫ ᑭᑐᑕᐠ ᑲᓇᑫ ᒪᒋᐨ ᑫ ᐅᒋ ᒪᔑᑕᐟ ᐅᑭᒪᐎᐎᓂᓂᐤ ᐯᔭᐠ ᑭᒋ ᐅᑭᒪᐤ ᐁ ᑎᐯᐣᒋᑫᐟ ᓀᐢᑕ ᐁ ᐸᑕᑯᓄᐌᐟ᙮
00-04	ᓀᐢᑕ ᐁ ᑭᐢᑌᓂᑕᑾᐠ ᑭᒋ ᔑᑭᑕᓂᐗᐠ ᐅᑐᑌᒥᒥᑐᐎᓂᐠ ᑭᒋ ᐃᔑ ᑲᓇᐗᐸᒥᑐᒋᐠ ᐃᑕᐢᑲᓀᓯᐎᓇ᙮
00-05	ᓀᐢᑕ ᐊᓂᑭ ᐃᓂᓂᐗᐠ ᐱᒋ ᒪᒪᐎ ᐃᑕᐢᑲᓀᓯᐎᓂᐠ ᐱᒋ ᐅᓇᔓᐌᐎᓂᐠ ᐁ ᑕᐱ ᐃᑗᒋᐠ ᐁ ᑕᐺᔦᓂᑕᑭᐠ ᑲ ᐅᒋ ᓂᐸᐎᒪᑲᑭ ᐃᓂᓂᐎ ᒥᓂᑯᐎᓯᐎᓇ ᐅᑭᐢᑌᓂᑕᑯᓯᐎᓂᐠ ᓀᐢᑕ ᐁᔑ ᑕᐺᔦᓂᑕᑯᓯᐟ ᐃᓂᓂᐤ ᓀᐢᑕᐢ ᐯᔭᑾᓄᐠ ᐁᔑ ᒥᓂᑯᐎᓯᒋᐠ ᓇᐯᐤ ᓀᐢᑕ ᐃᐢᑺᐤ ᓀᐢᑕ ᐁ ᐃᑌᓂᑕᑭᐠ ᑭᒋ ᔑᑭᑕᒋᐠ ᑭᒋ ᒥᓄᐸᓂᓂᒋ ᐃᓂᓂᐗ ᐅᐱᒪᑎᓯᐎᓂᓂᐠ ᓀᐢᑕ ᑭᒋ ᒥᓋᔑᓂᓂᐠ ᐅᐱᒪᑎᓯᐎᓂᓂᐤ ᐊᐗᓯᑌ ᑭᒋ ᐅᒋ ᑎᐯᓂᒥᑎᓯᓂᒋ᙮
00-06	ᐁᑯ ᓀᐢᑕ ᐊᓂᑭ ᑲ ᐊᔑᑕᑭᒥᑯᓯᒋᐠ ᐸᐯᐢᑭᒋ ᐊᐢᑭᔭ ᐁᑭ ᐊᔓᑕᒪᑫᒋᐠ ᑭᒋᐎ ᑲᐡᑭᑕᒋᐠ ᐁ ᐗᐎᒋᐊᒋᐠ ᒪᒪᐎ ᐃᑕᐢᑲᓀᓯᐎᓇ ᐁ ᑲᑲᒋᐎᑕᓂᐗᐠ ᒥᓯᐌᐢᑲᒥᐠ ᐊᐢᑭᐠ ᑭᒋ ᑭᐢᑌᓂᒋᑲᑌᐠ ᓀᐢᑕ ᑲᓇᐌᓂᒋᑲᑌᐠ ᐃᓂᓂᐎ ᒥᓂᑯᐎᓯᐎᓇ ᓀᐢᑕ ᑲ ᐅᒋ ᓂᐸᐎᒪᑲᑭ ᑎᐯᓂᒥᑎᓱᐎᓇ᙮
00-07	ᐁᑯ ᓀᐢᑕ ᐯᔭᑾᐣ ᐁ ᓂᓯᑐᒋᑲᑌᑭ ᐊᓂᐃ ᒥᓂᑯᐎᓯᐎᓇ ᓀᐢᑕ ᑎᐯᓂᒥᑎᓯᐎᓇ ᒪᐗᐨ ᐁ ᑭᐢᑌᓂᑕᑾᑭ ᑭᒋ ᐅᒋ ᑕᐺᐗᔦᑫᓂᑕᑾᐠ ᐅᒪ ᑲ ᑭ ᐃᔑ ᐊᔓᑕᒪᑫᒋᐠ᙮ ᐁᑯ ᒪᑲ ᐊᐣᑕ ᑭᒋ ᒪᐗᒋᐃᑐᐎᓂᐠ ᐁ ᑭᒋ ᐃᑗᒋᐠ ᐅᒣᓂᐤ ᐁᐢᐱᑕᐢᑲᒥᑲᐠ ᐊᐢᑭᐠ ᑭᒋ ᐃᑗᐎᓂᓂᐤ ᐃᓂᓂᐎ ᒥᓂᑺᐃᓯᐎᓂ ᐅᒋ ᐯᔭᑾᐣ ᑫ ᐃᔑ ᐅᑎᓴᐸᑕᑭᐠ ᒥᓯᐌ ᐃᓂᓂᐗᐠ ᓀᐢᑕ ᒥᓯᐌ ᐃᑕᐢᑲᓀᓯᐎᓇ ᐱᓂᐡ ᒥᓯᐌ ᑲᑕᔑᐟ ᐃᓂᓂᐤ ᓀᐢᑕ ᒥᓯᐌ ᑲ ᐃᔑᓇᑾᐠ ᐱᒪᑎᓯᐎᐣ ᑕᔑᓀ ᑭᒋ ᒪᒥᑐᓀᓂᒋᑲᑌᐠ ᐅᒪ ᑭᒋ ᐃᑗᐎᐣ ᑭᒋ ᑯᒋᑕᓂᐗᐠ ᑭᒋ ᑭᐢᑭᓄᐊᒪᑲᓂᐗᐠ ᓀᐢᑕ ᑲᑲᒋᐎᑕᓂᐗᐠ ᑭᒋ ᑭᐢᑌᓂᒋᑲᑌᑭ ᐊᓂᐃ ᒥᓂᑯᐎᓯᐎᓇ ᓀᐢᑕ ᑎᐯᓂᒥᑎᓱᐎᓇ ᓀᐢᑕ ᒥᓯᐌ ᐁᔑ ᑲᐡᑭᑕᓂᐗᐠ ᐱᒋ ᐸᐯᐢᑭᒋ ᐊᐢᑭᐠ ᓀᐢᑕ ᐁᐢᐱᑕᐢᑲᒥᑲᐠ ᐊᐢᑭᐠ ᑭᒋ ᐅᑎᓇᒪᓱᒋᐠ ᒥᓯᐌᐢᑲᒥᐠ ᓀᐢᑕ ᑾᔭᐢᐠ ᑭᒋ ᓂᓯᑕᐌᓂᒋᑲᑌᐠ ᓀᐢᑕ ᑲᓇᐌᓂᒋᑲᑌᐠ ᑲᑭᓇᐤ ᐊᓂᑭ ᐃᓂᓂᐗᐠ ᐸᐯᐢᑭᐨ ᐊᐢᑭᔭ ᓀᐢᑕ ᐊᓂᑭ ᐃᓂᓂᐗᐠ ᐸᐯᐢᑭᐨ ᐅᐟ ᐊᐢᑭᐗᐠ ᐱᒋ ᐁᔑ ᑎᐯᐣᑕᑯᓯᒋᐠ᙮
01-00	ᐯᔭᐠ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
01-01	ᒥᓯᐌ ᐃᓂᓂᐤ ᑎᐯᓂᒥᑎᓱᐎᓂᐠ ᐁᔑ ᓂᑕᐎᑭᐟ ᓀᐢᑕ ᐯᔭᑾᐣ ᑭᒋ ᐃᔑ ᑲᓇᐗᐸᒥᑯᐎᓯᐟ ᑭᐢᑌᓂᒥᑎᓱᐎᓂᐠ ᓀᐢᑕ ᒥᓂᑯᐎᓯᐎᓇ᙮ ᐁ ᐸᑭᑎᓇᒪᒋᐠ ᑲᑫᑕᐌᓂᑕᒧᐎᓂᓂᐤ ᓀᐢᑕ ᒥᑐᓀᓂᒋᑲᓂᓂᐤ ᓀᐢᑕ ᐎᒋᑴᓯᑐᐎᓂᐠ ᑭᒋ ᐃᔑ ᑲᓇᐗᐸᒥᑐᒋᐠ᙮
02-00	ᓂᔓ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
