00-00	Declaratione Universale de les Dretos Humanos
00-01	Considerando que la libertate, la ciustitia e la pace in el mondo tienent per basse la reconoscentia de la dignitate intrinseca e de les dretos eguales et inalienabeles de totos les membros de la familia humana,
00-02	Considerando que la desconoscentia et el menospretio de les dretos humanos hant origenato actos de crudeltates bastoflantes per la conscientia de l’humanitate; e que s’ha proclammato, commo l’aspiratione plù alzata del homme, l’advenimento d’un mondo in que les esseres humanos, libberatos del pabbore e de la miseria, fruiant de la libbertate de paràvola e de la libbertate de credentias,
00-03	Considerando essentiale que les dretos humanos siant protegiutos per un règime de Dreto, ciuscà l’homme non se veda compeluto al supremo recorso de la refetantia contra la tirania e l’opressione,
00-04	Considerando otrossi essentiale promovere la sveloppantia de relationes amicabeles intre las nationes,
00-05	Considerando que les pòpolos de las Nationes Adgiuntatas hant reaffirmato in la Lèttera la sua fede in les dretos fondamentales del homme, in la dignitate et el valore de la persona humana et in l’egualtate de dretos d’hommes e mulleres; e s’hant declarato resoltos a promovere el progresso sociale et ad alzare el nivele de vita dintro d’un concepto plù amplo de la libbertate,
00-06	Considerando que les Statos Membros s’hant compromisso ad assecurare, in cooperatione con l’Organissatione de las Nationes Adgiuntatas, el respetto universale et effectivo a les dretos e libertates fondamentales del homme, e
00-07	Considerando que una conceptione commune d’aquestos dretos e libertates ie de la maiore importantia per el pleno accumplimento de dito compromisso,
00-08	L’Assamblea Generale
00-09	Proclamma la presente Declaratione Universale de les Dretos Humanos commo ideale commune per aquele que totos les pòpolos e nationes devent sfortiarse, ciuscà tanto les individuos commo las institutiones, inspirandose constantemente in ela, promovant, mediante l’insegnantia e l’educatione, el respetto ad aquestos dretos e libbertates, et assecurent, per messuras progressivas de caràctere nationale et internationale, la sua reconoscentia et aplicacatione universales et effectivos, autanto intre les pòpolos de les Statos Membros commo intre aqueles de les territorios colocatos sopra la sua ciurisdictione.
01-00	Articolo 1
01-01	Totos les esseres humanos nascent libberos et eguales in dignitate e dretos e, dotatos commo stant de racione e conscientia, devent comportarse in germanitate les unos con les altros.
02-00	Articolo 2
02-01	Tota persona tiene les dretos e libbertates proclammatos in aquesta Declaratione, sine distintione alcuna de rasa, colore, sexo, lingua, religione, opinione politica au de qualsevuolle altra indole, origene nationale au sociale, possitione econòmica, nascentia au qualsevuolle altra conditione.
02-02	D’òltra, non se farà distintione alcuna fondata in la conditione politica, ciuridica aut internationale del paisse au territorio de cuia ciurisdictione dependa una persona, autanto se se traita d’un paisse independente, commo d’un territorio sopra administratione fidutiaria, non autònomo aut assommisso a qualsevuolle altra limitatione de sobberantia.
03-00	Articolo 3
03-01	Toto individuo tiene dreto a la vita, a la libbertate et a la securitate de la sua persona.
04-00	Articolo 4
04-01	Nencuno starà assommisso a sclavitute nen a servidumme; la sclavitute et el tràffico de sclavos stant devissas in totas las suas formas.
05-00	Articolo 5
05-01	Nencuno serà assommisso a torturas nen a penalitates au traitamentos crudeles, inhumanos au degradantes.
06-00	Articolo 6
06-01	Toto essere humano tiene dreto, in totas partes, a la reconoscentia de la sua personalitate ciuridica.
07-00	Articolo 7
07-01	Totos sont eguales abbante la lege e tienent, sine distintione, dreto ad iguale protectione de la lege. Totos tienent dreto ad eguale protectione contra tota discrimminatione que infringia aquesta Declaratione e contra tota provocatione a tale discrimminatione.
08-00	Articolo 8
08-01	Tota persona tiene dreto ad un recorso effectivo, abbante les tribunales nationales competentes, que l’alberga contra actos que violent les sieus dretos fondamentales reconosciutos per la constitutione au per la lege.
09-00	Articolo 9
09-01	Nencuno poterà essere arvitrariamente detenuto, presso nen stembato.
10-00	Articolo 10
10-01	Tota persona tiene dreto, in conditiones de plena egualtate, ad essere auduta publicamente e con ciustitia per un tribunale independente et imparciale, per la determinatione de les sieus dretos et obligationes au per l’examene de qualsevuolle accussatione contra ela in materia penale.
11-00	Articolo 11
11-00	Tota persona accussata de linentia tiene dreto a que se presomma la sua innocentia mentrestanto non se prove la sua culpabilitate, conformo a la lege et in ciudicio publico in aquele que lui hagia assecurato totas las garantias necessarias per la sua defensa.
11-01	Nencuno serà condenato per actos aut ommissiones que in el momento de commetirse non foront delictivos secòndo el Dreto nationale aut internationale. Nenque s’impossarà penalitate plù grave que l’aplicabele in el momento de la commissione de la linentia.
12-00	Articolo 12
12-01	Nencuno serà obgecto d’ingerentias arvitrarias in la sua vita privata, la sua familia, el sieu domicilio au la sua correspondentia, nen d’attaccos a la sua honra aut a la sua reputatione. Tota persona tiene dreto a la protectione de la lege contra tales ingerentias aut attaccos.
13-00	Articolo 13
13-00	Tota persona tiene dreto a circolare libberamente et ad elegire la sua residentia in el territorio d’un Stato.
13-01	Tota persona tiene dreto a partire de qualsevuolle paisse, inclosso del pròpio, et a retornare al sieu paisse.
14-00	Articolo 14
14-00	In caso de persecutione, tota persona tiene dreto a recercare assilo, et a fruire d’ele, in qualsevuolle paisse.
14-01	Aqueste dreto non poterà essere invocato contra una actione ciudiciale veramente origenata per linentias communes au per actos oppostos a les propòssitos e principios de las Nationes Adgiuntatas.
15-00	Articolo 15
15-00	Tota persona tiene dreto ad una nationalitate.
15-01	A nencuno se privarà arvitrariamente de la sua nationalitate ne del dreto a cambiare de nationalitate.
16-00	Articolo 16
16-00	Les hommes e las mulleres, a partire de l’etate nubile, tienent dreto, sine restrictione alcuna per motivos de rasa, nationalitate au religione, a spossarse e fondare una familia; e fruirarànt d’eguales dretos in cuanto al matrimonio, durante el matrimonio et in caso de disolutione del matrimonio.
16-01	Tantamente mediante libbero e pleno acconsentimento de les futuros spossos poterà contraderse el matrimonio.
16-02	La familia ie l’elemento naturale e fondamentale de la societate e tiene dreto a la protectione de la societate e del Stato.
17-00	Articolo 17
17-00	Tota persona tiene dreto a la propietate, individuale e colectivamente.
17-01	Nencuno serà privato arvitrariamente de la sua propietate.
18-00	Articolo 18
18-01	Tota persona tiene dreto a la libbertate de pensamento, de conscientia e de religione; aqueste dreto include la libertate de cambiare de religione au de credentia, ansi commo la libertate de manifestare la sua religione au la sua credentia, individuale e colectivamente, autanto in publico commo in privato, per l’insegnantia, la pràctica, el culto e l’observantia.
19-00	Articolo 19
