00-00	ЗАГАЛЬНА ДЕКЛАРАЦІЯ ПРАВ ЛЮДИНІ
00-01	Беручи до уваги, що визнання гідності, яка властива всім членам людської сім'ї, і рівних та невід'ємних їх прав є основою свободі, справедливості та загального миру; і
00-02	беручи до уваги, що зневажання і нехтування правами людини призвели до варварських актів, які обурюють совість людства, і що створення такого світу, в якому люди будуть мати свободу слова і переконань і будуть вільні від страху і нужди, проголошено як високе прагнення людей; і
00-03	беручи до уваги, що необхідно, щоб права людини охоронялися силою закону з метою забезпечення того, щоб людина не була змушена вдаватися як до останнього засобу до повстання проти тиранії і гноблення; і
00-04	беручи до уваги, що необхідно сприяти розвиткові дружніх відносин між народами; і
00-05	беручи до уваги, що народи Об'єднаних Націй підтвердили в Статуті свою віру в основні права людини, в гідність і цінність людської особи і в рівноправність чоловіків і жінок та вирішили сприяти соціальному прогресові і поліпшенню умов життя при більшій свободі; і
00-06	беручи до уваги. що держави‐члени зобов'язались сприяти у співробітництві з Організацією Об'єднаних Націй загальній повазі і додержанню прав людини і основних свобод; і
00-07	беручи до уваги, що загальне розуміння характеру цих прав і свобод має величезне значення для повного виконання цього зобов'язання,
00-08	ГЕНЕРАЛЬНА АСАМБЛЕЯ
00-09	проголошує цю Загальну Декларацію Прав Людини як завдання, до виконання якого повинні прагнути всі народи і всі держави з тим, щоб кожна людина і кожний орган суспільства, завжди маючи на увазі цю Декларацію, прагнули шляхом освіти сприяти поважанню цих прав і свобод і забезпеченню, шляхом національних і міжнародних прогресивних заходів, загального і ефективного визнання і здійснення їх як серед народів держав ‐ членів Організації, так і серед народів територій, що перебувають під їх юрисдикцією.
01-00	Стаття 1.
01-01	Всі люди народжуються вільними і рівними у своїй гідності та правах. Вони наділені розумом і совістю і повинні діяти у відношенні один до одного в дусі братерства.
02-00	Стаття 2.
02-01	Кожна людина повинна мати всі права і всі свободи, проголошені цією Декларацією, незалежно від раси, кольору шкіри, статі, мови, релігії, політичних або інших переконань, національного чи соціального походження, майнового, станового або іншого становища.
02-02	Крім того, не повинно проводитися ніякого розрізнення на основі політичного, правового або міжнародного статусу країни або території, до якої людина належить, незалежно від того, чи є ця територія незалежною, підопічною, несамоврядованою або як‐небудь інакше обмеженою у своєму суверенітеті.
03-00	таття 3.
03-01	Кожна людина має право на життя, на свободу і на особисту недоторканність.
04-00	Стаття 4.
04-01	Ніхто не повинен бути в рабстві або у підневільному стані; рабство і работоргівля забороняються в усіх їх видах.
05-00	Стаття 5.
05-01	Ніхто не повинен зазнавати тортур, або жорстокого, нелюдського, або такого, що принижує його гідність, поводження і покарання.
06-00	Стаття 6.
06-01	Кожна людина, де б вона не перебувала, має право на визнання її правосуб'єктності.
07-00	Стаття 7.
07-01	Всі люди рівні перед законом і мають право, без будь‐якої різниці, на рівний їх захист законом. Усі люди мають право на рівний захист від якої б то не було дискримінації, що порушує цю Декларацію, і від якого б то не було підбурювання до такої дискримінації.
08-00	Стаття 8.
08-01	Кожна людина має право на ефективне поновлення у правах компетентними національними судами в разі порушення її основних прав, наданих їй конституцією або законом.
09-00	Стаття 9.
09-01	Ніхто не може зазнавати безпідставного арешту, затримання або вигнання.
10-00	Стаття 10.
10-01	Кожна людина, для визначення її прав і обов'язків і для встановлення обґрунтованості пред'явленого їй кримінального обвинувачення, має право, на основі повної рівності, на те, щоб її справа була розглянута прилюдно і з додержанням усіх вимог справедливості незалежним і безстороннім судом.
11-00	Стаття 11.
11-01	Кожна людина обвинувачена у вчиненні злочину, має право вважатися невинною доти, поки її винність не буде встановлена в законному порядку шляхом прилюдного судового розгляду, при якому їй забезпечують усі можливості для захисту.
11-02	Ніхто не може бути засуджений за злочин на підставі вчинення будь‐якого діяння або за бездіяльність, які під час їх вчинення не становили злочину за національними законами або за міжнародним правом. Не може також накладатись покарання тяжче від того, яке могло бути застосоване на час вчинення злочину.
12-00	Стаття 12.
12-01	Ніхто не може зазнавати безпідставного втручання у його особисте і сімейне життя, безпідставного посягання на недоторканність його житла, таємницю його кореспонденції або на його честь і репутацію. Кожна людина має право на захист закону від такого втручання або таких посягань.
13-00	Стаття 13.
13-01	Кожна людина має право вільно пересуватися і обирати собі місце проживання у межах кожної держави.
13-02	Кожна людина має право покинути будь‐яку країну, включаючи й свою власну, і повертатись у свою країну.
14-00	Стаття 14.
14-01	Кожна людина має право шукати притулку від переслідувань в інших країнах і користуватися цим притулком.
14-02	Це право не може бути використане в разі переслідування, яке в дійсності ґрунтується на вчиненні неполітичного злочину, або діяння, що суперечить цілям і принципам Організації Об'єднаних Націй.
15-00	Стаття 15.
15-01	Кожна людина має право на громадянство.
15-02	Ніхто не може бути безпідставно позбавлений громадянства або права змінити своє громадянство.
16-00	Стаття 16.
16-01	Чоловіки і жінки, які досягли повноліття, мають право без будь‐яких обмежень за ознакою раси, національності або релігії одружуватися і засновувати сім'ю. Вони користуються однаковими правами щодо одруження під час шлюбу та під час його розірвання.
16-02	Шлюб може укладатися тільки при вільній і повній згоді сторін, що одружуються.
16-03	Сім'я є природним і основним осередком суспільства і має право на захист з боку суспільства та держави.
17-00	Стаття 17.
17-01	Кожна людина має право володіти майном як одноособово, так і разом з іншими.
17-02	Ніхто не може бути безпідставно позбавлений свого майна.
18-00	Стаття 18.
18-01	Кожна людина має право на свободу думки, совісті і релігії; це право включає свободу змінювати свою релігію або переконання і свободу сповідувати свою релігію або переконання як одноособово, так і разом з іншими, прилюдним або приватним порядком в ученні, богослужінні і виконанні релігійних та ритуальних обрядів.
19-00	Стаття 19.
19-01	Кожна людина має право на свободу переконань і на вільне їх виявлення; це право включає свободу безперешкодно дотримуватися своїх переконань та свободу шукати, одержувати і поширювати інформацію та ідеї будь‐якими засобами і незалежно від державних кордонів.
20-00	Стаття 20.
20-01	Кожна людина має право на свободу мирних зборів і асоціацій.
20-02	Ніхто не може бути примушений вступати до будь‐якої асоціації.
21-00	Стаття 21.
21-01	Кожна людина має право брати участь в управлінні своєю країною безпосередньо або через вільно обраних представників.
21-02	Кожна людина має право рівного доступу до державної служби в своїй країні.
21-03	Воля народу повинна бути основою влади уряду; ця воля повинна виявлятися у періодичних і нефальсифікованих виборах, які повинні провадитись при загальному і рівному виборчому праві шляхом таємного голосування або ж через інші рівнозначні форми, що забезпечують свободу голосування.
22-00	Стаття 22.
22-01	Кожна людина, як член суспільства, має право на соціальне забезпечення і на здійснення необхідних для підтримання її гідності і для вільного розвитку її особи прав у економічній. Соціальній і культурній галузях за допомогою національних зусиль і міжнародного співробітництва та відповідно до структури і ресурсів кожної держави.
23-00	Стаття 23.
23-01	Кожна людина має право на працю, на вільний вибір роботи, на справедливі і сприятливі умови праці та на захист від безробіття.
23-02	Кожна людина, без будь‐якої дискримінації, має право на рівну оплату за рівну працю.
23-03	Кожний працюючий має право на справедливу і задовільну винагороду, яка забезпечує гідне людини існування, її самої та її сім'ї, і яка в разі необхідності доповнюється іншими засобами соціального забезпечення.
23-04	Кожна людина має право створювати професійні спілки і входити до професійних спілок для захисту своїх інтересів.
24-00	Стаття 24.
24-01	Кожна людина має право на відпочинок і дозвілля, включаючи право на розумне обмеження робочого дня та на оплачувану періодичну відпустку.
25-00	Стаття 25.
25-01	Кожна людина має право на такий життєвий рівень, включаючи їжу, житло, медичний догляд та необхідне соціальне обслуговування, який є необхідним для підтримання здоров'я і добробуту її самої та її сім'ї, і право на забезпечення в разі безробіття, хвороби, інвалідності, вдівства, старості чи іншого випадку втрати засобів до існування через незалежні від неї обставини.
25-02	Материнство і дитинство дають право на особливе піклування і допомогу. Всі діти, народжені у шлюбі або поза шлюбом, повинні користуватися однаковим соціальним захистом.
26-00	Стаття 26.
26-01	Кожна людина має право на освіту. Освіта повинна бути безплатною, хоча б початкова і загальна. Початкова освіта повинна бути обов'язковою. Технічна і професійна освіта повинна бути загальнодоступною, а вища освіта повинна бути однаково доступною для всіх на основі здібностей кожного.
26-02	Освіта повинна бути спрямована на повний розвиток людської особи і збільшення поваги до прав людини і основних свобод. Освіта повинна сприяти взаєморозумінню, терпимості і дружбі між усіма народами, расовими, або релігійними групами і повинна сприяти діяльності Організації Об'єднаних Націй по підтриманню миру.
26-03	Батьки мають право пріоритету у виборі виду освіти для своїх малолітніх дітей.
27-00	Стаття 27.
27-01	Кожна людина має право вільно брати участь у культурному житті суспільства, втішатися мистецтвом, брати участь у науковому прогресі і користуватися його благами.
27-02	Кожна людина має право на захист її моральних і матеріальних інтересів, що є результатом наукових, літературних або художніх праць, автором яких вона є.
28-00	Стаття 28.
28-01	Кожна людина має право на соціальний і міжнародний порядок, при якому права і свободи, викладені в цій Декларації, можуть бути повністю здійснені.
29-00	Стаття 29.
29-01	Кожна людина має обов'язки перед суспільством, у якому тільки й можливий вільний і повний розвиток її особи.
