00-00	Ɩgooyoo bɔ gbɛɛɩnɲɔ maraʋn
00-01	Hɛrɛ yʋʋn pɛɛ bɔ yɩnŋmɔ kaa ɩgooyoo, a hɔ gu ti a gbɛɛɩnɲɔ, lɛ kparija, lɛ totogonigo ɔn yi druɲan rɩ.
00-02	Hɛrɛ yʋʋn pɛɛ ji lɛɛ ɩgooyoo wɛɛ pɛɛ hʋʋn kpan  gbɛɛɩnɲɔ, lɛ ji lɛɛ mʋnm yʋʋn wɛɛ kaɩ hɛrɛ gbɛɛɩnɲɔ  wɩnnɩn,hɔ maan yiro sɛgɛdɛgɛ pooko. Hɛrɛ tiri dɛ ɩgooyoo wɛɛ pɛɛ hʋʋn kpan lɛ yɩn bɔ gbɛɛ.
00-03	Hɛrɛ yʋʋn pɛɛ ji lɛɛ hɔ ya aban mɩnnɩn gbɛɛɩnɲɔ mara wɩnnɩn dɩ garɩyɛɛgɔ, lɛ ɩgoooyo kaa yʋgʋkaga hɔ kwanŋɔ.
00-04	Hɛrɛ yʋʋn pɛɛ ji lɛɛ hɔ ya dunuɲan sɔgɔ pɛɛ bɔ kan wɔɔrɩ.
00-05	Hɛrɛ yʋʋn pɛɛ ji lɛɛ hɔ ya dunuɲan sɔgɔ pɛɛ bɔ nʋʋn-ʋ bɩn ɩgooyoo bɔ gbɛɛɩnɲɔ mara wɩnnɩn dɔ, lɛ hɛrɛ hɔ ya  jabaa, lɛ hɛrɛ hɛɛmɔ lɛ yɛbɔ bɔ maraʋn hɛ taa, a hɔ gu ti a yʋʋn pɛɛ maan yɩn bɔ gbɛɛ,
00-06	Hɛrɛ yʋʋn pɛɛ ji lɛɛ saakɔ sɔgɔ pooko, bɔ sa bɔ nʋʋn-ʋn taa, lɛɛ bɔɔ dɩ ɩgooyoo bɔ gbɛɛɩnɲɔ mara wɩnnɩn dɩ.
00-07	Hɛrɛ yʋʋn pɛɛ ji lɛɛ hɔ ya bɔ hɛ nʋʋnŋɔ taa hɛrɛ mara wɩnnɩn dɩ lɛ maan dɩ hɔ nʋʋnŋɔ rɩ. Hɔ dɛ hɔ ya yʋʋn pɛɛ hʋn dɩ hɛrɛ mara wɩnnɩn dɩ.
01-00	Nʋʋnŋɔ 1
01-01	Igooyoo pɛɛ hʋn taa. Bɔ pɛɛ jabaga bɔrɔ. Hɔ ya gʋʋn’n bɔɔ hɛ pɛɛ, hɔ hɛ gusɛgɛ’n.
02-00	Nʋʋnŋɔ 2
02-01	Mara wɩnnɩn gʋʋn bɔɔ dʋ mʋʋnʋn, ʋn sa lɛ yan yʋʋn lɛ yʋʋn pɛɛ.
02-02	Haa sa nikpo ɩbiiro lɛ bronii, laa hɛbɔ lɛ hɛɛmɔ, laa sʋgatɛsɔgɔ lɛ hiansɔgɔ, bɔ pɛɛ bɔ maraʋn lɛ.
03-00	Nʋʋnŋɔ 3
03-01	Yʋʋn pɛɛ hɔ ya hʋn nɩɩn goun, lɛ bɔ tɔgɔ maan togo’n, lɛ hʋn maan yɩn bɔ gbɛɛ, lɛ hɛ hɛrɛ hʋn kori.
04-00	Nʋʋnŋɔ 4
04-01	Haa ya yʋʋn wɛɛ ba ɩgooyoo lɛ hʋn hɛ hɛɛʋn wɩnnɩn bɔ faŋa para tii.
05-00	Nʋʋnŋɔ 5
05-01	Haa ya bɔ sa tɔkpɩrɩgɔ yʋʋn wɛɛ rɩɩ. Haa yaa bɔ soo bɔ yinŋmɔ saakɔnɩɩn.
06-00	Nʋʋnŋɔ 6
06-01	Yʋʋn lɛ yʋʋn pɛɛ hɔ ya bɔ jabaa, mara lɛ nʋʋnŋɔrɩ.
07-00	Nʋʋnŋɔ 7
