00-00	Deklarasi Sadunia Hak-Hak Asasi Manusia
00-01	Sasungguahnyo pangakuan taradok martabat dasar dan hak-hak nan samo sarato mutlak dari tiok anggota kaluarga manusia adolah landasan dari kamardekaan, kaadilan dan pardamaian di dunia;
00-02	Sasungguahnyo sikap tak paduli dan malecehkan hak-hak asasi manusia tabukti mangakibatkan parilaku biadab nan sangat malukoi nurani umat manusia, dan alah dicanangkannyo suatu dunia di ma tiok urang dapek manikmati kabebasan manyampaikan pandapek, bakayakinan, dan kabebasan dari raso takuik dan dari kakurangan, sabagai cito-cito paliang tinggi dari sadonyo urang;
00-03	Sasungguahnyo supayo urang indak tapaso mamiliah barontak sabagai usaho pangabisan untuak manantang kazaliman dan panindasan, Hak-hak Asasi Manusia paralu dijamin malalui tartib hukum;
00-04	Sasungguahnyo paralu bana mamajukan pangambangan hubuangan basahabat di antaro banso-banso di dunia;
00-05	Sasungguahnyo dalam Piagam Perserikatan Bangsa-Bangsa sadonyo anggota alah mangukuahkan baliak kayakinan taradok hak-hak asasi manusia nan mandasar, taradok martabat dan nilai tiok urang, dan taradok hak-hak nan samo dari laki-laki jo padusi, dan batekad untuak mandorong kamajuan sosial sarato taraf iduik nan labiah elok dalam kamardekaan nan labiah gadang;
00-06	Sasungguahnyo ikrar Negara-Negara Anggota, bakarajo samo jo Perserikatan Bangsa Bangsa, untuak mamajukan panghormatan taradok Hak-Hak Asasi Manusia dan Kamardekaan nan mandasar, supayo manjadi kanyataan;
00-07	Sasungguahnyo paralu bana adonyo pamahaman nan samo tantang hak-hak dan kabebasan-kabebasan ko supayo dapek diwujudkan saluruahnyo sasuai jo ikrar, mako:
00-08	Majlis Umum
00-09	mancanangkan
00-10	Deklarasi Sadunia Hak-Hak Asasi Manusia sabagai satu tolok ukua basamo untuak sadonyo urang dan sagalo banso, supayo tiok urang dan limbago dalam masyarakat sanantiaso mamparatikan Deklarasi ko, untuak manjamin pangakuan dan palaksanaannyo sacaro universal, di antaro sasamo banso Negara Anggota sarato masyarakat dalam wilayah nan dikuasoinyo, malalui pandidikan dan pangajaran untuak manumbuahkan raso hormat taradok hak-hak dan kamardekaan sapanjang maso, di tingkek nasional jo internasional.
01-00	Pasal 1
01-01	Sadonyo manusia dilahiakan mardeka dan punyo martabat sarato hak-hak nan samo. Mareka dikaruniai aka jo hati nurani, supayo satu samo lain bagaul sarupo urang badunsanak.
02-00	Pasal 2
02-01	Tiok urang punyo hak manikmati hak-hak dan kamardekaan nan tacantum dalam Deklarasi ko, indak ado pambedaan – umpamonyo pambedaan ras, warno kulik, jinih kalamin, bahaso, agamo, politik atau pandangan lain, asa-usua kabansoan atau tingkek sosial, kakayaan, kalahiran ataupun kadudukan lainnyo.
02-02	Lain dari pado itu, indak diadokan pambedaan badasar kadudukan politik, kakuasaan hukum atau kadudukan internasional dari negara atau daerah asa sasaurang, baiak babantuak negara mardeka, wilayah-wilayah parwalian, jajahan atau bantuak katarbatasan kadaulatan nan lain.
03-00	Pasal 3
03-01	Tiok urang punyo hak untuak iduik, untuak mardeka, dan kasalamatan salaku manusia pribadi.
04-00	Pasal 4
04-01	Indak surang pun buliah dipabudak atau disuruah karajo rodi; mampabudak dan mampadagangkan budak dalam sagalo bantuak musti dilarang.
05-00	Pasal 5
05-01	Indak surang pun buliah dianiayo atau dizalimi, atau dihukum sacaro kajam, tidak bakamanusiaan atau dihino.
06-00	Pasal 6
06-01	Di ma sajo barado, tiok urang punyo hak untuak dapek parlakuan sabagai manusia di hadapan hukum.
07-00	Pasal 7
07-01	Sadonyo urang samo di hadapan hukum, dan karano tu punyo hak nan indak bakacuali untuk mandapek linduangan hukum nan samo. Sakalian urang punyo hak mandapek linduangan nan samo taradok sagalo pambedaan nan batantangan jo Deklarasi ko, dan taradok sagalo ancaman nan mangarah pado pambedaan samacam itu.
08-00	Pasal 8
08-01	Tiok urang punyo hak mandapek ganti rugi nyato malalui paradilan nasional nan bawenang dari tindakan urang lain nan malangga hak-hak dasar nan dimilikinyo sasuai jo Undang Undang Dasar atau hukum.
09-00	Pasal 9
09-01	Indak surang pun buliah ditangkok, ditahan atau diasiangkan sacaro sawenang-wenang.
10-00	Pasal 10
