00-00	ڤراشتهارن حق اساسي مأنسي سجاڬت
00-01	بهاواساڽ ڤڠيعترافن كأوتوهن كموليأن دان حق سامرات سرتا اساسي يڠ تق ترڤيسه باڬي سلوروه اومت مأنسي عداله اساس كبيبسن، كعاديلن دان كداماين دنيا.
00-02	بهاواساڽ ڤڠاباين سرتا ڤڠهينأن ترهادڤ حق اساسي مأنسي تله ڤون مڠعاقبتكن تيندقن تركوتوق يڠ تله ملڠڬري ڤراسأن هاتي اومت مأنسي، دان مونچولڽ سبواه دنيا د مان مأنسي اكن منعمتي كبيبسن براوچڤ دان مڠانوت كڤرچايأن سرتا كبيبسن دري راستاكوت دان چيتاراس تله ڤون دأشتهاركن سباڬاي اسڤيراسي تراڬوڠ سلوروه اومت مأنسي.
00-03	سكيراڽ كيت تيدق ماهو مندوروڠ مأنسي دالم كأدأن تردسق، سباڬاي ڤيليهن تراخير، ممبرونتق ممنتڠ كظاليمن سرتا ڤنيندسن، مك عداله ڤنتيڠ باڬي حق اساسي مأنسي دڤرتاهنكن اوليه كدولتن اوندڠ٢.
00-04	بهاواساڽ عداله ڤنتيڠ باڬي مماجوكن ڤركمبڠن ڤرهوبوڠن ڤرصحابتن د انتارا نڬارا٢.
00-05	بهاواساڽ رعيت بڠسا٢ برساتو، دالم ڤياڬمڽ تله سكالي لاڬي منڬسكن كڤرچايأن مريك ترهادڤ حق اساسي مأنسي، ترهادڤ كموليأن سرتا نيلايديري مأنسي دان ترهادڤ حق سامرات للاكي دان ڤرمڤوان دان تله منتڤكن كعزمن اونتوق مماجوكن ڤركمبڠن سوسيال دان طرف هيدوڤ يڠ لبيه سمڤرنا دالم سواسان كبيبسن يڠ لبيه لواس.
00-06	بهاواساڽ نڬارا٢ اڠڬوتا تله براقرار اونتوق ماسيڠ٢ منچاڤاي، دڠن كرجاسام بڠسا٢ برساتو، ڤڠوتارأن كحرمتن سجاڬت ترهادڤ، سرتا ڤماتوهن، حق اساسي مأنسي دان كبيبسن اساسي.
00-07	بهاواساڽ ساتو فهمن برسام ترهادڤ حق سرتا كبيبسن اين سلوروهڽ عداله ترڤنتيڠ دمي منجاديكن اقرار اين كڽاتأن سڤنوهڽ.
00-08	مك دڠن اين
00-09	ڤرهيمڤونن اڬوڠ مڠيشتهاركن
00-10	ڤراشتهارن سجاڬت حق اساسي مأنسي اين سباڬاي سواتو اوكورن برسام ترهادڤ ڤنچاڤاين اوليه سلوروه اومت مأنسي دان كسموا نڬارا دڠن توجوان سوڤاي ستياڤ اينديۏيدو دان ستياڤ بادن مشاركت، دڠن سننتياس مڠيڠتي ڤراشتهارن اين، هندقله برعزم ملالؤي ڤڠاجرن دان ڤنديديقن باڬي مماجوكن سانجوڠن ترهادڤ سلوروه حق٢ دان كبيبسن اين دان سچارا لڠكه٢ برڤريڠكت ڤريڠكت، د بيدڠ نڬارا دان انتارابڠسا، باڬي منجامينكن ڤڠيعترافن دان ڤماتوهن سجاڬتڽ يڠ بركسن، كدوا دواڽ د انتارا نڬارا٢ اڠڬوتا ماسيڠ٢ دان رعيت ولايه٢ د باوه بيدڠكواس مريك.
01-00	ڤركارا 1.
01-01	سموا مأنسي دلاهيركن بيبس دان سامرات دري سڬي كموليأن دان حق٢. مريك ممڤوڽاي ڤميكيرن دان ڤراسأن هاتي دان هندقله برتيندق د انتارا ساتو سام لائن دڠن سماڠت ڤرساودارأن.
02-00	ڤركارا 2.
02-01	ستياڤ اورڠ عداله برحق كڤد سموا حق٢ دان كبيبسن يڠ ترمكتوب دالم ڤراشتهارن اين، تنڤا سبارڠ اڤ جوا ڤمبيذأن، سڤرتي بڠسا، ورنا كوليت، جنتينا، بهاس، اڬام، فهم ڤوليتيك اتاو لائن٢ فهمن، اصل اصول بڠسا كتورونن اتاو سوسيال هرتا بندا، كلاهيرن اتاو اڤ٢ طرف لائن.
02-02	ستروسڽ، تياد سبارڠ ڤمبيذأن بوليه دبوات براساسكن ڤادا طرف ڤوليتيك اتاو بيدڠكواس اتاوڤون انتارابڠسا سسبواه نڬارا اتاو ولايه داتڠڽ سسأورڠ ايت، سام اياڽ مرديك، برامانه، تنڤا ڤمرينتهن سنديري اتاو براد د باوه اڤ٢ سكتن كدولتن لائنڽ.
03-00	ڤركارا 3.
03-01	ستياڤ اورڠ عداله برحق كڤد ڽاوا، كبيبسن دان كسلامتن ديري.
04-00	ڤركارا 4.
04-01	تياد سسياڤا ڤون بوليه دڤرهمبا اتاو دڤرعبديكن; كعبدين دان داڬڠن همبا عبدي هندقله دلارڠ دالم سموا بنتوقڽ.
05-00	ڤركارا 5.
05-01	تياد سسياڤا ڤون بوليه دكناكن سيقسأن اتاو لاينن اتاو حكومن يڠ ظاليم، تيدق برڤريكمأنسيأن اتاو مڠهيناكن.
06-00	ڤركارا 6.
06-01	ستياڤ اورڠ عداله برحق كڤد ڤڠيعترافن د مان جوا سباڬاي سأورڠ انسان د سيسي اوندڠ٢.
07-00	ڤركارا 7.
07-01	سموا اورڠ عداله سامرات د سيسي اوندڠ٢ دان برحق تنڤا اڤ٢ ڤمبيذأن كڤد ڤرليندوڠن يڠ سامرات د سيسي اوندڠ٢. سموا اورڠ عداله برحق كڤد ڤرليندوڠن يڠ سامرات درڤد سبارڠ ڤمبازأن يڠ ملڠڬر ڤراشتهارن اين دان درڤد سبارڠ هاسوتن ترهادڤ ڤمبيذأن سدمكين.
08-00	ڤركارا 8.
08-01	ستياڤ اورڠ عداله برحق كڤد ڤموليهن يڠ بركسن اوليه تريبونل٢ كبڠسأن يڠ كومڤيتين ترهادڤ تيندقن٢ يڠ ملڠڬر حق٢ اساسي يڠ دبريكنڽ اوليه ڤرلمباڬأن اتاو اوليه اوندڠ٢.
09-00	ڤركارا 9.
09-01	تياد سسياڤا ڤون بوليه دكناكن تڠكڤن، تاهنن اتاو ڤمبواڠن نڬري سچارا سوينڠ وينڠڽ.
10-00	ڤركارا 10.
10-01	ستياڤ اورڠ عداله برحق دڠن سامرات سڤنوهڽ كڤد ڤمبيچارأن عاديل دان تربوك اوليه سواتو تريبونل بيبس دان سقسام، دالم ڤنتڤن حق٢ دان تڠڬوڠنڽ دان سبارڠ تودوهن جنايه ترهادڤڽ.
11-00	ڤركارا 11.
11-01	ستياڤ اورڠ يڠ دتودوه دڠن كسالهن كسكسأن عداله برحق دأڠڬڤ تيدق ساله سهيڠڬ دبوقتيكن ساله منوروت اوندڠ٢ د دالم ڤربيچارأن تربوك د مان دي تله دبريكن سڬالا جامينن يڠ ڤرلو اونتوق ڤمبلأنڽ.
11-02	تياد سسياڤا ڤون بوليه دڤوتوسكن برساله اتس سبارڠ كسالهن كسكسأن اوليه كران سبارڠ تيندقن اتاو كتيڠڬلن يڠ تيدق مروڤاكن سواتو كسالهن كسكسأن، د سيسي اوندڠ٢ كبڠسأن اتاو انتارابڠسا، ڤادا ماس اياڽ دلاكوكن. تياد ڤولا بوليه دكناكن سبارڠ حكومن يڠ لبيه برت دري حكومن يڠ ترڤاكاي كتيك كسالهن كسكسأن ايت دلاكوكن.
12-00	ڤركارا 12.
