00-00	DECLARACHON UNIVERSALLA DAI DRAI DÂI DZEIN.
00-01	Yu que la recougnesseinça de la dignitâ qu’è dussa à tote lè dzein de noûtra terra, de mîmo que lâo drâi, d’aprî la lâi, parâire por trétî, que pouant pas ître doutâ, l’è la colonda de la libertâ, de la djustice et de la pé dein lo mondo.
00-02	Yu que s’on cougnâi pas lè drâi dâi dzein et qu’on lè mèprese cein meinne à la vaudèsî que tsancroune la concheince de l’humanitâ et que la vegnâte d’on mondo yô lè dzein sant libre de dèvesâ et de crâire fro de la pouâire blyûva et de la mistoufye a ètâ proclliamâ quemet cein qu’è lo mî po lè dzein,
00-03	Yu que faut dèvant tot que lè drâi dâi dzein sèyant tsouyî pè lè lâi po que lè dzein, po finî, sèyant pas dobedzî de lâo branquâ contro la mâitrèyeinçe et l’opprèchon.
00-04	Yu que faut d’à premî eincoradzî à eimparâ l’ametî eintre lè nachon,
00-05	Yu que dein la Tsarta lè peuplyo dâi Nachon Accolâïe ant remé proclliamâ lâo fâi po lè drâi premî dâi dzein, dein l’honneu et la valeu de la dzein humaine, po que lè drâi dâi z’hommo et dâi fenne sèyant parâi, et que sè sant fermo dècidâ à âidyî à mèliorâ la vyà dâi dzein, et à ètablî dâi condechon de vyà pe bounè avoué ’nna libertâ pe granta,
00-06	Yu que lè z’ Età meimbro sè sant eingadzî à assurâ, avoué la coopèrachon dâi Nachon Accolâïe, lo respè universè et sû dâi drâi dâi dzein et dâi libertâ premîre,
00-07	Yu qu’onna concepchon coumoûna de clliâo drâi et libertâ l’è cein que compte d’à premî po reimplliâ à tsavon sti l’eingadzemeint.
00-08	LA TENÂBLLIA GENERÂLA
00-09	Proclliame sta Dèclarachon universalla dâi drâi dâi dzein quemet l’idèal coumon à aveintâ pè tî lè peuplyo et tote lè nachon po que tî lè coo et tote lè z’administrachon de la sociètâ aussant tot dâo long sta Dèclarachon à l’esprit, s’escormantsant, ein recordeint et pè l’einducachon, à eimparâ lo respè de clliâo drâi et libertâ et d’ein d’assurâ tsô poû, avoué dâi mèsoûre d’oodro nachonà et internachonà la recougnesseinça et la pratiqua universalla pertot et, sein la manqua, atant permi lè populachon dâi z’ Età Meimbro leu-mîmo que permi lè z’eindrâi yô on vi dèso lâo djuridicchon.
01-00	Articllio 1
01-01	Tî lè z’ître humain vîgnant âo mondo libro et parâi dein la dignitâ et lè drâi. L’ant reçu réson et concheince et dâivant vivre lè z’on avoué lè z’autro quemet se sant frâre et chèra.
02-00	Articllio 2
02-01	Clliâo drâi et clliâo libertâ qu’ant ètâ proclliamâ dein sta Dèclarachon sant à dè bon po tsacon, sein vouâitî à la raça, la colâo, âo sexe, âo dèvesâ, à la religïon, à sa peinsâïe politica âo bin quie que cein pouésse ître d’autro, que cein vîgne de la nachon âo bin dâo socià, de la fortena, de la vegnâte âo mondo âo bin du onn’autra situachon.
02-02	De plye, foudrâ pas s’otiupâ dâo statu politico, djuridico âo internachonà dâo payî âo de la cotse du yô onna dzein è salyâte, pas pire de sè tsetî que sti payî sâi libro, dèso onna tutella, que pâo pas dècidâ li-mîmo dè tot mâ que l’è asservî à quauque limitachon dein son povâi.
03-00	Articllio 3
03-01	Tsaque coo l’a drâi à la vyà, la libertâ et la sècuritâ.
04-00	Articllio 4
04-01	Nion sarâ prâi et tegnu quemet on esclliâvo, assebin pas ein servituda ; l’esclliavâdzo et la trâita dâi z’esclliâvo sant dèfeindu dein tî lè casse.
05-00	Articllio 5
05-01	Nion porrâ ître bregandâ, assebin pas puni âo bin tormeintâ ein diâblyo, que cein porrâi ître contro natoûra âo dègradeint.
06-00	Articllio 6
06-01	Tsacon a lo drâi d’ître recognu pertot quemet onna persena djuridica.
07-00	Articllio 7
