00-00	Nana Comɨnɨ Uri Illafue
00-01	Biena uiño: Nana comɨnɨ jɨaɨe comɨnɨ anamo iñellena, ie fɨnua dɨese nagamɨe feiñollena, nana comɨnɨ uri illena, bie rafuena llotɨcaɨ. Comena nagamɨe jeicɨa jira, bie rafuena llotɨcaɨ. Nana comɨnɨmo bie rafue daje isoi duide.
00-02	Biena uiño: Ailluena comɨnɨ, dɨga icaiño jɨaɨe comɨnɨmona duere sefuilla jira, nana comɨnɨ jacɨruiñeno iacana jira, naga comɨnɨ rana iacana jira, bie rafuena llotɨcaɨ. Duere sefui raillano, nana comɨnɨ nɨe isoide rafuena jacɨruiñeno llollena, bie rafuena llotɨcaɨ. Duere sefui raillano, nana comɨnɨ nɨe isoide rafuena jacɨruiñeno llollena, bie rafuena llotɨcaɨ.
00-03	Biena uiño: Naga gobierno ie comɨnɨna canua, naimacɨmo bie isoide rafue illena. Gobierno dɨga, jobaime naimacɨ fɨnoñellena, bie isoide rafue ie comɨnɨmo illena, naga gobierno ie comɨnɨna canua.
00-04	Biena uiño: Naga naɨraɨ jɨaɨe naɨraɨ dɨga, nabairillana caɨjɨtailla jira, bie rafuena llotɨcaɨ.
00-05	Biena uiño: Naga Naciones Unidamo duide naɨraɨ bie rafuedo jaiacana jira, bie rafuena llotɨcaɨ. Nagamɨe comena jeicɨga. Ɨima rɨño baɨfemo faɨñede. Rɨño ɨɨma baɨfemo faɨñede. Comɨnɨ duere itɨnona jitaiñedɨcaɨ, iadedɨ naɨmacɨ uri caɨmare illana jitaidɨcaɨ.
00-06	Biena uiño: -Danomo bie rafue llocana jaitɨcaɨ - nana Naciones Unidamo duide naɨraɨ llotɨmacɨ.
00-07	Biena uiño: Bie rafuena nana comɨnɨ raise atona uiñuana jitaidɨcaɨ. Iena nana comɨnɨ uiñuamona, bie rafue suicana jaite.
00-08	Danomo ofillanona bie rafuena llotɨcaɨ
00-09	Nana comɨnɨ bie rafue anamo jitaidɨcaɨ. Naga naɨraɨ bie rafuena ɨɨuana jitaidɨcaɨ. Bie rafuena naɨmacɨ comɨnɨna llofuiana jitaidɨcaɨ. Naga naɨraɨ bie rafue lloga uai fɨnuana jitaidɨcaɨ, nana naimacɨ comɨnɨ bie rafuena ollena. Ie jira bie rafuena llotɨcaɨ.
01-00	Rafue 1.
01-01	Nana caɨ comuillamona dama caɨ abido itɨcaɨ. Caɨ comuillamona jɨaɨmɨe anamo iñedɨcaɨ. Nana daje facaiconi itɨcaɨ. Abɨ uiñuanona comuidɨcaɨ. Danɨ coninɨrie caɨ nabairilla.
02-00	Rafue 2.
02-01	Nana comɨnɨmo bie rafue duide. Naga naɨraɨmo bie rafue duide: naga rɨñomo, naga ɨimamo, Jusiñamuina sedadɨmɨemo, Jusiñamuina sedañedɨmɨemo, jamai bue isoidɨmɨemo, jamai bue isoiñedɨmɨemo, dueredɨmɨemo, ucuberedɨmɨemo, rɨaɨ uaina ñaɨtɨmɨemo, jɨaɨe uaina ñaɨtɨmɨemo, dɨese itɨnomo bie rafue duide. Nɨe isoide gobierno anamo naɨmacɨ ia, bie rafue nana naimacɨmo duide.
03-00	Rafue 3.
03-01	Nana comɨnɨ illana jitaidɨcaɨ. Jɨaɨe comɨnɨ anamo bu jacaiñenia, jɨaɨme anamo budɨ naimɨe anamo oreñena. Nana comɨnɨ jɨaɨe comɨnɨna jacɨruiñenana jitaidɨcaɨ.
04-00	Rafue 4.
04-01	Jɨaɨe comemo maɨjɨllena jaca budɨ comɨnɨna ebe isoi fecañena. Iena caidɨca.
05-00	Rafue 5.
05-01	Comɨnɨna isi cacaitañena. Duere sefuiñellena, comɨnɨna janafefitañena.
06-00	Rafue 6.
06-01	Naga gobierno railla: -Nana caɨ enɨruemo itɨnodɨ comɨnɨdɨmacɨ. Ie jira daje isoi nagamɨiaɨna canoitɨcaɨ -railla.
07-00	Rafue 7.
07-01	Nana comɨnɨ gobierno lloga uai anamo daje isoi itɨmacɨ. Nana comɨnɨmo gobierno lloga uai daje isoi duide. Bie rafuedo jaiñedɨmɨemona jaca buna duere sefuiñena.
08-00	Rafue 8.
08-01	Gobierno lloga uaido jaiñedɨmɨemona bu duere sefuia, naiena raise siadollena, juez dɨne naimɨe jaillana buna rairuiñena.
09-00	Rafue 9.
09-01	Illaɨcomɨnɨdɨ jamai ebena buna gaɨtañena. Calabozomo, cárcelmo jamai ebena buna uiñega. Ie naɨraɨ motomona budɨ jamai ebena dotañega.
10-00	Rafue 10.
10-01	Bumo llogɨdua rafue ia, naie rafue duiñena juez dɨne naimɨena uille, naie rafue raise siadollena. Bainino iene fɨnoñena.
11-00	Rafue 11.
11-01	Bumo llogɨdua rafue ia, naie rafuena nia siadoñenia, naimɨena nia duere fɨnoñena. Juez dɨne naie rafuena bainino siadoñena. Naimie dɨbeimo itɨnona naimɨena rɨidollena rairuiñena.
11-02	Navui ie fɨnoca nia rairuiñega rafue facaina birui naimɨena duere fɨnoñena. Rairuica rafue bu fɨnoia, ie fɨnoca facaise duere sefuillacɨno baɨfemo naimɨe duere sefuiñena.
12-00	Rafue 12.
12-01	Nagamɨe jofomo uri illa. Ie illa comɨnɨ dɨga icɨrafuena fɨnoñena. Bu naimɨena uri itatañenia, naimɨe jitaia, ie uri itatañedɨmɨena naimɨe llogɨdoia, iena illaɨcomɨnɨ rairuiñena. Bu naimɨe jeare ñaɨa, naimɨe jitaia, naimɨe jeare ñaɨtɨmɨena naimɨe llogɨdoia, iena illaɨcomɨnɨ rairuiñena.
13-00	Rafue 13.
13-01	Ie naɨraɨmo nɨne bu macariacania, illaɨcomɨnɨ naimɨena rairuiñena. Ie naɨraɨmo nɨne ie jofo illana bu jitaia, illaɨcomɨnɨ naimɨena rairuiñena.
13-02	Jɨaɨe naɨraɨmo bu macariacania, illaɨcomɨnɨ naimɨena rairuiñena. Abɨdo ie naɨraɨmo naimɨe biacania, illaɨcomɨnɨ naimɨena rairuiñena. Illaɨcomɨnɨ naimɨena caidɨñena.
14-00	Rafue 14.
14-01	Duere sefuillamona jɨaɨe naɨraɨmo nainomo duere sefuiñellena bu jaiacania, illaɨcomɨnɨ naimɨena rairuiñena.
14-02	Maraiñedɨcɨno fɨnoñenia, naimɨe jaillana illaɨcomɨnɨdɨ rairuiñena.
15-00	Rafue 15.
15-01	Naga gobierno railla: -Nana caɨ enɨruemo itɨnodɨ caɨ comɨnɨ. Caɨ naɨraɨmo duudɨmacɨ -railla.
15-02	Gobierno ie comɨnɨna oni dotañena, jɨaɨe gobierno naimacɨna feiñoiacaiñenia. Caɨ naɨraɨmo duiñedɨo -illaɨcomɨnɨ buna iese lloñena. Jɨaɨe naɨraɨ imɨena bu jaiacania, illaɨcomɨnɨ iena rairuiñena.
16-00	Rafue 16.
16-01	Ie aɨna illena, nɨe eimɨe rɨñona oiacania, iena buna rairuiñena. Nɨe isoide rɨñona ollena buna rairuiñena. Ie ɨni illena, nɨe rɨño eiñaiño ɨimana oiacania, iena buna rairuiñena. Nɨe isoide ɨimana ollena buna rairuiñena. Ua mei, uruiaɨna iaɨmaiaɨ comuitajana buna rairuiñena.
16-02	Aɨna ollena, ɨnina ollena, conimana jitaillanona iite.
16-03	Naga ɨima ie aɨ dɨga ia, naga rɨño ie ɨni dɨga ia, ie naɨraɨ judaɨsiñeite, iadedɨ naga ɨima ie aɨñede rɨño dɨga icabia, ie naɨraɨdɨ judaɨrite. Naɨmacɨ comɨnɨ uri illena, naimacɨ naɨraɨaɨ judaɨsiñellena, naga gobierno ie comɨnɨna canua.
17-00	Rafue 17.
17-01	Enɨruena bu namataacania, jofona bu namataacania, rana bu namataacania, illaɨcomɨnɨ naimɨena rairuiñena. Naga come iena namataacania, jɨaɨe comɨnɨ dɨga iena namataacania, illaɨcomɨnɨ naimɨena rairuiñena.
17-02	Bumona ie enɨruena, bumona ie jofona, bumona ie rana jamai ebena baɨroñena.
18-00	Rafue 18.
18-01	Bue isoide ramo ie comecɨna facaia, buna naimɨena rairuiñena. Jusiñamuina bu sedaacania, buna naimɨena rairuiñena. Nɨe isoidɨmɨena bu sedaacania, buna naimɨena rairuiñena. Jɨaɨe raɨuedo bu jaiacania, buna naimɨe rairuiñena. Jɨaɨe comɨnɨmo naimɨe ɨɨnuacino lluana buna rairuiñena. Ie joɨomo iena lloia, jino iena lloia, naimɨena buna rairuiñena.
19-00	Rafue 19.
19-01	Nɨe isoide ramo ie comecɨ facaia, naimɨena buna rairuiñena. Naimɨe comecɨ facajacɨno muidona, naimɨe duere sefuiñena. Jɨaɨe naɨraɨmona bue isoide comecɨna facajacɨnona naimɨe feiñoiacania, jɨaɨe naɨraɨmo bue isoide comecɨ facajacɨnona naimɨe oretaiacania, iena illaɨcomɨnɨ rairuiñena.
20-00	Rafue 20.
20-01	Jamai nɨe isoide rafue finollena comɨnɨ ofitaia, naimacɨna buna rairuiñena. Nɨe isoide rafuemo bu duicania, iena buna rairuiñena.
20-02	Nɨe isoide rafuemo bu duiacaiñenia. Iemo naimɨe duiñena buna rairuiñena.
21-00	Rafue 21.
21-01	Naimɨe jitaia, danomo ofillano, nagamɨe ie illaɨcomɨnɨ nɨe isoi ie naɨraɨ sedajacɨnodɨ siadoga. Naimɨe atona siadoiacaiñenia, naimɨe facaina jɨaɨmɨedɨ iena siadolle. Ie illaɨcomɨnɨr rafuena bu siadoiacania, naimɨena buna rairuiñena.
21-02	Illaɨcomɨnɨna bu jaiacania, iena buna rairuiñena.
21-03	Comɨnɨ jitailla dɨese illaɨcomɨnɨdɨ nana comɨnɨna sedaja. Dajerie illaɨcomɨnɨna jaillena, comɨnɨ dɨnena naimacɨna fetua. Nana comɨnɨ uainino naimacɨna fetua. Naie illaɨcomɨnɨ meidollɨrui jɨaɨ lloga.
22-00	Rafue 22.
22-01	Seguro social railla rafuemo nana comɨnɨ jaɨnaɨaɨna. Naie rafuemona ie gobierno ucube illa dɨese nagamɨe feiñua. Naimɨe buena jitai raillano, naimɨe comena jira, naimɨe uri illena, iese nagamɨe feiñua.
23-00	Rafue 23.
23-01	Nɨe isoide rana bu maɨjɨacania, naimɨena buna rairuiñena. Mare ra illanomo naimɨe maɨjɨa.
23-02	Maɨjɨlle jaca illena, gobierno canua.
23-03	Jɨaɨmɨe iemaɨjɨamona ɨbana feiñoia, naimɨe isoi bu maɨjɨia, ie maɨjɨamona ɨbana raise feiñua.
23-04	Naimɨe comena jira, ie comɨnɨ buena jitai raillano, ɨbana naimɨe raise feiñua. Raise feiñoñenia, gobierno naimɨena canua.
24-00	Rafue 24.
24-01	Maɨjɨa fuilla mei, bu jafuier oiacania, naimɨena buna rairuiñena: Comɨnɨna are maɨjɨtañena, iadedɨ naimcɨ maɨjɨacana dɨnori maɨjɨa. Fiesta raillaruimo naimacɨ maɨjɨtañena, iadedɨ nairui facaina ɨbaca.
25-00	Rafue 25.
25-01	Ie comɨnɨ buena jitai raillano, ie maɨjɨmona nagamɨe ɨbana feiñua. Ie comɨnɨ raise guillena, ɨniroi illena, jofo raise illena, remedio ollena, ie dɨese ɨbana feiñua. Bu maɨjɨnia, bu duia, bu fecɨñona ia, bu uaɨcɨmana jaia, ie ucube bumo iñenia, gobierno naimɨena canua.
25-02	Riño jocua facaise gobierno naiñaiñona canua. Gobierno naga uriaɨna daje isoi canua. Moorede uruena canua. Naɨso moto oga urue daje isoi canua.
26-00	Rafue 26.
26-01	Nana uruiat escuelamo jaillana buna rairuiñena. Nano jailla años facaina ibatañena. Escuelamo nana uruiatjailla. Primaria fuillanona jinɨe escuelamo bu jaiacania, iena illaicomɨnɨ t rairuiñena. Rabena uiñotɨno dɨese nainomo feiñoga.
26-02	Escuelamo naga rafuena raise fɨnuana profesor llofuega. Naga urue comena jira, iese llofuega.
26-03	Nana conina nabairillana llofuega.
27-00	Rafue 27.
27-01	Nɨe isoide rafue ie naɨraɨ fɨnoia, nagamɨe nainomo jaillana illaɨcomɨnɨ rairuiñena. Naie rafue ite ie comecɨ jaɨsillena jira, iena rairuiñena.
27-02	Nɨe isoide rana bu cueia, naiemona dama naimɨe ɨbana feiñuana buna rairuiñena.
28-00	Rafue 28.
28-01	Bie rabemo cuega rafue suillena buna rairuiñena. Nana comɨnɨ bie isoide suille rafue illanomo jaɨnaɨaɨna.
29-00	Rafue 29.
29-01	Danɨ coninɨri ie illanomo nagamɨe dajena maɨjɨa, nagamɨe comena jira.
29-02	Ie gobierno lloga uai dɨese nagamɨe ie jitaillacɨnona fɨnua. Jɨaɨe comɨnɨno ie comecɨna facajano iena fɨnua. Nana comɨnɨ uri illana iena fɨnua.
29-03	Uri illena Naciones Unidas lloga uaina buna jeare uacaiñena.
30-00	Rafue 30.
30-01	Bie rafuedo jaiacadɨnona buna rairuiñena. Bie rafue uiñuamona, bie rabemo lloga rafuena buna jamaiñena.
