00-00	MØG-A ÁCÏMMI YI KÖMI LÄBØ KI RI GÏG-A DWADDI KIPER DHANHØ BËNE
00-01	Ka árum yïëëyii kinni wøri bëëdi dhanhø á dhanhø pere tek, ki kinni gïn-a cwøl á dhanhø pär bëne, o di dwaddø kinni bëëd ji bënn ki kömi piny ki mër, ge gøgg-a dyër, e bong ngan geny,
00-02	Kà bëëd wøyi dhanhø nyii känø ki bëëdø me raj, ki liny geki rënyi rumi dhanhø, ka bëën-a di bëëd ji ge køm-a dyër e bong ngan mään kwøbi kej dhøge, o yïëye bëëde á cwagge kete, e dhanhø pa böggi rumø yïëyø kinni bene bëën-a tyer yi ji bënn,
00-03	Kà bëëde á gïn pere tek kinni keløg dhanhø odhalø yi räji bëëdø, nyii rumø kinni óyiel-a yi ngänyi wäye kipe kà guud wange, ngan ni menani di ceg ka korrø yi cigg,
00-04	Kà bëëde á gïn pere teg kinni bëëd pödhhi kömi piny bënn ki mër, e ri gen ngänyi yi gen,
00-05	Kà árum yïëëyii yi Buri Pödhhi Kömi Piny, ka cïb yi gen á Cigg kinni dhanhø bëne pär, o ko mään gïndøj men-a dwdde, má ji ceg bëëdrø ga ji bënn ceth, o ge pär bënn ying ga cwøw walà männ, ge di dwaddø kinni køny gen ki tyenyi bëëdi gen, o ge dönyi gen ge bënn,
00-06	Kà árum yïëëyii yi Pödhh-a Yij Buri Kömi Piny, ka ge okööbø kinni ge ógöögø kiper tyëgi møg-a áyïëy yi gen ki gwøgø, kyeel ki Buri Pödhhi Kömi Piny, a løg kønyi dhanhø bëne ki wøri ree, ki korri ji bënn,
00-07	Kà örum yodii yii ji kinni gïg-a dwaddi yi dhanhø bëne päär ki kinni bëëd dhanhø wïje, bene gen a per gen teg kiper dhanhø bëne,
00-08	Anan, ki bang møgani bënn,
00-09	Buri Kömi Piny Bëne
00-10	Ceg-a cïb ki Gïg-a Dwaddi Kiper Dhanhø bëne ki Kömi Läbø; møgani cïb ga møg mïdhi yi ji bënn ki pödhh bënn; ge ködd-a kömi dhanhø geki tyëng-a bëëd gen ki kej ákyel, bëëd gen ceth ge mïdh-a Møg-a Ácïb ki wädhi gen, ka gïgani pwönyi teedø, kiep kinni o ji dïd gen ki wøri ri gen, o gïgdwaddi møg-a ácïb kipe bëëdi ji ki wädhi gen ge pa böggi mïdhi ki wuödø kì yij pödhø kete ki kelli pödhhi kömi piny, kipe mïdhi døøji burø kì kömi piny bëne, e ji ri gen gänyi yi gen, o ge wør-a ri gen kì yedhi Pödhh-a Yij Buri Kömi Piny, kì kelli tyëng-a bëëdø ki yedhi pinyi pödhhani ge mïdh-a cigg.
01-00	Cigg 1
01-01	Dhanhø bëne ba anywølø e path ki bäng, ge pär ki yij bëëdø geki dyërø. gïn-a dwaddi kiper gen yï gen da rumi ki bëëdø mø göög gen ki pyëw akyel ga nyimëgg.
02-00	Cigg 2
02-01	Dhanhø bëne yïe da cwagge kipe gïn-a dwadde kí bongi bängø men-a ácïb ki yij buri jur bënn, e bong geny, kiri jur wala kïdø wala ki bëëdø á dhajø wala jalø, wala kwøbbi pödhø wala keløg e da rum mø bëën pödhi wun wala tha gøl wun wala jammi wala nywølø ki bëëdø.
03-00	Cigg 3
03-01	Dhanhø bëne dwadd-a nënnì kì kömi läbø, ki bongi bängø ki kori dëële.
04-00	Cigg 4
04-01	Ko di dhanhø me mïdhi wala ngew a bäng Ngyew ki bängg ba akerø ki yëdh-a nyi gøgii bënn.
05-00	Cigg 5
05-01	Dhanhø ko pwöd wala dwany, wala ko göggi ki gïn-a pa nyi göggi dhanhø wala møg-a raj wala ko göggi ki abaarø.
06-00	Cigg 6
06-01	Dhanhø bëne di dwaddø kinni wør á dhanhø ceth ki bøli cigg.
07-00	Cigg 7
07-01	Dhanhø bëne pär ki bøli cigg, o ge dwadd-a bëëdø e bong geny, o bëëd ji bënn ge okorrø yi cigg.
08-00	Cigg 8
08-01	Dhanhø bëne ócuggø kedhi buri pödhø keløg e ogöggø ki raj ki kömi gëë men-a mëggii yi cigg.
09-00	Cigg 9
09-01	Bong dhanhø me mag wala mään wala kyeew kej megø.
10-00	Cigg 10
10-01	Dhanhø bëne bëëde e par ki ji bënn ki bøli burø. Ka gønye lidh kì burø me yije bong geny kì ruj.
11-00	Cigg 11
11-00	Dhanhø men köme di cay bëëd a acwag kinni yïe bär gïti na keny-a ocayii, e cáyani køøl-a kömi cigg.
11-01	Bong dhanhø men cuggi cayø kipe gïn-a gwøg yi en wala men-a nuti gwøgø yì en gïtì keny-a o yodì kìnnì cigg mø pödhø wala mø kömi läbø gï pyeem en ki bøli keny-a ocwöb kwøbani. Thyew, ko cay kí cáy mø lod møg-a caayii kì bøli keny-a acwøb rajjani.
12-00	Cigg 12
12-01	Ko di dhanhø me göggi ki raj kì yij bëëde wala gøle wala keny-a bëëde. wala köme ko kööb ki kwøb mø rënyi nyinge. Dhanhø bëne di dwaddø kinni kor yi cigg.
13-00	Cigg 13
13-00	Dhanhø bëne ba ayïëy kinni wele. wlala bëëde ki yij keew pödhø bëne.
13-01	Dhanhø bëne ba ayïëy ki dägi pödhø megø. Ócuggø dhwödhø ki pödhi gen, o ócuggø ki dwöögø yije.
14-00	Cigg 14
14-00	Dhanhø bëne ba ayïëy ki yömi pödhø megø keløg wange oguudø ki pödhi gen.
14-01	Dyër menani ko mään dhanhø keløg e da guudi nying, kí mød kipe kwøbbi jyägø. wala kipe mø bään ki møg-a ácïb yi Buri Kömi Piny.
15-00	Cigg 15
15-00	Dhanhø bëne yïe da dyër me käbbe kí jïnsïa mi pödhø me path ki pödhi gen.
15-01	Bong dhanhø me cuggi määnø ki jïnsia mee ki mi podhø megø.
16-00	Cigg 16
16-00	Dhajø geki jalø møg-a wädhi runni nywöm yï gen da dyërø me nywøm gen ri gen, o ge göög gen ki kal e bong gïn jog gen kiri kwøbbi Jwøk wala købbi jur, nimi ka nywøm gen ri gen, yï gen da dyër kiri nywöm geki täng.
16-01	Nywöm dwada cuggø ki kaam dhajø geki jalø e bong cïïr.
16-02	Kal áwöni pere teeg ceth ki buri ji, o kor ceth yi burani kì pödhø.
17-00	Cigg 17
17-00	Dhanhø bëne ceg bëëdø á ayïëy kí mïdhø ki jammi, ying gï mïdhe ga møge ket wala møge geki ji møøgø.
17-01	Jammi dhanhø ko wöl ki kabø.
18-00	Cigg 18
18-01	Dhanhø bëne yïe da dyërø me rume, ki bëëdø ki kwøbbi Jwøk. O dyërø menani thödha gøn ki teegø me wile kwøbbi Jwøge wala yiëye kete wala geki ji møgø.
19-00	Cigg 19
19-01	Dhanhø bëne yïe da dyërø mi kwøb ki nyudhø ki gïn-ao røm yi en, dyërø menani wëga en yëyø ki rumi ji møgø e bong cïr, ócuggø tïngø ki wödd ki yï ji räädi ki wäjj e bong ngan määnii.
20-00	Cigg 20
20-00	Dhanhø bëne yïe da dyërø me rëbe ki bur møggø ki akudd-a yedhi gïn yïdde mër.
20-01	Bong dhanhø me cir kipe o rëbe ki akud megø.
21-00	Cigg 21
21-00	Dhanhø bëne yïe da dyërø me gööge kì yij mïri mi pödhø, keløg e gsøg ki kenyani yood en ka cwagge wala kwa ny-a yi ji møøgø.
21-01	Dhanhø bëne yïe da dyër me nimi ngan-a kyeelø o gööge ki käjji gwögg kì yij pödhø.
21-02	Yïëyø mi ji en a re kääl yi teegi mïri, ø yiëyani kääl-a bang leeng men-a nyi leeng ji o cugi bëëdø a leeng tïngi cing wala men-a nyi gwed.
22-00	Cigg 22
22-01	Bëëdi dhanhø á ákyel kì kelli tyëng pödhø wang-a kinni, burani ki bang gsøg pödhø ki nywäg kömi läbø geki møg-a nywag, ki tyëny pödhø ki jamm-a nyi nywøl en ki møg-a käni ki ngyëny, ki bëëdø kì kej akyel, ki øddi gwedd møg-a bong kär, ki teegi peri dhanhø ki kunø e bong bäängø kipe dhanhø.
23-00	Cigg 23
23-00	Dhanhø bëne yïe da dyër o gööge; ki gwøng-a dwaddi yi en, ka pödhø kore o bëëdø e bong ngan jad ki gwøg.
23-01	Nyi cuddi dhanhø kì köögi men-a kyëëw ki gwøng-a gwøge e bong geny.
23-02	Dhanhø bëne men-a göögø yïe da dyërø me cudii ki köögi men rømi kipere kí gøle.
23-03	Dhanhø bëne yïe da dyërø me køøgii keny-a órum gwøge á (makäpï) me köme pädhi yi en geki gøle, o köme ócuggø ki kïdhø kipe kinni wange ko cyäni keny-a ódøøg cinge ree.
24-00	Cigg 24
24-01	Dhanhø bëne yïe da dyërø kipe cyäng ywömø ka cuddi ceth keløg e ogöögø ki cyääng ywömø.
25-00	Cigg 25
25-00	Dhanhø bëne yïe da dyërø ki yij bëëdø, kipe kori dëële, ki cwage, ki gøle, gïgcaam, ki ogødh, ki ød, kori rämi dël ki jam døj kipe bëëdø, thyew ki dyër me korii ke bong yïe gwøg, rämi dël nyødhi dël, ki kïjø, ki döng.
25-01	Mëgg ki othønhø yï gen da dyër mi kori gen ki kønyi gen, othønhø bënn dwata korø, møg-a nywøl kiri yuu nywöm wala møg-a nywø1 ki yëdhh møøgø.
26-00	Cigg 26
26-00	Dhanhø bëne yïe da dyërø mi dïdø ki gwed ka cugge. Gwed dwatá bëëd e bang gïn col. Ka dwate bëëd a cïr kipe cukø, yiëy nyi gwed wala nyi gwed ki ød gwed men-a ying mal dwatá käl bang pödhø me.
26-01	Dïdø dwata bëëdø á men tïng bëëdi dhanhø o wøre dyërø ki bongi bängø kipe lïngi dhøg, ki dwög laaw piny ki kelli teedø ki kelli jur møg-a gënyø, ki tyëng kwøbbi Jwøk møg- a bän, møgani køny-a tyëng buri kömi läbø ki kori mër.
26-02	Wëgg yï gen da dyër kipe yeny yöö men-a dïd yi nywølli gen.
27-00	Cigg 27
27-00	Dhanhø bëne yïe da dyërø me nywäge kiri kwöng bëëdi ji ki kunyø kipe dïdø.
27-01	Dhanhø bëne yïe da dyër kipe kori köngi ki jamm-a nywø1 yi dïdø.
28-00	Cigg 28
28-01	Bëëd dhanhø e okorø yi cigg møg; gen a cigg-a ácïb ga møg ri gen bëëd yi pödhø kí bëëndøj geki pödhh-a kyeelø e da korri gïg-a dwaddi kipe døøji burø, ki täbbø, ni ka ácïb gen ceth ga møg mïdhi.
29-00	Cigg 29
29-00	Dhanhø bëne yïe da mwøg me dwati gwøgø yi en ki buri ji.
29-01	Kiri gwøøg dyër ki bongi bääng, dhanhø bëne dwata bëëd nimi ka dwatii yi cigg, kipe kori yiëyø ki wøri dyër kí bongi bäängø mi ji møøgø.
29-02	Dyër møgani kí bongi bäängø, mïdhi gen ceth kí yuu-a dwaddi yi Buri Pödhhi Kömi Piny.
30-00	Cigg 30
30-01	Ki yij nyudhø men, bong gïn cuggi løgø me nëngi pödhø wala ji wala dhanhø ki teegø me gööge kipe rënyi gïg-a ácïb møg ki bongi bäängø mø bään ki møg-a ácïb ki yij wänyø men; a 1øg Møg-a Acïb yi Buri Pödhhi Kömi Piny.
