00-00	Delaraciö' Ki' DERECHO H Ki' la' la köö jmu guue kíä guía' su'
00-01	KUU-DSU-DSA, e ti tíä dsa, ki' dsa tía kö ñi' jmí, nía asía jni siä la kö jmu guu; e sía: derecho ki' dsa, e jä má-já la juu dsa tíä' kö jmu guu.
00-02	KUU-DSU-DSA, e a s'ia dsa ñi ju o é jä' D.H. e jä la dsa nä kíä ta' a sía jmo-dsa e dsi' nía dsa kíä dsa, ma jä kö ju t'a' dsa la kua' jmu guú, a sía má gä nía roö a sïä e li goo' nía jeo dsa tä' e ja na jmo'.
00-03	KUU-DSU-DSA, e na ki D.H. ma jä ko rue jmo dsa tä', kuu juu dso' e sía e jmo dsa esa rue lu jï kä dsa tiä' juu jï na lu' dsa ta'.
00-04	KUU-DSU-DSA, y ná j'mo geé fuu ki' dsa e la juu' tíä' la kua' jmu güu e-jï á nía roö'.
00-05	KUU-DSU-DSA, la juu ñi dsa tiä la kuä' jmu guu dsa na tä gui' ñi mo-yi ki' Naciones unidas, I e' dsa, la-ju e jä e ki' D.H. ña huu ki' I' kä dsa, I kö ñi ki' hie' nía dsa ñi' I jmi jni' dsa e jä e na huu ná jmo'.
00-06	KUU-DSU-DSA, e ka-la ju estado. ti' nía teë' ñi' Naciones Unidas e-jmo – dsa i' derecho ki' tä kö jmu guu' nía.
00-07	KUU-DSU-DSA, e- kö ñi' lu D.H. e ja e na' huu ki huu ja ru to ñi mo-yi la'.
00-08	E. Asamblea General Jmo Jnia'
00-09	Juú' ki Derecho tï' la Kö jmo guu ki' D. H. e tï la júu' ní' dsa huu jä kup dsu-dsa, e é-dsa kï', nía jmo dsa í' dsa sía kö Naciö' la ma nía dsa tíä la kö' jmu guu jmo dsa e no' ti jú la' jmu tía'.
01-00	Artículo 1°
01-01	La juu dsa lu siä –Dsa kö ñi ba dsa, nía kö ni' ba na lu' dsa e dsa tï é li jnia' roö'.
02-00	Artículo 2°
02-01	La juu' dsa tï jä é, la juu' eru jua' ñi le' lá, juá ï jua dsa juá jnía a lïa' jä jnía-a. Jua h'ie' o dsa-ñi'. Jua e juá juú' gua' dsää-a; o é juú'-a. e fuü sïá-a dsa. Tía ñi. o dsa sïa kú' o jua. E-jï-e suu'.
02-02	Nia la suu, a sía jeo dsa ï tá, e joó ki político ï-a. o é vo' tï a- jua tï ï ti vo' jua ï jua jmo I', jï gua'-dsa o jua ïta' gua'-guá jmo I'.
03-00	Artículo 3°
03-01	La ju-dsa ti i síä-a, e a sïá e li jï-a- i gua h'iä dsu-a.
04-00	Artículo 4°
04-01	A, síä-dsa jmo tä ka-la I jni-o tá-lá jmo dsá tá', tu sa li jma ki'-dsa.
05-00	Artículo 5°
05-01	Jí-jua i kä' jmu, u'i', o i jma dsa la sa h'ie' i'.
06-00	Artículo 6°
06-01	La-jua dsa h'ie' jú' dso, juá-sï-dsa, a-jï' jä e sï' dsá.
07-00	Artículo 7°
07-01	Kö-ñi' ba. na kï' dsa tu ñi leé' nía kö-re' ba jmo leé I' la ju' dsa
08-00	Artículo 8°
08-01	La-ju dsa tï'-tu ñi' dsa tá', e jmá o dsa ki' dsa tu' ñi dsa 'na lu' ta h'uu la un ru ro' ñi lee'.
09-00	Artículo 9°
09-01	A síä dsá-dsa I' juu' ñi-ñí, tu a sía dsoo má ka tá' dsa nia jä i dsu-jié dsa tu u'o' suu'
10-00	Artículo 10
10-01	La ju dsa sua Derecho ki', I kö-ni' no' dsa ta juú' ki'-dsa nia i kä' dsa júu dsoó ki' dsa, ja dsa ï ta' a sía' í jma ä ï-jua-ï na jua asía dso ma ka jmo dsa'.
11-00	Artículo 11
11-00	La-ju dsá h'ie' dso, sía jú' dsoó, e-li' jua dsa, e a-sia' dsoó raä-'a, tá-la sa lu rue dsoo ki' dsa, nia I jma-ó dsa ma jä lia'-a.
11-01	A-síä dsa dso ñi' ñí, na-jua ka tä dsa ksö' dsa, e sía dsoó ma lu' lo ma ka lu' nia asía lí jmo dsa ta ña' huu ma-dsi dso ki' dsa.
12-00	Artículo 12
12-01	Asiá' dsa li jma dsiä dsa na lu' tá'-dsu juú' ki' dsa, dsa siä-kíä dsa, o-e-i sía ki' dsa o-mo gui' jie' ki' dsa o-e, ji e suu sia ki-dsa.
13-00	Artículo 13
13-00	La ju' dsa li na' tä' tää', a jï' jne dsa nía í li gua-a jï jä jne' dsa.
13-01	La ju dsa li dsoo tu su, fuu suu' o gua' vo' suu, nía e li jía' dsa h'uo' ki' na jua jne' dsá.
14-00	Artículo 14
14-00	Na-jua ja dsá uu-a, e dsa li dsu gua u'o' suu, jua-a-uu jï.
14-01	Derecho lá-e asía ki' na-jua dsa ma ka jmo dsa o e ma ka jmo dsa I sa ru tö ñi mo-guí la'.
15-00	Artículo 15
15-00	La-ju-dsa sía derecho e li' tï dsa kö naciö'.
15-01	Ji-jua ï dsa a sïä dsa e li dsa kï' e tï dsa kö naciö nía jä' e li jua-dsa e sa li kï' dsa na-jua jne e li súu naciö' ki-dsa.
16-00	Artículo 16
16-00	Dsa-ni'-nía h'ie', na-jua ma fuu' dsa; e dsa sía derecho, ki' la sa sía juú sia, jua e vo' fuu goo' dsa, o e ju gua' dsä dsa, e-jí' dsa-guo nía e jmo dsa ni ki'.
16-01	Nía e jä ba ji' dsa guó na, jua ejne ba sá ji' guo.
16-02	Kö seé' dsa, e jä, ba e jnia' ma jä ne kö fuu nía e ti dsa ñi tá' e-jmo dsa i la ju dsa tia jeé fuu'.
17-00	Artículo 17
17-00	La-ju dsa e síä derecho –e li síá ki'.
17-01	Ji-jua i dsa sa li dsuu kí e síä ki'
18-00	Artículo 18
18-01	La juu dsa h, íäá o dsa kuu', sia derecho, ka tu nía religiö e ï' dsa o e jma suu dsa religíö ki o e jä e í' dsa', nía ejma jnia dsa e jä e ï' dsa.
19-00	Artículo 19
19-01	Ka-la juu dsa sïá derecho ki' e síä e li jma dsiä dsu-dsa na-jua e jä kuu dsu dsá, na-jua e ja kuu dsu dsa é e' dsa, e jä kuu dsu-dsá.
20-00	Artículo 20
